"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",114.85734375,"Down",-12994000,-7893000,-5101000,-12994000,426000,-408000,-385000,1e+06,-12568000,-12568000,-12568000,-12568000,-12522000,-15607000,17268000,17268000,2813000,2813000,20081000,3114000,23418000,6354000,26532000,46613000,14874000,6506000,8368000,812000,812000,25873000,14471000,14471000,26456000,52329000,1545324000,-1542526000,-5361000,-5716000,46613000,-12568000,447000,1043000,3000,-11075000,-108000,-3000,-35091000,-46274000,-46274000,-47266000,-12547000,22172000,2.73041,-0.33482,0.77614,-9.15483,0.47566,-6.83888,-6.83888,-2.34915,-0.50464,-0.39085,-0.3774
"2","2011_Q1",103.666451612903,"Down",-19824000,-12168000,-7656000,-19824000,206000,595000,-260000,-221000,-19618000,-19763000,-19763000,-19763000,-19718000,-34117000,22649000,22649000,4256000,4256000,26905000,3426000,23261000,6197000,26687000,53592000,17045000,6037000,11008000,1717000,1717000,18762000,17667000,17667000,39975000,58737000,1579866000,-1576643000,-4746000,-5145000,53592000,-19763000,429000,4226000,2336000,-12772000,-1126000,3999.99999999953,19106000,5208000,5208000,5381000,-19395000,22308000,6.6311,-0.63661,1.43402,-11.41633,0.41626,-14.94983,-14.94983,-2.07966,-0.97953,0.01758,0.0172
"3","2011_Q2",103.606825396825,"Down",-20070000,-8576000,-11494000,-20070000,266000,-326000,-389000,759000,-19804000,-19804000,-19804000,-19804000,-19734000,-51017000,30874546.0770506,30874546.0770506,4015077.7356959,4015078.54369827,34890101.4893929,4075298.47347479,15786616.1544652,7924183.20140793,19861914.6279399,54752016.1173329,22107135.0550192,6850876.57903095,15256258.4759883,1958640.47588389,1901571.29677933,22618693.7495897,17804627.6546872,17804627.6546872,35280644.688709,57899338.4382987,1628626354.73998,-1623340230.48218,-2667049.87824158,-3147322.3209658,54752016.1173329,-19804000,444000,582000,-5824000,-24602000,-327000,-4000,46882000,21953000,21953000,21165000,-19626000,0,-2.04954746723055,-0.521950637537848,1.44886109173291,8.46809795428082,0.292240002117466,-22.35529,-22.35529,-1.09416701077403,-0.952667888237929,0.790091518612661,0.770321788548728
"4","2011_Q3",61.48046875,"Down",-16919000,-8961000,-7958000,-16919000,-122000,-3e+05,-184000,318000,-17041000,-17041000,-17041000,-17041000,-16997000,-22508000,38887000,38887000,3907000,3907000,42794000,4517000,9272000,9272000,13789000,56583000,22759000,7307000,15452000,1705000,1705000,24464000,16903000,16903000,29217000,53681000,1679531000,-1667225000,3465000,2902000,56583000,-17041000,606000,1113000,1257000,-14065000,-840000,5818000,10248000,-4657000,-4657000,-4927000,-16313000,12314000,-7.75603,-0.39779,1.74926,18.49793,0.21763,-7.21748,-7.21748,1.1111,-0.70077,1.62895,1.5706
"5","2011_Q4",56.9920634920635,"Down",-15290000,-7760000,-7530000,-15290000,-1437000,-175000,-161000,-1133000,-16727000,-16727000,-16727000,-16727000,-16662000,-29685000,45212000,45212000,4692000,4692000,49904000,4309000,8637000,8637000,12946000,62850000,16984000,6564000,10420000,1395000,1395000,18379000,16549000,16549000,28978000,47357000,1721284000,-1696917000,16121000,15493000,62850000,-16727000,698000,819000,-913000,-16123000,-780000,-5837000,22109000,5206000,5206000,6325000,-14592000,12429000,-1.91603,-0.47232,2.71527,3.05667,0.19776,-8.00908,-8.00908,4.34948,-0.66751,2.24664,2.14408
"6","2012_Q1",61.4879032258064,"Up",-20911000,-12993000,-7918000,-20911000,864000,1476000,-136000,-502000,-20047000,-9047000,-9047000,-9047000,-8967000,-17868000,47052000,47052000,4023000,4023000,51075000,3604000,7560000,7560000,11164000,62239000,16814000,5750000,11064000,970000,970000,17784000,16446000,16446000,16446000,34230000,1744801000,-1714785000,28717000,28009000,62239000,-9047000,663000,1091000,1625000,-5668000,-725000,-401000,7765000,1372000,1372000,1840000,-20248000,0,-0.637939999999999,-0.28709,2.87196,1.22211,-2.77555756156289e-17,-4.73437,-4.73437,5.82417,-0.40193,2.32379,2.25011
"7","2012_Q2",47.982380952381,"Down",-18098000,-9928000,-8170000,-18098000,569000,185000,-5000,384000,-17529000,-17529000,-17529000,-17529000,-17446000,-17446000,27380000,27380000,4544000,4544000,31924000,4261000,7965000,7965000,12226000,44150000,14419000,5491000,8928000,563000,563000,14982000,16981000,16981000,16981000,31963000,1753473000,-1732231000,12978000,12187000,44150000,-17529000,521000,2006000,-3990000,-18992000,-214000,-87000,-87000,-19293000,-19293000,-19672000,-17577000,0,-1.43153,-0.39515,2.13082,2.62271,0,-4.27682,-4.27682,3.18151,-0.59812,1.55772,1.51287
"8","2012_Q3",25.5536507936508,"Down",-20292000,-11333000,-8959000,-20292000,-798000,-102000,-3000,-696000,-21090000,-50198000,-50198000,-50198000,-50138000,-58596000,14755000,14755000,7042000,7042000,21797000,8376000,8167000,8167000,16543000,38340000,22630000,13522000,9108000,10751000,396000,33381000,19910000,19910000,19910000,53291000,1784646000,-1790827000,-14100000,-14951000,38340000,-50198000,565000,30933000,4495000,-14205000,-17897000,-162000,18768000,-13334000,-13334000,-12625000,-19727000,-2.3283064365387e-10,3.9192,-1.52833,0.65298,-3.56438,-6.93889390390723e-18,-13.77692,-13.77692,-3.31515,-11.81609,0.74796,0.72713
"9","2012_Q4",14.393064516129,"Down",-14714000,-7763000,-6951000,-14714000,-97000,-313000,-43000,216000,-14811000,-15246000,-15246000,-15246000,-15189000,-20203000,14289000,14289000,5487000,5487000,19776000,7734000,8665000,8665000,16399000,36175000,21003000,11936000,9067000,5838000,393000,26841000,19229000,19229000,19229000,46070000,1810035000,-1811030000,-8987000,-9895000,36175000,-15246000,659000,-60000,2087000,-12560000,-1619000,-70000,13928000,-251000,-251000,-466000,-14055000,0,2.04174,-0.55848,0.73678,-4.65589,0,-3.81174,-3.81174,-1.6956,-2.16445,1.01665,0.97112
"10","2013_Q1",13.5758333333333,"Down",-18341000,-9220000,-9121000,-18341000,136000,174000,-5000,440000,-18205000,-18714000,-18714000,-18714000,-18601000,-19030000,50436000,50436000,8249000,8249000,60311000,6785000,6617000,6617000,13402000,73713000,22274000,12065000,10209000,393000,393000,22667000,18102000,18102000,18102000,40769000,1872885000,-1830060000,34552000,32944000,73713000,-18714000,601000,769999.999999996,324000,-17019000,-970999.999999998,105000,54607000,36617000,36617000,36147000,-17740000,2.3283064365387e-10,-0.57765,-0.25816,2.66074,1.23752,-3.46944695195361e-18,-1.97871,-1.97871,3.59265,-0.372799999999999,2.84307,2.7499
"11","2013_Q2",11.7203125,"Down",-19498000,-11143000,-8355000,-18427000,-1094000,-48000,-48000,-751000,-19521000,-19616000,-19616000,-19616000,-19384000,-19384000,44314000,44314000,4365000,4365000,51756000,6643000,6868000,6868000,13511000,65267000,20771000,10837000,9934000,934000,393000,21705000,19396000,19396000,27462000,49167000,1875284000,-1849444000,17940000,16100000,65267000,-19616000,411000,2727000,1130000,-15348000,-972000,-126000,9638000,-6682000,-6682000,-6122000,-18016000,8066000,-1.20398,-0.297,2.38452,3.05385,0.12358,-1.81673,-1.81673,1.6814,-0.44497,2.01199,1.96711
