"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",7.4696875,"Down",357358000,-13312000,344046000,-319320000,-277886000,-16021000,-25413000,24726000,-1502000,-2991000,1489000,23224000,23224000,-4900000,18324000,18324000,-325000,17999000,17999000,402914000,402914000,44045000,44045000,62524000,62524000,509483000,203242000,203242000,1231275000,264310000,882144000,8939999.99999999,1434517000,1.944e+09,152650000,25485000,127165000,64832000,64832000,231232000,235246000,123072000,3312000,119760000,358318000,589550000,1345464000,16139000,-4163000,1323283000,31167000,1354450000,1.944e+09,18324000,25413000,32973000,2350000,79060000,-15688000,-15672000,-3438000,-33979000,-3865000,-41282000,22106000,22106000,230000,22336000,50139000,248996000,41701000,0.96275,0.06919,0.05037,0.01329,0.00926,2.31685,2.20334,0.43527,0.12808,0.03558,0.03515,0.7064,2.61577,0.08243,0.01043,0.02415,-3.06983,-6.22495
"12","2020_Q1",7.43451612903226,"Down",321508000,-12448000,309060000,-302903000,-259673000,-17293000,-25937000,6157000,-858000,-2529000,1671000,5299000,5299000,-5394000,-95000,-95000,-12000,-107000,-107000,390565000,390565000,41669000,41669000,67759000,67759000,499993000,103361000,103361000,1318257000,251725000,883960000,182572000,1421618000,1921611000,142984000,25987000,116997000,58220000,58220000,214954000,231946000,124496000,3441000,121055000,356442000,571396000,1357584000,16032000,-1379000,1314288000,35927000,1350215000,1921611000,-95000,25937000,50915000,-44680000,32077000,-14003000,-14003000,-3437000,-22926000,-5245000,-31608000,-13534000,-13534000,274000,-13260000,32094000,245696000,-21195000,0.96128,0.01915,-0.000329999999999997,-8e-05,-6e-05,198.08411,2.32605,0.42319,0.12786,-0.000210000000000002,-0.000209999999999995,0.6398,2.61541,-0.04218,-6e-05,-0.01232,-4.5139,-23.52915
"13","2020_Q2",9.11396825396825,"Up",343650000,-33229000,310421000,-326717000,-284515000,-17084000,-25118000,-16296000,-1853000,-2274000,421000,-18149000,-18149000,8965000,-9184000,-9184000,226000,-8958000,-8958000,384230000,384230000,44238000,44238000,65661000,65661000,494129000,103806000,103806000,1304809000,237733000,879093000,107082000,1408615000,1902744000,168405000,33999000,134406000,57869000,57869000,240024000,228643000,119254000,3422000,115832000,347897000,587921000,1379589000,7074000,-7993000,1281750000,33073000,1314823000,1902744000,-9184000,25118000,36110000,3862000,55906000,-13236000,-12469000,-3438000,-38512000,-6387000,-48337000,-4900000,-4900000,-1327000,-6227000,8822000,242393000,-9517000,0.90331,-0.04742,-0.02607,-0.00681,-0.00471,1.0624,2.05866,0.44715,0.12739,-0.01794,-0.01794,0.68805,2.5663,-0.01905,-0.00534,-0.00568,-16.07765,8.70379
"14","2020_Q3",13.78359375,"Up",375061000,-41042000,334019000,-316375000,-275435000,-15407000,-25533000,17644000,-1408000,-1620000,212000,16236000,16236000,-3025000,13211000,13211000,-544000,12667000,12667000,420985000,420985000,49760000,49760000,63598000,63598000,534343000,104261000,104261000,1286787000,225401000,882406000,178980000,1391048000,1925391000,183422000,44600000,138822000,58091000,58091000,255263000,225336000,117773000,1891000,115882000,343109000,598372000,1388129000,19741000,-2740000,1292322000,34697000,1327019000,1925391000,13211000,25533000,42796000,-9649000,71891000,-11429000,-11465000,-3437000.00000001,-15888000,-5201000,-24526000,35900000,35900000,625000,36525000,43177000,239086000,25124000,0.89057,0.04704,0.03377,0.00955,0.00658,1.98342000000003,2.0933,0.45091,0.12418,0.02555,0.02445,0.75653,2.60671,0.05068,0.00752,0.01492,-4.21287,-10.3094
"15","2020_Q4",11.60109375,"Down",389913000,-48253000,341660000,-344679000,-300293000,-17577000,-26809000,-3019000,-3476000,-3699000,223000,-6495000,-6495000,11698000,5203000,5203000,-731000,4472000,4472000,905036000,855044000,51721000,51721000,69500000,69500000,1026257000,104323000,104323000,1284021000,212927000,884696000,186398000,1388344000,2414601000,196539000,42973000,153566000,58169000,58169000,268458000,715408000,121200000,2088000,119112000,836608000,1105066000,1363492000,24213000,-985000,1273912000,35623000,1309535000,2414601000,5203000,26809000,29996000,-16620000,45388000,-12972000,-62960000,496562000,0,-45249000,451313000,433741000,433741000,348000,434089000,23790000,729158000,-17500000,0.87625,-0.00774,0.01147,0.00341,0.00185,-3.91324,3.82278,0.84386,0.30198,0.00899,0.00865,0.78374,2.56063,-0.03518,0.00207,-0.0081,-7.39294,58.25704
"16","2021_Q1",14.5086885245902,"Up",359301000,-50757000,308544000,-313241000,-276443000,-18735000,-18063000,-4697000,-6223000,-6585000,362000,-10920000,-10920000,-2470000,-13390000,-13390000,-1074000,-14464000,-14464000,862700000,812705000,43148000,43148000,71958000,71958000,977806000,108842000,108842000,1281534000,209717000,891797000,94274000,1390376000,2368182000,179024000,30805000,148219000,54654000,54654000,233678000,712277000,113006000,1296000,111710000,825283000,1058961000,1379985000,9749000,4637000,1272290000,36931000,1309221000,2368182000,-13390000,18063000,53228000,-42667000,15234000,-14831000,-17060000,-17187000.0000001,-9274000,-14936000,-41397000,-43223000.0000001,-43223000.0000001,919000,-42304000,13366000,712277000,-41662000,0.85873,-0.01307,-0.04026,-0.01105,-0.00611,2.88039,4.18442,0.80885,0.30077,-0.02893,-0.03157,0.71873,2.54502,-0.08334,-0.00678,-0.01952,-11.25415,32.02534
"17","2021_Q2",14.5250793650794,"Up",387029000,-53828000,333201000,-333092000,-294002000,-18047000,-21043000,109000,-7384000,-6617000,-767000,-7275000,-7275000,9289000,2014000,2014000,-83000,1931000,1931000,777041000,777041000,56915000,56915000,74037000,74037000,907993000,111431000,111431000,1282165000,204626000,891286000,186253000,1393596000,2301589000,189645000,35251000,154394000,57675000,57675000,247320000,705987000,109731000,1315000,108416000,815718000,1063038000,1333814000,11680000,4623000,1223120000,15431000,1238551000,2301589000,2014000,21043000,18248000,-25960000,15345000,-18743000,31257000,-6875000,-4916000,-71106000,-82897000,-36295000,-36295000,384000,-35911000,21152000,705987000,-32840000,0.86092,0.00028,0.00499,0.00156,0.000840000000000001,-17.00673,3.67133,0.85829,0.30674,0.00386,0.00378,0.77303,2.443,-0.06559,0.000939999999999998,-0.01599,-3.35921,-651.87156
"18","2021_Q3",11.49328125,"Down",420988000,-69704000,351284000,-384015000,-346517000,-18752000,-18746000,-32731000,-6450000,-5814000,-636000,-39181000,-39181000,9129000,-30052000,-30052000,-241000,-30293000,-30293000,584260000,584260000,62052000,62052000,67787000,67787000,714099000,111054000,111054000,1281575000,201166000,892616000,187793000,1392629000,2106728000,231859000,53230000,178629000,60053000,60053000,291912000,494195000,106660000,1662000,104998000,600855000,892767000,1338729000,-18613000,5973000,1198371000,15590000,1213961000,2106728000,-30052000,18746000,36914000,18300000,43908000,-16970000,-16220000,-213125000,-721000,-6428000,-220274000,-192586000,-192586000,162000,-192424000,-13985000,494195000,-21784000,0.83443,-0.07775,-0.07196,-0.02495,-0.01438,0.719110000000004,2.44628,0.73542,0.23458,-0.06051,-0.05932,0.84086,2.39357,-0.04351,-0.01669,-0.012,6.44011,2.75167
"19","2021_Q4",10.81859375,"Down",461565000,-99467000,362098000,-377071000,-340841000,-17675000,-18555000,-14973000,-6511000,-6032000,-479000,-21484000,-21484000,4791000,-16693000,-16693000,-302000,-16995000,-16995000,476625000,476625000,98538000,98538000,75818000,75818000,650981000,116825000,116825000,1307232000,198024000,917081000,192127000,1424057000,2075038000,243243000,39491000,203752000,60025000,60025000,303268000,494373000,104067000,1633000,102434000,598440000,901708000,1346070000,-35608000,4933000,1157911000,15419000,1173330000,2075038000,-16693000,18555000,31967000,-67194000,-33365000,-16343000,-41700000,0,-29766000,-2109000,-31875000,-106940000,-106940000,-173000,-107113000,3582000,494373000,-84746000,0.7845,-0.03244,-0.03682,-0.01448,-0.00819,4.98653,2.14655,0.7685,0.23825,-0.0338,-0.0338,0.91788,2.30266,-0.16853,-0.00959,-0.04783,4.95477,-1.18533000000001
"20","2022_Q1",7.29096774193548,"Down",415856000,-102881000,312975000,-341893000,-308102000,-16459000,-17332000,-28918000,-5649000,-5022000,-627000,-34567000,-34567000,8804000,-25763000,-25763000,-258000,-26021000,-26021000,428136000,428136000,84387000,84387000,70548000,70548000,583071000,118267000,125660204.089071,1308803000,193826000,916039000,76245000,1427070000,2010141000,222675000,38860000,183815000,53834000,57487395.609629,276509000,494552000,93553000,1883000,91670000,588105000,864614000,1350979000,-61629000,3309000,1134619000,10908000,1145527000,2010141000,-25763000,17332000,24001000,-35249000,-19679000,-18159000,-18409000,0,3.72529029846191e-09,-10122000,-10122000,-48210000,-48210000,-418000,-48628000,-11586000,494552000,-73798000,0.7526,-0.06954,-0.06257,-0.02272,-0.01294,2.83609,2.10869,0.75477,0.24603,-0.0454,-0.0454,0.72562,1.97978,-0.12877,-0.01501,-0.04257,-5.73244,-2.2967
"21","2022_Q2",4.90854838709677,"Down",436159000,-98998000,337161000,-371118000,-335456000,-17859000,-17803000,-33957000,-5413000,-5022000,-391000,-39370000,-39370000,6083000,-33287000,-33287000,-103000,-33390000,-33390000,391286000,391286000,100043000,100043000,67646000,67646000,558975000,138032000,138032000,1307816000,189819000,913384000,73373000,1445848000,2004823000,251057000,56558000,194499000,55255000,55255000,306312000,494730000,89348000,2269000,87079000,584078000,890390000,1362062000,-95019000,2506000,1103365000,11068000,1114433000,2004823000,-33287000,17803000,29622000,-14873000,-735000,-26816000,-26816000,-951549031.808954,-8144000,-1322000,-9466000,-37017000,-37017000,-205000,-37222000,-16154000,494730000,-63926000,0.77302,-0.07785,-0.07655,-0.02996,-0.01665,1.91453,1.82486,0.79896,0.24677,-0.06416,-0.06416,0.83809,2.12014,-0.12284,-0.01966,-0.03764,-6.40362,-3.04632000000001
"22","2022_Q3",4.40375,"Down",515782000,-127771000,388011000,-408897000,-370785000,-20954000,-17158000,-20886000,-6776000,-5026000,-1750000,-27662000,-27662000,3665000,-23997000,-23997000,-235000,-24232000,-24232000,360950000,360950000,119768000,119768000,81864000,81864000,562582000,156230000,156230000,1298703000,185174000,909964000,68250000,1454933000,2017515000,280662000,41700000,238962000,56940000,56940000,337602000,494913000,85128000,2223000,82905000,580041000,917643000,1374723000,-119251000,-393000,1088895000,10977000,1099872000,2017515000,-23997000,17158000,43394000,-28741000,7814000,-35158000,-35158000,-3487147095.42686,-3.72529029846191e-09,-2191000,-2191000,-29535000,-29535000,-778000,-30313000,-3728000,494913000,-71292000,0.75228,-0.04049,-0.04698,-0.02203,-0.01201,2.94206,1.66641,0.83432,0.24531,-0.04656,-0.04656,0.99109,2.09234,-0.13699,-0.01442,-0.04244,-35.93428,-6.41401
