"","YQ","p","d","revenue","sales_services_revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",8.80984375,"Up",66616000,66616000,-30242000,-6196000,-10537000,-8882000,36374000,-43350000,-43451000,101000,-6976000,0,-6976000,-6976000,-6976000,-6976000,-6976000,210617617.542335,210617617.542335,7190869.93868421,256883438.762915,256883438.762915,489659477.029899,1560856314.25209,117274124.229548,117287164.60552,1678130438.48164,2167789915.51154,241111844.64098,5447697.28592493,236219462.099037,39260039.9934255,27681305.7363422,11578915.4068812,280371884.18068,2188102304.5129,37106659.5172667,6376289.48158965,2225208964.03017,2505580848.21085,136947291.506346,-337790932.699306,-337790932.699306,2167789915.51154,-6976000,10537000,-40491000,47464000,10534000,-2146000,-2128000,-11456000,-11456000,-3050000,-3050000,-3050000,46911000,0,0.54602,-0.10472,0.0737188822942683,-0.0194258449466978,1.89714210566447,-6.0922761302631,0.959388125535797,-0.26408,-0.26408,2.5218,-8.82896376321086,-0.0211722780225431,64.7787146401399,-50.0216865760768
"2","2011_Q1",9.55274193548387,"Up",72124000,72124000,-31415000,-6055000,-10638000,-9885000,40709000,-43360000,-43440000,80000,-2651000,0,-2651000,-2651000,-2651000,-2651000,-2651000,53349000,53349000,1212000,22002000,22002000,78653000,1550465000,114374000,114374000,1664839000,1743492000,18920000,1072000,17848000,33214000,27265000,5949000,52134000,2187724000,39642000,10142000,2227366000,2279500000,-82112000,-536008000,-536008000,1743492000,-2651000,10638000,42390000,-41195000,9182000,-1319000,-1405000,-11456000,-11456000,-3679000,-3679000,-3679000,51347000,2187724000,0.56443,-0.03676,0.00495,-0.00152,1.50867,-4.25274,1.25479,-0.10036,-0.10036,2.73031,-20.29104,-0.00157,41.56767,52.43005
"3","2011_Q2",8.26063492063492,"Down",74450000,74450000,-33323000,-6827000,-10737000,-8277000,41127000,-43336000,-43397000,61000,-2209000,0,-2209000,-2209000,-2209000,-2209000,-2209000,21012627.4858883,21012627.4858883,-379706.64622807,-27924229.5876385,-27924229.5876385,-8717409.00996625,1541374478.58264,113451458.59015,113447111.79816,1654825937.17279,1646108528.16282,-26177198.2136602,-151065.761974976,-26211237.3663457,31558570.0021915,27062064.7545526,4496444.86437294,5381371.93977325,2188379898.4957,40432530.1609111,12009320.1728035,2228812428.65661,2234193800.59638,-135876097.168782,-588085272.433565,-588085272.433565,1646108528.16282,-2209000,10737000,-36774000,33293000,5047000,-1521000,-1561000,-9943000,-9943000,-6457000,-6457000,-6457000,51864000,0,0.55241,-0.02967,-0.00626796076475611,0.0012136149822326,1.37160179811184,-3.80798962324564,1.32287395815473,-0.08362,-0.08362,2.81837,-23.1499745789297,0.00148909267418104,37.52341428662,74.7956846920256
"4","2011_Q3",7.6965625,"Down",73608000,73608000,-36677000,-6389000,-10743000,-7424000,36931000,-43352000,-43399000,47000,-6421000,-448000,-6869000,-6869000,-6869000,-6869000,-6869000,55327000,55327000,437000,22022000,22022000,78153000.0000001,1533799000,114693000,114693000,1648492000,1726645000,22930000,403000,22527000,32514000,27036000,5478000,55444000,2190071000,40088000,12588000,2230159000,2285603000,-97625000,-558958000,-558958000,1726645000,-6869000,10743000,44913000,-32479000,16308000,-3869000,-3944000,-3929000,-3929000,8435000,8435000,8435000,47674000,2190071000,0.50173,-0.09332,0.01229,-0.00398,1.40958,-4.08904,1.2684,-0.26003,-0.26003,2.78649,-21.15983,-0.00411,44.77795,57.80358
"5","2011_Q4",7.80015873015873,"Up",64908000,64908000,-35384000,-5825000,-10765000,-8900000,29524000,-43287000,-43319000,32000,-13763000,-716000,-14479000,-14479000,-14479000,-14479000,-14479000,94498000,94498000,1343000,66346000,66346000,164547000,1524340000,114145000,114145000,1638485000,1803032000,63022000,1120000,61902000,33811000,27131000,6680000,96833000,2191244000,39087000,12587000,2230331000,2327164000,-50998000,-524132000,-524132000,1803032000,-14479000,10765000,-39102000,34095000,-8721000,-1029000,-1636000,49528000,49528000,39171000,39171000,39171000,40289000,2191244000,0.45486,-0.22307,0.02762,-0.00803,1.69929,-4.44003,1.21531,-0.51877,-0.51877,2.32562,-18.77936,-0.00849,52.04264,71.01836
"6","2012_Q1",10.7198387096774,"Up",70922000,70922000,-56419000,-12035000,-25638000,-11770000,14503000,-43419000,-43475000,56000,-28916000,-1087000,-30003000,-30003000,-30003000,-7462000,-7462000,81415000,81415000,473000,26769000,26769000,109510000,1514416000,113374000,113374000,1627790000,1737300000,17985000,704000,17281000,33833000,27317000,6516000,51818000,2192418000,38083000,12583000,2230501000,2282319000,-65822000,-545019000,-545019000,1737300000,-30003000,25638000,53688000,-55117000,-5794000,-974999.999999998,-1307000,-5982000,-5982000.00000001,-13083000,-13083000,-13083000,40141000,2192418000,0.20449,-0.10521,0.01369,-0.0043,2.11336,-4.1876,1.26197,-0.26736,-0.26736,2.5411,-19.52773,-0.00443,52.5897,145.5563
"7","2012_Q2",11.6998412698413,"Up",69323000,69323000,-44432000,-6793000,-10629000,-9110000,24891000,-43387000,-43458000,71000,-18496000,-836000,-19332000,-19332000,-19332000,-19332000,-19332000,59444000,59444000,536000,73139000,73139000,135818000,1504813000,121711000,121711000,1626524000,1762342000,69763000,843000,68920000,34347000,27213000,7134000,104110000,2193592000,39533000,15033000,2233125000,2337235000,-80282000,-574893000,-574893000,1762342000,-19332000,10629000,-43734000,42550000,-9887000,-414000,-1542000,-10542000,-10542000,-21971000,-21971000,-21971000,35520000,2193592000,0.35906,-0.27887,0.03363,-0.01097,1.30456,-4.06551,1.2447,-0.62327,-0.62327,2.235,-18.53477,-0.01166,60.083,85.73975
"8","2012_Q3",12.6249206349206,"Up",61452000,61452000,-54432000,-9579000,-18016000,-11334000,7020000,-43397000,-43458000,61000,-36377000,261000,-36116000,-36116000,-36116000,-24861000,-24861000,170951000,170951000,621000,26394000,26394000,198919000,1540874000,133207000,133207000,1674081000,1.873e+09,47448000,9883000,37565000,34463000,25836000,8627000,81911000,2194765000,38267000,14767000,2233032000,2314943000,-58984000,-441943000,-441943000,1.873e+09,-36116000,18016000,47579000,-37106000,-7627000,-38747000,-42333000,-5200000,161467000,111507000,111507000,111507000,25036000,2194765000,0.11424,-0.40456,0.05625,-0.01327,2.42848,-5.2381,1.17179,-0.79357,-0.79357,1.96157,-14.10697,-0.01388,80.83616,288.29259
"9","2012_Q4",11.0683870967742,"Down",66358000,66358000,-74534000,-41608000,-14490000,-14105000,-8176000,-43481000,-43638000,157000,-51657000,287000,-51370000,-51370000,-51370000,-42422000,-42422000,369100000,369100000,5701000,135131000,135131000,536367000,2414003000,520485000,520485000,2934488000,3470855000,116061000,57567567.8378905,116061000,61470000,27213000,34257000,177531000,2295939000,23897000,-27987000,2319836000,2497367000,387820000,973488000,973488000,3470855000,-51370000,14490000,13174000,26280000,2574000,-837432000,37793000,-1163111000,157782000,198149000,198149000,198149000,6314000,2295939000,-0.12321,-0.63929,-0.04358,-0.01222,3.02126,2.56538,0.66149,-1.26746,-1.26746,1.98261,29.08539,-0.01288,305.16931,-235.67013
"10","2013_Q1",12.777,"Up",67365000,67365000,-52855000,-15417000,-14653000,-20283000,14510000,-40882000,-41092000,210000,-26372000,-42241000,-68613000,-68613000,-68613000,-63521000,-63521000,419292000,419292000,2625000,111206000,111206000,533123000,3219592000,513072000,513072000,3732664000,4265787000,121608000,73760000,47848000,34228000,26540000,7688000,155836000,2167113000,25518000,-22406000,2192631000,2348467000,477908000,1917320000,1917320000,4265787000,-68613000,14363000,91863000,-60414000,-22801000,-242194000,1297000.00000001,-298086000,71696000,50192000,50192000,50192000,28873000,2167113000,0.21539,-0.94294,-0.03313,-0.01489,3.42105,1.22487,0.50802,-1.89785,-1.89785,2.0127,57.28473,-0.01546,60.53479,120.45631
