"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",181.45265625,"Up",348677000,-237720000,110957000,-59378000,-59378000,51579000,-1448000,-1448000,50131000,50131000,-9771000,40360000,40360000,40360000,40360000,230891075.185774,230684771.194057,839965974.26716,839965974.26716,41477465.0358091,-16084644.4733973,-19388814.3650426,1096249870.01535,2597526.51613567,50492755.6901377,7800161.90456894,-21484528.8703909,-10378754.6304897,53143536.8534349,1149393406.86878,490571339.707917,232989807.313748,177915838.730406,50181835.0990539,50181835.0990539,541193213.683758,88774722.7578142,7810607.86228098,7831327.87362977,96585330.6200952,637778544.303853,8.54420708577627e-14,246223772.049417,283235204.941862,-3668308.74738401,511614862.591254,511614862.564927,1149393406.86878,40360000,12017000,-17995000,-53517000,-19135000,-3044000,-6417000,-4607000,-30159000,-30159000,-30159000,63596000,0,16806000,0.31822,0.14793,0.11575,0.533309885275804,0.317034215996968,0.4164,-1.85379670100145,1.40883963210588,0.0319715006308729,14.68117,11.69414,126.83315,192.238898245983,6.11327,0.448572719958016,0.747389635770756,53.2289689814146,379.998194001268
"2","2011_Q1",172.071935483871,"Down",197991000,-132460000,65531000,-54559000,-54559000,10972000,-955000,-899000,10017000,10017000,-1146000,8871000,8871000,8871000,8871000,278553000,278346000,122476000,122476000,43230000,67903000,25275000,512162000,16946000,104298000,25745000,6988000,12643000,121244000,633406000,96505000,35886000,54476000,28378000,28378000,124910000,89458000,6630000,6630000,96088000,220998000,0,302453000,119884000,-4288000,412408000,412408000,633406000,8871000,5848000,23024000,31570000,69313000,-1959000,-3775000,-5785000,59753000,59753000,59753000,16820000,89485000,47577000,0.33098,0.05542,0.04481,0.02151,0.01401,5.36321,4.10025,0.53587,0.14128,3.22687,2.57034,72.0203,150.01564,17.30639,0.01744,0.09356,-11.24067,-17.23186
"3","2011_Q2",182.976031746032,"Up",72323000,-48052000,24271000,-39061000,-39061000,-14790000,-1926000,-1935000,-16716000,-16716000,6141000,-10575000,-10575000,-10575000,-10575000,274228724.938075,274020409.601981,-31650074.7557201,-31650074.7557201,49266428.321397,88774214.8244658,38529854.7883475,380619293.328218,21723157.8279548,116184164.769954,27966612.698477,12222092.956797,19147168.2101632,137889571.048855,518508864.377073,16519053.4306943,2917564.22875075,21133887.0898647,17939554.966982,17939554.966982,34341178.7720806,90140425.7473953,6099464.04590634,6092557.37545674,96239889.7933016,130581068.565382,-2.84806902859209e-14,310819825.983528,82932931.686046,-4439147.08420533,387927795.802915,387927795.811691,518508864.377073,-10575000,3884000,504000,15787000,9600000,-3196000,-8497000,-4982000,-3879000,-3879000,-3879000,-10906000,0,-4456000,0.33559,-0.2045,-0.14622,-0.0876624617586015,-0.0507089053323227,0.42137,5.38858723366715,0.350176789298042,0.166531166456376,-3.88544,-3.88544,26.57273,140.958176418006,-1.63721,-0.0746250733193387,-0.111845711923585,-29.5288346604715,-135.326190500423
"4","2011_Q3",165.52046875,"Down",131930000,-86838000,45092000,-43094000,-43094000,1998000,4089000,-1903000,6087000,6087000,-1847000,4240000,4240000,4240000,4240000,247056000,246846000,109327000,109327000,55257000,76862000,34109000,488502000,20656000,105734000,22539000,6988000,15505000,126390000,614892000,98772000,51537000,37853000,16888000,16888000,115660000,90823000,6076000,6076000,96899000,212559000,0,293109000,113549000,-4325000,402333000,402333000,614892000,4240000,5935000,315999.999999996,-32896000,-22405000,-5411000,-5350000,134000,-27621000,-27621000,-27621000,7933000,90823000,-28527000,0.34179,0.01514,0.03214,0.01054,0.0069,-6.72807,4.2236,0.52832,0.14771,1.5734,1.56481,48.95725,149.29976,-10.58594,0.00848999999999999,-0.05714,-19.69406,-78.19469
"5","2011_Q4",171.959841269841,"Up",332419000,-226749000,105670000,-55602000,-55602000,50068000,-1987000,-1961000,48081000,48081000,-13256000,34825000,34825000,34825000,34825000,232456000,232244000,239680000,239680000,55836000,67501000,27063000,595473000,17580000,94558000,18672000,6988000,8239000,112138000,707611000,167709000,85352000,60641000,26398000,26398000,194107000,91505000,6283000,6283000,97788000,291895000,0,274092000,145783000,-4159000,415716000,415716000,707611000,34825000,10795000,7880000,-43259000,10241000,-2988000,-2806000,-22037000,-14602000,-14602000,-14602000,60863000,91505000,27872000,0.31788,0.15062,0.10476,0.08377,0.04921,0.80034,3.06776,0.70215,0.12932,13.15342,10.57803,125.55484,157.01617,10.52727,0.07286,0.05428,-2.31587,-2.81519
"6","2012_Q1",148.07,"Down",141079000,-122122000,18957000,-54953000,-54953000,-35996000,-1994000,-1985000,-37990000,-37990000,17972000,-20018000,-20018000,-20018000,-20018000,257472000,257258000,103637000,103637000,47019000,89357000,30686000,497485000,16186000,101563000,24061000,24015000,3670000,117749000,615234000,79393000,26430000,50780000,43440000,43440000,122833000,92188000,6622000,6622000,98810000,221643000,5.04870979341448e-29,274558000,123174000,-4141000,393591000,393591000,615234000,-20018000,5317000,-7230000,68754000,46823000,-834000,-19637000,-2172000,25014000,25014000,25014000,-30679000,92188000,19269000,0.13437,-0.25515,-0.14189,-0.05086,-0.03254,-0.96258,4.05009,0.56313,0.14984,-7.58286,-9.84314,53.44104,149.09315,7.29914,-0.03539,0.03913,5.38753,4.59173000000001
"7","2012_Q2",176.005714285714,"Up",73405000,-49839000,23566000,-42976000,-42976000,-19410000,-1782000,-1836000,-21192000,-21192000,5192000,-1.6e+07,-1.6e+07,-1.6e+07,-1.6e+07,254769000,254555000,58403000,58403000,44998000,93135000,34404000,451305000,17545000,102295000,23596000,24725000,3473000,119840000,571145000,67045000,20063000,39215000,29547000,29547000,96592000,92870000,6408000,6408000,99278000,195870000,0,274881000,104587000,-4193000,375275000,375275000,571145000,-1.6e+07,3171000,63000,18907000,6141000,-3216000,-6242000,-2602000,-2703000,-2703000,-2703000,-16239000,92870000,-5740000,0.32104,-0.26442,-0.21797,-0.04264,-0.02801,0.35875,4.67228,0.52194,0.1626,-6.19411,-6.19411,28.41741,145.28086,-2.22214,-0.02826,-0.0121,9.96976,8.34101
"8","2012_Q3",155.593174603175,"Down",145359000,-98466000,46893000,-46786000,-46786000,107000,181000,-1721000,287999.999999996,288000,-73999.9999999981,214000,214000,214000.000000004,214000.000000004,221864000,221648000,121597000,121597000,60798000,91803000,32959000,496062000,18792000,101067000,22050000,24725000,3895000,119859000,615921000,116525000,64342000,44297000,26007000,26007000,142532000,93552000,6381000,6381000,99933000,242465000,4.03896783473158e-28,275362000,102202000,-4108000,373456000,373456000,615921000,214000,5527000,532000.000000002,-31636000,-25363000,-4363000,-4958000,-2586000,-32907000,-32907000,-32907000,5634000,93552000,-30291000,0.3226,0.000740000000000018,0.00147,0.000569999999999987,0.000349999999999996,-141.54673,3.48036,0.64925,0.15189,0.0830599999999997,0.0827199999999984,56.41723,144.94702,-11.75665,0.00593999999999999,-0.06399,-22.77458,-1199.17757
"9","2012_Q4",126.098064516129,"Down",314491000,-217779000,96712000,-59416000,-59416000,37296000,-870000,-1918000,36426000,36426000,-5983000,30443000,30443000,30443000,30443000,140973000,140755000,242635000,242635000,73229000,84727000,26215000,541564000,15130000,174892000,68340000,50771000,4940000,197022000,738586000,198961000,105912000,77061000,31663000,31663000,284034000,94235000,31254000,31254000,125489000,409523000,0,202780000,130458000,-4175000,329063000,329063000,738586000,30443000,13053000,727000,-44280000,-57000,-12232000,-51573000,-29263000,-80893000,-80893000,-80893000,50349000,147645000,-180000,0.30752,0.11859,0.0968,0.09251,0.04122,-0.00591,1.90669,1.24451,0.1999,13.76888,10.5219,142.23926,148.82994,-0.08141,0.06424,-0.00035,0.13252,0.17889
"10","2013_Q1",120.0205,"Down",133507000,-102741000,30766000,-61981000,-61981000,-31215000,-2956000,-3082000,-34171000,-34171000,-85286000,-119457000,-119457000,-119457000,-119457000,189539000,189321000,105455000,105455000,59690000,51372000,20306000,406056000,15826000,125943000,69362000,48836000,4584000,148769000,554825000,114392000,37793000,63677000,34373000,34373000,219475000,94918000,33212000,23032000,128130000,347605000,0,202599000,8836000.00000001,-4215000,207220000,207220000,554825000,-119457000,2877000,82417000,77739000,43576000,-1255000,-9971000,14961000,48566000,48566000,48566000,-28338000,165628000,133432000,0.23044,-0.23381,-0.89476,-0.57647,-0.21531,-1.11698999999999,1.85012,1.67747,0.29852,-53.94067,-78.49717,60.28493,93.56994,60.25106,-0.28885,0.3286,0.843780000000003,0.766010000000141
