"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",18.5461904761905,"Up",966741000,-857362000,109379000,-88941000,-78880000,-10061000,-10602434.2781054,20438000,-3357000,-3357000,17081000,17081000,-6491000,10590000,10590000,10590000,10590000,614192000,438281000,175911000,128600000,22462000,15051000,765254000,77879000,292235000,210605000,81630000,425694000,1190948000,413006000,86033000,326973000,11321000,11321000,424327000,185521000,27274000,16073000,212795000,637122000,130298000,425212000,-1684000,553826000,553826000,1190948000,10590000,10061000,7029000,-53905000,-26225000,-5976000,-5976000,3528000,-230000,-5108000,113000,113000,-31220000,-31220000,-31220000,30499000,185521000,-22891000,0.11314,0.02114,0.01095,0.01912,0.00889,-2.16157,1.80345,1.1504,0.15578,0.27477,0.27203,25.08344,14.36979,-0.59394,3,0.01381,-0.02986,-14.05525,-20.97421
"2","2010_Q3",18.3484375,"Down",999338000,-874608000,124730000,-103552000,-78079000,-11219000,-14254000,21178000,-4099000,-4099000,17079000,17079000,-6500000,10579000,10579000,10579000,10579000,636197000,460985000,175212000,155380000,29726000,23843000,821303000,83562000,419794000,326229000,93565000,540101000,1361404000,456622000,111022000,345600000,19305000,19305000,475927000,291686000,25937000,16862000,317623000,793550000,134102000,435791000,-2039000,567854000,567854000,1361404000,10579000,13851000,1610000,26048000,52088000,-11547000,-11547000,20980000,-11785000,-134322000,-1605000,104938000,22704000,22704000,22704000,35029000,291686000,56030000.0000001,0.12481,0.02119,0.01059,0.01863,0.00777,5.29634,1.72569,1.39745,0.21425,0.274489999999996,0.271749999999996,25.9292199999978,14.7337600000003,1.45378000000003,5,0.01195,0.06328,-9.83502,-16.2674
"3","2010_Q4",17.56546875,"Down",1039146000,-880974000,158172000,-128219000,-88660000,-11954000,-27605000,29953000,-4600000,-4600000,25353000,25353000,-9180000,16173000,16173000,16173000,16173000,621813000,426455000,195358000,225547000,35520000,25185000,882880000,91826000,436430000,328531000,107899000,548550000,1431430000,472439000,117299000,355140000,37648000,37648000,510087000,187834000,35777000,19004000,223611000,733698000,247875000,451964000,-2107000,697732000,697732000,1431430000,16173000,16573000,8830000,-57954000,-16378000,-14395000,-14395000,-2958000,-14774000,-24958000,241000,6806000,-34530000,-34530000,-34530000,46526000,187834000,-16643000,0.15221,0.02882,0.01556,0.02318,0.0113,-1.02906,1.73084,1.05155,0.13122,0.38307,0.37831,24.61323,16.52649,-0.39421,6,0.01755,-0.01806,-9.32767,-14.48867
"4","2011_Q1",22.3954838709677,"Up",1080752000,-897688000,183064000,-149632000,-100374000,-12470000,-36788000,33432000,-3453000,-3453000,29979000,29979000,-12351000,17628000,17628000,17628000,17628000,751261000,455886000,295375000,168190000,40766000,25050000,960217000,100537000,428011000,317728000,110283000,548997000,1509214000,505462000,137930000,354356000,60086000,60086000,565548000,188663000,35946000,19711000,224609000,790157000,251657000,469592000,-2192000,719057000,719057000,1509214000,17628000,20280000,-7277000,121281000,151912000,-16620000,-16620000,-101315000,-2988000,-124435000,-125000,1953999.99999999,29431000,29431000,29431000,53712000,188663000,170724000,0.16939,0.03093,0.01631,0.02452,0.01168,9.68482,1.69785,1.09888,0.12501,428.13426,423.43446,26248.40919,17463.86069,4146.40307,8,0.01868,0.18092,-10.47434,-16.82813
"5","2011_Q2",26.8407936507936,"Up",1119706000,-950082000,169624000,-138324000,-94436000,-12667000,-31221000,31300000,-3603000,-3603000,27697000,27697000,-10309000,17388000,17388000,17388000,17388000,801306000,463792000,337514000,170418000,44003000,28608000,1015727000,107757000,439483000,310532000,128951000,567427000,1583154000,472825000,113697000,351382000,143273000,143273000,616098000,189509000,37042000,19580000,226551000,842649000,255834000,486980000,-2309000,740505000,740505000,1583154000,17388000,18094000,9170000,39471000,84123000,-14941000,-14941000,-43709000,-17852000,-79755000,1076000,3538000,7906000,7906000,7906000,49394000,189509000,84233000,0.15149,0.02795,0.01553,0.02348,0.01098,4.84432,1.64865,1.13794,0.1197,0.38142,0.3759,24.56142,16.24342,1.8477,7,0.01798,0.0871,-12.38606,-19.54623
"6","2011_Q3",20.25921875,"Down",1167104000,-987068000,180036000,-148626000,-96921000,-12490000,-39215000,31410000,-3683000,-3683000,27727000,27727000,-10287000,17440000,17440000,17440000,17440000,815813000,459213000,356600000,172674000,39669000,23246000,1028156000,117836000,435471000,303721000,131750000,572265000,1600421000,480223000,133005000,341613000,128599000,128599000,608822000,190800000,34942000,20474000,225742000,834564000,263034000,504420000,-1597000,765857000,765857000,1600421000,17440000,16508000,3522000,-6695000.00000001,30775000,-15925000,-15925000,-18504000,-4593000,-39022000,490000,3668000,-4579000,-4579000,-4579000,47918000,190800000,35585000,0.15426,0.02691,0.01494,0.02277,0.0109,2.04042,1.68876,1.08971,0.11922,0.379970000000023,0.374840000000005,25.4282100000037,16.6860599999975,0.775310000000186,7,0.01759,0.03589,-13.04339,-19.89854
"7","2011_Q4",19.8495238095238,"Down",1176722000,-995532000,181190000,-147624000,-99610000,-13430000,-34584000,33566000,-4380000,-4380000,29186000,29186000,-10236000,18950000,18950000,18950000,18950000,812394000,487492000,324902000,180039000,42162000,22285000,1034595000,127657000,437940000,296979000,140961000,583709000,1618304000,502743000,141688000,361055000,101701000,101701000,604444000,191805000,40235000,17287000,232040000,836484000,260212000,523370000,-1762000,781820000,781820000,1618304000,18950000,17812000,19946000,-16443000,40265000,-15055000,-15055000,30417000,-19247000,-3885000,-1101000,-8101000,28279000,28279000,28279000,51378000,191805000,30116000,0.15398,0.02853,0.0161,0.02424,0.01171,1.58923,1.71165,1.06992,0.11852,0.41563,0.41001,25.80927,17.14781,0.66054,6,0.01869,0.0297,-12.07889,-18.48862
"8","2012_Q1",31.4574193548387,"Up",1076731000,-886068000,190663000,-151118000,-102485000,-9666000,-38967000,39545000,-3853000,-3853000,35692000,35692000,-12082000,23610000,-32960000,-32960000,-32960000,830743000,493827000,336916000,167898000,49441000,19435000,1048082000,190934000,396996000,255750000,141246000,604064000,1652146000,549690000,147214000,402476000,50947000,50947000,601834000,240330000,54909000,21782000,295239000,897073000,266068000,490410000,-1405000,755073000,755073000,1652146000,-32960000,21969000,76007000,5216000,70232000,-14660000,-14660000,-11505000,-7100000,-114265000,61000,50368000,6335000,6335000,6335000,61514000,241527000,64152000,0.17708,0.03673,-0.03061,-0.04365,-0.01995,-1.94636,1.74148,1.18806,0.14619,-0.717379999999995,-0.705810000000003,23.4352199999999,16.43428,1.39627999999999,4,-0.03135,0.06101,-9.57857,-14.89989
"9","2012_Q2",25.4226984126984,"Down",1373587000,-1173174000,200413000,-166993000,-121474000,-15025000,-30494000,33420000,-4298000,-4298000,29122000,29122000,-11033000,18089000,18089000,18089000,18089000,875704000,517723000,357981000,222254000,54055000,24715000,1152013000,198564000,373298000,247178000,126120000,587991000,1740004000,580482000,124649000,455833000,95490000,95490000,677090000,228150000,59452000,22243000,287602000,964692000,267922000,508499000,-1109000,775312000,775312000,1740004000,18089000,18339000,14733000,-586000,50575000,-13505000,-13505000,-22432000,-15943000,-42718000,3592000,16039000,23896000,23896000,23896000,51759000,229268000,48701000,0.1459,0.02433,0.01317,0.02333,0.0104,2.6923,1.70142,1.24426,0.13176,0.39326,0.3858,29.86189,16.85534,1.05876,5,0.017,0.04577,-12.48934,-19.34279
"10","2012_Q3",24.6963492063492,"Down",1422512000,-1302830000,119682000,-166220000,-119574000,-16033000,-30613000,-46538000,-4894000,-3808000,-51432000,-51432000,20180000,-31252000,-37306000,-37306000,-37306000,1072002000,727092000,344910000,161007000,88027000,29780000,1321036000,206489000,376842000,241490000,135352000,596432000,1917468000,661603000,136065000,525538000,176373000,176373000,839106000,269338000,63014000,22301000,332352000,1171458000,275602000,471193000,-785000,746010000,746010000,1917468000,-37306000,19671000,199000,202844000,185408000,-19796000,-19796000,14856000,-13649000,-18589000,85000.0000000009,42550000,209369000,209369000,209369000,-26867000,270468000,136001000,0.08413,-0.03272,-0.02623,-0.05001,-0.01946,-3.64555,1.57434,1.5703,0.14105,-0.80481,-0.82054,30.68801,16.09376,2.93396,4,-0.03456,0.12599,29.8334,17.22322
