"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",9.36064516129032,"Up",181632000,-126438000,55194000,-32619000,-24576000,-8043000,22575000,923000,261000,662000,23498000,-235000,23263000,527000,25167000,25167000,25035000,25035000,108834000,59823000,49011000,92273000,92273000,115787000,10437000,10437000,327331000,63669000,65339000,61885000,11123000,48138000,2624000,190893000,518224000,92086000,65734000,1040000,25312000,16069000,4365000,11704000,108155000,20717000,5466000,5466000,15251000,20717000,128872000,1803910000,-200956000,-1233649000,19510000,388815000,389352000,518224000,25167000,4391000,625000,-20193000,9990000,-1564000,-4697000,768233986.254413,-6261000,-5852507.80205984,636000,4365000,4365000,471000,4836000,26966000,0,4682000,0.30388,0.12429,0.13783,0.0643,0.04831,0.18702,3.0265,0.33099,0,0.39254,0.39011,2.84792,6.09648,0.07341,0.0890891442731062,0.06105,0.01142,-28.6906689515049,-4.03597,-4.821
"2","2011_Q4",7.7584126984127,"Up",186136000,-129166000,56970000,-34701000,-24676000,-10025000,22269000,1408000,340000,1068000,23677000,44912000,68589000,-3300000,67628000,67628000,67622000,67622000,124528000,58833000,65695000,76701000,76701000,107654000,11641000,10348000,320524000,68596000,115902000,131598000,44314000,84727000,2557000,316096000,636620000,73935000,40199000,4015000,29721000,21804000,14073000,7731000,95739000,22283000,7161000,7161000,15122000,22283000,118022000,1810084000,-200956000,-1110599000,19480000,518009000,518598000,636620000,67628000,4024000,-45130000,1779000,28301000,3384000,-33503000,72283000,45191999.9999999,-5362835.93401995,-9.31322574615479e-10,73493000,73493000,294000,73786999.9999999,26293000,0,34756000,0.30607,0.11964,0.36329,0.13039,0.10622,0.51397,3.34789,0.22758,0,1.0457,1.03681,2.87838,8.01041,0.53746,0.0824863814243687,0.12502,0.06426,-8.3886863171683,-4.73617,-5.59199
"3","2012_Q1",9.24661290322581,"Up",130951000,-83893000,47058000,-39624000,-28143000,-11481000,7434000,638000,241000,397000,8072000,-479000,7593000,3369000,12720000,12720000,12692000,12692000,124528000,58833000,65695000,76701000,76701000,107654000,11641000,10348000,320524000,68596000,116240000,131598000,44314000,84727000,2557000,316434000,636958000,73935000,40199000,4015000,29721000,21804000,14073000,7731000,95739000,22283000,7161000,7161000,15122000,22283000,118022000,1810084000,-200956000,-1108105000,17324000,518347000,518936000,636958000,12720000,4913000,242000,2556000,20431000,-6664000,554000,-82343000.0000001,-88805000,-5180000,-4503000,-72877000,-72877000,-1405000,-74282000,12347000,0,4870000,0.35936,0.05677,0.09692,0.02446,0.01993,0.38371,3.34789,0.22743,0,0.19601,0.1947,2.02232,8.00499,0.07521,0.08,0.03302,0.009,0.40813,-10.08569,-16.75114
"4","2012_Q2",8.4563492063492,"Down",120228000,-79871000,40357000,-38691000,-26742000,-11949000,1666000,618000,272000,346000,2284000,-203000,2081000,-3e+05,2831000,2831000.00000001,2823000,2823000,138791302.537877,74509509.8890726,64281792.6488047,77183976.3421242,77183976.3421242,105862551.132189,12040155.2667671,10021074.5119821,333877985.278958,67800142.104981,98776637.0596144,137030335.916513,43047435.0305786,84911338.3576305,2083510.88898684,303607115.081109,637485100.360067,73106830.7323159,42866370.992153,3122949.43445851,27117510.3057044,19477581.3650081,11935582.5167848,7541989.27350594,92584433.6794443,20974633.1014553,6782416.03195612,6782416.03195612,14191814.6564771,20974821.2742535,113559254.953698,1812015652.42683,-200956000,-1105710720.52097,17980195.857773,523329127.763634,523925845.406369,637485100.360067,2831000.00000001,5268000,1347000,-4337000,5109000,-2063000,969999.999999996,-8716000,-9379000,-5185000,-5185000,-9455000.00000001,-9455000.00000001,-165000,-9619999.99999999,6934000,-7.105427357601e-15,834000,0.33567,0.01386,0.02348,0.01097372437971,0.0098206946015609,0.29543,3.61704348229444,0.218958065610506,2.76362805075709e-07,0.04356,0.0432299999999999,1.85503,8.0693720955223,0.01287,0.08,0.0225172116490022,-0.016372951506471,1.8367,-10.0231232950832,-14.8143868768309
"5","2012_Q3",7.01634920634921,"Down",139337000,-91055000,48282000,-36799000,-24270000,-12529000,11483000,222000,273000,-51000,11705000,-3068000,8637000,659000,9726000,9726000,9721000,9721000,152212000,81155000,71057000,80492000,80492000,105065000,10868000,10051000,348637000,66676000,85983000,135380000,43881000,88440000,3059000,288039000,636676000,75470000,46048000,3273000,26149000,17996000,10595000,7401000,93466000,20928000,7209000,7209000,13719000,20928000,114394000,1814646000,-200956000,-1108720000,16710000,521680000,522282000,636676000,9726000,5353000,3294000,-1785000,16588000,-2321000,21903000,0,19628000,-5257000,-4415000,31801000,31801000,141000,31942000,16836000,0,12071000,0.34651,0.08241,0.06977,0.01861,0.01527,1.24174,3.73009,0.21903,0,0.14947,0.14767,2.14239,8.02116,0.1856,0.08083,0.02757,0.02222,0.54079,-9.04086,-13.25542
"6","2012_Q4",6.21403225806452,"Down",140437000,-94197000,46240000,-37035000,-25344000,-11691000,9205000,489000,287000,202000,9694000,-880000,8814000,-985000,8025000,8024999.99999999,8028000,8028000,149170000,61564000,87606000,87297000,87297000,106819000,11158000,10396000,354444000,65024000,90283000,135572000,41111000,88440000,6021000,290879000,645323000,80215000,46606000,4317000,29292000,18910000,10789000,8121000,99125000,20650000,7161000,7161000,13489000,20650000,119775000,1815911000,-200956000,-1103435000,13429000,524949000,525548000,645323000,8024999.99999999,5538000,2328000,-5014000,10877000,-1980000,-22680000,0,-24605000,-5277000,-5278000,-19006000,-19006000,-585000,-19591000,14743000,1.13686837721616e-13,8733999.99999999,0.32926,0.06555,0.0571600000000001,0.01528,0.01244,1.08794,3.57573,0.2279,0,0.12301,0.12183,2.15183,8.04347,0.13383,0.08086,0.02436,0.01599,0.65732,-10.11802,-16.20532
"7","2013_Q1",8.03716666666667,"Up",88981000,-64407000,24574000,-39107000,-21622000,-8548000,-14533000,530000,367000,163000,-14003000,-2028000,-16031000,126827000,111253000,116253000,116217000,116217000,140285000,54639000,85646000,78855000,78855000,102985000,25364000,9070000,347489000,64478000,91374000,238619000,39400000,88440000,6153000,394471000,741960000,61778000,28988000,1699000,31091000,19413000,9986000,9427000,81191000,11468000,1688000,1688000,9780000,11468000,92659000,1818504000,-200956000,-992524000,23642000,648666000,649301000,741960000,116253000,5461000,-111316000,-6934000,3464000,-2289000,-3891000,-5e+05,-6681000,-5234000,-4370000,-7587000,-7587000,662000,-6925000,-9072000,0,-145122000,0.27617,-0.16333,1.30609,0.17899,0.15664,-1.24872,4.2799,0.14271,-4.2351647362715e-22,1.77707,1.76469,1.36061,9.91874,-2.21906,0.08003,0.1838,-0.21963,0.04504,15.46351,9.65286
"8","2013_Q2",8.2821875,"Up",98025000,-68867000,29158000,-37465000,-25947000,-11518000,-8307000,181000,274000,-93000,-8126000,-4757000,-12883000,3670000.00000001,-9219000,-9219000,-9236000,-9236000,102993000,54923000,48070000,63832000,63832000,105123000,28781000,9879000,300729000,65006000,69433000,289661000,67439000,114043000,7044000,424100000,724829000,52763000,21199000,891000,30673000,21444000,8927000,12517000,74207000,13333000,1415000,1415000,11918000,13333000,87540000,1820200000,-200956000,-1007027000,24420000,636637000,637289000,724829000,-9219000,6441000,-1323000,9213000,5112000,-641000,57454000,-56033000,779999.999999998,-5311000,-5997000,-105000,-105000,389000,284000.000000004,-1866000,0,3036000.00000003,0.29745,-0.08474,-0.0942199999999997,-0.01449,-0.01274,-0.328710000000001,4.05257,0.13736,0,-0.14086,-0.14086,1.49504,9.70972,0.0463,0.081,-0.00603,0.00467,-0.575030000000001,55.19453,12.39834
"9","2013_Q3",8.10625,"Down",102963000,-72757000,30206000,-34096000,-23377000,-10719000,-3890000,342000,265000,77000,-3548000,-684000,-4232000,-111000,-4353000,-511000,-538000,-538000,106363000,60121000,46242000,73545000,73545000,96601000,30233000,11773000,306742000,58874000,67636000,288510000,64576000,114893000,9490000,415020000,721762000,57595000,28658000,390000,28547000,23918000,13613000,10305000,81513000,12974000,1411000,1411000,11563000,12974000,94487000,1822901000,-200956000,-1012861000,17512000,626596000,627275000,721762000,-511000,6002000,3560000,2581000,11632000,1431000,1455000,-2971999.99999999,677000,-5361000,-5782000,6527000,6527000,-1329000,5198000,2112000,0,6235000,0.29337,-0.03778,-0.00523,-0.000859999999999996,-0.000749999999999999,-11.58922,3.76311,0.15063,1.35525271560688e-20,-0.00817,-0.00817,1.56277,9.51045,0.09463,0.08137,0.00752999999999999,0.00974000000000002,-9.96468,-50.36127,27.34267
"10","2013_Q4",8.43953125,"Up",110771000,-74696000,36075000,-33382000,-21988000,-11394000,2693000,642000,255000,387000,3335000,-560000,2775000,1538000,4549000,1568000,1544000,1544000,103087000,61888000,41199000,86286000,86286000,92800000,29179000,12454000,311352000,55417000,71221000,282440000,61821000,114893000,9658000,409078000,720430000,58288000,31162000,198000,26928000,25768000,16262000,9506000,84056000,12542000,1441000,1441000,11101000,12542000,96598000,1823330000,-200956000,-1016676000,17431000,623129000,623832000,720430000,1568000,5815000,4238000,1272000,12893000,-331000,-3908000,0,-4239000,-5315000,-6373000,2281000,2281000,-514000,1767000,8508000,0,7911000,0.32567,0.02431,0.01394,0.00248,0.00214,5.1237,3.7041,0.15485,0,0.02338,0.02315,1.67731,9.43549,0.11979,0.08048,0.01078,0.01243,3.44236,-12.11648,-38.27961
