"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",30.9674603174603,"Up",844673000,-663441000,181232000,-113792000,-6659000,-48012000,-59121000,67440000,-6494000,-6494000,60946000,60946000,-23464000,37482000,37482000,37482000,37482000,-368763638.752633,-368763638.752633,219001292.146054,219001292.146054,219095127.931444,145910421.50319,1498860914.09966,2260324335.85717,-761463421.757513,18616001.5764014,18616001.5764014,1517476915.67606,1663387337.17925,215969762.807502,-23444938.1037328,239414700.911235,591397636.272171,95243832.729245,520610077.156353,498105481.137824,22504596.0185286,615853909.885598,1207251546.15777,456135791.02148,1663387337.17925,37482000,48012000,14510000,-13329000,86675000,-47673000,-68000,-47741000,-15271000,-24977000,393000,865000,-38990000,-56000,-56000,-56000,115452000,0,77914000,0.21456,0.07984,0.04437,0.159322484600031,0.0454084075917957,2.0787,0.117027149847315,2.55612783696943,0.29220565820794,0.29448,0.28745,6.63623,0.61214,0.11998,0.0629535526099764,-0.168957328904765,0.40742,5.14941918294977,7.05008933356625
"2","2010_Q3",30.58171875,"Down",942776000,-732207000,210569000,-119222000,-8822000,-49148000,-61252000,91347000,-6611000,-6611000,84736000,84736000,-32624000,52112000,52112000,52112000,52112000,7714000,7714000,363669000,363669000,52188000,423571000,1457660000,2242480000,-784820000,19710000,19710000,1477370000,1900941000,316731000,196730000,120001000,527847000,417100000,384935000,346870000,38065000,802035000,1329882000,571059000,1900941000,52112000,49148000,-2358000,23253000,122155000,-56272000,16000,-56256000,-14982000,74748000,-129224000,3486000,-65972000,-73000,-73000,-73000,140495000,617100000,140100000,0.22335,0.09689,0.05528,0.09126,0.02741,2.68844,0.80245,2.3288,0.32463,0.41462,0.40422,7.50104,1.11468,0.1192,0.04265,0.08906,0.2875,4.33742,6.67111
"3","2010_Q4",33.3271875,"Up",986024000,-768666000,217358000,-125868000,-13147000,-49808000,-62913000,91490000,-6662000,-6662000,84828000,84828000,-32658000,52170000,52170000,52170000,52170000,68560000,68560000,371120000,371120000,46585000,486265000,1450032000,2277087000,-827055000,19712000,19712000,1469744000,1956009000,314108000,218703000,95405000,525216000,449164000,387171000,346056000,41115000,836335000,1361551000,594458000,1956009000,52170000,49808000,3156000,16273000,121407000,-41415000,3000,-41412000,-14852000,32257000,-41120000,4566000,-19149000,60846000,60846000,60846000,141298000,649164000,148814000,0.22044,0.09279,0.05291,0.08776,0.02667,2.85248,0.92584,2.29041,0.33188,0.42281,0.41272,7.99112,1.20605,0.12037,0.0411,0.09125,0.28468,4.10907,6.34609
"4","2011_Q1",37.5359677419355,"Up",1020012000,-801618000,218394000,-121046000,-8389000,-50094000,-62563000,97348000,-8164000,-8164000,89184000,89184000,-31331000,57853000,57853000,57853000,57853000,7651000,7651000,351187000,351187000,86471000,462645000,1479484000,2338336000,-858852000,19531000,19531000,1499015000,1961660000,301084000,192103000,108981000,509949000,454207000,424483000,385003000,39480000,878690000,1388639000,573021000,1961660000,57853000,50094000,44646000,-54752000,97841000,-80572000,-35000,-80607000,-14805000,7564000,-74139000,3237000,-78143000,-60909000,-60909000,-60909000,147442000,654207000,43449000,0.21411,0.09544,0.05672,0.10096,0.02949,0.75102,0.90724,2.42336,0.3335,0.47231,0.46154,8.32731,0.35471,0.12087,0.04399,0.02631,0.25591,4.38515,6.6417
"5","2011_Q2",40.8480952380952,"Up",1000780000,-794707000,206073000,-116250000,-6880000,-51357000,-58013000,89823000,-8434000,-8434000,81389000,81389000,-31294000,50095000,50095000,50095000,50095000,5393000,5393000,402922000,402922000,67252000,475567000,1545125000,2402559000,-857434000,19680000,19680000,1564805000,2040372000,360400000,249730000,110670000,424977000,649249000,406880000,366457000,40423000,1056129000,1481106000,559266000,2040372000,50095000,51357000,-10694000,45825000,136583000,-112346000,-12000,-112358000,-15752000,42870000,-54306000,705000,-26483000,-2258000,-2258000,-2258000,141180000,698249000,105953000,0.20591,0.08975,0.05006,0.08957,0.02455,2.11504,1.11904,2.6483,0.34222,0.41408,0.4041,8.27228,0.87579,0.1302,0.03956,0.06366,0.31444,4.90761,7.71357
"6","2011_Q3",37.431875,"Down",1149855000,-912425000,237430000,-123987000,-7516000,-52551000,-63920000,113443000,-6707000,-6707000,106736000,106736000,-41040000,65696000,65696000,65696000,65696000,11149000,11149000,440755000,440755000,56247000,508151000,1593250000,2479869000,-886619000,19460000,19460000,1612710000,2120861000,408772000,270961000,137811000,446134000,649292000,427096000,384554000,42542000,1076388000,1522522000,598339000,2120861000,65696000,52551000,30247000,22596000,171090000,-98617000,98000,-98519000,-15641000,-33062000,-26110000,7998000,-66815000,5756000.00000001,5756000.00000001,5756000.00000001,165994000,664292000,131013000,0.20649,0.09866,0.05713,0.1098,0.03098,1.99423,1.13901,2.54458,0.31322,0.54639,0.53288,9.56324,1.08962,0.13008,0.04814,0.07754,0.23808,3.93474,5.75746
"7","2011_Q4",38.3503174603175,"Up",1171270000,-926269000,245001000,-126321000,-6115000,-54404000,-65802000,118680000,-7145000,-7145000,111535000,111535000,-42885000,68650000,68650000,68650000,68650000,7747000,7747000,424634000,424634000,45009000,477390000,1656384000,2567669000,-911285000,28882000,28882000,1685266000,2162656000,414853000,275673000,139180000,487215000,718034000,459776000,413483000,46293000,1177810000,1665025000,497631000,2162656000,68650000,54404000,30254000,27228000,180536000,-113303000,264000,-113039000,-15658000,103664000,-163672000,4767000,-70899000,-3402000,-3402000,-3402000,173084000,768034000,129894000,0.20918,0.10133,0.05861,0.13795,0.03174,1.89212,0.97983,3.3459,0.35513,0.5787,0.56677,9.87355,1.09498,0.13199,0.04886,0.07528,0.22808,4.39259,6.40619
"8","2012_Q1",45.8329032258065,"Up",1204937000,-954960000,249977000,-127690000,-8389000,-55631000,-63670000,122287000,-6214000,-6214000,116073000,116073000,-43508000,72565000,72565000,72565000,72565000,5450000,5450000,411479000,411479000,75681000,513542000,1726870000,2658143000,-931273000,26920000,26920000,1753790000,2267332000,388515000,251625000,136890000,438515000,699177000,562097000,516715000,45382000,1261274000,1699789000,567543000,2267332000,72565000,55631000,80636000,-61349000,147483000,-121603000,-10000,-121613000,-15192000,-16511000,9147000.00000003,-5611000,-28167000,-2297000,-2297000,-2297000,177918000,749177000,38474000,0.20746,0.10149,0.06022,0.12786,0.032,0.5302,1.17109,2.995,0.33042,0.62134,0.6082,10.3173,0.32943,0.13008,0.04671,0.02048,0.20936,4.18017,6.08182
"9","2012_Q2",50.6525396825397,"Up",1165922000,-926715000,239207000,-122610000,-3995000,-56120000,-62495000,116597000,-6987000,-6987000,109610000,109610000,-41926000,67684000,67684000,67684000,67684000,5713000,5713000,447706000,447706000,82667000,536086000,1760514000,2713194000,-952680000,26262000,26262000,1786776000,2322862000,443420000,301636000,141784000,543420000,602119000,547027000,500039000,46988000,1149146000,1692566000,630296000,2322862000,67684000,56120000,-9148000,31616000,146272000,-83782000,16000,-83766000,-16386000,-49211000,1218000,2136000,-62243000,263000,263000,263000,172717000,702119000,162477000,0.20517,0.1,0.05805,0.10738,0.02914,2.40052,0.9865,2.68535,0.30226,0.57841,0.56521,9.9637,1.38849,0.14003,0.04473,0.08645,0.2421,4.03206,5.97276
"10","2012_Q3",49.3060317460317,"Down",1255130000,-985673000,269457000,-132242000,-6355000,-56227000,-69660000,137215000,-6929000,-6929000,130286000,130286000,-49834000,80452000,80452000,80452000,80452000,5887000,5887000,472077000,472077000,62461000,540425000,1795790000,2777107000,-981317000,29061000,29061000,1824851000,2365276000,424361000,298587000,125774000,524361000,579462000,548180000,498457000,49723000,1127642000,1652003000,713273000,2365276000,80452000,56227000,2643000,-25015000,114307000,-87098000,8000,-87090000,-16394000,-21280000,3854999.99999999,6776000,-27043000,174000,174000,174000,193442000,679462000,131163000,0.21468,0.10932,0.0641,0.11279,0.03401,1.63033,1.03064,2.31609,0.28727,0.6863,0.67028,10.70693,1.11889,0.13985,0.0499,0.06758,0.20377,3.48205,4.9089
"11","2012_Q4",52.6933870967742,"Up",1295792000,-1021654000,274138000,-141085000,-9368000,-57773000,-73944000,133053000,-6347000,-6347000,126706000,126706000,-48465000,78241000,78241000,78241000,78241000,5659000,5659000,504252000,504252000,53346000,563257000,1848453000,2862385000,-1013932000,26632000,26632000,1875085000,2438342000,448675000,328757000,119918000,548675000,544904000,563573000,516724000,46849000,1108477000,1657152000,781190000,2438342000,78241000,57773000,21923000,-1177000,156760000,-108157000,-394000,-108551000,-16545000,-32521000,-8747000,9376000,-48437000,-228000,-228000,-228000,190826000,644904000,129957000,0.21156,0.10268,0.06038,0.10016,0.03209,1.66098,1.02658,2.12132,0.26448,0.66232,0.65049,10.96911,1.10011,0.14006,0.04764,0.06532,0.21146,3.34988,4.80444
"12","2013_Q1",61.6998333333333,"Up",1338136000,-1054993000,283143000,-139808000,-7513000,-59046000,-73249000,143335000,-5296000,-5296000,138039000,138039000,-54062000,83977000,83977000,83977000,83977000,5589000,5589000,466011000,466011000,59867000,554532000,1885474000,2904706000,-1019232000,24635000,24635000,1910109000,2464641000,402010000,266722000,135288000,502760000,585347000,584674000,531624000,53050000,1170021000,1672781000,791860000,2464641000,83977000,59046000,18247000,-30565000,130705000,-90642000,455000,-90187000,-34106000,40453000,-35086000,-11849000,-40588000,-70000,-70000,-70000,202381000,685347000,135236000,0.2116,0.10712,0.06276,0.10605,0.03407,1.61039,1.10298,2.11247,0.27807,0.71219,0.69963,11.34841,1.1469,0.28924,0.05727,0.06559,0.40614,3.3588,4.74244
"13","2013_Q2",65.9453125,"Up",1291587000,-1024817000,266770000,-141731000,-10985000,-60730000,-70016000,125039000,-6256000,-6256000,118783000,118783000,-45434000,73349000,73349000,73349000,73349000,5747000,5747000,529333000,529333000,80118000,615198000,1941426000,2982697000,-1041271000,29495000,29495000,1970921000,2586119000,526471000,374968000,151503000,727221000,393289000,589837000,536022000,53815000,983126000,1710347000,875772000,2586119000,73349000,60730000,12228000,60452000,206759000,-115058000,-12000,-115070000,-29995301.1035893,-92957000,406000,1020000,-91531000,158000,158000,158000,185769000,593289000,176597000,0.20654,0.09681,0.05679,0.08375,0.02836,2.40763,0.84596,1.95296,0.22941,0.62397,0.61213,10.98727,1.50228,0.255206371938641,0.03563,0.08577,0.346866682868338,3.16276,4.69887
"14","2013_Q3",68.0421875,"Up",1382857000,-1086327000,296530000,-149123000,-12424000,-62283000,-74416000,147407000,-6229000,-6229000,141178000,141178000,-53482000,87696000,87696000,87696000,87696000,5923000,5923000,579643000,579643000,65996000,651562000,1976226000,3053616000,-1077390000,28528000,28528000,2004754000,2656316000,498356000,364195000,134161000,699106000,474132000,580839000,528151000,52688000,1054971000,1754077000,902239000,2656316000,87696000,62283000,834000.000000002,-64001000,86812000,-96634000,10999.9999999999,-96623000,-17555000,80057000,-58921000,6406000,9986999.99999999,176000,176000,176000,209690000,674132000,102537000,0.21443,0.1066,0.06342,0.0972,0.03301,1.16923,0.93199,1.94414,0.25378,0.74865,0.73403,11.80527,0.87534,0.14986,0.04879,0.04753,0.20018,3.18665,4.53309
"15","2013_Q4",68.33328125,"Up",1435851000,-1128353000,307498000,-156769000,-10172000,-64291000,-82306000,150729000,-5835000,-5835000,144894000,144894000,-55421000,89473000,89473000,89473000,89473000,5968000,5968000,584914000,584914000,57150000,648032000,2037386000,3150319000,-1112933000,27016000,27016000,2064402000,2712434000,439588000,304799000,134789000,690338000,437474000,604145000,547422000,56723000,1041619000,1731957000,980477000,2712434000,89473000,64291000,21713000,-57820000,117657000,-121932000,-34000,-121966000,-17671000,21214000,2564000,-1753000,4354000,45000,45000,45000,215020000,687474000,90689000,0.21416,0.10498,0.06231,0.09125,0.03299,1.01359,0.93872,1.76644,0.25345,0.76003,0.74963,12.19686,0.77036,0.15011,0.04716,0.03991,0.1975,3.1695,4.5214
"16","2014_Q1",67.7573770491803,"Down",1474276000,-1160210000,314066000,-160533000,-11888000,-66076000,-82569000,153533000,-4820000,-4820000,148713000,148713000,-56849000,91864000,91864000,91864000,91864000,5831000,5831000,568519000,568519000,79605000,680203000,2112204000,3259814000,-1147610000,26997000,26997000,2139201000,2819404000,459811000,305465000,154346000,712296000,458417000,636239000,577965000,58274000,1094656000,1806952000,1012452000,2819404000,91864000,66076000,40321000,-35138000,163123000,-108880000,-2000,-108882000,-17585000,14262000,-49369000,-1686000,-54378000,-137000.000000007,-137000.000000007,-137000.000000007,219609000,708417000,132440000,0.21303,0.10414,0.06231,0.09073,0.03258,1.4417,0.95494,1.78473,0.25126,0.78261,0.77221,12.55975,1.12829,0.14981,0.04643,0.05619,0.19142,3.19926,4.57612
"17","2014_Q2",69.7949206349206,"Up",1406908000,-1129758000,277150000,-159843000,-9925000,-68967000,-80951000,117307000,-6380000,-6380000,110927000,110927000,-42263000,68664000,68664000,68664000,68664000,124212000,124212000,635111000,635111000,82745000,842068000,2236101000,3399270000,-1163169000,37556000,37556000,2273657000,3115725000,560319000,371235000,189084000,662804000,752207000,632589000,572679000,59910000,1384796000,2047600000,1068125000,3115725000,68664000,68967000,1994000,19420000,159045000,-158212000,464571.75125234,-158212000,-23450000,140510000,267000,221000,117548000,118381000,118381000,118381000,186274000,852207000,89745000,0.19699,0.08338,0.0488,0.06428,0.02204,1.30702,1.27046,1.917,0.27352,0.58562,0.57728,11.99922,0.76542,0.2,0.03608,0.03515,0.34152,3.90819,6.2059
"18","2014_Q3",69.97890625,"Up",1547866000,-1212501000,335365000,-176135000,-11545000,-71726000,-92864000,159230000,-8330000,-8330000,150900000,150900000,-57493000,93407000,93407000,93407000,93407000,5870000,5870000,667620000,667620000,65735000,739225000,2316545000,3488606000,-1172061000,35589000,35589000,2352134000,3091359000,512149000,338063000,174086000,514634000,874028000,621580000,560293000,61287000,1495608000,2010242000,1081117000,3091359000,93407000,71726000,-5962000,-17215000,141956000,-194640000,8999.99999999977,-194631000,-23297000,23590000,-70656000,4696000,-65667000,-118342000,-118342000,-118342000,230956000,874028000,76594000,0.21666,0.10287,0.06035,0.0864,0.03022,0.82,1.43641,1.85941,0.28273,0.79996,0.78797,13.25636,0.65597,0.19952,0.04529,0.02973,0.24941,3.75898,5.45223
"19","2014_Q4",73.6453125,"Up",1601156000,-1244702000,356454000,-184354000,-15055000,-75416000,-93883000,172100000,-6648000,-6648000,165452000,165452000,-63037000,102415000,102415000,102415000,102415000,5859000,5859000,671298000,671298000,60521000,737678000,2385106000,3584953000,-1199847000,36134000,36134000,2421240000,3158918000,526505000,352645000,173860000,790292000,587074000,621733000,556349000,65384000,1208807000,1999099000,1159819000,3158918000,102415000,75416000,14362000,-6829000,185364000,-126373000,12000,-126361000,-23420000,-27992000,2459000,-10061000,-59014000,-11000,-11000,-11000,247516000,837074000,177351000,0.22262,0.10748,0.06396,0.0883,0.03242,1.73169,0.93342,1.72363,0.26499,0.87497,0.8663,13.67925,1.51517,0.20009,0.04805,0.06773,0.22868,3.35823,4.82984
"20","2015_Q1",77.6103278688525,"Up",1609511000,-1242638000,366873000,-183968000,-14071000,-78387000,-91510000,182905000,-5583000,-5583000,177322000,177322000,-67016000,110306000,110306000,110306000,110306000,5961000,5961000,653795000,653795000,174003000,861499000,2482532000,3719757000,-1237225000,34455000,34455000,2516987000,3378486000,521070000,325838000,195232000,771070000,683539000,719354000,659793000,59561000,1402893000,2173963000,1204523000,3378486000,110306000,78387000,97940000,-126219000,160414000,-180485000,8000.00000000093,-180477000,-23437000,94978000,-49746000,-1630000,20165000,102000,102000,102000,261292000,933539000,21604000,0.22794,0.11364,0.06853,0.09158,0.03265,0.19586,1.11728,1.80483,0.27632,0.9433,0.9342,13.76403,0.18475,0.20043,0.04681,0.00756,0.21247,3.54997,5.07136
"21","2015_Q2",80.8446031746032,"Up",1440180000,-1106008000,334172000,-178952000,-13933000,-81378000,-83641000,155220000,-6703000,-6703000,148517000,148517000,-56585000,91932000,91932000,91932000,91932000,5646000,5646000,631172000,631172000,166694000,803512000,2552863000,3801192000,-1248329000,72622000,72622000,2625485000,3428997000,512331000,328111000,184220000,762331000,628203000,761083000,700518000,60565000,1389286000,2151617000,1277380000,3428997000,91932000,81378000,31419000,50814000,255543000,-141344000,-2e+07,-161344000,-24468000,-65309000,-5291000,555000,-94513000,-314000,-314000,-314000,236598000,878203000,202653000,0.23203,0.10778,0.06383,0.07197,0.02681,2.20438,1.05402,1.6844,0.25611,0.78872,0.78041,12.35591,1.73865,0.20992,0.03991,0.06948,0.26615,3.68793,5.62142
"22","2015_Q3",73.86625,"Down",1539957000,-1164017000,375940000,-202205000,-27673000,-83660000,-90872000,173735000,-6661000,-6661000,167074000,167074000,-63655000,103419000,103419000,103419000,103419000,5586000,5586000,665241000,665241000,115803000,786630000,2626104000,3881077000,-1254973000,72616000,72616000,2698720000,3485350000,526605000,341520000,185085000,776605000,643202000,726338000,667141000,59197000,1369540000,2146145000,1339205000,3485350000,103419000,83660000,-21858000,32773000,197994000,-157902000,-97000,-157999000,-24477000,12106000,-27873000,188000,-40056000,-61000,-61000,-61000,257395000,893202000,195921000,0.24412,0.11282,0.06716,0.07722,0.02967,1.89444,1.01291,1.60255,0.25627,0.88795,0.87784,13.22192,1.68216,0.21016,0.04323,0.06622,0.23668,3.44846,5.10902
"23","2015_Q4",70.32046875,"Down",1586494000,-1198555000,387939000,-194093000,-14865000,-86201000,-93027000,193846000,-7838000,-7838000,186008000,186008000,-70869000,115139000,115139000,115139000,115139000,5542000,5542000,671398000,671398000,91231000,768171000,2670509000,3957722000,-1287213000,80584000,80584000,2751093000,3519264000,544048000,355671000,188377000,544048000,993353000,732676000,673030000,59646000,1726029000,2270077000,1249187000,3519264000,115139000,86201000,10797000,31286000,243423000,-131414000,2000,-131412000,-24350000,99417000,-176562000,-10560000,-112055000,-44000,-44000,-44000,280047000,993353000,250788000,0.24453,0.12219,0.07257,0.09217,0.03272,2.17813,1.41195,1.81724,0.28226,0.99725,0.99017,13.74111,2.17215,0.2109,0.04688,0.08429,0.21148,3.5273,5.09585
