"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"34","2018_Q3",116.917142857143,"Down",2139027000,-1654033000,484994000,-270181000,-37304000,-107423000,-125454000,214813000,-9856000,-9856000,204957000,204957000,-53305000,151652000,151652000,151652000,151652000,15191000,15191000,1019622000,1019622000,272608000,1307421000,3142387000,4924684000,-1782297000,139435000,139435000,3281822000,4589243000,650023000,551715000,98308000,1158537000,755575000,641769000,552866000,88903000,1397344000,2555881000,2033362000,4589243000,151652000,107423000,25193000,-16853000,267415000,-175086000,-994000,-176080000,-26242000,-7907999.99999999,-49175000,99000,-83226000,8109000,8109000,8109000,322236000,1005011000,183602000,0.22674,0.10043,0.0709,0.07458,0.03305,1.21068,1.12851,1.25697,0.21899,1.3856,1.37016,19.5436,1.67751,0.23976,0.04834,0.04989,0.17304,3.07172,4.60782
"35","2018_Q4",101.999682539683,"Down",2209760000,-1738712000,471048000,-296360000,-42448000,-108801000,-145111000,174688000,-9961000,-9961000,164727000,164727000,-33617000,131110000,131110000,131110000,131110000,7587000,7587000,1095638000,1095638000,239257000,1342482000,3241507000,5064126000,-1822619000,137682000,137682000,3379189000,4721671000,684844000,569453000,115391000,1212660000,820864000,607569000,518428000,89141000,1428433000,2641093000,2080578000,4721671000,131110000,108801000,-21273000,29932000,248570000,-230846000,15000,-230831000,-26202000,69734000,-68875000,-14711728.1180225,-25343000,-7604000,-7604000,-7604000,283489000,1069544000,116192000,0.21317,0.07905,0.05933,0.06302,0.02777,0.88622,1.10706,1.2694,0.22652,1.20005,1.18937,20.2259,1.0635,0.23983,0.04186,0.03092,0.19985,3.74603,6.07916
"36","2019_Q1",100.025245901639,"Down",2317842000,-1903981000,413861000,-291122000,-51192000,-114086000,-125844000,122739000,-11234000,-11234000,111505000,111505000,-22824000,88681000,88681000,88681000,88681000,7600000,7600000,1051698000,1051698000,421706000,1502981000,3445111000,5329243000,-1884132000,143555000,38398000,3588666000,5091647000,826503000,709736000,116767000,1352348000,898398000,739517000,643461000,96056000,1637915000,2990263000,2101384000,5091647000,88681000,114086000,138884000,-31413000,310238000,-300508000,-10000,-300518000,-26209000,68353000,-32288000,-19563000,-9707000.00000001,13000,13000,13000,236825000,1149104000,-72272000,0.17855,0.05295,0.03826,0.0422,0.01742,-0.81497,1.11139,1.423,0.22568,0.81327,0.80669,21.25622,-0.66278,0.24035,0.02879,-0.01811,0.29554,4.82003,9.30026
"37","2019_Q2",91.2849206349206,"Down",2089627000,-1628340000,461287000,-293492000,-45038000,-119930000,-128524000,167795000,-13033000,-13033000,154762000,154762000,-35161000,119601000,119601000,119601000,119601000,52363000,52363000,1002483000,1002483000,383313000,1438159000,3539738000,5453569000,-1913831000,349385000,152445000,3889123000,5327282000,998239000,594704000,403535000,998239000,1284550000,840729000,668490000,172239000,2125279000,3123518000,2203764000,5327282000,119601000,119930000,49337000,-38127000,250741000,-212146000,-15000,-310704000,-28272000,135518000,-139405457.84974,-2520000,104726000,44763000,44763000,44763000,287725000,1284550000,72613000,0.22075,0.0803,0.05724,0.05427,0.02245,0.60713,1.4407,1.41736,0.24113,1.09998,1.09061,19.2185,0.66783,0.26002,0.03416,0.01677,0.23639,4.28252,7.34341
"38","2019_Q3",99.8971875,"Up",2261647000,-1739599000,522048000,-328955000,-46540000,-123994000,-158421000,193093000,-14763000,-14763000,178330000,178330000,-44697000,133633000,133633000,133633000,133633000,6875000,6875000,1040153000,1040153000,337336000,1384364000,3678085000,5635867000,-1957782000,358290000,164887000,4036375000,5420739000,1061522000,640324000,421198000,1061522000,1372143000,851718000,676062000,175656000,2223861000,3285383000,2135356000,5420739000,133633000,123994000,34840000,63453000,355920000,-263185000,-30000,-263215000,-28006000,78581000,-189734000,966000,-138193000,-45488000,-45488000,-45488000,317087000,1372143000,162052000,0.23083,0.08538,0.05909,0.06258,0.02465,1.21266,1.30413,1.53856,0.25313,1.24449,1.23316,21.06209,1.50915,0.26081,0.03708,0.03717,0.20957,4.30566,7.07052
"39","2019_Q4",111.676875,"Up",2363660000,-1866013000,497647000,-329785000,-49076000,-126804000,-153905000,167862000,-12357000,-12357000,155505000,155505000,-37095000,118410000,118410000,118410000,118410000,75132000,75132000,1051027000,1051027000,257297000,1383456000,3650362000,5615289000,-1964927000,352519000,162656000,4002881000,5386337000,1075024000,654959000,420065000,1075024000,1293312000,824472000,644105000,180367000,2117784000,3192808000,2193529000,5386337000,118410000,126804000,-3563000,89283000,330934000,-111276000,-32000,-110997000,-27809000,-77593000,-35946000,-10332000,-151680000,68257000,68257000,68257000,294666000,1293312000,309768000,0.21054,0.07102,0.0501,0.05398,0.02198,2.61606,1.28691,1.45556,0.24011,1.10954,1.09968,22.14824,2.90262,0.26058,0.03392,0.07185,0.23485,4.1341,7.25703
"40","2020_Q1",101.341451612903,"Down",2450324000,-1925906000,524418000,-319343000,-384392000,-128417000,193466000,205075000,-12777000,-12777000,192298000,192298000,-47622000,144676000,144676000,144676000,144676000,3.5e+07,3.5e+07,1011829000,1011829000,413364000,1481299000,3620866000,5640806000,-2019940000,368689000,165857000,3989555000,5470854000,1035766000,602601000,433165000,1035766000,1295740000,872319000,699078000,173241000,2168059000,3203825000,2267029000,5470854000,144676000,128417000,80901000,-193242000,160752000,-101590000,-34000,-119046000,-27730000,508000,-49977000,-4639000,-81838000,-40132000,-40132000,-40132000,333492000,1295740000,86282000,0.21402,0.08369,0.05904,0.06382,0.02644,0.59638,1.43015,1.41323,0.23684,1.35864,1.34556,23.01076,0.81027,0.26041,0.03887,0.01945,0.19167,3.78042,6.1477
"41","2020_Q2",105.243650793651,"Up",2280826000,-1811523000,469303000,-314562000,-130763000,-130095000,-53704000,154741000,-12036000,-12036000,142705000,142705000,-37871000,104834000,104834000,104834000,104834000,48454000,48454000,978280000,978280000,371235000,1397969000,3618300000,5682573000,-2064273000,363773000,164336000,3982073000,5380042000,909376000,497649000,411727000,909376000,1302756000,885492000,714548000,170944000,2188248000,3097624000,2282418000,5380042000,104834000,130095000,46416000,-32182000,249163000,-128736000,28000,-128708000,-28688000,507000,-75193000,-3627000,-107001000,13454000,13454000,13454000,284836000,1302756000,161789000,0.20576,0.06784,0.04596,0.04593,0.01949,1.54329,1.53728,1.35717,0.24215,0.98914,0.98022,21.52027,1.52653,0.27068,0.02987,0.03619,0.27365,4.40359,8.10582
"42","2020_Q3",130.32375,"Up",2145572000,-1663894000,481678000,-306495000,-123730000,-130298000,-52467000,175183000,-12818000,-12818000,162365000,162365000,-40667000,121698000,121698000,121698000,121698000,274654000,274654000,950636000,950636000,319407000,1544697000,3626396000,5730544000,-2104148000,382539000,186497000,4008935000,5553632000,970682000,513517000,457165000,970682000,1307019000,885088000,699698000,185390000,2192107000,3162789000,2390843000,5553632000,121698000,130298000,14265000,124526000,390787000,-135878000,60000,-135818000,-28487000,506000,0,-788000.000000001,-28769000,226200000,226200000,226200000,305481000,1307019000,334796000,0.2245,0.08165,0.05672,0.0509,0.02191,2.75104,1.59135,1.32288,0.23534,1.15348,1.14185,20.33621,3.17327,0.27001,0.03277,0.07305,0.23408,3.37947,5.89307
"43","2020_Q4",130.07265625,"Down",2472523000,-1978845000,493678000,-318175000,122839000,-132393000,-308621000,175503000,-11895000,-11895000,163608000,163608000,-38112000,125496000,125496000,125496000,125496000,318549000,318549000,1121825000,1121825000,288224000,1728598000,3682404000,5842114000,-2159710000,368060000,175412000,4050464000,5779062000,1095423000,603523000,491900000,1095423000,1303353000,892862000,711301000,181561000,2196215000,3291638000,2487424000,5779062000,125496000,132393000,36565000,-23410000,271044000,-184107000,-39000,-184146000,-28533000,505000,0,-14975000,-43003000,43895000,43895000,43895000,307896000,1303353000,138491000,0.19967,0.07098,0.05076,0.05045,0.02172,1.10355,1.57802,1.32331,0.22553,1.18782,1.17508,23.40252,1.31082,0.27007,0.03289,0.02957,0.22736,3.1985,5.61132
"44","2021_Q1",147.953770491803,"Up",2737652000,-2205060000,532592000,-324900000,-382779000,-134589000,192468000,207692000,-10345000,-10345000,197347000,197347000,-43340000,154007000,154007000,154007000,154007000,313302000,313302000,1124403000,1124403000,380608000,1842117000,3688894000,5908710000,-2219816000,397337000,185215000,4086231000,5928348000,1084803000,587510000,497293000,1084803000,1305424000,937983000,692022000,245961000,2243407000,3328210000,2600138000,5928348000,154007000,134589000,6770000,-83501000,211865000,-152048000,-101000,-164285000,-28526000,506000,-17355000,-7452000,-52827000,-5247000.00000003,-5247000.00000003,-5247000.00000003,342281000,1305424000,150072000,0.19454,0.07587,0.05626,0.05923,0.02598,0.97445,1.69811,1.28001,0.2202,1.4576,1.44288,25.9105,1.42036,0.26998,0.03769,0.03098,0.18523,2.89856,4.77689
"45","2021_Q2",166.266984126984,"Up",2618149000,-2085373000,532776000,-325124000,-44891000,-137545000,-142688000,207652000,-12024000,-12024000,195628000,195628000,-49022000,146606000,146606000,146606000,146606000,552970000,552970000,1219162000,1219162000,359867000,2131999000,3650921000,5953231000,-2302310000,379686000,171287000,4030607000,6162606000,1166400000,641887000,524513000,1166400000,1301430000,972710000,723018000,249692000,2274140000,3440540000,2722066000,6162606000,146606000,137545000,59406000,21101000,364658000,-85854000,4000,-85850000,-29597000,505000,-5239000,-4809000,-39140000,239668000,239668000,239668000,345197000,1301430000,329466000,0.20349,0.07931,0.056,0.05386,0.02379,2.24729,1.82785,1.26394,0.21118,1.38729,1.37251,24.77478,3.11764,0.28007,0.03527,0.06594,0.20188,2.16821,3.6044
"46","2021_Q3",168.26078125,"Up",2908370000,-2330543000,577827000,-336281000,-47504999.9999999,-139371000,-149405000,241546000,-12060000,-12060000,229486000,229486000,-57324000,172162000,172162000,172162000,172162000,570918000,570918000,1293924000,1293924000,344457000,2209299000,3717728000,6108195000,-2390467000,396367000,191481000,4114095000,6323394000,1228355000,674856000,553499000,1228355000,1303467000,992544000,728968000,263576000,2296011000,3524366000,2799028000,6323394000,172162000,139371000,36775000,-44218000,304090000,-174857000,-92000,-174949000,-31704000,506000,-81341000,1346000,-111193000,17948000,17948000,17948000,380917000,1303467000,219166000,0.19868,0.08305,0.0592,0.06151,0.02723,1.27302,1.79858,1.25914,0.20613,1.62912,1.61176,27.52105,2.0739,0.30001,0.04001,0.04302,0.18415,1.92312,3.03275
"47","2021_Q4",190.021875,"Up",3144812000,-2518085000,626727000,-352898000,-50266000,-138923000,-163709000,273829000,-11977000,-11977000,261852000,261852000,-62023000,199829000,199829000,199829000,199829000,529595000,529595000,1442948000,1442948000,292604000,2265147000,3854584000,6350141000,-2495557000,393459000,191753000,4248043000,6513190000,1289872000,749071000,540801000,1644627000,944887000,1001448000,730588000,270860000,1946335000,3590962000,2922228000,6513190000,199829000,138923000,32273000,-69924000,301101000,-250364000,9000,-250355000,-31590000,505000,-50337000,-10647000,-92069000,-41323000,-41323000,-41323000,412752000,1299642000,154487000,0.19929,0.08707,0.06354,0.06838,0.03068,0.7731,1.3773,1.22884,0.19954,1.89498,1.87302,29.82221,1.465,0.29957,0.0443,0.02958,0.15809,1.86564,2.81215
"48","2022_Q1",197.338548387097,"Up",3496971000,-2807389000,689582000,-367079000,-422248000,-141254000,196423000,322503000,-9697000,-9697000,312806000,312806000,-70597000,242209000,242209000,242209000,242209000,355549000,355549000,1506619000,1506619000,451201000,2313369000,4067655000,6680316000,-2612661000,413324000,222231000,4480979000,6794348000,1373628000,772736000,600892000,1729600000,945257000,1001675000,745442000,256233000,1946932000,3676532000,3117816000,6794348000,242209000,141254000,47148000,-176562000,254049000,-365943000,79000,-365864000,-31551000,-1516000,-14803000,-14361000,-62231000,-174046000,-174046000,-174046000,463757000,1301229000,-8150999.99999997,0.19719,0.09222,0.06926,0.07769,0.03565,-0.0336500000000001,1.33752,1.1792,0.19152,2.32848,2.30272,33.61826,-0.07836,0.30332,0.0505,-0.0015,0.13026,2.03917,2.93231
"49","2022_Q2",167.942096774194,"Down",3488588000,-2790397000,698191000,-363897000,-37447000,-148763000,-177687000,334294000,-12586000,-12586000,321708000,321708000,-78383000,243325000,243325000,243325000,243325000,144529000,144529000,1745647000,1745647000,379621000,2269797000,4234266000,6950327000,-2716061000,527878000,286245000,4762144000,7031941000,1433516000,854879000,578637000,1784730000,945628000,1048041000,753727000,294314000,1993669000,3778399000,3253542000,7031941000,243325000,148763000,28625000,-128928000,291785000,-289126000,-158977.141948168,-376065000,-41940000,-7670629.4193207,-75018000,-9782000,-126740000,-211020000,-211020000,-211020000,483057000,1296842000,143386000,0.20014,0.09583,0.06975,0.07479,0.0346,0.58928,1.27179,1.16132,0.18442,2.32218,2.2939,33.29345,1.36841,0.40026,0.05095,0.02561,0.17236,2.38546,3.447
"50","2022_Q3",173.64953125,"Up",3837532000,-3028284000,809248000,-456165000,-59762000.0000001,-157571000,-238832000,353083000,-12843000,-12843000,340240000,340240000,-84899000,255341000,255341000,255341000,255341000,123841000,123841000,1776773000,1776773000,381304000,2281918000,4447695000,7294079000,-2846384000,522949000,286460000,4970644000,7252562000,1520110000,886617000,633493000,1870065000,945999000,1111634000,810631000,301003000,2057633000,3927698000,3324864000,7252562000,255341000,157571000,94547000,-14717000,492742000,-308968000,-932931.425844503,-308968000,-41734000,-19976888.2579621,-164322000,1594000,-204462000,-20688000,-20688000,-20688000,510654000,1295954000,271868000,0.21088,0.09201,0.06654,0.0768,0.03521,1.06473,1.22023,1.18131,0.17869,2.44927,2.42289,36.81015,2.6078,0.40032,0.05182,0.04743,0.16344,2.29532,3.31965
