"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",12.21890625,"Down",124918000,-78762000,46156000,-35927000,-35927000,10229000,-2090000,-2090000,8139000,8139000,-2390000,836000,6585000,6585000,6585000,6585000,-2280983.81413455,-2280983.81413455,260256369.607117,260256369.607117,151776085.0161,9805424.4371951,4193399.82522589,419556895.246277,35471641.4172233,-506360.577450782,2700697.50211193,3006164.16507441,34965280.8397726,454522176.086049,140040509.344156,55001822.410843,77074759.3894223,71477431.8102614,125819111.683658,193874213.952602,11849868.2612697,-2102259.34296916,13952127.6042389,205724082.213872,331543193.89753,125122175.232001,19330637.2262517,-21473830.2697337,122978982.188519,122978982.188519,454522176.086049,6585000,2518000,164000,-30501000,-21234000,-1060000,-1060000,0,23813000,23572000,1278000,1278000,1278000,12747000,0,-16424000,0.36949,0.08189,0.05271,0.423394934635949,0.182848492920771,-2.49415,2.34117945944432,2.57331134439746,0.430143549037043,0.54711,0.53208,10.3787,10.5066773503505,-1.36457,0,0.227736550626654,-0.306478937056651,0,-19.5393666868152,-41.4180422861888
"2","2011_Q1",11.1145161290323,"Down",142628000,-88118000,54510000,-40005000,-40005000,14505000,-2188000,-2188000,12317000,12317000,-1600000,734000,11451000,13928000,13928000,13928000,3351000,3351000,72795000,72795000,99935000,5048000,5048000,181129000,36093000,60364000,30818000,4354000,96457000,277586000,56412000,19414000,31962000,4100000,60512000,73557000,15911000,1429000,14482000,89468000,149980000,131471000,1312000,-5177000,127606000,127606000,277586000,13928000,2292000,-4554000,28548000,40214000,-483000,-483000,0,-38610000,-38544000,1187000,1187000,1187000,16797000,77657000,46462000,0.38218,0.1017,0.09765,0.10915,0.05018,3.33587,2.99327,1.17534,0.27976,1.1572,1.1254,11.85012,10.60203,3.86025,0,0.06297,0.21007,0,4.42377,5.12279
"3","2011_Q2",11.3006349206349,"Up",91773000,-58383000,33390000,-33413000,-33413000,-23000,-1979000,-1979000,-2002000,-2002000,588000,465000,-949000,-949000,-949000,-949000,3830911.27137818,3830911.27137818,26959210.1309611,26959210.1309611,93774304.9946334,3894025.18760163,5064700.05825804,128458451.584574,35524869.5275922,72632203.5258169,35906350.8326294,4700278.61164186,108157073.053409,236615524.637984,33280996.8852812,12615809.1963856,18419496.8701926,-20998715.9051307,38713129.4387806,52006595.3491326,16659377.2462434,2094753.11432305,14564624.1319204,68665972.595376,107379102.034157,133238108.256,-2704962.40875058,-1296723.24342212,129236422.603827,129236422.603827,236615524.637984,-949000,1995000,496000,-5200000,-3658000,-1047000,-1047000,-163305.288291357,2873000,2888000,-1817000,-1817000,-1817000,1972000,0,-4863000,0.36383,-0.00025,-0.01034,0.0022866884546837,0.0036538356930762,5.12434,3.60893768018523,0.841525385200846,0.256598816987652,-0.07885,-0.07668,7.62488,10.6750567165498,-0.40404,0.013516968209175,0.00533614979111521,0.227292979018884,0.108501048959783,13.0266897289384,20.7978115953963
"4","2011_Q3",9.224375,"Down",90371000,-56325000,34046000,-29695000,-29695000,4351000,-2039000,-2039000,2312000,2312000,-1108000,859000,2063000,2063000,2063000,2063000,1940000,1940000,58924000,58924000,110506000,4729000,4729000,176099000,34458000,61805000,30504000,4469000,96263000,272362000,44364000,20807000,23375000,-17728715.9051307,44364000,81375000,16019000,1603000,14416000,97394000,141758000,132910000,1823000,-4129000,130604000,130604000,272362000,2063000,2020000,533000,-3217000,1399000,-1019000,-1019000,-302000,322000,26000.0000000037,406000,406000,406000,6371000,81375000,3243000,0.37674,0.04815,0.02283,0.0158,0.00757000000000002,1.57198,3.96941,1.0854,0.29878,0.17095,0.16511,7.48848,10.82234,0.268730000000001,0.02502,0.01037,0.01422,0.14639,12.46822,18.25672
"5","2011_Q4",9.95619047619048,"Up",124663000,-80424000,44239000,-33941000,-33941000,10298000,-1789000,-1789000,8509000,8509000,-2089000,1113000,7533000,7533000,7533000,7533000,760000,760000,96162000,96162000,123158000,5697000,4647000,225777000,33858000,59092000,30358000,4160000,92950000,318727000,59974000,27198000,32776000,7.45058059692383e-09,59974000,106745000,16557000,2189000,14368000,123302000,183276000,133602000,9356000,-7507000,135451000,135451000,318727000,7533000,2046000,221000,-34667000,-24867000,-1300000,-1300000,-302000,25276000,24987000,-1180000,-1180000,-1180000,12344000,106745000,-21534000,0.35487,0.08261,0.06043,0.05561,0.02363,-2.85862,3.76458,1.35308,0.33491,0.62313,0.60259,10.3121,11.20448,-1.78129,0.02498,0.03028,-0.08322,0.04009,8.58595,10.2918
"6","2012_Q1",10.2337096774194,"Up",137611000,-86926000,50685000,-40727000,-40727000,9958000,-1951000,-1951000,8007000,8007000,-3513000,925000,5419000,5419000,5419000,5419000,2972000,2972000,77749000,77749000,110337000,5264000,5264000,196322000,34324000,88099000,46937000,4172000,122423000,318745000,54962000,18985000,33877000,1.5e+07,69962000,82625000,19983000,5385000,14598000,102608000,172570000,137591000,14465000,-5881000,146175000,146175000,318745000,5419000,2336000,-1248000,32806000,39313000,-1562000,-27269000,-309000,-9124000.00000001,-10003000,2041000,2041000,2212000,12294000,97625000,47051000,0.36832,0.07236,0.03938,0.03707,0.017,8.6826,2.80612,1.18057,0.30628,0.44104,0.42923,11.19972,11.89672,3.82933,0.02515,0.02171,0.17837,0.05702,7.69912,9.50522
"7","2012_Q2",9.9752380952381,"Down",109041000,-68581000,40460000,-37228000,-37228000,3232000,-1698000,-1698000,1534000,1534000,-588000,398000,1344000,1344000,1344000,1344000,4867000,4867000,72902000,72902000,113653000,5613000,5286000,197035000,33025000,89227000,46537000,3742000,122252000,319287000,53166000,23534000,29562000,1.5e+07,68166000,81545000,19877000,5427000,14450000,101422000,169588000,138310000,15189000,-3800000,149699000,149699000,319287000,1344000,2207000,275000,-529000,3297000,-475000,-475000,-311000,-1080000,-1369000,1453000,1453000,1895000,5439000,96545000,5023000,0.37105,0.02964,0.01233,0.00898,0.00421,3.73735,2.89052,1.13286,0.30238,0.10811,0.10529,8.77099,12.04143,0.40404,0.02502,0.00622,0.01887,0.2314,16.85567,28.36572
"8","2012_Q3",10.7290476190476,"Up",94939000,-59565000,35374000,-33221000,-33221000,2153000,-1675000,-1675000,478000,130000,-94000,523000,559000,559000,559000,559000,2779000,2779000,56755000,56755000,121093000,5980000,5476000,186607000,32602000,87154000,46137000,3179000,119756000,306363000,43250000,20845000,22405000,34939907.5907554,43250000,93376000,21409000,5479000,15930000,114785000,158035000,139255000,15435000,-6362000,148328000,148328000,306363000,559000,2262000,1019000,-151000.000000004,3689000,-1555000,-1555000,-311000,-3169000,-3289000,-1155000,-1155000,-2088000,4415000,93376000,2803000,0.3726,0.02268,0.00589,0.00377,0.00182,5.01431,4.31461,1.06544,0.30479,0.04483,0.04375,7.61461,11.8967,0.22482,0.02494,0.00331,0.0106499999999999,0.55635,20.52027,42.07942
"9","2012_Q4",9.40903225806452,"Down",128050000,-83141000,44909000,-36429000,-36429000,8480000,-1271000,-1271000,7209000,5125000,-1930000,695000,3890000,3890000,3890000,3890000,1749000,1749000,91269000,91269000,128954000,6052000,6052000,228024000,32002000,87241000,44668000,2904000,119243000,347267000,63824000,27133000,35349000,41326000,105150000,67338000,21028000,4821000,16207000,88366000,193516000,140101000,19013000,-5363000,153751000,153751000,347267000,3890000,2409000,1381000,-22527000,-14847000,-1326000,-1326000,-313000,15288000,15142000,-1031000,-1031000,-1030000,10889000,108664000,-11034000,0.35071,0.06622,0.03038,0.0253,0.0112,-2.8365,2.16856,1.25863,0.31291,0.31006,0.30395,10.20644,12.25498,-0.87948,0.02495,0.01483,-0.03893,0.08046,9.81862,12.6079
"10","2013_Q1",9.53033333333333,"Up",154812000,-98767000,56045000,-41506000,-41506000,14539000,-1254000,-1254000,13285000,13285000,-2596000,4465000,15154000,15154000,15154000,15154000,1871000,1871000,97369000,97369000,104584000,5393000,5393000,209217000,31646000,107934000,57842000,2865000,139580000,348797000,55524000,18555000,33354000,11375000,66899000,84593000,25075000,3510000,21565000,109668000,176567000,142617000,33849000,-4236000,172230000,172230000,348797000,15154000,2446000,-5354000,18312000,30558000,-1572000,-18837000,-314000,-12696000,-12663000,-942000,-942000,122000,16985000,95968000,36321000,0.36202,0.09391,0.09789,0.08799,0.04345,2.39679,3.12736,1.02518,0.27514,1.20289,1.17473,12.28862,13.67122,2.88308,0.02492,0.05274,0.12385,0.02072,5.54001,6.47204000000005
