"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q4",11.8985714285714,"Down",450002000,-296055000,153947000,-81648000,-80140000,-1508000,72299000,-1706000,-1706000,70593000,70593000,-27870000,42723000,42723000,42723000,42723000,16586000,16586000,297101000,297101000,208507000,6540000,6540000,528734000,19020000,57740000,62254839.8914523,26100000,18793000,2175000,92175000,620909000,154381000,85638000,68743000,321120000,14129000,8024000,6105000,14129000,335249000,147063000,-970000,139610000,-43000,285660000,285660000,620909000,42723000,1508000,1055000,-122697000,-77411000,-3817000,-3817000,89328000,984000,91669000,10441000,10441000,-2000,10439000,73807000,166739000,-24837000,0.3421,0.16066,0.09494,0.14956,0.06881,-0.58135,1.64653,1.17359,0.26854,1.07647,1.05829,11.33849,7.19764,-0.62581,0.09158,-0.05324,2.0344,2.07683
"2","2012_Q1",12.5235483870968,"Up",270165000,-182857000,87308000,-66383000,-64715000,-1668000,20925000,-1325000,-1325000,19600000,19600000,-7268000,12332000,12332000,12332000,12332000,10045000,10045000,138341000,138341000,204995000,13390000,13390000,366771000,22556000,48519000,43605903.9348714,26100000,18483000,2133000,81150000,447921000,137312000,103012000,34300000,137312000,7115000,0,7115000,7115000,144427000,152541000,-970000,151942000,-19000,303494000,303494000,447921000,12332000,1668000,7196000,139285000,160481000,-4894000,-4894000,-162610000,190000,-162152000,-6565000,-6565000,24000,-6541000,22593000,0,164252000,0.32317,0.07745,0.04565,0.04063,0.02753,13.31917,2.67108,0.47588,-5.55111512312578e-17,0.31186,0.30614,6.83201,7.67484,4.15365,0.0397,0.52881,-0.444609999999999,-0.480050000000092
"3","2012_Q2",12.7620634920635,"Up",196871000,-137416000,59455000,-59449000,-57925000,-1524000,6000,-759000,-759000,-753000,-852000,332000,-520000,-520000,-520000,-520000,12701000,12701000,128218000,128218000,167751000,19847000,17037000,328517000,24323000,48296000,28872951.9674357,26100000,18243000,2150000,83845000,412362000,63645000,49220000,14425000,98645000,7625000,0,7625000,7625000,106270000,155681000,-970000,151422000,-41000,306092000,306092000,412362000,-520000,1524000,1474000,-32326000,-29848000,-3051000,-4401000,3.5e+07,1433000,36927000,2678000,2678000,-22000,2656000,1530000,3.5e+07,-34179000,0.302,3e-05,-0.00264,-0.0017,-0.00126,65.72885,3.3303,0.34718,0.08488,-0.01309,-0.01309,4.95647,7.70624,-0.8605,-0.00149,-0.09801,14.57451,3716.5
"4","2012_Q3",14.8268253968254,"Up",229975000,-164404000,65571000,-61678000,-59826000,-1852000,3893000,-952000,-952000,2941000,2565000,-1e+06,1565000,1565000,1565000,1565000,8566000,8566000,171541000,171541000,322387000,28051000,24744000,530545000,27647000,48103000,18641983.9891452,26100000,18032000,2168000,87850000,618395000,158175000,138089000,20086000,300149000,8567000,617056.190975371,8567000,8567000,308716000,157715000,-970000,152987000,-53000,309679000,309679000,618395000,1565000,1852000,1937000,-110951000,-105597000,-4965000,-6115000,106974000,616000,107589000,-4123000,-4123000,-12000,-4135000,5745000,141974000,-109171000,0.28512,0.01693,0.00681,0.00505,0.00253,-69.75783,1.76761,0.99689,0.22958,0.0391299999999999,0.03849,5.75081,7.74391,-2.72996,0.0034,-0.23721,23.22158,34.2686899999999
"5","2012_Q4",18.0632258064516,"Up",510009000,-347734000,162275000,-88832000,-86957000,-1875000,73443000,-2298000,-2298000,71145000,70808000,-27253000,43555000,43555000,43555000,43555000,16083000,16083000,368087000,368087000,273161000,12556000,12556000,669887000,30904000,47575000,13499000,26100000,4322000,1851000,91092000,760979000,154491000,90225000,64266000,399549000,9508000,794260.318292285,9508000,9508000,409057000,159376000,-3899000,196542000,-97000,351922000,351922000,760979000,43555000,1875000,2128000,-134312000,-86754000,-4921000,-5771000,103084000,-92000,100086000,7561000,7561000,-44000,7517000,75318000,245058000,-36662000,0.31818,0.144,0.0854,0.12376,0.05724,-0.84174,1.67661,1.16235,0.32203,1.086,1.06747,12.71653,8.7748,-0.91413,0.07182,-0.06045,3.04011,3.11772
"6","2013_Q1",18.1881666666667,"Up",294346000,-210931000,83415000,-74533000,-72311000,-2222000,8882000.00000001,-1704000,-1704000,7178000,6719000.00000001,-1699000,5020000,5020000,5019999.99999999,5019999.99999999,24660000,24660000,162510000,162510000,253521000,14528000,14383000,455219000,33365000,45541000,14030000,26100000,3581000,1830000,90884000,546103000,146469000,96727000,49742000,176519000,11612000,1289000,10323000,11612000,188131000,160305000,-3899000,201562000,4000,357972000,357972000,546103000,5020000,2222000,5734000,215999000,228975000,-4473000,-4773000,-215008000,-821000,-215726000,8476000,8476000,101000,8577000,11104000,30049999.9999999,224329000,0.28339,0.03018,0.01705,0.01402,0.00919000000000001,44.68705,2.57887,0.52555,0.05503,0.12478,0.12227,7.31622,8.89769,5.57588,0.01256,0.56134,0.485409999999999,0.606849999999989
"7","2013_Q2",21.4259375,"Up",229449000,-160759000,68690000,-68667000,-66614000,-2053000,23000,-1104000,-1104000,-1081000,-1367000,520000,-847000,-847000,-847000,-847000,38336000,38336000,176530000,176530000,208755000,18002000,17418000,441623000,33408000,47683000,13975000,26100000,3446000,4162000,90650000,532273000,76628000,55678000,20950000,159701000,12100000,1289000,10811000,12100000,171801000,163650000,-3899000,200715000,6000,360472000,360472000,532273000,-847000,2053000,2586000,-42089000,-38297000,-1906000,-2156000,53023000,946000,54127000,13674000,13674000,2000,13676000,2076000,83073000,-42439000,0.29937,1e-04,-0.00369,-0.00235,-0.00159,50.10508,2.76531,0.4766,0.15607,-0.02101,-0.02076,5.69042,8.93983,-1.0525,-0.00186,-0.09314,21.54961,1945.08696
"8","2013_Q3",25.45703125,"Up",251479000,-176636000,74843000,-71554000,-69454000,-2100000,3289000,-1034000,-1034000,2255000,2108000,-802000,1306000,1306000,1361000,1361000,22653000,22653000,184816000,184816000,336389000,27543000,27075000,571401000,34110000,45037000,13920000,26100000,3311000,1706000,90942000,662343000,196809000,171374000,25435000,285384000,12787000,1289000,11498000,12787000,298171000,165954000,-3899000,202076000,-50999.9999999999,364080000,364172000,662343000,1306000,2100000,1984000,-24830000.0000001,-19440000,-2612000,-2362000,3934000,2131000,6176000.00000003,-15626000,-15626000,-57000,-15683000,5389000,87007000,-21251000,0.29761,0.01308,0.00541,0.00374000000000001,0.00205,-15.61425,2.00222,0.81876,0.13136,0.0335100000000001,0.0327900000000001,6.19254,8.96528,-0.52329,0.00293,-0.0458,11.94173,19.5664300000005
"9","2013_Q4",30.02171875,"Up",543513000,-353307000,190206000,-109098000,-106287000,-2811000,81108000,-3073000,-3073000,78035000,77762000,-29549000,48213000,48213000,48291000,48291000,39646000,39646000,362724000,362724000,307477000,17758000,17758000,727605000,39323000,158576000,74129000,58629000,14269000,11549000,207276000,934881000,197719000,118727000,78992000,464973000,32275000,14543000,17732000,50908000,515881000,168961000,-3899000,250367000,3557000,418986000,4.19e+08,934881000,48213000,2811000,1985000,-135531000,-82522000,-2474000,-80828000,178085000,952000,179950000,16600000,16600000,393000,16993000,83919000,283725000,-24537000,0.34996,0.14923,0.08885,0.11525,0.05165,-0.50811,1.56483,1.23122,0.30349,1.18366,1.15468,13.32205,10.26977,-0.60143,0.0657,-0.03338,2.90851,3.00931
"10","2014_Q1",35.1696721311475,"Up",375278000,-257690000,117588000,-101830000,-98887000,-2943000,15758000,-2243000,-2243000,13515000,13502000,-5605000,7897000.00000001,7897000.00000001,8070000,8070000,27360000,27360000,178216000,178216000,280929000,19795000,19795000,506300000,40816000,160371000,76062000,60396000,13860000,10053000,211472000,717772000,168216000,104037000,64179000,235491000,33263000,14442000,18821000,53041000,288532000,171338000,-3899000,258437000,3523000,429399000,429240000,717772000,7897000,2977000,-843999.999999999,184723000,194753000,-4623000,-4636000,-200092000,-2736000,-202585000,-12468000,-12468000,182000,-12286000,18735000,84778000,204440000,0.31334,0.04199,0.0215,0.0188,0.01124,25.33333,2.14998,0.67219,0.11811,0.19753,0.18864,9.18583,10.51057,5.00416,0.01475,0.37356,3.06475,3.64374000000007
