"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",12.4628125,"Up",10487000,-4883000,-1649000,-1150000,-2084000,5604000,-1324000,-1193000,-131000,4280000,29000,4309000,-1639000,2670000,2670000,2670000,2670000,985264.4098526,985264.4098526,5897875.06693495,5897875.06693495,597198.198693923,-2621643.03031368,238038.219017736,-449500.782686993,4858694.64516779,228367585.312103,269035242.088794,-40667656.7766909,18220013.9997067,18220013.9997067,246587599.31181,251446293.956978,3212253.863707,-1825055.97197001,1392159.87366336,3642598.78848565,-1.2353740776507e-09,-1.2353740776507e-09,3311953.53532317,85267642.2102823,72169683.9924162,25711251.7635452,46457967.9758408,157437326.202698,160749279.738022,75001649.1196487,15695365.0993077,90697014.218956,90697014.218956,251446293.956978,2670000,1150000,832000,-447000,4205000,8000,-2102000,-1615000,-755000,382000,382000,-2103000,0,0,0,6754000,0,0.53438,0.2546,0.0169950656358164,0.00621768695074439,1.65053356237262,1.77659112659787,0.338382714492007,0.21146,0.2073,0.83054,7.19166968258753,0.1279,0.0125296083987477,0.60487,13.2476344006467,15.6795330751119
"2","2011_Q1",12.796935483871,"Up",9754000,-4911000,-1750000,-1157000,-2004000,4843000,-1487000,-1309000,-178000,3356000,60000,3416000,-1340000,2076000,2076000,2076000,2076000,1327000,1327000,3769000,3769000,608000,3089000,398000,2503000,8793000,227677000,269856000,-42179000,23461000,23461000,251138000,259931000,5290000,1245000,1440000,2605000,0,0,5331000,85132000,78211000,25437000,52774000,163343000,168674000,75481000,15776000,91257000,91257000,259931000,2076000,1157000,608000,295000,4136000,34000,-4780000,-1625000,3914000,404000,404000,1971000,1327000,1327000,1327000,6e+06,85173000,0.49651,0.21284,0.02275,0.00799,1.64941,1.84834,0.32768,0.16441,0.16118,0.77249,7.22733,0.1287,0.01453,0.78276,13.97433,17.31282
"3","2011_Q2",13.0290476190476,"Up",9645000,-5059000,-1858000,-1219000,-1982000,4586000,-1303000,-1315000,12000,3283000,20000,3303000,-1164000,2139000,2139000,2139000,2139000,2157661.86338247,2157661.86338247,3181208.31102168,3181208.31102168,651100.600435359,4790297.67677123,477570.593660755,3216416.92756233,10780268.4516107,228238638.229299,271672919.303735,-43434281.0744364,24436495.3334311,24436495.3334311,252675133.56273,263455402.014341,5918332.045431,2088268.65732334,1450363.37544555,2380550.40383812,4.11791359216901e-10,4.11791359216901e-10,5966682.15489228,85049702.5965726,80220522.0025279,26401249.4121516,53819427.3413864,165270224.5991,171236906.753993,75913950.2934504,16304544.9668974,92218495.260348,92218495.260348,263455402.014341,2139000,1219000,1214000,243000,4815000,8000,-2095000,-1663000,-56000,376000,376000,-1343000,1377000,1377000,1377000,5805000,0,0.47548,0.22177,0.0257066447880612,0.0089949376830852,1.78834464587579,1.85634879113404,0.323121595169331,0.1694,0.16607,0.76386,7.28246677247082,0.13171,0.0156292972004174,0.77747,13.5875343664511,16.962364808296
"4","2011_Q3",13.1946875,"Up",10452000,-5290000,-1950000,-1227000,-2113000,5162000,-1443000,-1315000,-128000,3719000,30000,3749000,-1291000,2458000,2458000,2458000,2458000,3144000,3144000,3450000,3450000,701000,4149000,491000,2687000,11444000,229542000,274024000,-44482000,23776000,23776000,253318000,264762000,5721000,1676000,1444000,2601000,0,0,5803000,85006000,80589000,27937000,52652000,165595000,171398000,76322000,17042000,93364000,93364000,264762000,2458000,1227000,-1e+05,196000,3781000,12000,-2009000,-1664000,-133000,465000,465000,-1332000,440000,440000,440000,6389000,85088000,0.49388,0.23517,0.02633,0.00928,1.97208,1.8358,0.32138,0.19342,0.19084,0.82246,7.34671,0.13094,0.01591,0.67697,12.82579,15.87447
"5","2011_Q4",13.3142857142857,"Up",10451000,-5172000,-1753000,-1221000,-2198000,5279000,-1593000,-1313000,-280000,3686000,30000,3716000,-1352000,2364000,2364000,2364000,2364000,3861000,3861000,3848000,3848000,722000,3012000,425000,2051000,11443000,231056000,276396000,-45340000,25042000,25042000,256098000,267541000,5283000,1032000,1448000,2803000,0,0,5375000,84986000,82731000,29285000,53446000,167717000,173092000,76713000,17736000,94449000,94449000,267541000,2364000,1221000,1090000,24000,4699000,13000,-2657000,-1666000,-50000,391000,391000,-1325000,717000,717000,717000,6500000,85078000,0.50512,0.2262,0.02503,0.00884,2.12893,1.83265,0.318,0.18544,0.18544,0.81979,7.40872,0.13068,0.01537,0.70474,12.49492,15.38492
"6","2012_Q1",13.9074193548387,"Up",10081000,-5233000,-1748000,-1238000,-2247000,4848000,-1592000,-1311000,-281000,3256000,19000,3275000,-1152000,2123000,2123000,2123000,2123000,4006000,4006000,3705000,3705000,692000,2986000,303000,2258000,11389000,232277000,278344000,-46067000,30553000,30553000,262830000,274219000,5241000,1110000,1481000,2650000,4.13590306276514e-25,4.13590306276514e-25,5283000,84975000,88696000,29809000,58887000,173671000,178954000,77113000,18152000,95265000,95265000,274219000,2123000,1238000,-109000,927000,4179000,6000,-2672000,-1674000,-88000,4e+05,4e+05,-1362000,145000,145000,145000,6086000,85017000,0.4809,0.21059,0.02229,0.00774,2.15578,1.87849,0.31003,0.16621,0.16621,0.78926,7.45845,0.13106,0.01412,0.78851,13.31104,16.71019
"7","2012_Q2",13.6807936507937,"Down",9669000,-5242000,-1900000,-1279000,-2063000,4427000,-1369000,-1310000,-59000,3058000,13000,3071000,-1130000,1941000,1941000,1941000,1941000,4090000,4090000,3394000,3394000,728000,2812000,443000,2144000,11024000,233416000,280529000,-47113000,30156000,30156000,263572000,274596000,5887000,1506000,1482000,2893000,0,0,5929000,84964000,87639000,30377000,57262000,172603000,178532000,77681000,18383000,96064000,96064000,274596000,1941000,1279000,618000,-516000,3322000,10000,-2066000,-1709000,-31000,568000,568000,-1172000,84000,84000,84000,5706000,85006000,0.45786,0.20074,0.02021,0.00707,1.85934,1.85847,0.30957,0.15162,0.15162,0.75529,7.504,0.1335,0.01358,0.88047,14.18086,18.27784
"8","2012_Q3",14.4007936507937,"Up",10352000,-5300000,-1862000,-1284000,-2154000,5052000,-1490000,-1313000,-177000,3562000,29000,3591000,-1387000,2204000,2204000,2204000,2204000,2899000,2899000,3697000,3697000,775000,2994000,505000,2254000,10365000,235671000,283942000,-48271000,30603000,30603000,266274000,276639000,5360000,1268000,1487000,2568000,0,0,5402000,84954000,89206000,30981000,58225000,174160000,179562000,78205000,18872000,97077000,97077000,276639000,2204000,1284000,-90000.0000000001,44000,3442000,7000,-3470000,-1710000,23000,524000,524000,-1163000,-1191000,-1191000,-1191000,6336000,84996000,0.48802,0.21291,0.0227,0.00797,1.91873,1.84969,0.30725,0.17176,0.17176,0.80674,7.56527,0.13326,0.01443,0.77586,12.95723,16.2504
"9","2012_Q4",14.0440322580645,"Down",11025000,-5244000,-1726000,-1292000,-2226000,5781000,-1354000,-1312000,-42000,4427000,29000,4456000,-1696000,2760000,2760000,2760000,2760000,3725000,3725000,3941000,3941000,820000,3087000,597000,2262000,11573000,238531000,287885000,-49354000,30616000,30616000,269147000,280720000,6426000,1604000,1442000,3050000,0,0,6468000,84943000,90650000,31671000,58979000,175593000,182061000,78747000,19912000,98659000,98659000,280720000,2760000,1292000,94000,1284000,5430000,7000,-3688000,-1765000,307000,542000,542000,-916000,826000,826000,826000,7073000,84985000,0.52435,0.25034,0.02798,0.00983,1.78927,1.84536,0.30274,0.2146,0.2146,0.85722,7.67098,0.13723,0.0165,0.63949,11.48876,14.05639
"10","2013_Q1",15.1256666666667,"Up",10401000,-5088000,-1815000,-1315000,-1958000,5313000,-1556000,-1314000,-242000,3757000,34000,3791000,-1393000,2398000,2398000,2398000,2398000,4012000,4012000,4038000,4038000,728000,2867000,337000,2322000,11645000,239539000,289579000,-50040000,31306000,31306000,270845000,282490000,5432000,1121000,1548000,2667000,5.29395592033938e-23,5.29395592033938e-23,5474000,84933000,92258000,32425000,59833000,177191000,182665000,79299000,20526000,99825000,99825000,282490000,2398000,1315000,548000,-33000,4228000,6000,-2950000,-1678000,135000,552000,552000,-991000,287000,287000,287000,6628000,84975000,0.51082,0.23055,0.02402,0.00849,2.12733,1.82985,0.30081,0.18598,0.18598,0.80667,7.74216,0.13014,0.01471,0.69975,12.2153,15.23866
"11","2013_Q2",15.323125,"Up",10069000,-5296000,-1928000,-1364000,-2004000,4773000,-1384000,-1310000,-74000,3389000,31000,3420000,-1281000,2139000,2139000,2139000,2139000,4554000,4554000,3437000,3437000,755000,2936000,507000,2214000,11682000,240500000,291765000,-51265000,31098000,31098000,271598000,283280000,5845000,865000,1551000,3147000,0,0,5887000,84922000,91718000,33134000,58584000,176640000,182527000,79878000,20875000,100753000,100753000,283280000,2139000,1364000,949000,-392000,4060000,8000,-2461000,-1787000,151000,579000,776000,-1057000,542000,542000,542000,6137000,84964000,0.47403,0.21243,0.02123,0.00755,1.98437,1.81163,0.29993,0.16533,0.16533,0.77828,7.78764,0.13813,0.01415,0.83544,13.10249,16.84685
