"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q3",239.551904761905,"Down",306683,-98641,208042,-2141484,-1432862,-708622,-1933442,-146250,-146250,-2079692,-7381854,-7381854,-7381854,-7381854,-7754585,7110241,7110241,254031,254031,123028,273970,273970,7761270,22004,52000,52000,74004,7835274,1313596,1308349,81560,1981898,3912716,35742584,-6464,-31813562,3922558,3922558,7835274,-7381854,2377,5475494,318736,-1585247,-735,-735,-735,-735,7346446,7346446,7292323,5706341,5706341,5706341,-1931065,2038235,0.67836,-6.30437,-25.28534,-1.97692,-0.9897,3.91608,0.99749,0.26014,-100.40942,-100.40942,3.97105,50.79082,-1.20411,2.62653,2.6233
"2","2017_Q4",119.579206349206,"Down",488540,-124098,364442,-1799415,-1470057,-329358,-1434973,-43350,-43350,-1478323,-1258949,-1258949,-1258949,-1258949,-1258949,4958088,4958088,225934,225934,123351,465880,465880,5773253,21822,163719,163719,185541,5958794,1134834,1130232,161317,1893221,3383409,35654360,-6464,-33072511,2575385,2575385,5958794,-1258949,2439,-32494,-575276,-1864280,-2257.00000000001,-2257,-2257,-2257,-31028,-31028,-285616,-2152153,-2152153,-2152153,-1432534,1895366,0.74598,-2.93727,-2.57696,-0.48884,-0.21128,3.04943,1.31375,0.31808,-6.16833000000001,-6.16833000000001,2.39364,12.61832,-0.27001,2.13798,2.13434
"3","2018_Q1",121.003278688525,"Up",547412,-203972,343440,-2159450,-1802584,-356866,-1816010,-1451,-1451,-1817461,-1900276,-1900276,-1900276,-1900276,-1900276,12959373,12959373,297039,297039,201155,388275,388275,13845842,77150,52000,52000,129150,13974992,1277236,1277236,207936,1485172,1529214,47425029,-6464,-34972787,12445778,12445778,13974992,-1900276,4430,24756,328956,-1542134,-59758,-59758,-59758,-59758,10510366,10510366,9603177,8001285,8001285,8001285,-1811580,0,0.62739,-3.31745,-3.47138,-0.15268,-0.13598,9.32272,0.12287,0,-7.41299,-7.41299,2.13546,48.55104,-0.15215,7.15363,7.13618
"4","2018_Q2",100.5375,"Down",313179,-108080,205099,-2607996,-2235637,-372359,-2402897,42188,42188,-2360709,-2345402,-2345402,-2345402,-2345402,-2345402,14116430,14116430,151445,151445,237879,373093,373093,14878847,155319,52000,52000,207319,15086166,949846,949846,166752,1116598,1162094,51248725,-6464,-37318189,13924072,13924072,15086166,-2345402,14599,320403,-254960,-2265360,-64924,-64924,-64924,-64924,3550490,3550490,3487341,1157057,1157057,1157057,-2388298,-1.16415321826935e-10,0.65489,-7.6726,-7.48901,-0.16844,-0.15547,13.32516,0.0834600000000002,2.77555756156289e-17,-5.91897,-5.91897,0.79035,35.13945,-0.16789,5.91067,5.87475
"5","2018_Q3",65.737619047619,"Down",632369,-200446,431923,-3113987,-2627005,-486982,-2682064,49842,49842,-2632222,-2629561,-2629561,-2629561,-2629561,-2629561,11683729,11683729,384951,384951,247624,462782,462782,12779086,163849,124042,124042,287891,13066977,1399335,1399335,171048,1570383,1615879,51405312,-6464,-39947750,11451098,11451098,13066977,-2629561,14301,182596,87676,-2344988,-16533,-16533,-16533,-16533,5903,5903,-48180,-2409701,-2409701,-2409701,-2667763,0,0.68302,-4.2413,-4.15827,-0.22963,-0.20124,8.13756,0.14111,0,-6.36218,-6.36218,1.53001,27.70576,-0.22873,4.3796,4.35625
"6","2018_Q4",54.6626984126984,"Down",608981,-193577,415404,-3123833,-2674160,-449673,-2708429,45297,45297,-2663132,-2649822,-2649822,-2649822,-2649822,-2649822,9093412,9093412,352824,352824,272664,720866,720866,10439766,198865,192273,192273,391138,10830904,1690553,1690553,191167,1881720,1881969,51552971,-6464,-42597572,8948935,8948935,10830904,-2649822,19933,119054,27884,-2482951,-35913,-35913,-35913,-35913,-1.16415321826935e-10,-1.16415321826935e-10,-71453.0000000001,-2590317,-2590317,-2590317,-2688496,1.45519152283669e-11,0.68213,-4.44748,-4.35124,-0.2961,-0.24465,5.54799,0.2103,1.73472347597681e-18,-6.40641,-6.40641,1.47232,21.63564,-0.2961,3.38234,3.35745
"7","2019_Q1",42.6003278688525,"Down",889575,-226176,663399,-3398426,-2868807,-529619,-2735027,38082,38082,-2696945,-2691954,-2691954,-2691954,-2691954,-2691954,6540794,6540794,382258,382258,256149,695276,695276,7874477,187513,219582,219582,407095,8281572,1743427,1743427,112260,1855687,1855687,51721875,-6464,-45289526,6425885,6425885,8281572,-2691954,20849,205264,-47170,-2513011,-9497,-9497,-9497,-9497,0,0,-30110,-2552618,-2552618,-2552618,-2714178,0,0.74575,-3.07453,-3.02611,-0.41892,-0.32505,4.24343,0.28878,0,-6.47414,-6.47414,2.13943,15.45424,-0.41892,2.40986,2.39149
"8","2019_Q2",30.8836507936508,"Down",830066,-286802,543264,-3226059,-2779711,-446348,-2682795,42765,42765,-2640030,-2598060,-2598060,-2598060,-2598060,-3395697,9233559,9233559,399895,399895,301277,784720,784720,10719451,173078,206976,206976,380054,11099505,1310429,1310429,267884,1578313,1578313,57538689,-6464,-48011033,9521192,9521192,11099505,-2598060,21627,182230,-725679,-3119882,-5404,-5404,-5404,-5404,5648928,5648928,5818051,2692765,2692765,2692765,-2661168,-7.27595761418343e-12,0.65448,-3.23203,-4.09088,-0.35665,-0.30593,6.79171,0.16577,-8.67361737988404e-19,-6.81798,-6.81798,1.66663,19.11694,-0.35665,3.46974,3.44177
"9","2019_Q3",22.76,"Down",880349,-380093,500256,-3206601,-2779028,-427573,-2706345,41568,41568,-2664777,-2565327,-2565327,-2565327,-2565327,-2565327,6668871,6668871,331013,331013,349196,817478,817478,8166558,192574,183402,183402,375976,8542534,1376878,1376878,59087,1435965,1435965,57689393,-6464,-50576360,7106569,7106569,8542534,-2565327,23449,284790,-30451,-2287539,-29499,-29499,-29499,-29499,15,15,-247650,-2564688,-2564688,-2564688,-2682896,0,0.56825,-3.07417,-2.91399,-0.36098,-0.3003,5.68716,0.20206,0,-4.49384,-4.49384,1.54216,12.44901,-0.36098,2.4857,2.46416
"10","2019_Q4",15.94109375,"Down",606619,-329226,277393,-3102440,-2669375,-433065,-2825047,22394,22394,-2802653,-2788118,-2788118,-2788118,-2788118,-2788118,4328355,4328355,134006,134006,454379,786732,786732,5703472,170330,208976,208976,379306,6082778,1552307,1552307,110451,1662758,1664253,57789467,-6464,-53364478,4418525,4418525,6082778,-2788118,25602,134444,337791,-2290281,-3358,-3358,-3358,-3358,-45098,-45098,-46876.9999999991,-2340516,-2340516,-2340516,-2799445,-1.16415321826935e-10,0.45728,-4.65704,-4.59616,-0.63101,-0.45836,3.43013,0.37665,0,-4.87119,-4.87119,1.05984,7.71971,-0.63079,1.54615,1.53214
