"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q2",64.1378125,"Up",2490262000,-2258931000,231331000,-171763000,-31503000,-23486000,-116774000,59568000,-9275000,-9308000,-9388000,33000,50293000,89052000,139345000,-53471000,85874000,85874000,85874000,85874000,195701000,195701000,128120000,128120000,155450000,11320000,11320000,490591000,1385337000,144607000,144607000,1529944000,2020535000,369758000,356871000,400053000,657766000,237102000,191820000,45282000,894868000,1294921000,549551000,613653000,468000,725614000,725614000,2020535000,85874000,23486000,-32446000,76914000,38728000,86011000,86011000,-47283000,-47283000,-64950000,-26222000,199927000,-7243000,42674000,93366000,93366000,93366000,83054000,688061000,0.09289,0.02392,0.03448,0.11835,0.0425,1.22632,1.78459,0.34053,2.09915,2.08154,60.87321,17.73727,0.05202,5.92819,8.26551
"12","2016_Q3",73.544375,"Up",3005762000,-2739737000,266025000,-181150000,-32320000,-23685000,-125145000,84875000,-9875000,-9960000,-10210000,85000,7.5e+07,-902000,74098000,-27788000,46310000,46310000,46310000,46310000,254210000,254210000,148211000,148211000,152494000,17066000,17066000,571981000,1430816000,81049000,81049000,1511865000,2083846000,425325000,401141000,455697000,648266000,221971000,177570000,44401000,870237000,1325934000,551977000,659963000,468000,757912000,757912000,2083846000,46310000,23685000,21693000,91688000,-68999000,287000,287000,-69286000,-69286000,63241000,-5758000,-10092000,-234000,-27421000,58509000,58509000,58509000,108560000,678638000,0.08851,0.02824,0.01541,0.0611,0.02222,1.25518,1.74946,0.32567,1.17661,1.16488,76.36784,19.25638,0.02792,3.90962,5.00062
"13","2016_Q4",66.2771428571429,"Down",3042738000,-2778753000,263985000,-184293000,-30726000,-25576000,-127991000,79692000,-7190000,-10038000,-10182000,2848000,72502000,-746000,71756000,-26265000,45491000,45491000,45491000,45491000,206692000,206692000,139692000,139692000,152542000,29153000,29153000,528079000,1488261000,40489000,40489000,1528750000,2056829000,376897000,376897000,417368000,638911000,241363000,200601000,40762000,880274000,1297642000,550376000,705454000,468000,759187000,759187000,2056829000,45491000,25576000,-29841000,41226000,-83639000,-1297000,-1297000,-82342000,-82342000,41392000,-42247000,-116000,-1158000,-46497000,-47518000,-47518000,-47518000,105268000,679382000,0.08676,0.02619,0.01495,0.05992,0.02212,1.26526,1.70925,0.33031,1.16977,1.16772,78.24161,19.5219,0.02708,4.49035,5.93146
"14","2017_Q1",64.9440322580645,"Down",3055838000,-2801079000,254759000,-177394000,-28151000,-25853000,-123390000,77365000,-9660000,-9794000,-9920000,134000,67705000,-804000.000000004,66901000,-23076000,43825000,43825000,43825000,43825000,153813000,153813000,183519000,183519000,153351000,24871000,24871000,515554000,1532655000,40531000,40531000,1573186000,2088740000,473964000,473370000,514560000,629622000,247482000,204656000,42826000,877104000,1391664000,555338000,749271000,468000,697076000,697076000,2088740000,43825000,25853000,57894000,127572000,-62890000,299000,298999.999999998,-63189000,-63189000,2317000,-60573000,-10119000,1235000,-119856000,-52857000,-52857000,-52857000,103218000,670218000,0.08337,0.02532,0.01434,0.06287,0.02098,1.00193,1.99643,0.32087,1.15575,1.13486,80.58857,18.38329,0.02714,5.00305,6.67491999999999
"15","2017_Q2",68.8914285714286,"Up",2999600000,-2806300000,193300000,-1.9e+08,-38200000,-2.7e+07,-124800000,3300000,-9200000,-9400000,-9400000,2e+05,-5900000,-3900000,-9800000,6800000,-3e+06,-3e+06,-3e+06,-3e+06,36256000,36256000,156453000,156453000,166476000,37761000,37761000,396946000,1565160000,40630000,40630000,1605790000,2002736000,387641000,387641000,454851000,620206000,254911000,210268000,44643000,875117000,1329968000,544777000,746245000,468000,672768000,672768000,2002736000,-3e+06,2.7e+07,-69900000,-45900000,-65400000,5e+05,5e+05,-65900000,-65900000,-7668495.62586339,-65400000,16300000,-5100000,-6200000,-117500000,-117500000,-117500000,30300000,687416000,0.06444,0.0011,-0.001,-0.00446,-0.0015,0.87269,1.97686,0.34324,-0.08134,-0.08134,81.33406,18.24208,-0.00186,21.49043,197.32121
"16","2017_Q3",68.507619047619,"Down",3211100000,-2921100000,2.9e+08,-188300000,-31400000,-27500000,-129400000,101700000,-11400000,-11400000,-11800000,0,90300000,-4e+05,89900000,-34400000,55500000,55500000,55500000,55500000,197095000,197095000,164372000,164372000,179044000,25233000,25233000,565744000,1613234000,44208000,44208000,1657442000,2223186000,394303000,394303000,409261000,869086000,264198000,217670000,46528000,1133284000,1542545000,545887000,801808000,468000,680641000,680641000,2223186000,55500000,27500000,3300000,86300000,-68100000,2e+05,2e+05,-68300000,-68300000,-4100000,-72200000,196600000,-999999.999999999,146700000,160800000,160800000,160800000,129200000,884044000,0.09031,0.03167,0.01728,0.08154,0.02496,1.38236,2.26631,0.39765,1.51972,1.4937,87.92716,18.63749,0.03035,5.31694,6.75466
"17","2017_Q4",74.3993650793651,"Up",3236300000,-2927100000,309200000,-190900000,-31500000,-2.9e+07,-130400000,118300000,-9200000,-12200000,-12600000,3e+06,109100000,-4e+05,108700000,-40800000,67900000,67900000,67900000,67900000,169014000,169014000,192443000,192443000,200765000,13538000,13538000,575760000,1659410000,44337000,44337000,1703747000,2279507000,466290000,454074000,486009000,864975000,263430000,222085000,41345000,1128405000,1614414000,547949000,869695000,468000,665093000,665093000,2279507000,67900000,2.9e+07,2.9e+07,125900000,-67300000,0,0,-67300000,-67300000,-5e+05,-67800000,-3e+05,-2e+05,-86200000,-28100000,-28100000,-28100000,147300000,884694000,0.09554,0.03655,0.02098,0.10209,0.02979,1.18467,2.42735,0.38811,1.9203,1.90191,91.52691,18.80972,0.03745,4.85866,6.0497
"18","2018_Q1",76.8860655737705,"Up",3379600000,-3110100000,269500000,-203800000,-40100000,-33400000,-130300000,65700000,-13400000,-12400000,-12900000,-1e+06,52300000,-999999.999999998,51300000,73600000,124900000,124900000,124900000,124900000,1.7e+08,1.7e+08,225200000,225200000,182500000,36500000,36500000,614200000,1679500000,37300000,37300000,1716800000,2.331e+09,513400000,513400000,533300000,860900000,198400000,154200000,44200000,1059300000,1592600000,549900000,994500000,5e+05,738400000,738400000,2.331e+09,124900000,33400000,-4.1e+07,117300000,-56600000,2e+05,2e+05,-56800000,-56800000,-1e+05,-56700000,-5200000,-4e+05,-59600000,1e+06,1e+06,1e+06,99100000,880800000,0.07974,0.01944,0.03696,0.16915,0.05358,1.1517,2.15683,0.37786,3.61977,3.58013,97.94523,21.3998,0.06872,7.17255,10.81887
"19","2018_Q2",68.016875,"Down",3244200000,-3037300000,206900000,-193700000,-34500000,-31800000,-127400000,13200000,-12700000,-12700000,-1.3e+07,-1611579.86014893,5e+05,46800000,47300000,-8e+06,39300000,39300000,39300000,39300000,144100000,144100000,1.98e+08,1.98e+08,148500000,27600000,27600000,518200000,1691100000,43200000,43200000,1734300000,2252500000,476200000,4.75e+08,496100000,856400000,194700000,155300000,39400000,1051100000,1547200000,544800000,1033800000,5e+05,705300000,705300000,2252500000,39300000,31800000,36300000,107400000,-47600000,1100000,1100000,-48700000,-48700000,-4700000,-52300000,-5300000,-2900000,-79900000,-24800000,-24800000,-24800000,4.5e+07,876300000,0.06378,0.00407,0.01211,0.05572,0.01745,1.04455,2.19368,0.38903,1.16624,1.15378,96.27278,20.93003,0.02212,16.27111,55.4697
"20","2018_Q3",81.2907936507936,"Up",3.829e+09,-3546300000,282700000,-2.03e+08,-35200000,-3.3e+07,-134800000,79700000,-1.3e+07,-13100000,-13400000,99999.9999999981,66700000,2400000,69100000,-17300000,51800000,51800000,51800000,51800000,71900000,71900000,230500000,230500000,205100000,2.9e+07,2.9e+07,536500000,1714600000,41700000,41700000,1756300000,2292800000,529100000,529100000,550200000,850800000,205500000,165700000,39800000,1056300000,1606500000,546100000,1085600000,5e+05,686300000,686300000,2292800000,51800000,3.3e+07,-25900000,58900000,-53500000,1e+05,1e+05,-53600000,-53600000,-2e+05,-53700000,-5300000,-5e+05,-78500000,-73300000,-73300000,-73300000,112700000,871900000,0.07383,0.02081,0.01353,0.07548,0.02259,0.9751,2.34081,0.38028,1.59169,1.57763,117.6561,21.08837,0.02937,7.09849,10.03764
