"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2018_Q4",77.6607936507937,"Down",3.788e+09,-3510500000,277500000,-206500000,-32600000,-34200000,-139700000,7.1e+07,-1.3e+07,-1.3e+07,-13200000,0,5.8e+07,-1e+06,5.7e+07,-1.2e+07,4.5e+07,4.5e+07,4.5e+07,4.5e+07,75400000,75400000,231200000,231200000,215100000,19600000,19600000,541300000,1741900000,42400000,42400000,1784300000,2325600000,519600000,519600000,540800000,846600000,209300000,168100000,41200000,1055900000,1596700000,539400000,1130600000,5e+05,728900000,728900000,2325600000,4.5e+07,34200000,-4100000,75100000,-60700000,0,0,-60700000,-60700000,-1e+06,-61700000,-5300000,-4600000,-9900000,3500000,3500000,3500000,105200000,867800000,0.07326,0.01874,0.01188,0.06174,0.01935,1.00092,2.19056,0.37315,1.39739,1.38334,117.62879,22.63454,0.02492,7.53232,11.16056
"22","2019_Q1",77.8195081967213,"Up",3501700000,-3179500000,322200000,-208300000,-33900000,-3.5e+07,-139400000,113900000,-12500000,-12600000,-13300000,1e+05,101400000,-9e+05,100500000,-2.3e+07,77500000,77500000,77500000,77500000,184500000,184500000,138800000,138800000,221500000,25300000,25300000,570100000,1748200000,42500000,42500000,1790700000,2360800000,456900000,456900000,478100000,842100000,233300000,192200000,41100000,1075400000,1553500000,5.39e+08,1208100000,499999.999999999,807300000,807300000,2360800000,77500000,3.5e+07,44800000,157300000,-41300000,-5.82076609134674e-11,5.82076609134674e-11,-41300000,-41300000,-99999.9999999995,-41400000,-5400000,-1400000,-6800000,109100000,109100000,109100000,148900000,863300000,0.09201,0.03253,0.02213,0.096,0.03283,1.19243,1.92432,0.36568,2.40303,2.38418,108.57648,25.03178,0.04071,4.55876,5.95961
"23","2019_Q2",82.4231746031746,"Up",3116400000,-2890200000,226200000,-207100000,-34600000,-39700000,-132800000,19100000,-12700000,-12900000,-13600000,2e+05,6400000,-5e+05,5900000,-6e+05,5300000,5300000,5300000,5300000,180400000,180400000,227300000,227300000,178700000,26500000,26500000,612900000,1738100000,153400000,153400000,1891500000,2504400000,5.12e+08,5.12e+08,533300000,8.38e+08,335300000,189800000,145500000,1173300000,1706600000,531900000,1213400000,5e+05,797800000,797800000,2504400000,5300000,39700000,3100000,48100000,-29400000,1100000,1100000,-30500000,-30500000,-1e+05,-29500000,-5400000,-4e+06,-22700000,-4100000,-4100000,-4100000,58800000,859300000,0.07258,0.00613,0.0017,0.00664,0.00212,1.14926,2.13913,0.34312,0.16457,0.16348,96.76458,24.77178,0.00266,11.54592,35.5445
"24","2019_Q3",86.60953125,"Up",3800400000,-3.527e+09,273400000,-217200000,-35100000,-36500000,-145600000,56200000,-12400000,-12300000,-13200000,-1e+05,43800000,-5e+05,43300000,-10600000,32700000,32700000,32700000,32700000,178600000,178600000,236300000,236300000,211300000,30100000,30100000,656300000,1758900000,156100000,156100000,1.915e+09,2571300000,557500000,557500000,578800000,833600000,342600000,194900000,147700000,1176200000,1.755e+09,534400000,1246100000,500000.000000015,816300000,816300000,2571300000,32700000,36500000,7600000,76800000,-55800000,3e+05,3e+05,-56100000,-56100000,-4e+05,-56200000,-5300000,-3e+05,-22400000,-1800000,-1800000,-1800000,92700000,854900000,0.07194,0.01479,0.0086,0.04006,0.01272,1.1339,2.14994,0.33248,1.01831,1.01163,118.34828,25.4204,0.01624,7.29558,12.03381
"25","2019_Q4",106.2175,"Up",3657600000,-3319500000,338100000,-2.17e+08,-3.6e+07,-37600000,-143400000,121100000,-14600000,-14500000,-15300000,-1e+05,106500000,-15200000,91300000,-22100000,69200000,69200000,69200000,69200000,247700000,247700000,164300000,164300000,233800000,19100000,19100000,664900000,1789300000,162500000,162500000,1951800000,2616700000,495600000,495600000,516900000,966400000,354400000,1.99e+08,155400000,1320800000,1837700000,536400000,1315300000,5e+05,7.79e+08,7.79e+08,2616700000,69200000,37600000,19900000,126700000,-66100000,1e+06,1e+06,-67100000,-67100000,-2e+05,-66300000,131300000,-13600000,8700000,69100000,69100000,69100000,158700000,987700000,0.09244,0.03311,0.01892,0.08883,0.02645,1.28632,2.35905,0.37746,2.1923,2.17453,115.87518,24.67923,0.03262,4.66289,6.11065
"26","2020_Q1",102.197258064516,"Down",3460200000,-3171400000,288800000,-214800000,-38900000,-38400000,-137500000,7.4e+07,-11600000,-1.2e+07,-12800000,4e+05,62400000,-5e+05,61900000,-14300000,47600000,47600000,47600000,47600000,280300000,280300000,172900000,172900000,227600000,3e+07,3e+07,710800000,1807300000,169100000,169100000,1976400000,2687200000,466200000,466200000,5.05e+08,999300000,379899999,216700000,163199999,1379199999,1884199999,538700000,1362900000,-1098600000,8.03e+08,8.03e+08,2687199999,47600000,38400000,9900000,61700000,-5.1e+07,1e+05,99999.9999999998,-51100000,-51100000,-99999.9999999999,-51100000,49800000,-1099999,22000001,32600001,32600001,32600001,112400000,1038100000,0.08346,0.02139,0.01376,0.05928,0.01771,1.40752,2.34645,0.38631,1.56101,1.5422,113.47522,26.33391,0.02143,6.74199,10.24054
"27","2020_Q2",107.884920634921,"Up",3184800000,-2839800000,3.45e+08,-213700000,-39200000,-39400000,-135100000,131300000,-13500000,-12500000,-13300000,-1e+06,117800000,-5e+05,117300000,-2.8e+07,89300000,89300000,89300000,89300000,200300000,200300000,136300000,136300000,243500000,22500000,22500000,602600000,1808300000,172500000,172500000,1980800000,2583400000,406700000,400600000,457900000,987400000,391300000,221800000,169500000,1378700000,1836600000,530200000,1453300000,-1500000,746800000,746800000,2583400000,89300000,39400000,-1.5e+07,113700000,-46400000,2e+05,2e+05,-46600000,-46600000,-8e+05,-47200000,-3e+05,-5600000,-146500000,-8e+07,-8e+07,-8e+07,170700000,1038600000,0.10833,0.04123,0.02804,0.11958,0.03457,1.31601,2.45929,0.40203,2.95353,2.92394,105.33488,24.69985,0.04103,4.91095,6.38462
"28","2020_Q3",130.2390625,"Up",2379600000,-1936500000,443100000,-208399999,-37100000,-39500000,-131799999,234700001,-12500000,-12800000,-1.3e+07,3e+05,222200001,8e+05,223000001,-54100000,168900001,168900001,168900001,168900001,403600000,403600000,161300000,161300000,257700000,17700000,17700000,840300000,1834300000,186100000,186100000,2020400000,2860700000,502500000,461700000,553700000,975300000,413700000,225200000,188500000,1.389e+09,1942700000,5.33e+08,1622200000,-2e+06,9.18e+08,9.18e+08,2860700000,168900000,39500000,47300000,268200000,-51700000,7400000,7400000,-59100000,-59100000,-3e+05,-5.2e+07,-12900000,1.86264514923096e-09,-12900000,203300000,203300000,203300000,274200001,1026500000,0.18621,0.09863,0.07098,0.18399,0.05904,1.51761,2.11623,0.35883,5.78801,5.72639,81.54621,31.45883,0.07162,2.2717,2.65403
"29","2020_Q4",126.59609375,"Down",2.839e+09,-2500900000,338100000,-237200001,-53700000,-40600000,-142900001,100899999,-12200000,-12400000,-12400000,2e+05,88699999,-6e+05,88099999,-21200000,66899999,66899999,66899999,66899999,317500000,317500000,142700000,142700000,268100000,14900000,14900000,743200000,1.854e+09,1.91e+08,1.91e+08,2.045e+09,2788200000,462200000,442800000,513400000,963200000,415900000,217500000,198400000,1379100000,1892500000,5.3e+08,1689100000,-1600000,895700000,895700000,2788200000,66900000,40600000,-6900000,85900000,-63600000,1e+05,1e+05,-63700000,-63700000,-5e+05,-64100000,-12900000,-5100000,-107900000,-86100000,-86100000,-86100000,141499999,1014400000,0.11909,0.03554,0.02356,0.07469,0.02399,1.4476,2.11287,0.36382,2.28937,2.25823,97.15283,30.65156,0.02876,4.92509,6.90684
"30","2021_Q1",127.664426229508,"Up",2860900000,-2544200000,316700000,-221900000,-41100000,-41500000,-139300000,94800000,-11700000,-13500000,-16977037.0572698,8e+05,83100000,-2400000,80700000,-19700000,6.1e+07,6.1e+07,6.1e+07,6.1e+07,163600000,163600000,168800000,168800000,279100000,13700000,13700000,625200000,1867600000,192900000,158300000,2060500000,2685700000,479900000,471100000,531100000,951200000,419300000,218400000,200900000,1370500000,1901600000,-957600001,1743100000,-1400000,784099999,784099999,2685699999,6.1e+07,41500000,4300000,95900000,-60900000,-2133571.51378169,-2117579.35320329,-51322226.4521174,-52233383.8754164,-1e+05,-6.1e+07,-12800000,1.86264514923096e-09,-188800000,-153900000,-153900000,-153900000,136300000,1002400000,0.1107,0.03314,0.02132,0.0778,0.02271,1.17718,2.4252,0.37324,2.18716,2.14464,102.57798,28.11402,0.03078,6.15407,8.8481
"31","2021_Q2",136.72253968254,"Up",3537100000,-3160900000,376200000,-272400000,-44300000,-5.1e+07,-177100000,103800000,-21300000,-21300000,-21300000,821578.42468538,82500000,-9200000,73300000,-1.8e+07,55300000,55300000,55300000,55300000,304100000,304100000,182100000,182100000,2.83e+08,24200000,24200000,793400000,2301400000,885800000,408100000,3187200000,3980600000,661800000,638400000,6.75e+08,1796800000,728200000,281400000,446800000,2.525e+09,3.2e+09,525600000,1791500000,-1536500000,780600000,780600000,3980600000,55300000,5.1e+07,123500000,229800000,-53300000,300000.000000004,300000.000000002,-53600000,-53600000,-9e+05,-696300000,678400000,-14600000,6.07e+08,140500000,140500000,140500000,154800000,1.81e+09,0.10636,0.02935,0.01563,0.07084,0.01389,1.17541,4.09941,0.45471,2.03826,2.01179,130.37116,28.77152,0.01871,9.72804,14.50771
"32","2021_Q3",149.446875,"Up",4.456e+09,-3954100000,501900000,-310700000,-48500000,-53300000,-208900000,191200000,-20200000,-20400000,-20400000,2e+05,1.71e+08,-1e+06,1.7e+08,-41200000,128800000,128800000,128800000,128800000,1.65e+08,1.65e+08,260200000,260200000,311700000,27800000,27800000,764700000,2342100000,879300000,4.09e+08,3221400000,3986100000,682200000,670200000,696400000,1794400000,737400000,289500000,447900000,2531800000,3228200000,528400000,1913600000,-1684100000,757900000,757900000,3986100000,128800000,53300000,-81100000,1.01e+08,-82700000,5e+05,5e+05,-83200000,-83200000,-3e+05,-82000000.0000001,-2500000,-6e+05,-158100000,-139100000,-139100000,-139100000,244500000,1808600000,0.11263,0.04291,0.0289,0.16994,0.03231,1.09808,4.2594,0.45373,4.74734,4.68568,164.24017,27.93483,0.04101,6.72229,8.59623
"33","2021_Q4",177.5246875,"Up",4600400000,-4119600000,480800000,-322500000,-47200000,-53200000,-222100000,158300000,-20600000,-20400000,-20500000,-2e+05,137700000,1332447.84908474,137700000,-33700000,1.04e+08,1.04e+08,1.04e+08,1.04e+08,301300000,301300000,208400000,208400000,289300000,27600000,27600000,826600000,2371300000,896400000,426200000,3267700000,4094300000,704100000,695500000,718900000,1799300000,751300000,285100000,466200000,2550600000,3269500000,-1185400000,2.011e+09,-8e+05,824800000,824800000,4094300000,1.04e+08,53200000,78500000,256200000,-74600000,2e+05,599645.024236165,-74800000,-88629023.0192547,-8e+05,-75400000,-3600000,-1300000,-44500000,136300000,136300000,136300000,211500000,1814100000,0.10451,0.03441,0.02261,0.12609,0.0254,1.14981,3.96399,0.44308,3.92083,3.86862,173.43638,31.09519,0.03256,7.15272,9.55654
"34","2022_Q1",186.702580645161,"Up",4.767e+09,-4.277e+09,4.9e+08,-327900000,-53600000,-55100000,-219200000,162100000,-2e+07,-20300000,-20149132.157615,2e+05,142100000,-1200000,140900000,-32100000,108800000,108800000,108800000,108800000,256400000,256400000,195700000,195700000,292300000,23400000,23400000,767800000,2378400000,9.02e+08,433300000,3280400000,4048200000,660300000,660300000,675300000,1800100000,765600000,295900000,469700000,2565700000,3.241e+09,-1.304e+09,2112400000,-1200000,807200000,807200000,4048200000,108800000,55100000,-75800000,150400000,-60700000,647382.435467414,1724288.60374346,-63122883.2757912,-74230287.3758893,2e+05,-60500000,-3800000,-1e+05,-134800000,-44899999.9999999,-44899999.9999999,-44899999.9999999,217200000,1815100000,0.10279,0.034,0.02282,0.13479,0.02688,1.13698,4.01511,0.44837,4.62172,4.54033,202.49777,34.28911,0.0343,7.17634,9.61567
"35","2022_Q2",234.778870967742,"Up",5118399999,-4572500000,545899999,-324300000,-46200000,-55400000,-222700000,221599999,-20300000,-19600000,-19600000,-7e+05,201299999,-9e+05,200399999,-4.8e+07,152399999,152399999,152399999,152399999,356200000,356200000,260399999,260399999,265899999,28300000,28300000,910799998,2391600000,903800000,435200000,3295400000,4206199998,825900000,790800000,840800000,1797400000,776500000,303500000,4.73e+08,2573900000,3414700000,-1465600000,2257600000,-5e+05,791500000,791500000,4206200000,152400000,55400000,131400000,339200000,-6.4e+07,2887382.43546741,4136787.88137902,-6.4e+07,-6.4e+07,-4e+05,-64400000,-3800000,-12200000,-1.75e+08,99800000,99800000,99800000,276999999,1812300000,0.10665,0.04329,0.02977,0.19255,0.03623,1.08325,4.31421,0.43086,6.02967,5.92236,202.50841,31.31553,0.04721,5.25668,6.57085
"36","2022_Q3",278.80046875,"Up",6766700001,-6145700000,621000001,-359100000,-52200000,-54700000,-252200000,261900001,-2.1e+07,-19800000,-20200000,-1200000,240900001,4e+05,241300001,-5.8e+07,183300001,183300001,183300001,183300001,240400000,240400000,296800000,296800000,3.14e+08,31100000,31100000,882300000,2409600000,925900000,457400000,3335500000,4217800000,837800000,836800000,852700000,1795500000,806900000,309200000,497700000,2602400000,3455100000,-1670300000,2433300000,-3e+05,762700000,762700000,4217800000,183300000,54700000,-60700000,177300000,-72800000,8100000,8100000,-80900000,-80900000,-2e+05,-7.3e+07,-3800000,-5300000,-220100000,-115800000,-115800000,-115800000,316600001,1810400000,0.09177,0.0387,0.02709,0.24033,0.04346,1.03471,4.53009,0.42923,7.65281,7.5305,282.51086,31.84285,0.05642,4.95894,5.99465
