"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",94297.0793650794,"Up",2088000,-1288000,8e+05,-10225000,-6365000,-3860000,-9425000,-991000,-1320000,329000,-10416000,-10416000,-10417000,-10417000,-10417000,-12801000,69404000,69404000,1292000,1292000,4045000,1628000,1628000,76369000,2585000,939000,939000,3524000,79893000,7489000,1654000,5835000,11234000,258000,258000,26069000,37303000,201924000,-159334000,42590000,42590000,79893000,-10417000,317000,1417000,762000,-7921000,-208000,-208000,6472000,58745000,58745000,65217000,57088000,57088000,57088000,-9108000,29556000,0.38314,-4.51389,-6.13075,-0.30056,-0.16023,6.79802,0.87586,0.36994,-12230.74167,-12230.74167,1994.98388,40692.70273,-0.1768,4.37505,4.2279
"2","2015_Q3",115024.3875,"Up",3047000,-1634000,1413000,-10497000,-6545000,-3952000,-9084000,-1130000,-1335000,205000,-10214000,-10214000,-10220000,-10220000,-10220000,-10220000,60697000,60697000,1651000,1651000,3759000,1117000,1117000,67224000,2226000,1114000,1114000,3340000,70564000,6784000,998000,5786000,12402000,154000,154000,24530000,36932000,203186000,-169554000,33632000,33632000,70564000,-10220000,322000,1517000,-684000,-9065000,101000,356000,2000,0,0,2000,-8706999.99999999,-8706999.99999999,-8706999.99999999,-8762000,29994000,0.46373,-2.98129,-3.35412,-0.30388,-0.14483,5.42042,1.09812,0.42506,-6668.29785,-6668.29785,1988.09233,21944.05024,-0.16024,3.50411,3.3799
"3","2015_Q4",139175.375,"Up",2721000,-1750000,971000,-10846000,-6892000,-3954000,-9875000,-3383000,-1324000,-2059000,-13258000,-13258000,-13251000,-13251000,-13251000,-13251000,54781000,54781000,2161000,2161000,3205000,680000,680000,60827000,2451000,196000,196000,2647000,63474000,5900000,464000,5436000,5900000,1677000,1677000,30831000,36731000,209548000,-182805000,26743000,26743000,63474000,-13251000,322000,2904000,-2353000,-12378000,-181000,-181000,-22836000,355000,355000,6643000,-5916000,-5916000,-5916000,-9553000,29154000,0.35685,-3.62918,-4.8699,-0.49549,-0.20876,10.30966,1.37348,0.45931,-8709.88415,-8709.88415,1788.51368,17578.17764,-0.23016,2.68261,2.59514
"4","2016_Q1",113015.081967213,"Down",2857000,-1806000,1051000,-13357000,-9429000,-3928000,-12306000,-1150000,-1148000,-2000.00000000047,-13456000,-13456000,-13456000,-13456000,-13456000,-13456000,43059000,43059000,2060000,2060000,5405000,533000,533000,51057000,2822000,225000,225000,3047000,54104000,7481000,1113000,6368000,7481000,1469000,1469000,31034000,38515000,211850000,-196261000,15589000,15589000,54104000,-13456000,339000,2625000,-1027000,-11519000,-289000,-289000,8000,78000,78000,86000.0000000019,-11722000,-11722000,-11722000,-11967000,29565000,0.36787,-4.30732,-4.70984,-0.86317,-0.24871,6.82489,2.47065,0.54645,-8514.43487,-8514.43487,1807.79878,9864.11453,-0.28861,1.1276,1.09654
"5","2016_Q2",93341.25,"Down",4539000,-3360000,1179000,-16208000,-12161000,-4047000,-15029000,-1138000,-1139000,1000,-16167000,-16167000,-16167000,-16167000,-16167000,-16167000,26882000,26882000,4036000,4036000,6540000,1048000,1048000,38506000,3207000,453000,453000,3660000,42166000,9074000,2312000,6762000,9074000,1298000,1298000,31274000,40348000,214246000,-212428000,1818000,1818000,42166000,-16167000,336000,2690000,-3052000,-16193000,-301000,-301000,-9000,419000,419000,317000,-16177000,-16177000,-16177000,-14693000,29976000,0.25975,-3.31108,-3.5618,-8.89274,-0.38341,4.24355,22.19362,0.7109,-10208.85626,-10208.85626,2866.20886,1147.99905,-0.48855,-0.21058,-0.20587
"6","2016_Q3",44051.25,"Down",4680000,-3645000,1035000,-13328000,-9461000,-3867000,-12293000,-1202000,-1206000,4000,-13495000,-13495000,-13495000,-13495000,-13495000,-13495000,22439000,22439000,3404000,3404000,6927000,1081000,1081000,33851000,3918000,422000,422000,4340000,38191000,5728000,703000,5025000,5728000,1057000,1057000,41198000,46926000,217188000,-225923000,-8735000,-8735000,38191000,-13495000,356000,2228000,-4083000,-14994000,-428000,-428000,-5999.99999999907,1330000,1330000,10979000,-4443000,-4443000,-4443000,-11937000,40141000,0.22115,-2.62671,-2.88355,1.54493,-0.35336,5.90974,-5.37218,1.05106,-8477.42442,-8477.42442,2939.92933,-5487.23989,-0.4157,-1.48295,-1.44001
"7","2016_Q4",33465.3968253968,"Down",5316000,-3742000,1574000,-13005000,-9414000,-3591000,-11431000,-1538000,-1526000,-12000,-12969000,-12969000,-12969000,-12969000,-12969000,-12969000,43281000,43281000,4693000,4693000,7080000,773000,773000,55827000,4401000,211000,211000,4612000,60439000,6971000,1326000,5645000,6971000,840000,840000,41553000,48524000,250807000,-238892000,11915000,11915000,60439000,-12969000,403000,2483000,-1001000,-11084000,-139000,-139000,-6000,31908000,31908000,32065000,20842000,20842000,20842000,-11028000,40713000,0.29609,-2.1503,-2.43962,-1.08846,-0.21458,8.00846,4.07251,0.67362,-5851.77665,-5851.77665,2398.64636,5376.19853,-0.24256,0.23286,0.22465
"8","2017_Q1",19667.7419354839,"Down",4679000,-3698000,981000,-12945000,-8914000,-4031000,-11964000,-1533000,-1528000,-5000,-13497000,-13497000,-13497000,-13497000,-13497000,-13497000,36096000,36096000,3570000,3570000,8462000,662000,662000,48790000,4555000,212000,212000,4767000,53557000,7481000,1607000,5874000,48770000,546000,546000,546000,49316000,256630000,-252389000,4241000,4241000,53557000,-13497000,411000,2825000,-537000,-10798000,-103000,-103000,-6000,3731000,3731000,3716000,-7185000,-7185000,-7185000,-11553000,41289000,0.20966,-2.55696,-2.88459,-3.1825,-0.25201,1.00041,11.62839,0.77094,-4673.07193,-4673.07193,1620.01212,1468.3632,-0.29293,-0.44949,-0.43405
"9","2017_Q2",4671.14920634921,"Down",3491000,-4075000,-584000,-13241000,-9318000,-3923000,-13825000,-1515000,-1518000,3000,-15340000,-15340000,-15340000,-15340000,-15340000,-15340000,23034000,23034000,2089000,2089000,8352000,1359000,1359000,34834000,4175000,211000,211000,4386000,39220000,6402000,1161000,5241000,48284000,257000,257000,257000,48541000,258614000,-267935000,-9321000,-9321000,39220000,-15340000,428000,3491000,-1842000,-13263000,-29000,-29000,230000,-6899433.37777526,-6899433.37777526,230000,-13062000,-13062000,-13062000,-13397000,41882000,-0.16729,-3.96018,-4.39416,1.64575,-0.39113,0.72144,-5.2077,1.06787,-5147.65101,-5147.65101,1171.47651,-3127.85235,-0.46743,-1.40688,-1.36333
"10","2017_Q3",2954.96365079365,"Down",2459000,-3919000,-1460000,-9805000,-6189000,-3097000,-11265000,-1534000,-1540000,6000,-12799000,-12799000,-12799000,-12799000,-12799000,-12799000,13964000,13964000,1489000,1489000,6699000,1130000,1130000,23282000,3857000,252000,252000,4109000,27391000,5474000,1150000,4324000,47961000,215000,215000,215000,48176000,259949000,-280734000,-20785000,-20785000,27391000,-12799000,426000,4269000,-944000,-9048000,-16000,-16000,-242000,236000,236000,-5999.99999999953,-9070000,-9070000,-9070000,-10839000,42487000,-0.59374,-4.58113,-5.20496,0.61578,-0.46727,0.48544,-2.31783,1.55113,-4280.60201,-4280.60201,822.40803,-6951.50502,-0.58398,-2.63152,-2.532
