"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q3",7.4046875,"Up",210040000,-201454000,8586000,-13115000,-4164000,-1701000,-7250000,-4529000,-867000,-1012000,145000,-5396000,-5396000,216852.500137872,-5396000,-5396000,252603.92590121,-5396000,-5391000,8403000,8403000,55058000,55058000,107285000,3372000,2612000,760000,174118000,66405000,21750000,12632000,9118000,4965427.3871309,88155000,262273000,62736000,62736000,31078983.7421934,40647000,37843000,37843000,141226000,10090000,10192000,10192000,20282000,161508000,100765000,-74853.8583902536,100765000,100765000,262273000,-5396000,2203000,2076000,-29332000,-30449000,-1111000,-1254000,-1254000,-2120000,-778000,-4009000,38210000,-4070000,34140000,-318000,-318000,-318000,-2326000,50737000,-842496868.164608,0.04088,-0.02156,-0.02567,-0.0535,-0.02055,-23.1356012227687,1.2329,1.60282,0.19345,-0.60818,-0.60818,23.69525,11.36761,-29.6511556522107,-0.03334,-1.14895551225195,-18.20034,-9.34732
"2","2011_Q4",7.74126984126984,"Up",470658000,-439798000,30860000,-22218000,-4163000,-5402000,-12653000,8642000,-2395000,-2676000,281000,6247000,6247000,-158000,6089000,6089000,40867.9753004034,6089000,6083000,10368000,10368000,115202000,115202000,184698000,21876000,7389000,6563000,332144000,227893000,195168000,99264000,92930000,2974000,423061000,755205000,117801000,107933000,9868000,92968000,38780000,38780000,249549000,117590000,19746000,19746000,137336000,386885000,368302000,18000,368320000,368320000,755205000,6089000,5893000,5525000,21621000,39128000,-1910000,-2037000,-2037000,-190398000,1e+06,-191308000,159821000,-5676000,154145000,1965000,1965000,1965000,14535000,210558000,34404000,0.06557,0.01836,0.01292,0.01652,0.00805,5.65576,1.33098,1.0504,0.27881,0.3253,0.3253,25.16943,19.69669,1.83983,0.01016,0.05747,13.77296,23.16478
"3","2012_Q1",8.08596774193548,"Up",438929000,-389798000,49131000,-32532000,-5646000,-6631000,-20255000,16599000,-2213000,-2631000,418000,14386000,14386000,-443000,13943000,13943000,12000,13955000,13941000,7832000,7832000,84004000,84004000,94504000,12284000,10002000,2282000,198624000,231394000,319501000,149490000,167245000,2766000,550895000,749519000,90831000,81369000,9462000,19534000,34436000,34436000,144801000,199177000,212000,212000,199389000,344190000,404870000,31000,404901000,405329000,749519000,13943000,7162000,-18651000,101539000,103993000,-2484000,-3413000,-3413000,-104813000,4575000,-102722000,3880000,-7687000,-3807000,-2536000,-2536000,-2536000,23761000,218711000,123259000,0.11193,0.03782,0.03176,0.03439,0.0186,8.84147,1.3717,0.84916,0.2918,0.5255,0.5255,16.54517,15.2625,4.64618,0.02233,0.19745,8.87501,12.70432
"4","2012_Q2",8.28380952380952,"Up",326436000,-298985000,27451000,-42525000,-9960000,-9227000,-23338000,-15074000,-3408000,-3800000,392000,-18482000,-24251000,-459000,-24710000,-24710000,60000,-24650000,-24745000,21467000,21467000,347709000,347709000,192066000,67216000,62617000,4599000,628458000,435369000,836383000,355673000,476894000,3816000,1271752000,1900210000,375719000,360941000,14778000,92412000,98110000,98110000,566241000,510437000,18350000,18350000,528787000,1095028000,802276000,18000,802294000,805182000,1900210000,-24710000,9928000,2558000,-42685000,-54909000,-2323000,-2684000,-2684000,-295341000,15726000,-281938000,378200000,-27718000,350482000,13635000,13635000,13635000,-5146000,602849000,-49695000,0.08409,-0.04618,-0.0758,-0.03073,-0.01302,2.00828,1.10988,1.35998,0.31725,-0.93275,-0.93275,12.30481,30.242,-1.87322,-0.01735,-0.03484,-112.97746,-38.56853
"5","2012_Q3",9.49952380952381,"Up",1135510000,-1053690000,81820000,-63235000,-10443000,-13361000,-39431000,18585000,-8426000,-8692000,266000,10159000,10159000,-77000,10082000,10082000,-9000,10073000,9379000,26009000,26009000,385494000,385494000,264556000,60238000,5.7e+07,3238000,736297000,425641000,867481000,345942000,515881000,5658000,1293122000,2029419000,431530000,419750000,11780000,78033000,143538000,143538000,653101000,569903000,2599000,2599000,572502000,1225603000,800709000,28000,800737000,803816000,2029419000,10082000,15548000,1554000,-25081000,2103000,-11691000,-11911000,-11911000,-11741000,-4607000,-28039000,43549000,-13071000,30478000,4542000,4542000,4542000,34133000,647936000,-2561999.99999999,0.07206,0.01637,0.00826,0.01167,0.00462,-0.27316,1.12739,1.52473,0.31927,0.2092,0.2092,25.32821,17.8609,-0.0571500000000003,0.00645,-0.00176000000000003,18.2207,33.46392
"6","2012_Q4",9.18693548387097,"Down",1338208000,-1204545000,133663000,-83440000,-14175000,-18747000,-50518000,50223000,-9501000,-9762000,261000,40722000,40722000,-245000,40477000,40477000,-301000,40176000,39234000,23903000,23903000,595274000,595274000,234025000,59338000,58004000,1334000,912540000,520084000,1004845000,487206000,510072000,7567000,1524929000,2437469000,585898000,579371000,6527000,8635000,133301000,133301000,727834000,827570000,1428000,1428000,828998000,1556832000,874832000,32000,874864000,880637000,2437469000,40477000,21435000,-4183000,-6849000,50880000,-22655000,-22774000,-22774000,-186214000,4004000,-204865000,175905000,-24026000,151879000,-2106000,-2106000,-2106000,71658000,836205000,42399000,0.09988,0.03753,0.02932,0.04455,0.0161,1.08067,1.25377,1.76785,0.34306,0.84621,0.84621,28.86285,18.86931,0.91447,0.02283,0.02468,11.33582,16.1739
"7","2013_Q1",9.67383333333333,"Up",1617613000,-1481890000,135723000,-101963000,-18120000,-27518000,-56325000,33760000,-10138000,-10740000,602000,23622000,23435000,-1094000,22341000,22341000,0,22341000,21155000,11561000,11561000,562757000,562757000,126895000,60774000,37891000,22883000,761987000,526437000,1003194000,441432000,555220000,6542000,1529631000,2291618000,542955000,536055000,6900000,8626000,107978000,107978000,659559000,740436000,2205000,2205000,742641000,1402200000,883654000,24000,883678000,889418000,2291618000,22341000,30602000,20763000,60854000,134560000,-30726000,-35106000,-35106000,2491000,-3544000,-31779000,-88338000,-26785000,-115123000,-12342000,-12342000,-12342000,64362000,749062000,95584000,0.0839,0.02087,0.01308,0.02379,0.00923,4.51827,1.1553,1.57654,0.32687,0.44347,0.44347,33.90987,18.52446,2.00372,0.01289,0.05826,11.45864,21.84541
"8","2013_Q2",11.63953125,"Up",1385957000,-1303076000,82881000,-90223000,-18454000,-22724000,-49045000,-7342000,-10572000,-10622000,50000,-17914000,-17914000,406000,-17508000,-17508000,-125000,-17633000,-19321000,4603000,4603000,545317000,545317000,208329000,54284000,39805000,14479000,812533000,536451000,1004317000,434861000,563186000,6270000,1540768000,2353301000,581790000,571286000,10504000,8720000,131710000,131710000,722220000,781816000,3539000,3539000,785355000,1507575000,839227000,-1000,839226000,845726000,2353301000,-17508000,24746000,15208000,3087000,25533000,-29104000,-30192000,-30192000,-4959000,-11054000,-45117000,40996000.0000001,-28370000,12626000,-6958000,-6958000,-6958000,17404000,790536000,-9019000,0.0598,-0.0053,-0.01394,-0.02285,-0.00821,0.4668,1.12505,1.78258,0.33593,-0.40502,-0.40502,29.05368,17.59261,-0.18906,-0.01178,-0.0055,45.15818,-107.04617
"9","2013_Q3",12.37375,"Up",1593937000,-1488850000,105087000,-95142000,-14312000,-25061000,-55769000,9945000,-10641000,-11060000,419000,-696000,-696000,-236000,-932000,-932000,-9000,-941000,-3392000,5528000,5528000,602033000,602033000,355300000,50998000,47927000,3071000,1013859000,631663000,1380971000,534746000,840287000,5938000,2012634000,3026493000,622447000,604018000,18429000,8229000,169982000,169982000,800658000,906066000,2673000,2673000,908739000,1709397000,1309653000,-6000,1309647000,1317096000,3026493000,-932000,27075000,12387000,-112807000,-74277000,-36071000,-37207000,-37207000,-387646000,-8020000,-431737000,123877000,383062000,506939000,925000,925000,925000,37020000,914295000,-111622000,0.06593,0.00624,-0.00213,-0.00258,-0.00112,32.90743,1.26628,1.29785,0.3021,-0.05758,-0.05758,27.05744,22.23155,-1.89481,-0.00152,-0.04996,24.548,91.37929
"10","2013_Q4",13.31984375,"Up",2743445000,-2576029000,167416000,-123744000,-21492000,-35494000,-66758000,43672000,-16591000,-16745000,154000,27081000,24578000,-526000,24052000,24052000,-154000,23898000,19638000,8901000,8901000,1099833000,1099833000,443171000,103094000,96719000,6375000,1654999000,806437000,1767166000,713974000,1037237000,15955000,2821979000,4476978000,1170607000,1152530000,18077000,7799000,203995000,203995000,1382401000,1517519000,39471000,39471000,1556990000,2939391000,1530505000,-106000,1530399000,1537587000,4476978000,24052000,38030000,14253000,37182000,113517000,-35468000,-40546000,-40546000,-847570000,-12096000,-895134000,610294000,174696000,784990000,3373000,3373000,3373000,81702000,1525318000,83942000,0.06102,0.01592,0.00716,0.01277,0.00439,4.27447,1.19719,1.91169,0.3407,0.28904,0.28904,40.37938,22.52517,1.2355,0.00633,0.02706,18.56034,34.72287
