"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",3.16737704918033,"Down",6364000,-5097000,-1480000,-1369000,-2703000,1267000,-1132000,-1046000,-86000,135000,0,135000,343000,713000,713000,-1199000,1818000,1818000,945000,945000,1941000,304000,1637000,4704000,81213000,20634000,4658000,2105000,13871000,101847000,106551000,18029000,4386000,13643000,19498000,65012000,4171000,4133000,69183000,88681000,62423000,61724000,-106277000,17870000,17870000,106551000,343000,1369000,-180000,-52000,1591000,-72000,-81000,-571000,-806000,704000,704000,704000,2636000,66481000,0.19909,-0.1884,-0.0671,-0.01125,0.24126,4.96256,0.62394,-0.73009,-0.73009,3.87515,-27.12909,-0.01354,24.53073,51.03631
"2","2018_Q2",3.28609375,"Up",5987000,-6709000,-879000,-1221000,-2671000,-722000,-1284000,-1275000,-8999.99999999997,-2006000,-441000,-2447000,-2473000,-2528000,-2528000,-4440000,3524000,3524000,599000,599000,2081000,521000,1560000,6204000,80397000,19397000,4416000,2105000,12876000,99794000,105998000,26233000,3996000,22237000,26233000,60455000,3937000,3899000,64392000,90625000,62423000,61755000,-108805000,15373000,15373000,105998000,-2473000,1221000,2035000,-51000,-3000,-163000,-163000,1894000,1804000,1638000,1638000,1638000,499000,60455000,-0.12059,-0.74161,-0.28882,-0.04189,0.2365,5.89508,0.57034,-2.70606,-2.70606,3.64892,-28.67573,-0.05566,114.09018,-78.8518
"3","2018_Q3",2.25666666666667,"Down",5314000,-6641000,-888000,-1160000,-2549000,-1327000,-1538000,-1537000,-1000,-2865000,0,-2865000,-2872000,-3216000,-3216000,-5128000,2737000,2737000,7e+05,7e+05,2159000,389000,1770000,5596000,79533000,17519000,4224000,2105000,11190000,97052000,102648000,30586000,4127000,26459000,30586000,55976000,3884000,3846000,59860000,90446000,62423000,61800000,-112021000,12202000,12202000,102648000,-2872000,1160000,1885000,331000,143000,-103000,-103000,-614000,-713000,-673000,-673000,-673000,-167000,55976000,-0.24972,-0.965,-0.42026,-0.04996,0.18296,7.41239,0.54532,-3.06852,-3.06852,3.17982,-30.0515,-0.07116,-318.79641,-40.11982
"4","2018_Q4",1.86253968253968,"Down",5256000,-4625000,-984000,-1126000,-2563000,631000,-1783000,-1783000,1.81898940354586e-12,-1152000,-3514000,-4666000,-4666000,-4509000,-4509000,-6421000,1884000,1884000,887000,887000,2201000,263000,1938000,4972000,78574000,17792000,4057000,2105000,11630000,96366000,101338000,34466000,4502000,29964000,34466000,55164000,3965000,3927000,59129000,93595000,62423000,61850000,-116530000,7743000,7743000,101338000,-4666000,1126000,3310000,315000,-83000.0000000001,-1.45519152283669e-11,0,-524000,-618000,-701000,-701000,-701000,1757000,55164000,0.12005,-1.22165,-0.82927,-0.06336,0.14426,12.08769,0.54436,-3.81844,-3.81844,3.12564,-32.51709,-0.09602,30.32442,84.4374
"5","2019_Q1",1.23114754098361,"Down",5489000,-4863000,-941000,-1127000,-2597000,626000,-1376000,-1334000,-42000,-750000,-1279000,-2029000,-1958000,-1642000,-1642000,-3891000,2407000,2407000,971000,971000,4697000,472000,2021000,8075000,77237000,15258000,3377000,2105000,9776000,92495000,100570000,35219000,4361000,30858000,36710000,54916000,2793000,2793000,57709000,94419000,62423000,61900000,-118172000,6151000,6151000,100570000,-1958000,1127000,1252000,1337000,1291000,-72000,-72000,-530000,-356000,863000,863000,863000,1753000,54916000,0.11405,-0.70887,-0.63258,-0.03869,0.21997,15.35019,0.54605,-2.27478,-2.27478,3.20901,-32.89802,-0.06093,29.95379,83.88019
"6","2019_Q2",2.02714285714286,"Up",5424000,-4070000,-926000,-1023000,-2293000,1354000,-1661000,-1654000,-7000.00000000001,-307000,357000,50000.0000000002,6000,184000,184000,-2065000,1533000,1533000,1001000,1001000,2436000,669000,1767000,4970000,76422000,55442000,3296000,2105000,50041000,131864000,136834000,33298000,4229000,29069000,39331000,89878000,1263000,1219000,91141000,130472000,62423000,61927000,-117988000,6362000,6362000,136834000,6000,1023000,-624000,-288000,-165000,-87000,1105000,-1653000,-2153000,-1213000,-1213000,-1213000,2377000,89878000,0.24963,-0.38072,-0.32458,-0.01509,0.12636,20.50802,0.65684,-1.22334,-1.22334,3.21327,-33.21149,-0.02118,37.1666,65.24742
"7","2019_Q3",1.83875,"Down",5301000,-3684000,-895000,-841000,-2022000,1617000,-1771000,-1724000,-47000,-154000,-1221000,-1375000,-1375000,-1243000,-1243000,-3492000,1165000,1165000,1116000,1116000,23516000,546000,1545000,25797000,56038000,53230000,3174000,1585000,48471000,109268000,135065000,9377000,4020000,5357000,40080000,88661000,1184000,1140000,89845000,129925000,62423000,61948000,-119231000,5140000,5140000,135065000,-1375000,841000,1004000,327000,6e+05,-8000,-8000,-650000,-1010000,-418000,-418000,-418000,2458000,88661000,0.30504,-0.65874,-0.67938,-0.02585,0.64364,25.27724,0.65643,-2.06872,-2.06872,3.1404,-33.93543,-0.03676,35.59642,54.11008
"8","2019_Q4",1.421875,"Down",4830000,-3538000,-730000,-797000,-1979000,1292000,-1109000,-1157000,48000,183000,5527000,5710000,5710000,5811000,5811000,3561000,3421000,3421000,912000,912000,2083000,277000,1806000,6416000,55512000,52443000,3055000,1585000,47803000,107955000,114371000,8019000,3405000,4614000,14112000,87995000,1291000,1247000,89286000,103398000,62423000,61970000,-113420000,10973000,10973000,114371000,5710000,797000,-5679000,423000,750000,2539000,2539000,-626000,-1054000,2235000,2235000,2235000,2089000,87995000,0.26749,0.73727,0.32452,0.03114,0.45465,9.42295,0.76938,2.1096,2.1096,2.86137,-30.47986,0.03552,40.4854,65.45975
"9","2020_Q1",1.33387096774194,"Down",4579000,-3380000,-641000,-777000,-2029000,1199000,-730000,-730000,0,469000,20000,489000,533000,748000,748000,-1501000,4383000,4383000,963000,963000,4744000,249000,4495000,10090000,54672000,48996000,2933000,1585000,44478000,103668000,113758000,6312000,3699000,2613000,6312000,88216000,7487000,7487000,95703000,102015000,62423000,61992000,-112672000,11743000,11743000,113758000,533000,777000,-491000,64000,1211000,185000,185000,-451000,-448000,948000,948000,948000,1976000,88216000,0.26185,-0.3278,-0.12782,-0.01319,1.59854,8.6873,0.77547,-0.88922,-0.88922,2.71268,-30.0237,-0.01397,42.42561,69.9191
"10","2020_Q2",1.28507936507937,"Down",4548000,-3517000,-877000,-776000,-1864000,880000,-859000,-715000,-144000,21000,2000,23000,23000,-14000,-14000,-2263000,3990000,3990000,1410000,1410000,4496000,336000,4160000,9896000,54175000,48292000,2811000,1585000,43896000,102467000,112363000,5944000,3538000,2406000,5944000,93441000,1237000,1237000,94678000,100622000,62423000,62004000,-112686000,11741000,11741000,112363000,23000,776000,-185000.000000001,-344000,-135000,-157000,-157000,-436000,-436000,-728000,-728000,-728000,1656000,93441000,0.19349,-0.49758,-0.19274,-0.02014,1.66487,8.57014,0.8316,-1.34064,-1.34064,2.69431,-30.02488,-0.02126,54.0163,101.64886
