"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",3.82984126984127,"Down",933143,-561820,371323,-728231,-534562,-134278,-59391,-356908,3978,3978,-352930,-5706,-358636,104557,-254079,-254079,-254079,-254079,73366921.9418442,73366921.9418442,-125656769.956665,-125656769.956665,-48497531.3951475,-2330222.5637348,-2587154.54398824,-103117601.973703,1429624.80949905,4916370.84885481,-2383223.90604329,3793217.76104856,6345995.65835386,-96771606.3153488,-115393243.492805,-92191088.3383667,-23202155.1544384,-115387313.736551,-115554061.016752,17581859.011174,1208664.26677169,18782454.7014027,18782454.7014027,-96771606.3153488,-254079,59391,51954,-309116,-451850,-201882,-201882,2294924.86748621,3053630.73931927,-653732,-653732,-653732,-297517,0,-913072,0.39793,-0.38248,-0.27228,-0.811433403042375,-0.59202520632096,3.59365,341.32718160023,-7.83775568828272,-0.00774604815293032,-0.04381,-0.04381,0.16089,3.13350535987234,-0.15743,-0.811474513698652,2.8276708672344,702.337646139185,1297.02526976831
"2","2011_Q3",4.85453125,"Up",909656,-446941,462715,-679007,-490851,-127850,-60306,-216292,3165,3165,-213127,9.09494701772928e-13,-213127,130930,-82196.9999999999,-82196.9999999999,-82196.9999999999,-82196.9999999999,32965186.9709221,32965186.9709221,-56693122.9783323,-56693122.9783323,-17430535.1975738,-794268.281867398,-1098930.77199412,-41952739.4868513,1821361.90474953,2702893.9244274,-850294.953021646,1449274.88052428,4524255.82917693,-37428483.6576744,-53391553.7464025,-42824576.6691834,-10566977.0772192,-53388588.8682753,-53471962.5083758,16071411.505587,-23898.3666141575,16043478.8507014,16043478.8507014,-37428483.6576744,-82196.9999999999,60306,22893,-1455297,-1454295,-25600,-25600,1376954.92049173,1526815.36965963,-1479895,-1479895,-1479895,-155986,0,-1767813,0.50867,-0.23777,-0.0903600000000002,-0.403126701521187,-0.29967760316048,21.50703,172.395425800115,-3.61683784414136,-0.00387302407646516,-0.01417,-0.01417,0.15684,2.71369267993617,-0.3048,-0.403147256849326,1.0095054336172,319.139598069592,563.852654884154
"3","2011_Q4",4.60650793650794,"Down",439890,-249707,190183,-753179,-614820,-77645,-60714,-562996,2764,2764,-560232,0,-560232,266598,-293634,-293634,-293634,-293634,11542683.9903074,11542683.9903074,-16666615.6594441,-16666615.6594441,-723882.065857921,56857.9060442005,-279624.923998039,-5790955.82895045,2119373.30158318,1574398.30814247,56591.3489927847,388436.293508094,3693771.60972564,-2097184.21922481,-16825575.9154675,-13687334.8897278,-3138241.02573973,-16824587.6227584,-16852378.8361253,15085169.168529,-328629.788871386,14755194.6169005,14755194.6169005,-2097184.21922481,-293634,60714,22396,-1344525,-1555049,-8402,-8402,688477.460245864,508938.456553211,-1563451,-1563451,-1563451,-502282,0,-2121807,0.43234,-1.27986,-0.66752,-0.147592233840396,-0.113399201053493,7.22603,70.5255919333717,-1.13461594804712,-0.00129100802548839,-0.05063,-0.05063,0.07584,2.52652755997872,-0.36583,-0.147599085616442,0.1528184778724,104.744152689864,167.408441628051
"4","2012_Q1",5.26322580645161,"Up",1358691,-1022387,336304,-698405,-526142,-110243,-62020,-362101,-2929,-2929,-365030,4.54747350886464e-13,-365030,183492,-181538,-181538,-181538,-181538,3738544,3738544,1803909,1803909,5664119,410844,58451,11617416,2299306,1240539,502436,220431,3539845,15157261,594997,207074,387923,594997,594997,14610516,-48252,14562264,14562264,15157261,-181538,62020,34235,-152538,-237821,-157074,-157074,229492.486748621,0,-394895,-394895,-394895,-300081,1.13686837721616e-13,-793185,0.24752,-0.26651,-0.13361,-0.01247,-0.01198,4.36925,19.52517,0.04086,0,-0.0313,-0.0313,0.23426,2.51074,-0.13676,-0.01247,-0.05447,12.45845,10.32459
"5","2012_Q2",5.84063492063492,"Up",6115679,-4364387,1751292,-871924,-707953,-92876,-71095,879368,-4162,-4162,875206,-20124.7159429773,875206,-352441,522765,522765,522765,522765,4191898,4191898,6099608,6099608,5775159,455378,102985,16522043,2336807,1410971,652240,554988,3747778,20269821,5160472,3845087,1315385,5160472,5160472,14634836,474513,15109349,15109349,20269821,522765,71095,20733,97161,711754,-258400,-258400,0,0,453354,453354,453354,950463,0,1141665,0.28636,0.14379,0.08548,0.0346,0.02579,2.1839,3.20165,0.34154,0,0.09013,0.08957,1.05443,2.60506,0.19684,0.0346,0.07556,-4.41037,-4.76694
"6","2012_Q3",5.41222222222222,"Down",4728029,-3204236,1523793,-888910,-761765,-61629,-65516,634883,-4260,-4260,630623,-26362,604261,-161197,443064,443064,443064,443064,6808285,6808285,4064315,4064315,3919025,410791,58398,15202416,2341875,1634792,637044,940752,3976667,19179083,3583687,2651445,932242,3583687,3583687,14677819,917577,15595396,15595396,19179083,443064,65516,69345,2120212,2698137,-81750,-81750,0,0,2616387,2616387,2616387,700399,1.81898940354586e-12,2900058,0.32229,0.13428,0.09371,0.02841,0.0231,6.54546,4.24212,0.22979,0,0.07639,0.07642,0.81518,2.68886,0.50001,0.02841,0.18596,-9.72058,-10.72368
"7","2012_Q4",7.68629032258065,"Up",2549188,-1747644,801544,-742192,-633024,-44393,-64775,59352,-4363,-4363,54989,1830,56819,-36178,20641,20641,20641,20641,6226836,6226836,3079187,3079187,4137408,464771,112378,13908202,2290157,1621657,621849,987452,3911814,17820016,2154949,1612585,542364,2154949,2154949,14726849,938218,15665067,15665067,17820016,20641,64775,47200,-718033,-585417,3968,3968,0,-1.16415321826935e-10,-581449,-581449,-581449,124127,0,-553760,0.31443,0.02328,0.0081,0.00132,0.00116,-26.82816,6.45407,0.13756,-4.33680868994202e-19,0.00356,0.00349,0.43952,2.70087,-0.09548,0.00132,-0.03535,-50.16504,-104.91367
"8","2013_Q1",8.86116666666667,"Up",754721,-923647,-168926,-785063,-669969,-43625,-71469,-953989,-8152,-8152,-962141,0,-962141,350506,-611635,-611635,-611635,-611635,8235495,8235495,2716985,2716985,6116785,353924,138236,17423189,2441186,2169320,606653,1098292,4610506,22033695,1903263,1141162,762101,1903263,1903263,19803849,326583,20130432,20130432,22033695,-611635,71469,70689,-2320873,-2790350,-207302,-207302,-1.16415321826935e-10,5006311,2008659,2008659,2008659,-882520,2.91038304567337e-11,-3761201,-0.22383,-1.26403,-0.81041,-0.03038,-0.02776,6.14942,9.15438,0.09455,0,-0.09839,-0.10055,0.12141,3.23826,-0.60504,-0.03038,-0.18684,9.33179,8.63269
"9","2013_Q2",8.80234375,"Down",6719735,-5641333,1078402,-923567,-750351,-103431,-69785,154835,-7868,-7868,146967,-3443.91336405102,146967,-58211,88756,88756,88756,88756,8652433,8652433,6069461,6069461,8273667,254651,96374,23250212,7855043,2470534,647999,1358160,10325577,33575789,7194398,6773250,421148,7348174,9803184,23357266,415339,23772605,23772605,33575789,88756,69785,90831,-378818,-129446,-5524988,-5524988,2608786,6071372,416938,416938,416938,224620,2608786,-5620975,0.16048,0.02304,0.01321,0.00372999999999999,0.00264,-63.33065,3.16408,0.41237,0.0777,0.01298,0.01277,0.98248,3.47575,-0.82183,0.00336000000000001,-0.21307,-26.90609,-39.03282
"10","2013_Q3",7.91328125,"Down",13685883,-12101431,1584452,-1317489,-1065089,-102036,-150364,266963,-14229,-14229,252734,-1253.76181240262,252734,-106125,146609,146609,146609,146609,3037474,3037474,14669480,14669480,3011867,288337,236185,21007158,8731544,10244208,5329830,3048003,18975752,39982910,6247386,3655836,2591550,6501900,13531851,25889111,561948,26451059,26451059,39982910,146609,150364,409575,-6368490,-5661942,-928696.000000001,-3928696,3975679,3975679,-5614959,-5614959,-5614959,417327,7284465,-6773734,0.11577,0.0195100000000002,0.0107100000000001,0.00554,0.00367,-46.20272,3.23093,0.51158,0.18219,0.01879,0.01755,1.75439,3.39076,-0.86833,0.00435,-0.20079,10.17665,15.90854
"11","2013_Q4",6.56734375,"Down",4208735,-5677409,-1468674,-1504821,-1280563,-69835,-154423,-2973495,-8804,-8804,-2982299,-5.45696821063757e-12,-2982299,1109925,-1872374,-1872374,-1872374,-1872374,14075372,14075372,8843523,8843523,3532389,729351,129004,27180635,9679275,10305872,5231661,2642880,19985147,47165782,4310161,1701490,2608671,4573832,7614186,40862022,-1310426,39551596,39551596,47165782,-1872374,154423,2019060,926439,1227548,-1003985,-1003985,1400697,10814335,11037898,11037898,11037898,-2819072,3304025,-4006543,-0.34896,-0.70651,-0.44488,-0.04734,-0.0397,2.13982,5.94264,0.19251,0.07005,-0.2068,-0.22317,0.46485,4.36846,-0.44252,-0.04369,-0.09349,3.82088,3.62244999999999
"12","2014_Q1",6.72213114754098,"Up",12723905,-10323048,2400857,-3217428,-2666835,-230570,-320023,-816571,-459981,-196008,-1276552,0,-1276552,397534,-879018,-879018,-879018,-879018,11781074,11781074,12700106,12700106,25822467,1463911,509037,51767558,10239435,23576226,15240835,1582599,33815661,85583219,22068806,19512235,2556571,30234635,35526156,54350343,-2189444,50057063,50057063,85583219,-879018,320023,903107,-758862.999999998,-414751,-338707,-5338707,3614433,3607668,-2145790,-2145790,-2294298,-496548,5615746,-1991652,0.18869,-0.0641800000000001,-0.0690799999999999,-0.01756,-0.01027,2.26577000000001,1.71219,0.70971,0.06562,-0.07718,-0.07718,1.11716,4.39501,-0.17487,-0.01567,-0.0355,12.41638,7.55027
"13","2014_Q2",6.97063492063492,"Up",12378586,-10071006,2307580,-2142296,-1594203,-233639,-314454,165284,-103013,-136998,62271,10782.2426715231,62271,-21062,41209,41209,41209,41209,5134269,5134269,12840666,12840666,28155707,1525166,468082,47655808,10257989,24421308,15198918,2402372,34679297,82335105,19103342,15776227,3327115,26762404,31890882,54423911,-2148235,50444223,50444223,82335105,41209,314454,227780,-6775319,-6191876,-89839,-89839,-198884,-362127,-6643842,-6643842,-6646805,479738,5545590,-6364358,0.18642,0.01335,0.00333,0.000820000000000001,0.000499999999999995,-154.44097,1.7807,0.6322,0.06735,0.00356,0.00348,1.07049,4.36238,-0.55039,0.000730000000000001,-0.113,0.85739,2.48857
"14","2014_Q3",5.89328125,"Down",11460197,-9082368,2377829,-2034823,-1471040,-246449,-317334,343006,-146914,-143127,196092,3.63797880709171e-12,196092,-85960,110132,110132,110132,110132,2589409,2589409,11869036,11869036,23376518,1415509,274470,39250472,10320650,23530553,14486444,2424476,33851203,73101675,7292441,5744639,1547802,18420010,23372307,54613035,-2038103,49729368,49729368,73101675,110132,317334,235294,-6688456,-6025696,-155019,-155019,3781131,3635375,-2545340,-2545340,-2544860,660340,4898926,-6097175,0.20749,0.02993,0.00960999999999999,0.00221,0.00151,-55.3624300000001,2.13086,0.46999,0.06702,0.00953,0.00944,0.99123,4.30124,-0.52736,0.002,-0.11096,3.49747,6.73317
"15","2014_Q4",3.5534375,"Down",8130726,-6482692,1648034,-2204948,-1722395,-167172,-315381,-556914,-99562,-110779,-656476,-31576,-688052,289458,-398594,-398594,-398594,-398594,1663840,1663840,11074254,11074254,31762471,2986960,1278372,47487525,10304046,24068258,14649926,2871119,34372304,81859829,14550451,13002437,1548014,26696253,31635626,54796375,-2436697,50224203,50224203,81859829,-398594,315381,231550,-1259372,-1111035,-44458,-396357,749041,717273,-790119,-790119,-925570,-241533,4884633,-1834821,0.20269,-0.06849,-0.04902,-0.00794,-0.00487,4.60323,1.77881,0.62989,0.05967,-0.03448,-0.03569,0.70341,4.34505,-0.15874,-0.00719,-0.0331,-13.33479,-5.78329
"16","2015_Q1",4.54983606557377,"Up",19564134,-15925670,3638464,-2539826,-2027938,-193318,-318570,1098638,-199680,-209836,898958,-9053,889905,-269552,620353,620353,620353,620353,1167503,1167503,24255596,24255596,28485584,1531572,230907,55440255,10356809,23503345,14590771,2306624,33860154,89300409,16899273,15026669,1872604,33055677,37786174,55133542,-1816344,51514235,51514235,89300409,620353,318570,267291,-5744645,-4538431,-120268,-122894,4050487,3953870,-707455,-707455,-496336,1417208,4870395,-4178153,0.18598,0.05616,0.03171,0.01204,0.00695,-6.73512,1.67718,0.73351,0.05454,0.05345,0.05064,1.68575,4.43874,-0.36001,0.01098,-0.07393,2.61281,3.37044
