"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",16.64453125,"Down",174565000,-104641000,69924000,-55986000,-51796000,-1810000,-2380000,13938000,-3289000,-3289000,10649000,10649000,-3887000,6762000,6762000,6762000,6762000,3960000,3960000,418000,418000,212581000,11330000,6771000,228289000,38726000,680316000,233291000,444850000,2175000,719042000,947331000,82316000,50995000,31321000,3367000,85683000,224124000,95772000,91673000,4099000,319896000,405579000,532241000,-86000,9597000,541752000,541752000,947331000,6762000,2358000,1332000,-8680000,1772000,-4893000,-4893000,7568000,-1486000,-1486000,217000,6299000,3178000,3178000,3178000,16296000,227491000,6610000,0.40056,0.07984,0.03874,0.01248,0.00714,0.97752,2.66434,0.74864,0.24014,0.11563,0.11139,2.98514,9.2642,0.11303,0.00782,0.00764,13.71692,16.03752
"2","2016_Q1",20.5432786885246,"Up",243402000,-144563000,98839000,-65533000,-62541000,-1907000,-1085000,33306000,-3130000,-3130000,30176000,25817000,-9753000,16064000,16064000,16064000,16064000,30259000,30259000,183000,183000,190608000,2756000,2756000,223806000,39292000,680724000,233354000,444850000,2520000,720016000,943822000,91750000,52075000,35573000,5018000,96768000,193433000,91672000,87171000,4501000,285105000,381873000,536374000,-86000,25661000,561949000,561949000,943822000,16064000,2440000,5424000,37303000,61231000,-3443000,-3443000,-32038000,1914000,1914000,-1365000,-31489000,26299000,26299000,26299000,35746000,198451000,79359000,0.40607,0.13684,0.066,0.02859,0.01702,4.94018,2.31281,0.67955,0.21026,0.2743,0.26387,4.15624,9.59563,1.3551,0.01885,0.09314,4.7052,5.0499
"3","2016_Q2",24.88421875,"Up",193719000,-114704000,79015000,-58036000,-54809000,-1978000,-1249000,20979000,-1664000,-1664000,19315000,19315000,-7567000,11748000,11748000,11748000,11748000,37129000,37129000,262000,262000,206413000,6153000,6153000,249957000,41203000,680606000,233259000,444850000,2497000,721809000,971766000,95533000,58387000,33895000,5018000,100551000,192268000,91101000,86603000,4498000,283369000,383920000,550523000,-86000,37409000,587846000,587846000,971766000,11748000,2506000,-3609000,-10304000,341000,-4821000,-4821000,-1254000,7825000,7825000,4779000,11350000,6870000,6870000,6870000,23485000,197286000,15927000,0.40788,0.1083,0.06064,0.01998,0.01209,1.35572,2.48587,0.6531,0.20302,0.19689,0.18989,3.24656,9.85178,0.26692,0.01341,0.01818,6.81954,7.63416
"4","2016_Q3",26.07109375,"Up",211256000,-127442000,83814000,-61829000,-57737000,-2068000,-2024000,21985000,-1471000,-1471000,20514000,20514000,-7379000,13135000,13135000,13135000,13135000,30732000,30732000,163000,163000,215724000,7484000,7484000,254103000,44967000,680450000,233165000,444850000,2435000,725417000,979520000,87919000,54181000,33738000,5052000,92971000,191209000,90546000,85582000,4964000,281755000,374726000,554336000,-86000,50544000,604794000,604794000,979520000,13135000,2594000,183000,-17939000,-2026999.99999999,-5161000,-5161000,-1295000,1370000,1370000,716000,791000,-6397000,-6397000,-6397000,24579000,196261000,8858000,0.39674,0.10407,0.06218,0.02172,0.01341,0.67438,2.73314,0.61959,0.20036,0.21875,0.21064,3.51824,10.07218,0.14752,0.01473,0.00993,6.73457,7.52918
"5","2016_Q4",28.8555555555556,"Up",201985000,-117795000,84190000,-65543000,-60522000,-2142000,-2879000,18647000,-1405000,-1405000,17242000,17242000,-6781000,10461000,10461000,10461000,10461000,35961000,35961000,283000,283000,240767000,5363000,5363000,282374000,46890000,680320000,233070000,444850000,2400000,727210000,1009584000,101222000,58011000,43211000,5091000,106313000,190105000,91314000,85982000,5332000,281419000,387732000,560933000,-86000,61005000,621852000,621852000,1009584000,10461000,2670000,-38000,-7246000,5847000,-4236000,-4236000,-1272000,2551000,2551000,2339000,3618000,5229000,5229000,5229000,21317000,195196000,16616000,0.41681,0.09232,0.05179,0.01682,0.01036,1.58838,2.65606,0.62351,0.19334,0.17348,0.16733,3.34967,10.31264,0.27556,0.01152,0.01829,7.46986,8.53944
"6","2017_Q1",31.4540322580645,"Up",283355000,-169963000,113392000,-72809000,-69823000,-2255000,-731000,40583000,-1395000,-1395000,39188000,39188000,-14768000,24420000,24420000,24420000,24420000,98683000,98683000,301000,301000,210107000,3739000,3739000,312830000,46333000,680212000,232977000,444850000,2385000,726545000,1039375000,99744000,50448000,44748000,5077000,104821000,188923000,94370000,89224000,5146000,283293000,388114000,565922000,-86000,85425000,651261000,651261000,1039375000,24420000,2898000,3224000,32385000,62927000,-2205000,-2205000,-1283000,1558000,1558000,1725000,2e+06,62722000,62722000,62722000,43481000,1.94e+08,88429000,0.40018,0.14322,0.08618,0.0375,0.02349,3.62117,2.98442,0.59594,0.18665,0.4028,0.38812,4.6739,10.74245,1.45862,0.02599,0.09411,2.19215,2.34869
"7","2017_Q2",39.1725396825397,"Up",227602000,-134667000,92935000,-65601000,-61731000,-2272000,-1598000,27334000,-1334000,-1334000,2.6e+07,25603000,-6637000,18966000,18966000,18966000,18966000,33720000,33720000,330000,330000,246630000,3312000,3312000,283992000,47061000,680078000,232890000,444850000,2338000,727139000,1011131000,114793000,62935000,39939000,6340000,121133000,121905000,93619000,88360000,5259000,215524000,336657000,570169000,-86000,104391000,674474000,674474000,1011131000,18966000,2862000,1621000,-21530000,1919000,-2945000,-2945000,-66273000,2555000,2555000,-219000,-63937000,-64963000,-64963000,-64963000,30196000,128245000,12358000,0.40832,0.1201,0.08333,0.02812,0.01876,0.65159,2.34446,0.49914,0.12683,0.31153,0.29455,3.73853,11.07875,0.20299,0.02116,0.01379,3.13038,3.45815
"8","2017_Q3",44.1420634920635,"Up",254645000,-154419000,100226000,-70408000,-65778000,-2375000,-2255000,29818000,-1124000,-1124000,28694000,28694000,-8982000,19712000,19712000,19712000,19712000,24820000,24820000,766000,766000,253008000,4193000,4193000,282787000,49975000,679975000,232806000,444850000,2319000,729950000,1012737000,92252000,53276000,37040000,8887000,101139000,119552000,94275000,87600000,6675000,213827000,314966000,573754000,-86000,124103000,697771000,697771000,1012737000,19712000,2976000,1565000,-28856000,-4603000,-5705000,-5705000,-48999.9999999851,1457000,1457000,0,1408000,-8900000.00000001,-8900000.00000001,-8900000.00000001,32794000,128439000,7215000,0.39359,0.1171,0.07741,0.02825,0.01946,0.36602,2.79602,0.45139,0.12682,0.32212,0.30378,4.16127,11.4026,0.1179,0.02141,0.00784,3.15969,3.47505
"9","2017_Q4",47.1574603174603,"Up",238116000,-140127000,97989000,-73779000,-68124000,-2503000,-3152000,24210000,-1143000,-1143000,23067000,23067000,-4205000,18862000,18862000,18862000,18862000,42164000,42164000,990000,990000,284331000,3882000,3882000,331367000,53632000,679829000,232723000,444850000,2256000,733461000,1064828000,122040000,70618000,45691000,8882000,130922000,117120000,94954000,88011000,6943000,212074000,342996000,578953000,-86000,142965000,721832000,721832000,1064828000,18862000,3123000,2419000,-1336000,23068000,-6469000,-6469000,-2561000,3306000,3306000,0,745000,17344000,17344000,17344000,27333000,126002000,23733000,0.41152,0.10167,0.07921,0.02613,0.01771,1.25824,2.53103,0.47517,0.11833,0.30676,0.28972,3.87262,11.73959,0.38598,0.02001,0.02517,3.06728,3.46295
"10","2018_Q1",56.9081967213115,"Up",356669000,-216172000,140497000,-86103000,-82541000,-2667000,-895000,54394000,-870000,-870000,53524000,53123000,16931000,70054000,70054000,70054000,70054000,39234000,39234000,1271000,1271000,255185000,7986000,7986000,303676000,54888000,679635000,232639000,444850000,2146000,734523000,1038199000,126568000,74206000,46327000,10158000,136726000,38835000,66176000,59073000,7103000,105011000,241737000,583529000,-86000,213019000,796462000,796462000,1038199000,70054000,3300000,-27089000,29287000,75552000,-4038000,-4038000,-77539000,3095000,3095000,5.82076609134674e-11,-74444000,-2930000,-2930000,-2930000,57694000,48993000,66012000,0.39391,0.15251,0.19641,0.08796,0.06748,0.9423,2.22106,0.30351,0.04719,1.13263,1.07087,5.76658,12.87711,1.06727,0.07684,0.07241,0.16915,0.17941
