"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",12.83625,"Up",53935000,-24537000,29398000,-15504000,-10535000,-5733000,-4802000,-4600000,13894000,-378000,-325000,-53000,13516000,13441000,-1114000,12327000,12327000,12327000,12327000,62972308.8756146,63202500.8914456,79681079.1612875,79681079.1612875,56790380.4159372,-10795192.1921692,-19976117.2518084,188648576.26067,24438642.0286964,-18435213.5775254,-10186599.1132424,-6104908.30541108,10692450.840229,1273580.53827577,6003428.45117103,194652004.711841,21870553.6217246,4286361.2092803,18158370.9754125,1854374.06211045,3213052.02991397,-1358677.96780352,24748567.4168992,5080937.76812807,1773632.04249916,7111847.38175581,31860414.798655,224737045.609502,-61043995.7037015,-901459.992614408,162791589.913186,162791589.913186,194652004.711841,12327000,1456000,431000,-2912000,11302000,-1262000,-1045917.64160901,-1294000,581000,-1399000,8609000,8609000,484000,9093000,15350000,0,12290000,0.54506,0.25761,0.22855,0.295245744145048,0.231049097907205,0.997,6.72027496260463,0.216831710466924,0.0236721835620731,0.56088,0.56088,2.45404,7.28511577546578,0.5592,0.270835951814811,-0.562075824583114,40.2281370334859,45.5247775237821
"2","2011_Q1",16.6812903225806,"Up",46130000,-22689000,23441000,-14774000,-10375000,-5498000,-4877000,-4872000,8667000,-226000,-335000,109000,8441000,8441000,17687000,26128000,26128000,26128000,26128000,66460000,66460000,44523000,44523000,44634000,12630000,2986000,168247000,35186000,16463000,5972000,0,9256000,1235000,51649000,219896000,20549000,11486000,8813000,11356000,4063000,7293000,32477000,7103000,3912000,16570000,49047000,225777000,-5.7e+07,2072000,170849000,170849000,219896000,26128000,-67000,-15461000,-7660000,2940000,-1143000,0,2335000,-3416000,-2382000,2893000,2893000,-429000,2464000,8600000,10039000,-17890000,0.50815,0.18788,0.5664,0.15293,0.11882,-0.68471,5.1805,0.28708,0.04565,1.17524,1.12032,2.07494,7.68482,-0.8047,0.13899,-0.09516,-6.56058,-6.50987
"3","2011_Q2",16.417619047619,"Down",62143000,-27220000,34923000,-17860000,-12198000,-6699000,-5499000,-5488000,17063000,-810000,-297000,-513000,16253000,16253000,-5743000,10510000,10510000,10510000,10510000,78067980.3747951,77991249.7028515,37214973.6129042,37214973.6129042,43455956.5280209,18946480.7307231,9145289.08393612,177685391.246443,38419535.9904345,22004487.8591751,8629866.37108081,4812644.98324665,8443516.38659035,1190389.82057474,60424023.8496097,238109415.096053,21171148.7927585,14546296.2635732,6339376.34152917,13371291.9792965,4490399.32336201,8880892.6559345,35027810.8610336,8967520.74395731,4953955.98583361,19939550.8727481,54967361.7337817,226729068.130166,-46945418.0987662,3358403.33087147,183142053.362271,183142053.362271,238109415.096053,10510000,1428000,473000,-1912000,10499000,-755000,522958.820804503,-816000,2213000,3630000,13313000,13313000,398000,13711000,18491000,0,21567000,0.56198,0.27458,0.16913,0.0830997519516508,0.0643661340309316,2.05205,5.10912501246512,0.298060263177692,0.0476792721459756,0.4657,0.4492,2.75359,8.16961974151141,0.95565,0.0749555160617298,0.0949527748610381,-14.2420923444953,-15.2561900079274
"4","2011_Q3",16.445,"Up",64372000,-28500000,35872000,-18387000,-12439000,-6997000,-5442000,-5779000,17485000,-746000,-276000,-470000,16739000,16739000,-5652000,11087000,11087000,11087000,11087000,91685000,91685000,43546000,43546000,48143000,16279000,6367000,199653000,37349000,13966000,5165000,8382326.64432886,7662000,1139000,51315000,250968000,22222000,14542000,7680000,12296000,4767000,7529000,35121000,10345000,5248000,19496000,54617000,228309000,-35403000,3445000,196351000,196351000,250968000,11087000,1482000,2332000,265000,15166000,-991000,522958.820804503,-930000,-931000,-3348000,10888000,10888000,626000,11514000,18967000,9754000,23893000,0.55726,0.27162,0.17223,0.05647,0.04418,2.15505,5.68472,0.27816,0.03887,0.48829,0.47285,2.83502,8.64754,1.05228,0.05122,0.11039,-4.31966,-4.68578999999999
"5","2011_Q4",16.9866666666667,"Up",58269000,-27673000,30596000,-18850000,-12679000,-6862000,-5817000,-6045000,11746000,567000,-267000,834000,12313000,12313000,-4694000,7619000,7619000,7619000,7619000,100149000,100149000,45183000,45183000,53296000,14265000,3514000,212893000,35329000,11887000,4836000,10758344.9832466,5960000,1091000,47216000,260109000,21425000,11924000,9501000,14041000,5102000,8939000,36214000,10696000,5228000,17581000,53795000,231436000,-27784000,2662000,206314000,206314000,260109000,7619000,1812000,2149000,-1835000,9745000,-336000,0,-336000,296000,-59000,9350000,9350000,-886000,8464000,13558000,7633000,16081000,0.52508,0.20158,0.13076,0.03693,0.02929,2.11064,5.87875,0.26074,0.02935,0.33313,0.32385,2.54772,9.02077,0.70312,0.03392,0.07158,-6.82372,-7.87638
"6","2012_Q1",18.6495161290323,"Up",45277000,-24567000,20710000,-18738000,-12604000,-6461000,-6143000,-5978000,1972000,-193000,-276000,83000,1779000,-721000.000000002,189999.999999999,-531000,-531000,-531000,-531000,97699000,97699000,29289000,29289000,53897000,20525000,8119000,201410000,35521000,30290000,14394000,11990000,2864000,1042000,65811000,267221000,17519000,7975000,8837000,22497000,5788000,16709000,40781000,9761000,5214000,16448000,57229000,236758000,-28315000,1549000,209992000,209992000,267221000,-531000,261000,3321000,15567000,18618000,-673000,0,-24585000,1779000,3492000,-2475000,-2475000,25000.0000000002,-2450000,2233000,7452000,16937000,0.45741,0.04355,-0.01173,-0.00253,-0.00199,-31.89642,4.93882,0.27253,0.02789,-0.02326,-0.02255,1.98348,9.19928,0.74197,-0.00234,0.07455,-40.41514,-45.7642
"7","2012_Q2",15.977619047619,"Down",55492000,-30426000,25066000,-20960000,-13292000,-7211000,-6081000,-7476000,4106000,-392000,-217000,-175000,3714000,3714000,-2011000,1703000,1703000,1703000,1703000,95478000,95478000,38783000,38783000,50862000,20156000,10629000,205279000,38255000,29601000,13618000,11951000,3140000,892000,67856000,273135000,18613000,10364000,7661000,21949000,7648000,14301000,41337000,10003000,4562000,16554000,57891000,240061000,-26612000,1795000,215244000,215244000,273135000,1703000,1790000,4216000,-10645000,-2936000,-867000,-2.3283064365387e-10,-867000,522000,1550000,-2253000,-2253000,32000,-2221000,5896000,7326000,-3605000,0.4517,0.07399,0.03069,0.00791,0.00624,-2.11685,4.96599,0.26896,0.02682,0.07294,0.07101,2.37663,9.21855,-0.1544,0.00732,-0.0155,-14.95115,-21.46907
"8","2012_Q3",14.9652380952381,"Down",53181000,-28422000,24759000,-20463000,-12624000,-7041000,-5583000,-7644000,4296000,-280000,-231000,-49000,4016000,4016000,490000,4506000,4506000,4506000,4506000,95747000,81990000,40308000,40308000,47229000,19333000,10056000,202617000,42203000,28818000,12229000,10796000,4927000,866000,71021000,273638000,16292000,8988000,6967000,23627000,9245000,14382000,40709000,9804000,4508000,16153000,56862000,238255000,-22106000,627000,216776000,216776000,273638000,4506000,2067000,902000,-2370000,5105000,-1768000,-13764000,-15024000,78000,-3652000,-13571000,-13571000,83000,-13488000,6363000,7139000,1735000,0.46556,0.08078,0.08473,0.02079,0.01647,0.38504,4.9772,0.26231,0.02609,0.19261,0.1888,2.27318,9.26591,0.0741599999999998,0.01928,0.00742000000000001,-13.92551,-20.6257
"9","2012_Q4",13.9374193548387,"Down",43938000,-21786000,22152000,-18538000,-11169000,-6308000,-4861000,-7176000,3614000,-355000,-234000,-121000,3259000,3259000,-1356000,1903000,1903000,1903000,1903000,104799000,67464000,30099000,30099000,44728000,17852000,10116000,197478000,43080000,28090000,11614000,11079000,4512000,885000,71170000,268648000,12608000,5329000,7247000,18837000,9730000,9107000,32356000,9428000,4408000,14041000,46397000,240718000,-20203000,1736000,222251000,222251000,268648000,1903000,2134000,4581000,1988000,10606000,-1070000,-23665000,-24735000,91000,-693000,-14822000,-14822000,296000,-14526000,5748000,5524000,8022000,0.50416,0.08225,0.04331,0.00856,0.00708,4.21545,6.10329,0.20876,0.02056,0.08164,0.08005,1.88502,9.53499,0.34416,0.00802,0.03382,-17.27122,-27.46956
"10","2013_Q1",15.1161666666667,"Up",30270000,-18319000,11951000,-18489000,-11004000,-5897000,-5107000,-7289000,-6538000,168000,-225000,393000,-6370000,-6370000,2723000,-3647000,-3647000,-3647000,-3647000,109908000,62915000,21388000,21388000,41933000,16085000,7492000,189314000,43213000,26927000,10980000,11352000,3671000,924000,70140000,259454000,13492000,6398000,6670000,16307000,8485000,7822000,30727000,8582000,4275000,12956000,43683000,238349000,-23850000,1272000,215771000,215771000,259454000,-3647000,2146000,1984000,10750000,11233000,-1285000,-9882000,-11167000,-699000,-4014000,-3948000,-3948000,-601000,-4549000,-4392000,5302000,2350000,0.39481,-0.21599,-0.12048,-0.0169,-0.01406,-0.64437,6.16116,0.20245,0.02044,-0.15599,-0.15351,1.29475,9.22927,0.10052,-0.01588,0.01023,23.8174,15.99969
"11","2013_Q2",14.44703125,"Down",24552000,-14066000,10486000,-20089000,-12444000,-6932000,-5512000,-7447000,-9603000,-161000,-201000,40000,-9764000,-9764000,4182000,-5582000,-5582000,-5582000,-5582000,95284000,47345000,19747000,19747000,45069000,19696000,7141000,179796000,42938000,25399000,9938000,11041000,3591000,829000,68337000,248133000,12562000,6362000,5926000,16606000,8221000,8385000,30113000,8037000,4291000,12168000,42281000,235951000,-29432000,-667000,205852000,205852000,248133000,-5582000,2108000,-519000,-4528000,-8521000,-997000,-1181000,-2178000,-586000,-4215000,-14914000,-14914000,-656000,-15570000,-7495000,5076000,-17202000,0.42709,-0.39113,-0.22735,-0.02712,-0.0225,3.08169,5.97071,0.2054,0.02046,-0.23915,-0.23915,1.05188,8.81933,-0.73699,-0.02549,-0.07856,12.03576,9.39373
"12","2013_Q3",15.04890625,"Up",34552000,-20072000,14480000,-20636000,-12120000,-6613000,-5507000,-8321000,-6156000,-822000,-185000,-637000,-6978000,-6978000,2412000,-4566000,-4566000,-4566000,-4566000,86264000,39102000,32191000,32191000,41692000,23304000,8221000,183451000,43831000,24743000,9226000,11255000,3582000,680000,68574000,252025000,14340000,8630000,5466000,20776000,11847000,8929000,39962000,7809000,4350000,7809000,47771000,238962000,-33998000,-710000,204254000,204254000,252025000,-4566000,2160000,1211000,-7242000,-8437000,-973000,515000,-458000,-83000.0000000001,948000,-7947000,-7947000,-296000,-8243000,-3996000,4846000,-14623000,0.41908,-0.17817,-0.13215,-0.02235,-0.01812,3.20258,4.59064,0.23388,0.01923,-0.19734,-0.19733,1.4933,8.82764,-0.63199,-0.02105,-0.06742,20.37487,13.2258
"13","2013_Q4",17.54390625,"Up",39044000,-23243000,15801000,-21303000,-12181000,-6758000,-5423000,-8927000,-5502000,-445000,-112000,-333000,-5947000,-7687000,3133000,-4554000,-4554000,-4554000,-4554000,92890000,43833000,22924000,22924000,38856000,25625000,7534000,180295000,46597000,24428000,8559000,11580000,3566000,723000,71025000,251320000,20274000,11967000,7982000,19315000,11272000,8043000,39589000,7929000,4398000,7929000,47518000,241902000,-38552000,452000,203802000,203802000,251320000,-4554000,2268000,3553000,11778000,13045000,-1546000,-2101000,-3647000,-619000,-5053000,4345000,4345000,386000,4731000,-3234000,0,3865000,0.4047,-0.14092,-0.11664,-0.02235,-0.01812,-0.8487,4.55417,0.23316,0,-0.19577,-0.19578,1.67845,8.76116,0.16615,-0.02151,0.01825,28.72294,16.88295
"14","2014_Q1",18.1796721311475,"Up",46159000,-24250000,21909000,-20617000,-12485000,-6826000,-5659000,-8019000,1292000,-428000,-91000,-337000,864000,864000,-308000,556000,556000,556000,556000,92862000,44765000,31436000,31436000,41421000,25035000,10519000,190754000,47439000,24641000,7864000,11743000,4338000,696000,72080000,262834000,19215000,10604000,7853000,29742000,21749000,7993000,48957000,6504000,2786000,6504000,55461000,244757000,-37996000,612000,207373000,207373000,262834000,556000,2251000,5674000,-6999000,1482000,-2173000,674000,-1499000,-950000,824999.999999999,808000,808000,124000,932000,3543000,4.65661287307739e-10,-5321000,0.47464,0.02799,0.01205,0.00268,0.00212,-9.57014,3.89636,0.26745,0,0.02374,0.02374,1.97101,8.8549,-0.22721,0.0026,-0.02488,-26.20999,-71.87461
