"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",39.2850793650794,"Down",1.0345e+10,-9.8e+09,5.45e+08,-3.47e+08,-3.47e+08,1.98e+08,-1.09e+08,-5.9e+07,-5e+07,184211169.986036,8.9e+07,8.9e+07,-9e+06,8e+07,8e+07,-1.7e+07,6.3e+07,-1.9e+07,4.4e+07,4.73e+08,4.73e+08,2.368e+09,2.368e+09,3.89e+09,4.626e+09,3.327e+09,1.1357e+10,4.653e+09,6.54e+09,9.91e+08,2.05e+08,9.48e+08,5.86e+08,3.81e+09,1.1193e+10,2.255e+10,3.285e+09,3.285e+09,6.43e+08,3.001e+09,2.906e+09,6.929e+09,3.544e+09,1.204e+09,1.12e+08,1.092e+09,4.748e+09,1.1677e+10,1.553e+09,4.197e+09,416356501.955856,4.008e+09,2.29e+08,9.987e+09,8.86e+08,1.0873e+10,2.255e+10,8e+07,1.02e+08,8.7e+07,4.91e+08,7.6e+08,-2.85e+08,1925942052.01457,3.7e+07,-3.81e+08,-4.9e+07,-2.86e+08,1e+06,1e+06,1.3e+07,-3.21e+08,5.8e+07,5.8e+07,-348136034.82994,5.8e+07,3e+08,4.187e+09,5.15e+08,0.05268,0.01914,0.00425,0.00405,0.00195,11.70455,1.63905,1.07394,0.18568,0.31403,0.31142,73.83374,60.19466,3.67563,0.34972,51.3839697550973,0.00572,0.03167,1.11364,12.38,18.75758
"2","2010_Q3",40.22453125,"Up",1.0974e+10,-1.0549e+10,4.25e+08,-4.15e+08,-4.15e+08,1e+07,-1.3e+08,-7.8e+07,-4.9e+07,-3e+06,-1.2e+08,2.32e+09,-5.42e+08,1.787e+09,1.787e+09,-9e+06,1.778e+09,-2e+07,1.758e+09,2.771e+09,2.771e+09,2.489e+09,2.489e+09,4.571e+09,3.125e+09,2.98e+09,1.2956e+10,4.651e+09,4.487e+09,9.6e+08,1.91e+08,9.66e+08,5.84e+08,1.786e+09,9.138e+09,2.2094e+10,3.278e+09,3.278e+09,1.016e+09,2.413e+09,2.345e+09,6.707e+09,2.828e+09,8.72e+08,1.15e+08,7.57e+08,3.7e+09,1.0407e+10,1.553e+09,4.253e+09,-1.07e+08,5.734e+09,-2.5e+07,1.1408e+10,2.79e+08,1.1687e+10,2.2094e+10,1.787e+09,1.13e+08,-2.047e+09,-7.72e+08,-9.19e+08,-2.59e+08,908971026.007285,-1.22e+08,3.503e+09,-5e+07,-2.54e+08,-84999999.9999999,1e+06,9e+06,-3.8e+08,2.204e+09,2.204e+09,-4.4e+07,2.16e+09,1.23e+08,3.844e+09,-3.66e+08,0.03873,0.000910000000000011,0.1602,0.15042,0.07957,-0.20819,1.93171,0.89048,0.17398,12.20544,11.02549,76.19024,68.42126,-2.54106,0.34714,25.9381172027186,0.11022,-0.02231,0.0284400000000002,8.72358,107.3
"3","2010_Q4",45.5146875,"Up",1.1662e+10,-1.095e+10,7.12e+08,-3.57e+08,-3.57e+08,3.55e+08,3e+07,-4.2e+07,7.7e+07,-4999999.99999999,3.85e+08,2.95e+08,-9.7e+07,2.06e+08,2.06e+08,6e+06,2.12e+08,-1.9e+07,1.93e+08,3.5e+08,3.5e+08,3.003e+09,3.003e+09,5.568e+09,4.405e+09,4.262e+09,1.3326e+10,4.992e+09,4.783e+09,9.5e+08,1.96e+08,1.06e+09,5.99e+08,1.978e+09,9.775e+09,2.3101e+10,3.856e+09,3.856e+09,9.72e+08,2.837e+09,2.765e+09,7.665e+09,2.378e+09,9.23e+08,1.2e+08,8.03e+08,3.301e+09,1.0966e+10,1.553e+09,4.271e+09,-3.54e+08,5.895e+09,4.65e+08,1.183e+10,3.05e+08,1.2135e+10,2.3101e+10,2.06e+08,1.11e+08,-1.03e+08,-1.675e+09,-1.461e+09,-2.05e+08,320323675.335762,1.2e+07,-1.7e+08,-5.1e+07,-5.05e+08,-2.66e+08,2e+06,7e+06,-8.15e+08,-2.446e+09,-2.446e+09,2.5e+07,-2.421e+09,4.66e+08,3.35e+09,-1.317e+09,0.06105,0.03044,0.01655,0.0159,0.00835,-6.82383,1.73855,0.90367,0.14502,1.38252,1.30411,83.5383,73.61714,-9.43405,0.36533,10.9767939510195,0.01487,-0.08027,0.26425,6.43777,8.4507
"4","2011_Q1",51.8546774193548,"Up",1.0972e+10,-1.0341e+10,6.31e+08,-3.36e+08,-3.36e+08,2.95e+08,5.3e+07,-4.8e+07,6.6e+07,3.5e+07,3.48e+08,3.45e+08,-5.1e+07,2.77e+08,3.15e+08,-1.4e+07,3.01e+08,-9e+06,2.92e+08,5.78e+08,5.78e+08,2.901e+09,2.901e+09,6.635e+09,5.701e+09,5.468e+09,1.5815e+10,5.312e+09,4.874e+09,9.34e+08,1.86e+08,1.2e+09,6.09e+08,1.945e+09,1.0186e+10,2.6001e+10,3.637e+09,3.637e+09,2.33e+09,4.037e+09,3.775e+09,1.0004e+10,2.551e+09,8.92e+08,8.4e+07,8.08e+08,3.443e+09,1.3447e+10,6.9e+08,4.794e+09,-398780451.474747,6.153e+09,5.83e+08,1.222e+10,3.34e+08,1.2554e+10,2.6001e+10,3.15e+08,1.17e+08,1.2e+07,-1.259e+09,-8.15e+08,-3.07e+08,5e+07,-7.2e+07,-4.43e+08,-5.2e+07,1.525e+09,2e+06,2e+06,1.1e+07,1.486e+09,2.28e+08,2.28e+08,0,2.28e+08,4.12e+08,4.881e+09,-1.103e+09,0.05751,0.02689,0.02661,0.02326,0.01123,-3.7774,1.58087,1.07113,0.18772,2.07066,1.6556,77.80588,81.76283,-7.82172,0.36875,4,0.01877,-0.06018,0.17808,10.44417,14.58644
"5","2011_Q2",53.2226984126984,"Up",1.2194e+10,-1.1555e+10,6.39e+08,-3.44e+08,-3.44e+08,2.95e+08,-1.7e+07,-5.1e+07,4.2e+07,-8e+06,2.78e+08,2.78e+08,-4.3e+07,2.35e+08,2.35e+08,-3e+06,2.32e+08,-8e+06,2.24e+08,8.12e+08,8.12e+08,3.138e+09,3.138e+09,6.719e+09,5.234e+09,5.037e+09,1.5903e+10,5.564e+09,5.006e+09,9.69e+08,2.13e+08,1.297e+09,6.05e+08,1.922e+09,1.057e+10,2.6473e+10,4.033e+09,4.033e+09,1.647e+09,3.676e+09,3.464e+09,9.356e+09,3.041e+09,9.71e+08,1.45e+08,8.26e+08,4.012e+09,1.3368e+10,6.9e+08,4.817e+09,-320826121.577253,6.343e+09,8.74e+08,1.2724e+10,3.81e+08,1.3105e+10,2.6473e+10,2.35e+08,1.04e+08,-4.3e+07,4.38e+08,7.34e+08,-2.07e+08,-1.2e+07,7e+06,-2.82e+08,-4.8e+07,-2.16e+08,1.2e+07,1.2e+07,2.2e+07,-2.3e+08,2.22e+08,2.22e+08,1.2e+07,2.34e+08,3.99e+08,4.688e+09,6.73e+08,0.0524,0.02419,0.01837,0.01709,0.00846,3.00446,1.69976,1.02007,0.17709,1.52544,1.43915,83.04121,81.95161,4.58313,0.32688,2.50773534966018,0.0145,0.03587,0.21429,9.71429,13.13898
"6","2011_Q3",48.4203125,"Down",1.4488e+10,-1.3841e+10,6.47e+08,-3.83e+08,-3.83e+08,2.64e+08,3.1e+07,-4.7e+07,7.7e+07,1e+06,2.95e+08,3.32e+08,-2e+07,3.12e+08,3.12e+08,4e+06,3.16e+08,-9e+06,3.07e+08,4.7e+08,4.7e+08,3.037e+09,3.037e+09,6.974e+09,5.155e+09,4.986e+09,1.5636e+10,5.84e+09,5.032e+09,1.021e+09,2.17e+08,1.297e+09,6.02e+08,1.895e+09,1.0872e+10,2.6508e+10,3.404e+09,3.404e+09,1.52e+09,3.425e+09,3.275e+09,8.349e+09,3.504e+09,9.04e+08,7.9e+07,8.25e+08,4.408e+09,1.2757e+10,6.9e+08,4.832e+09,-200958730.891132,6.613e+09,1.224e+09,1.3359e+10,3.92e+08,1.3751e+10,2.6508e+10,3.12e+08,1.43e+08,-1.8e+08,-7.45e+08,-4.7e+08,-2.47e+08,2e+06,1e+08,-1.58e+08,-3.7e+07,3.15e+08,4e+06,4e+06,6e+06,2.88e+08,-3.4e+08,-3.4e+08,-2e+06,-3.42e+08,4.07e+08,5.024e+09,-5.65e+08,0.04466,0.01822,0.02119,0.02233,0.01158,-1.84039,1.8728,0.92771,0.18953,2.08444,1.96572,98.36942,86.01892,-3.83619,0.25122,4,0.01748,-0.02871,0.12052,11.18919,17.25
"7","2011_Q4",44.6711111111111,"Down",1.5616e+10,-1.491e+10,7.06e+08,-3.94e+08,-3.94e+08,3.12e+08,-1.8e+08,-5.2e+07,-1.27e+08,-999999.999999998,1.32e+08,1.32e+08,1e+06,1.33e+08,1.33e+08,7e+06,1.4e+08,-8e+06,1.32e+08,1.055e+09,1.055e+09,2.515e+09,2.515e+09,6.247e+09,5.356e+09,5.113e+09,1.5173e+10,5.269e+09,4.459e+09,8.67e+08,1.9e+08,1.182e+09,6.12e+08,1.608e+09,9.728e+09,2.4901e+10,3.203e+09,3.203e+09,1.568e+09,3.846e+09,3.711e+09,8.617e+09,3.468e+09,7.87e+08,8.5e+07,7.02e+08,4.255e+09,1.2872e+10,6.9e+08,4.818e+09,-1.2e+08,6.709e+09,-4.19e+08,1.1678e+10,3.51e+08,1.2029e+10,2.4901e+10,1.33e+08,1.51e+08,3.97e+08,4.18e+08,1.099e+09,-2.51e+08,-1.8e+07,1.4e+07,-2.76e+08,-4.4e+07,-2e+06,-1.17e+08,3e+06,-1e+06,-1.64e+08,6.59e+08,6.59e+08,-7.4e+07,5.85e+08,4.63e+08,5.036e+09,6.29e+08,0.04521,0.01998,0.00845,0.01097,0.0053,4.76515,1.76082,1.07008,0.20224,0.89989,0.89412,106.45972,74.90903,4.28811,0.29996,6,0.00986,0.03523,0.33333,8.59827,12.75962
"8","2012_Q1",47.7241935483871,"Up",1.3799e+10,-1.3164e+10,6.35e+08,-3.15e+08,-3.15e+08,3.2e+08,-4.2e+07,-4.9e+07,-7999999.99999997,1.5e+07,2.78e+08,2.78e+08,7e+06,2.85e+08,2.6e+08,-6e+06,2.54e+08,-9e+06,2.45e+08,8.35e+08,8.35e+08,2.459e+09,2.459e+09,5.733e+09,6.047e+09,5.742e+09,1.5074e+10,5.517e+09,4.63e+09,8.93e+08,2.2e+08,1.211e+09,6e+08,1.706e+09,1.0147e+10,2.5221e+10,3.173e+09,3.173e+09,7.33e+08,4.987e+09,4.835e+09,8.893e+09,3.348e+09,9.05e+08,1.34e+08,7.71e+08,4.253e+09,1.3146e+10,6.9e+08,4.83e+09,-1.2e+08,6.917e+09,-6.1e+08,1.1707e+10,3.68e+08,1.2075e+10,2.5221e+10,2.6e+08,1.28e+08,-2.45e+08,1.108e+09,1.251e+09,-2.79e+08,6.8e+07,-1.61e+08,-5.04e+08,-4.5e+07,-9.21e+08,3999999.99999999,4e+06,8e+06,-9.54e+08,-2.07e+08,-2.07e+08,-1.3e+07,-2.2e+08,4.48e+08,4.081e+09,1.27e+09,0.04602,0.02319,0.01775,0.02029,0.00971,5.18367,1.69504,1.0887,0.16181,1.68358,1.51815,94.82309,75.70592,8.72711,0.30923,6,0.017,0.07444,0.18367,7.24554,10.14375
"9","2012_Q2",47.5719047619048,"Down",1.2909e+10,-1.2372e+10,5.37e+08,-3.93e+08,-3.93e+08,1.44e+08,2e+07,-3.7e+07,5.8e+07,-1e+06,1.64e+08,1.64e+08,-4e+07,1.24e+08,8.9e+07,3e+06,9.2e+07,-8e+06,8.4e+07,1.25e+09,1.25e+09,2.908e+09,2.908e+09,6.368e+09,4.225e+09,3.91e+09,1.4751e+10,5.791e+09,5.254e+09,9.15e+08,2.7e+08,1.33e+09,6.27e+08,2.112e+09,1.1045e+10,2.5796e+10,3.834e+09,3.834e+09,7.72e+08,2.977e+09,2.789e+09,7.583e+09,4.471e+09,9.72e+08,1.61e+08,8.11e+08,5.443e+09,1.3026e+10,6.9e+08,4.856e+09,-1.2e+08,6.964e+09,-2.65e+08,1.2125e+10,6.45e+08,1.277e+10,2.5796e+10,8.9e+07,1.2e+08,-1.4e+07,-4.97e+08,-3.02e+08,-2.24e+08,9e+06,4.1e+07,-3.21e+08,-4.7e+07,1.069e+09,8e+06,8e+06,3e+06,1.033e+09,4.1e+08,4.1e+08,5e+06,4.15e+08,2.64e+08,5.243e+09,-4.17e+08,0.0416,0.01116,0.00651,0.00658,0.00326,-4.96429,1.94527,1.02005,0.20325,0.57646,0.57305,88.58884,78.47342,-2.86169,0.32254,3,0.0069,-0.02196,0.55952,15.125,27.72917
"10","2012_Q3",49.0325396825397,"Up",1.4499e+10,-1.3856e+10,6.43e+08,-3.74e+08,-3.74e+08,2.69e+08,-5.6e+07,-6.2e+07,1.3e+07,-7e+06,2.13e+08,3.34e+08,-7.5e+07,2.59e+08,2.66e+08,8e+06,2.74e+08,-9e+06,2.65e+08,4.67e+08,4.67e+08,2.805e+09,2.805e+09,7.93e+09,5.158e+09,4.764e+09,1.636e+10,5.596e+09,4.757e+09,8.8e+08,3.06e+08,1.276e+09,2.78e+08,2.017e+09,1.0353e+10,2.6713e+10,3.048e+09,3.048e+09,2.647e+09,3.979e+09,3.704e+09,9.674e+09,4.247e+09,9.2e+08,1.55e+08,7.65e+08,5.167e+09,1.4841e+10,6.9e+08,4.869e+09,-1.2e+08,7.19e+09,-1.365e+09,1.1264e+10,6.08e+08,1.1872e+10,2.6713e+10,2.66e+08,1.44e+08,-2.04e+08,-2.603e+09,-2.397e+09,-2.49e+08,1.2e+07,4.94e+08,3.8e+07,-4.2e+07,1.674e+09,2e+06,2e+06,-3e+06,1.631e+09,-7.28e+08,-7.28e+08,-5.5e+07,-7.83e+08,4.13e+08,6.894e+09,-2.364e+09,0.04435,0.01855,0.01828,0.02232,0.00992,-8.92075,1.69113,1.25008,0.25808,1.81538,1.71548,99.32525,72.43708,-16.19456,0.28772,2,0.01559,-0.12009,0.15849,15.56174,23.89219
