"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"1","2015_Q1",27.6193442622951,"Up",327655000,-247887000,79768000,-55389000,-40811000,-14578000,24379000,-9648000,-11160000,-11183000,23000,1512000,14731000,-52676000,-37945000,-11835000,-49780000,-49780000,-49780000,-49405000,299811000,34758000,426264000,43725000,771376000,190359000,556863000,15665000,8489000,815101000,1241365000,128203000,16548000,111655000,4067000,246902000,379172000,412190000,57794000,30368000,27426000,469984000,849156000,635558000,-217149000,-26200000,392209000,392209000,1241365000,-49780000,14578000,60260000,-10939000,14119000,-7812000,-7812000,-206887000,156150000,156150000,0,-8748000,-59485000,-53178000,-53178000,-6172000,-59350000,38957000,416257000,32041000,0.24345,0.0744,-0.15078,-0.12597,-0.0398,-0.64854,1.1242,2.16506,0.33532,-0.85916,-0.87276,5.69795,6.82055,0.5572,-0.05703,0.03699
"2","2015_Q2",34.5011111111111,"Up",308917000,-222851000,86066000,-50044000,-35800000,-14244000,36022000,-1839000,-5305000,-5389000,84000,3466000,34183000,-3634999.99999999,30548000,-5292000,25256000,25256000,25256000,25256000,320973000,30965000,477322000,41813000,757368000,180801000,553597000,11355000,11615000,799181000,1276503000,111036000,14010000,97026000,4504000,282510000,398050000,414450000,55049000,28526000,26523000,469499000,867549000,636265000,-191893000,-35418000,408954000,408954000,1276503000,25256000,14244000,3724000,407000,43631000,-4870000,-4870000,-1261999.99999994,0,0,-271693269.13451,0,-1261999.99999997,37499000,37499000,-7603000,29896000,50266000,418954000,51095000,0.27861,0.11661,0.08176,0.06176,0.01979,2.02308,1.19915,2.12139,0.3282,0.41238,0.40023,5.04404,6.67745,0.83429,0.0286,0.05787
"3","2015_Q3",43.67671875,"Up",337292000,-247926000,89366000,-51018000,-37125000,-13893000,38348000,-2513000,-4188000,-4233000,45000,1675000,35835000,-12204000,23631000,-310000,23321000,23321000,23321000,23321000,328176000,34466000,426687000,40469000,748588000,171323000,553584000,12221000,11460000,789057000,1215744000,115027000,14756000,100271000,111000,297093000,412231000,4.75e+08,48145000,27236000,20909000,523145000,935376000,584016000,-266054000,-37594000,280368000,280368000,1215744000,23321000,13893000,7899000,6531000,51644000,-2799000,-2799000,50920000,-1.5e+08,0,-1.5e+08,-7051000,-106131000,-57286000,-57286000,-552000,-57838000,52241000,475111000,56283000,0.26495,0.11369,0.06914,0.08318,0.01918,2.4134,1.03507,3.33624,0.3908,0.40049,0.3857,5.79231,4.81476,0.96655,0.02902,0.07004
"4","2015_Q4",44.48125,"Up",350145000,-251181000,98964000,-54248000,-40429000,-13819000,44716000,-4040000,-3037000,-3065000,28000,-1003000,40676000,-375000,40301000,-2487000,37814000,37814000,37814000,37814000,385211000,37423000,521302000,39734000,742005000,161755000,552838000,15910000,11502000,781739000,1303041000,124853000,14348000,110505000,52999.9999999981,337279000,462185000,4.75e+08,48003000,27826000,20177000,523003000,985188000,584567000,-228240000,-38474000,317853000,317853000,1303041000,37814000,13819000,4610000,-10396000,45847000,-3896000,-3896000,-57000,1058000,1058000,0,-2992000,-1991000.00000001,39960000,39960000,-2380000,37580000,58535000,475053000,46730000,0.28264,0.12771,0.108,0.11897,0.02902,1.23579,1.12791,3.09951,0.36457,0.67135,0.64349,6.21651,5.6432,0.82965,0.04497,0.05557
"5","2016_Q1",41.2145901639344,"Down",402885000,-304945000,97940000,-57313000,-43255000,-14058000,40627000,-3199000,-2918000,-2953000,35000,-281000,37428000,-934000,36494000,-5838000,30656000,30656000,30656000,30656000,337035000,38571000,422046000,44813000,744360000,152340000,553008000,12073000,26939000,789173000,1211219000,133759000,22497000,111262000,29804000,311029000,474592000,472035000,47158000,28066000,19092000,519193000,993785000,560449000,-301472000,-41543000,217434000,217434000,1211219000,30656000,14058000,7688000,11216000,63618000,-9546000,-9546000,29946000,-132402000,2598000,-1.35e+08,441000,-102015000,-47943000,-47943000,-3137000,-51080000,54685000,501839000,62193000,0.2431,0.10084,0.07609,0.14099,0.02531,2.02874,0.88928,4.57051,0.41433,0.54986,0.52626,7.22638,3.90002,1.11553,0.04,0.08115
"6","2016_Q2",43.93484375,"Up",413087000,-316148000,96939000,-57832000,-43479000,-14353000,39107000,-8087000,-2970000,-3004000,34000,-5117000,31020000,-6599000,24421000,-7016000,17405000,17405000,17405000,17405000,396897000,33768000,450078000,45525000,732739000,142930000,553218000,12083000,24508000,778264000,1228342000,185327000,40370000,144957000,5781000,281776000,472884000,466450000,36951000,14943000,22008000,503401000,976285000,564777000,-276513000,-36207000,252057000,252057000,1228342000,17405000,14353000,10843000,-43247000,-646000,-4774000,-4774000,-3e+07,3558999.99999997,3559000,-204885687.290206,-11000.0000000002,-26452000,-31872000,-31872000,42000,-31830000,53460000,472231000,12455000,0.23467,0.09467,0.04213,0.06905,0.01417,0.7156,0.95177,3.87327,0.38445,0.32258,0.31157,7.65614,4.67162,0.23084,0.02286,0.01636
"7","2016_Q3",43.373125,"Down",399647000,-300340000,99307000,-57119000,-42596000,-14523000,42188000,-6304000,-3044000,-3087000,43000,-3260000,35884000,-2533000,33351000,-2948000,30403000,30403000,30403000,30403000,392513000,35819000,484429000,46350000,721325000,133434000,552815000,11109000,23967000,767675000,1252104000,174637000,27092000,147545000,15625000,284205000,474467000,456804000,32196000,3749000,28447000,4.89e+08,963467000,573146000,-246110000,-38399000,288637000,288637000,1252104000,30403000,14523000,5065000,-4969000,45022000,-6716000,-6716000,0,5566000,5566000,-156923937.52786,-26000,5540000,43846000,43846000,-5111000,38735000,56711000,472429000,47974000,0.24849,0.10556,0.07607,0.10533,0.02428,1.57794,1.021,3.33799,0.37731,0.55993,0.54216,7.36025,5.31579,0.88353,0.03833,0.06048
"8","2016_Q4",48.4115873015873,"Up",391791000,-291875000,99916000,-56512000,-41743000,-14769000,43404000,-5548000,-3164000,-3226000,62000,-2384000,37856000,-4447000,33409000,-6078000,27331000,27331000,27331000,27331000,384093000,36008000,487041000,45960000,711153000,124004000,553026000,10512000,23611000,757113000,1244154000,168352000,22206000,146146000,30938000,283431000,482721000,466641000,32930000,4062000,28868000,499571000,982292000,565993000,-267482000,-36649000,261862000,261862000,1244154000,27331000,14769000,10350000,-1702000,50748000,-5336000,-5336000,2.5e+07,-59210000,5290000,-64500000,-1656000,-35866000,9546000.00000001,9546000.00000001,1486000,11032000,58173000,497579000,57213000,0.25502,0.11078,0.06976,0.10437,0.02197,2.09334,1.00895,3.75118,0.39993,0.50439,0.49186,7.23048,4.83265,1.05586,0.03449,0.0722
"9","2017_Q1",49.7532258064516,"Up",406071000,-298529000,107542000,-60127000,-44568000,-15559000,47415000,-863000,-2622000,-2699000,77000,1759000,46552000,-3615000,42937000,-5446000,37491000,37491000,37491000,37491000,420158000,34202000,522629000,58306000,707572000,114486000,552502000,14726000,25858000,765878000,1288507000,177252000,23693000,153559000,11875000,277600000,466727000,485849000,34458000,8295000,26163000,520307000,987034000,573714000,-229991000,-42250000,301473000,301473000,1288507000,37491000,15559000,-9550000,-29134000,14366000,-14527000,-14527000,0,3476000,3476000,0,-14000,3462000,3301000,3301000,-3623000,-322000,62974000,497724000,24759000,0.26484,0.11677,0.09233,0.12436,0.0291,0.6604,1.11977,3.27404,0.38628,0.69835,0.68249,7.56396,5.61559,0.46119,0.04497,0.0297
"10","2017_Q2",51.9634920634921,"Up",381918000,-284675000,97243000,-60562000,-44934000,-15628000,36681000,-6445000,-2988000,-3100000,112000,-3457000,30236000,-1929000,28307000,-7120000,21187000,21187000,21187000,21187000,374741000,27272000,539146000,57485000,694967000,105074000,553071000,18136000,18686000,752452000,1291598000,152514000,18851000,133663000,17813000,287920000,458247000,470053000,27852000,1903000,25949000,497905000,956152000,583513000,-210813000,-37254000,335446000,335446000,1291598000,21187000,15628000,9171000,29713000,75699000,-10571000,-10571000,-9999999.99999997,5153000,5153000,3.72529029846191e-09,-1173000,-6020000,59108000,59108000,2854000,61962000,52309000,487866000,78571000,0.25462,0.09604,0.05548,0.06316,0.0164,3.70845,1.17654,2.85039,0.37772,0.39224,0.38436,7.07059,6.21024,1.45461,0.02489,0.09231
