"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",71.0020634920635,"Up",497623000,-340559000,157064000,-125445000,-74594000,-33040000,-17811000,31619000,-15348000,-14756000,-592000,16271000,19800755.4516906,16271000,8979000,25250000,25250000,-98283592.9229502,25250000,25250000,221735345.663487,221735345.663487,288344692.085082,288344692.085082,23465257.9704383,161735450.519749,43712536.7302877,695280746.238756,245015715.796432,1017713100.62397,195113637.984262,698851028.587117,98035147.2224881,37305500.8183489,1262728816.42041,1958009562.65916,336518094.707476,228601462.532458,107916632.175018,71630708.0272555,35164004.7187569,40888728.3242396,-230717082.465984,1239948295.0363,267030125.048543,37841358.8683675,37841358.8683675,91070018.5313465,138118747.648829,1506978420.08484,1276261337.61886,1311297957.62063,51356815.1407155,-681027553.489695,681627219.27165,681748225.040305,1958009562.65916,25250000,33277000,-2281000,9533000,65779000,-16151000,3102000,-13049000,-52837000,4542000,4542000,-96000,-48391000,4339000,4339000,-2814000,1525000,64896000,0,49299000,0.31563,0.06354,0.05074,0.0404623859729737,0.0174444258064724,1.95244,3.19472590778007,1.41704410809477,0.291783676623214,0.62825,0.61793,12.38145,17.1529516227302,1.22662,0.0220562606855922,0.109961287625798,10.1250390267857,23.7877023405448
"2","2010_Q3",59.2996875,"Down",567339000,-393283000,174056000,-124047000,-74259000,-33022000,-16766000,50009000,-14279000,-13854000,-425000.000000001,35730000,0,35730000,-10419000,25311000,25311000,-47520796.4614751,25311000,25311000,137371000,137371000,366476000,366476000,201678000,86169000,65336000,791694000,289409000,1545517000,309030000,1146082000,67684000,15612000,1834926000,2626620000,338924000,235441000,103483000,125539000,37987000,85927000,474645000,686112000,182878000,54953000,54953000,60017000,67908000,868990000,1343635000,1315067000,83937000,-116019000,1282985000,1282985000,2626620000,25311000,31794000,14295000,-20093000,51307000,-11565000,1393000,-10172000,-21044000,2270000,2270000,-2141000,-20915000,20220000,20220000,-6267000,13953000,81803000,696294000,60564000,0.30679,0.08815,0.04461,0.01973,0.00964,2.39279,1.66797,1.04727,0.26509,0.62761,0.61494,14.06777,31.81296,1.50175,0.01171,0.02801,6.83255,11.17645
"3","2010_Q4",58.51015625,"Down",573651000,-391888000,181763000,-122827000,-71907000,-34038000,-16882000,58936000,-17585000,-13162000,-4423000,41351000,0,41351000,-13712000,27639000,27639000,-17766265.4871584,27639000,27639000,148114000,148114000,383814000,383814000,225765000,95336000,72371000,853029000,302306000,1623953000,315756000,1236583000,49612000,16298000,1926259000,2779288000,357687000,238095000,119592000,120456000,30749000,88038000,704389000,461697000,180558000,60013000,60013000,52128000,68417000,642255000,1346644000,1321287000,113045000,-1688000.00000003,1432644000,1432644000,2779288000,27639000,32113000,16703000,-26425000,50030000,-17791000,917000,-16874000,-32643000,1119000,1119000,-93000,-31617000,1539000,1539000,9204000,10743000,91049000,687943000,60545000,0.31685,0.10274,0.04818,0.01929,0.00994,2.19056,1.21102,0.93997,0.24752,0.68412,0.67696,14.19893,35.46061,1.4986,0.01201,0.02631,5.92899,9.15958
"4","2011_Q1",57.0190322580645,"Down",620658000,-432866000,187792000,-144159000,-87501000,-39066000,-17592000,43633000,-12540000,-12540000,9.31322574615479e-10,31093000,0,31093000,-822000,30271000,30271000,-3701000,26570000,26570000,169477000,169477000,371662000,371662000,208157000,132921000,77570000,882217000,299242000,1564338000,291670000,1209376000,35050000,28242000,1863580000,2745797000,372153000,241949000,130204000,102860000,28258000,74602000,703734000,408591000,205177000,61450000,61450000,54412000,89315000,613768000,1317502000,1328249000,135020000,-34974000,1428295000,1428295000,2745797000,30271000,34021000,-10147000,33330000,87475000,-17315000,1136000,-16179000,-48639000,845000,845000,80000,-47714000,23582000,23582000,-2219000,21363000,77654000,637312000,94491000,0.30257,0.0703,0.04281,0.0186,0.00968,3.5563,1.25362,0.92243,0.2321,0.65723,0.64903,15.35256,35.33022,2.33732,0.0117,0.04161,6.02461,10.72205
"5","2011_Q2",52.0585714285714,"Down",563691000,-378713000,184978000,-134889000,-79150000,-40142000,-15597000,50089000,-13396000,-11806000,-1590000,36693000,3.72529029846191e-09,36693000,-9567000,27126000,27126000,-6000.00000000093,27120000,27120000,133412000,133412000,361991000,361991000,248358000,147954000,92721000,891715000,296008000,1661993000,304776000,1294452000,16632000,42516000,1958001000,2849716000,367643000,252592000,115051000,114494000,42939000,71108000,713819000,374466000,206513000,66865000,66865000,54575000,85073000,580979000,1294798000,1334165000,162140000,58613000,1554918000,1554918000,2849716000,27126000,31531000,14492000,-37136000,36013000,-11250000,305000,-25774000,-52919000,1142000,1142000,-589000,-52366000,-42127000,-42127000,6062000,-36065000,81620000,606148000,42801000,0.32815,0.08886,0.04811,0.01744,0.00952,1.57821,1.24922,0.83271,0.2127,0.66887,0.66074,13.90251,38.34948,1.05562,0.01145,0.01808,5.79191,9.43792
"6","2011_Q3",40.4071875,"Down",612401000,-420450000,191951000,-141959000,-85134000,-40628000,-16197000,49992000,-12602000,-11252000,-1350000,37390000,-1907000,35483000,80000,35563000,35563000,-1127000,34436000,34436000,168284000,168284000,377835000,377835000,253079000,159641000,104496000,958839000,301458000,1686382000,292930000,1311771000,12714000,68967000,1987840000,2946679000,391293000,268462000,122831000,121351000,49722000,71629000,747093000,373960000,208156000,69675000,69675000,51539000,86942000,582116000,1329209000,1339504000,196576000,81390000,1617470000,1617470000,2946679000,35563000,32768000,7860000.00000003,-24512000,51679000,-17462000,208000,-17060000,-2711000,1411000,1411000,270000,-1030000.00000001,33589000,33589000,1283000,34872000,82760000,608409000,40706000,0.31344,0.08163,0.05623,0.02129,0.01169,1.18208,1.28343,0.82178,0.20647,0.846719999999999,0.83841,15.05781,39.77059,1.00089,0.01415,0.01672,5.31809,8.80391
"7","2011_Q4",34.6826984126984,"Down",615555000,-438559000,176996000,-132752000,-78362000,-38377000,-16013000,44244000,-12043000,-10641000,-1402000,32201000,-541496000,-509295000,-6042000,-515337000,-515337000,-1745000,-517082000,-517082000,129514000,129514000,377107000,377107000,240565000,133167000,88214000,880353000,287565000,1073760000,264223000,714606000,28053000,66878000,1361325000,2241678000,367133000,260148000,106985000,125810000,43814000,81996000,507943000,509486000,197268000,66550000,66550000,41974000,88744000,706754000,1214697000,1343940000,-320506000,3547000,1026981000,1026981000,2241678000,-515337000,32620000,538823000,10003000,66109000,-17087000,121000,-16966000,-78674000,959000,959000,-5e+06,-82715000,-33572000,-33572000,-5198000,-38770000,76864000,524486000,75822000,0.28754,0.07188,-0.84003,-0.5035,-0.23067,-0.14663,1.73317,1.18278,0.23397,-12.69692,-12.69692,15.11492,25.21746,1.8618,-0.29569,0.04336,5.13858,8.92713
"8","2012_Q1",42.2537096774194,"Up",642477000,-449944000,192533000,-143112000,-85367000,-42158000,-15587000,49421000,-4542000,-2233000,-2309000,44879000,-109526000,-64647000,11099000,-53548000,-53548000,-1083000,-54630999.9999999,-54630999.9999999,133086000,133086000,371641000,371641000,195837000,139790000,81618000,840354000,262670000,961258000,239500000,636910000,22144000,62704000,1223928000,2064282000,352031000,246775000,105256000,143691000,37369000,106322000,510722000,464450000,167565000,62449000,62449000,31699000,73417000,632015000,1142737000,1319222000,-375137000,-37160000,906925000,921545000,2064282000,-53548000,32547000,63249000.0000001,56309000,98557000,-14277000,793000,-18941000,-43750000,-28315000,1113000,-1277000,-73342000,6274000,6274000,-2702000,3572000,81968000,479450000,112901000,0.29967,0.07692,-0.0850300000000002,-0.05928,-0.02646,-2.06661,1.64542,1.24002,0.23226,-1.34868,-1.3794,15.86089,22.38934,2.7872,-0.03483,0.07198,4.2256,7.00844
"9","2012_Q2",39.5760317460317,"Down",571640000,-388535000,183105000,-142695000,-86426000,-44356000,-11913000,40410000,-4420000,-2244000,-2176000,35990000,-789000,35201000,-9629000,25572000,25572000,-219000,25353000,25353000,154438000,154438000,389178000,389178000,210658000,146158000,87431000,900432000,263803000,934244000,234313000,650996000,18679000,30256000,1198047000,2098479000,342975000,245983000,96992000,151035000,45263000,105772000,509010000,452768000,166926000,64432000,64432000,29011000,73483000,619694000,1128704000,1313316000,-349784000,-8595999.99999999,954936000,969775000,2098479000,25572000,27227000,5340000,-4136000,54003000,-12043000,283000,-12620000,-13750000,-9616000,978000,140000,-23226000,18157000,18157000,3195000,21352000,67637000,467768000,61087000,0.32032,0.07069,0.04435,0.0261400000000001,0.01208,2.40946,1.76899,1.16388,0.22291,0.63521,0.63042,14.32215,23.92544,1.5305,0.0158,0.03807,4.63252,7.75377
"10","2012_Q3",42.7212698412698,"Up",579140000,-382395000,196745000,-142962000,-84297000,-46640000,-12025000,53783000,-3208000,-2429000,-779000,50575000,-7720000,42855000,-10564000,32291000,32291000,-676000,31615000,31615000,102800000,102800000,394065000,394065000,196647000,150837000,92662000,844349000,252085000,964479000,254017000,664440000,16502000,29520000,1216564000,2060913000,333199000,234714000,98485000,149952000,38202000,111750000,498151000,463507000,159574000,60822000,60822000,23941000,74811000,623081000,1121232000,1304089000,-318169000,-61794000,924126000,939681000,2060913000,32291000,27044000,6783000,-27731000,38387000,-11504000,3710000,-86539000,16248000,-13953000,1429000,-411000,1884000,-46268000,-46268000,-5370000,-51638000,80827000,478507000,52156000,0.33972,0.09287,0.05459,0.03364,0.01534,1.64972,1.69497,1.1932,0.23218,0.79261,0.78789,14.51952,23.1686,1.30759,0.02004,0.03306,4.64829,6.98561
