"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",33.2815873015873,"Up",29970000,-12243000,17727000,-10089000,-8429000,-1660000,7638000,-577000,-577000,7061000,7061000,-2279000,4782000,4782000,4782000,4782000,79679000,79679000,0,14782000,14782000,3905000,4310000,3378000,102676000,41099000,41099000,143775000,13305000,5788000,5489000,13694000,5108000,4252000,856000,5634000,19328000,133400000,-8673000,-280000,124447000,124447000,143775000,4782000,1328000,850000,451000,7411000,-8264000,250000,-8014000,30000,30000,71611000,71008000,71008000,536000,71544000,8966000,915000,3432000,0.59149,0.25485,0.15956,0.03843,0.03326,0.71769,7.49788,0.15531,0.00636,0.22842,0.21515,1.43158,5.94446,0.16394,0.03665,0.0263,-8.78474,-10.31212
"2","2012_Q3",33.7379365079365,"Up",29951000,-12239000,17712000,-10246000,-7845000,-2401000,7466000,173000,173000,7639000,7639000,-2493000,5146000,5146000,5146000,5146000,58655000,44386000,14269000,13717000,13717000,3986000,4461000,3529000,80819000,44083000,64156000,144975000,9189000,4055000,4444000,9567000,5067000,4252000,815000,5499000,15066000,134031000,-3527000,-595000,129909000,129909000,144975000,5146000,1440000,794000,-3289000,4091000,-4400000,0,-38766000,7000,7000,-235000,-34910000,-34910000,-383000,-35293000,8906000,810000,3710000,0.59137,0.24927,0.17181,0.03961,0.0355,0.72095,8.44768,0.11597,0.00559,0.21504,0.20372,1.25162,5.42874,0.15504,0.0379,0.02732,-6.49506,-7.74779
"3","2012_Q4",34.0993548387097,"Up",32454000,-12760000,19694000,-10121000,-7560000,-2561000,9573000,314000,314000,9887000,9887000,-3185000,6702000,6702000,6702000,6702000,57994000,36290000,21704000,15304000,15304000,4343000,5172000,3997000,82813000,44457000,74108000,156921000,10400000,4159000,6241000,10735000,5052000,4252000,8e+05,5453000,16188000,138099000,3175000,-541000,140733000,140733000,156921000,6702000,1612000,-1744000,1362000,7932000,-1771000,10040000,-18933000,691000,691000,3228000,-7773000,-7773000,-323000,-8096000,11185000,736000,13961000,0.60683,0.29497,0.20651,0.04762,0.04271,2.08311,7.7143,0.11503,0.00469,0.27852,0.26196,1.34871,5.84852,0.58018,0.04574,0.09528,-5.11918,-5.9812
"4","2013_Q1",44.2581666666667,"Up",33616000,-12611000,21005000,-10736000,-8221000,-2515000,10269000,113000,113000,10382000,10382000,-2987000,7395000,7395000,7395000,7395000,61896000,36759000,25137000,15791000,15791000,4619000,7850000,5364000,90156000,45316000,82566000,172722000,11266000,4758000,6508000,11539000,4128000,3346000,782000,4484000,16023000,147057000,10570000,-928000,156699000,156699000,172722000,7395000,1700000,-3139000,285000,6241000,-2962000,12078000,-13904000,2247000,2247000,8182000,519000,519000,-50000,468999.999999996,11969000,629000,12279000,0.62485,0.30548,0.21998,0.04719,0.04281,1.66045,7.81316,0.10225,0.00364,0.30102,0.29934,1.36837,6.37856,0.49983,0.0458,0.07605,-5.11881,-5.96621
"5","2013_Q2",53.7184375,"Up",37313000,-14034000,23279000,-11885000,-9257000,-2628000,11394000,3000,3000,11397000,11397000,-3110000,8287000,8287000,8287000,8287000,63624000,27929000,35695000,17468000,17468000,4717000,8423000,4774000,94232000,45629000,94768000,1.89e+08,13801000,5759000,8042000,14010000,4074000,3346000,728000,4361000,18371000,153607000,18857000,-1835000,170629000,170629000,1.89e+08,8287000,1734000,-2750000,3874000,11145000,-2548000,18313000,-25323000,1619000,1619000,5594000,-8584000,-8584000,-246000,-8830000,13128000,496000,17564000,0.62388,0.30536,0.22209,0.04857,0.04385,2.11946,6.72605,0.10767,0.00262,0.33128,0.32313,1.49163,6.82109,0.70214,0.0473,0.10025,-4.80865,-5.54046
"6","2013_Q3",69.22515625,"Up",39749000,-14896000,24853000,-12224000,-9473000,-2751000,12629000,116000,116000,12745000,12745000,-4134000,8611000,8611000,8611000,8611000,65776000,35446000,30330000,17529000,17529000,4875000,8461000,3454000,96641000,47144000,101559000,198200000,10707000,5712000,4995000,10887000,4046000,3346000,7e+05,4287000,15174000,157591000,27468000,-2033000,183026000,183026000,198200000,8611000,1848000,-444000,-1712000,8303000,-3521000,15967000,-3776000,1251000,1251000,3039000,7566000,7566000,-49000,7517000,14477000,421000,13378000,0.62525,0.31772,0.21663,0.04705,0.04345,1.55359,8.87673,0.08291,0.00212,0.34091,0.33311,1.57366,7.24599,0.52963,0.04593,0.07135,-4.5144,-5.17499
"7","2013_Q4",77.51015625,"Up",42008000,-16053000,25955000,-12553000,-9527000,-3026000,13402000,30000,30000,13432000,13432000,-4560000,8872000,8872000,8872000,8872000,73029000,39382000,33647000,18016000,18016000,4966000,8302000,3663000,104313000,52378000,112066000,216379000,14337000,6340000,7997000,14532000,4044000,3345000,699000,4250000,18782000,162484000,36340000,-1227000,197597000,197597000,216379000,8872000,1946000,-1352000,5986000,15452000,-6907000,16383000,-15871000,1765000,1765000,3989000,3570000,3570000,366000,3936000,15348000,401000,18987000,0.61786,0.31903,0.2112,0.0449,0.041,2.1401,7.17816,0.09505,0.00185,0.3495,0.3412,1.65484,7.78402,0.74796,0.04391,0.09398,-4.73208,-5.41919
"8","2014_Q1",74.3814754098361,"Down",44042000,-16427000,27615000,-13741000,-10283000,-3458000,13874000,130000,130000,14004000,14004000,-4497000,9507000,9507000,9507000,9507000,79378000,43039000,36339000,18320000,18320000,5166000,6931000,3569000,109795000,56101000,120380000,230175000,13459000,6455000,7004000,13663000,4710000,3682000,1028000,4869000,18532000,166887000,45847000,-1091000,211643000,211643000,230175000,9507000,2041000,179000,1814000,13541000,-5777000,15907000,-13511000,1861000,1861000,3489000,3519000,3519000,138000,3657000,15915000,363000,16449000,0.62702,0.31502,0.21586,0.04492,0.0413,1.7302,8.03594,0.08756,0.00158,0.37823,0.36649,1.75219,8.4201,0.65441,0.04387,0.0759,-4.96481,-5.69519
"9","2014_Q2",67.7301587301587,"Down",46074000,-17050000,29024000,-14576000,-11120000,-3456000,14448000,103000,103000,14551000,14551000,-4449000,10102000,10102000,10102000,10102000,78561000,44201000,34360000,21905000,21905000,5346000,4862000,4406000,110674000,63963000,135527000,246201000,16633000,10405000,6083000,16841000,4778000,3779000,999000,4884000,21725000,169446000,55949000,-919000,224476000,224476000,246201000,10102000,2106000,690000,2368000,15266000,-9892000,26590000,-15687000,665000,665000,1512000,1091000,1091000,71000,1162000,16554000,314000,13479000,0.62994,0.31358,0.21926,0.045,0.04103,1.33429,6.5717,0.09678,0.00128,0.39501,0.38718,1.80161,8.77756,0.52706,0.044,0.05871,-4.72677,-5.41577
"10","2014_Q3",78.28,"Up",52866000,-20183000,32683000,-16709000,-12795000,-3914000,15974000,-66000,-66000,15908000,15908000,-4952000,10956000,10956000,10956000,10956000,48109000,22854000,25255000,25187000,25187000,5755000,7645000,5135000,86696000,87313000,178261000,264957000,21114000,11818000,9296000,21308000,4490000,3731000,759000,4567000,25875000,172564000,66905000,-387000,239082000,239082000,264957000,10956000,2577000,896000,-3678000,10751000,-21733000,28851000,-32824000,1141000,1141000,563000,-21510000,-21510000,163000,-21347000,18551000,271000,-1908000,0.61822,0.30216,0.20724,0.04583,0.04135,-0.17415,4.06871,0.10823,0.00102,0.42763,0.41902,2.06347,9.33185,-0.07447,0.04493,-0.00782000000000001,-2.57873,-2.99474
