"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",23.2571428571429,"Up",2.345e+09,-1.086e+09,1.259e+09,-8.38e+08,-2.45e+08,-5.93e+08,4.21e+08,-3.1e+07,-4.1e+07,1e+07,3.9e+08,-6.7e+07,3.23e+08,-7.8e+07,2.45e+08,2.45e+08,2.45e+08,2.45e+08,4.44e+08,4.44e+08,3.03e+08,5.44e+08,3.03e+08,1.404e+09,3.766e+09,1.971e+09,6.23e+08,2.32e+08,5.39e+08,5.737e+09,7.141e+09,1.444e+09,1.363e+09,8.1e+07,5.6e+07,1.596e+09,3.219e+09,1.209e+09,1.209e+09,4.428e+09,6.024e+09,1.138e+09,-2.49e+08,1.043e+09,1.117e+09,7.141e+09,2.45e+08,1.19e+08,1.1e+07,1.7e+07,3.92e+08,5.1e+07,-1.67e+08,-1.16e+08,-9.9e+07,1.7e+07,7e+06,-1.9e+08,8.6e+07,8.6e+07,5e+06,9.1e+07,5.4e+08,3.275e+09,6.86e+08,0.53689,0.17953,0.10448,0.21934,0.03431,2.8,0.8797,5.39302,0.45862,0.51688,0.50515,4.94726,2.20042,1.44726,0.20886,0.06142,0.12248,0.40408,5.24259,6.72447
"2","2010_Q3",24.06078125,"Up",2.574e+09,-1.202e+09,1.372e+09,-9.59e+08,-2.83e+08,-6.76e+08,4.13e+08,-3.2e+07,-4.2e+07,1e+07,3.81e+08,-2e+06,3.79e+08,-9e+07,2.89e+08,2.89e+08,2.89e+08,2.89e+08,5.3e+08,5.3e+08,2.6e+08,5.36e+08,3.4e+08,1.464e+09,3.694e+09,1.987e+09,6.13e+08,2.69e+08,5.29e+08,5.681e+09,7.145e+09,1.407e+09,1.338e+09,6.9e+07,7.17e+08,2.213e+09,2.518e+09,1.188e+09,1.188e+09,3.706e+09,5.919e+09,1.325e+09,-2.63e+08,1.149e+09,1.226e+09,7.145e+09,2.89e+08,1.37e+08,-6.2e+07,7.7e+07,4.41e+08,4.5e+07,-1.66e+08,-1.23e+08,-9.8e+07,-3.3e+07,-3e+06,-2.22e+08,9.6e+07,9.6e+07,-1e+07,8.6e+07,5.5e+08,3.235e+09,7.62e+08,0.53302,0.16045,0.11228,0.23573,0.04045,2.63668,0.66155,4.8279,0.45276,0.6097,0.59588,5.43038,2.42405,1.60759,0.20675,0.06851,0.13489,0.3391,4.91818,6.54964
"3","2010_Q4",28.13328125,"Up",2.862e+09,-1.304e+09,1.558e+09,-1.022e+09,-2.85e+08,-7.37e+08,5.36e+08,-2.7e+07,-3.8e+07,1.1e+07,5.09e+08,-3e+06,5.06e+08,-1.39e+08,3.67e+08,3.67e+08,3.67e+08,3.67e+08,1.274e+09,1.274e+09,2.49e+08,5.03e+08,3.13e+08,2.175e+09,3.77e+09,2.143e+09,7e+08,3.29e+08,5.29e+08,5.913e+09,8.088e+09,1.468e+09,1.374e+09,9.4e+07,7.24e+08,2.301e+09,2.905e+09,1.239e+09,1.239e+09,4.144e+09,6.445e+09,1.681e+09,-2.37e+08,1.556e+09,1.643e+09,8.088e+09,284036097.347139,129624162.732365,-48157837.3871629,174890991.04318,540393413.735521,27868236.0769782,-55222197.5425,-31617242.3302134,-104465947.62546,76589522.2710527,-825231.974800763,-130751380.246702,378024791.158605,378024791.158605,-6097724.08611479,371927067.07249,569352567.614445,3.629e+09,874652587.202955,0.54437,0.18728,0.12823,0.22337,0.04538,3.04548694720854,0.94524,3.9227,0.44869,0.77919,0.7567,6.07643,3.30361,1.84559505156609,0.220237171555557,0.05637,0.143313232089127,0.372264553465923,4.16233237103739,4.39366
"4","2011_Q1",28.4732258064516,"Up",3.562e+09,-1.671e+09,1.891e+09,-1.425e+09,-4.64e+08,-9.61e+08,4.66e+08,-4.2e+07,-5.4e+07,1.2e+07,4.24e+08,-3.8e+07,3.86e+08,-1.09e+08,2.77e+08,2.77e+08,2.77e+08,2.77e+08,1.426e+09,1.426e+09,2.56e+08,4.42e+08,2.69e+08,2.313e+09,3.83e+09,2.173e+09,6.59e+08,3.66e+08,5.19e+08,6.003e+09,8.316e+09,1.663e+09,1.602e+09,6.1e+07,6.73e+08,2.448e+09,2.915e+09,1.284e+09,1.284e+09,4.199e+09,6.647e+09,1.717e+09,-2.27e+08,1.576e+09,1.669e+09,8.316e+09,265013867.25979,117652255.722288,-33744.4655417725,215242985.924997,597875364.441533,12921513.8352515,2993689.57607132,11144333.4810931,-112975060.554294,155126392.140226,4603206.89674166,-83380740.3876752,525638957.534951,525638957.534951,5246433.57896246,530885391.113913,582782606.25127,3.588e+09,917211208.461786,0.53088,0.13083,0.07777,0.16597,0.03331,3.36325363132771,0.94485,3.98262,0.43146,0.58071,0.56646,7.46751,3.30398,1.93642679531814,0.238235841015876,0.04235,0.139391221854343,0.431194584017879,3.52353386877305,4.63948
"5","2011_Q2",30.6731746031746,"Up",2.425e+09,-1.123e+09,1.302e+09,-8.53e+08,-2.55e+08,-5.98e+08,4.49e+08,-2.4e+07,-4.3e+07,1.9e+07,4.25e+08,-6.7e+07,3.58e+08,-9.1e+07,2.67e+08,2.67e+08,2.67e+08,2.67e+08,1.529e+09,1.529e+09,3.11e+08,4.4e+08,2.64e+08,2.436e+09,3.852e+09,2.138e+09,6.69e+08,4.19e+08,5.07e+08,5.99e+09,8.426e+09,1.501e+09,1.396e+09,1.05e+08,6.7e+08,2.288e+09,2.918e+09,1.361e+09,1.361e+09,4.279e+09,6.567e+09,1.96e+09,-1.77e+08,1.783e+09,1.859e+09,8.426e+09,2.67e+08,1.23e+08,2.7e+07,90999999.9999999,5.08e+08,1.4e+07,-1.69e+08,-1.56e+08,-1.18e+08,-4000000.00000001,4000000.00000001,-2.61e+08,9.1e+07,9.1e+07,1.2e+07,1.03e+08,5.72e+08,3.588e+09,7.68e+08,0.53691,0.18515,0.1101,0.14363,0.03169,2.8764,1.06469,3.53254,0.42582,0.56448,0.54938,5.12685,3.76956,1.62368,0.24947,0.05655,0.11281,0.44195,3.59965,4.58575
"6","2011_Q3",30.42203125,"Down",2.816e+09,-1.34e+09,1.476e+09,-1.046e+09,-3.08e+08,-7.38e+08,4.3e+08,-2.2e+07,-3.5e+07,1.3e+07,4.08e+08,-2.4e+07,3.84e+08,-6.2e+07,3.22e+08,3.22e+08,3.22e+08,3.22e+08,9.55e+08,9.55e+08,2.95e+08,4.18e+08,2.32e+08,1.841e+09,3.907e+09,2.459e+09,6.72e+08,4.21e+08,8.16e+08,6.366e+09,8.207e+09,1.57e+09,1.488e+09,8.2e+07,1.9e+07,1.711e+09,3.269e+09,1.339e+09,1.339e+09,4.608e+09,6.319e+09,1.907e+09,-1.02e+08,1.805e+09,1.888e+09,8.207e+09,3.22e+08,1.46e+08,3.1e+07,-8.4e+07,4.15e+08,3.5e+07,-4.58e+08,-4.23e+08,-1.16e+08,-3.04e+08,-5e+06,-5.79e+08,-5.87e+08,-5.87e+08,1.3e+07,-5.74e+08,5.76e+08,3.288e+09,5.89e+08,0.52415,0.1527,0.11435,0.17055,0.03923,1.82919,1.07598,3.34693,0.40063,0.68365,0.66529,5.97877,3.83227,1.25053,0.24628,0.06723,0.09041,0.36025,4.05035,5.42558
"7","2011_Q4",31.6709523809524,"Up",3.274e+09,-1.57e+09,1.704e+09,-1.141e+09,-3.1e+08,-8.31e+08,5.63e+08,-1.6e+07,-3.2e+07,1.6e+07,5.47e+08,-9.1e+07,4.56e+08,-6.7e+07,3.89e+08,3.89e+08,3.89e+08,3.89e+08,1.236e+09,1.236e+09,2.81e+08,6.48e+08,4.66e+08,2.351e+09,3.872e+09,2.326e+09,6.72e+08,4.24e+08,7.86e+08,6.198e+09,8.549e+09,1.874e+09,1.751e+09,1.23e+08,2.87e+08,2.267e+09,2.94e+09,1.259e+09,1.259e+09,4.199e+09,6.466e+09,2.082e+09,-8.9e+07,1.993e+09,2.083e+09,8.549e+09,3.89e+08,1.57e+08,8.3e+07,1.51e+08,7.8e+08,7e+07,-2.31e+08,-1.61e+08,-1.16e+08,-5e+06,999999.999999998,-3.55e+08,2.64e+08,2.64e+08,1.7e+07,2.81e+08,7.2e+08,3.227e+09,1.008e+09,0.52046,0.17196,0.11881,0.18675,0.0455,2.59126,1.03705,3.10418,0.37747,0.82942,0.80873,6.98081,4.24947,2.14925,0.24733,0.07688,0.15345,0.2982,2.76528,3.53641
"8","2012_Q1",37.8743548387097,"Up",4.111e+09,-2.018e+09,2.093e+09,-1.566e+09,-4.99e+08,-1.067e+09,5.27e+08,-4.1e+07,-4.6e+07,5e+06,4.86e+08,-2.5e+07,4.61e+08,-1.04e+08,3.57e+08,3.57e+08,3.57e+08,3.57e+08,1.198e+09,1.198e+09,2.86e+08,5.64e+08,3.38e+08,2.321e+09,4.042e+09,2.471e+09,6.81e+08,5.49e+08,7.75e+08,6.513e+09,8.834e+09,2.016e+09,1.874e+09,1.42e+08,3.2e+08,2.45e+09,2.997e+09,1.471e+09,1.471e+09,4.468e+09,6.918e+09,2.052e+09,-2.47e+08,1.823e+09,1.916e+09,8.834e+09,3.57e+08,2.11e+08,-5.7e+07,-4.4e+07,4.67e+08,1.27e+08,-3.13e+08,-2.66e+08,-1.31e+08,5.1e+07,2.3e+07,-2.18e+08,-1.7e+07,-1.7e+07,-2.1e+07,-3.8e+07,7.38e+08,3.317e+09,9.25e+08,0.50912,0.12819,0.08684,0.18633,0.04041,2.59104,0.94735,3.61065,0.37548,0.77106,0.75476,8.87905,3.93737,1.99784,0.28294,0.07279,0.13798,0.36695,2.87127,4.02087
"9","2012_Q2",40.397619047619,"Up",2.743e+09,-1.28e+09,1.463e+09,-9.22e+08,-2.72e+08,-6.5e+08,5.41e+08,4.2e+07,-3.7e+07,7.9e+07,5.83e+08,2.5e+07,6.08e+08,-1.47e+08,4.61e+08,4.61e+08,4.61e+08,4.61e+08,1.099e+09,1.099e+09,3.41e+08,6.94e+08,4.27e+08,2.425e+09,4.041e+09,2.877e+09,9.62e+08,5.4e+08,5.31e+08,6.918e+09,9.343e+09,1.933e+09,1.752e+09,1.81e+08,3.19e+08,2.391e+09,3.006e+09,1.667e+09,1.667e+09,4.673e+09,7.064e+09,2.362e+09,-2.25e+08,2.142e+09,2.279e+09,9.343e+09,4.61e+08,1.27e+08,-1.02e+08,-1.3e+07,4.73e+08,2.3e+07,1.26e+08,-3.91e+08,-1.31e+08,-3e+06,8e+06,-1.88e+08,-1.06e+08,-1.06e+08,6999999.99999999,-9.9e+07,6.68e+08,3.325e+09,8.25e+08,0.53336,0.19723,0.16806,0.20228,0.04934,1.78959,1.01422,3.09961,0.35588,0.9914,0.96444,5.89892,4.60645,1.77419,0.28172,0.08142,0.11346,0.28416,3.33234,4.1146
"10","2012_Q3",38.3830158730159,"Down",3.168e+09,-1.539e+09,1.629e+09,-1.172e+09,-3.46e+08,-8.26e+08,4.57e+08,-3.1e+07,-3.8e+07,7e+06,4.26e+08,9e+06,4.35e+08,-1.02e+08,3.33e+08,3.33e+08,3.33e+08,3.33e+08,9.84e+08,9.84e+08,3.23e+08,6.19e+08,3.9e+08,2.231e+09,4.102e+09,2.844e+09,1.01e+09,5.47e+08,5.12e+08,6.946e+09,9.177e+09,1.893e+09,1.77e+09,1.23e+08,3.16e+08,2.313e+09,2.995e+09,1.597e+09,1.597e+09,4.592e+09,6.905e+09,2.378e+09,-2.43e+08,2.135e+09,2.272e+09,9.177e+09,3.33e+08,1.58e+08,-2.6e+07,-1.4e+07,4.51e+08,2.7e+07,-2.3e+08,-2.05e+08,-1.31e+08,-1.2e+07,-3e+06,-3.51e+08,-1.05e+08,-1.05e+08,-1e+07,-1.15e+08,6.15e+08,3.311e+09,7.3e+08,0.5142,0.14426,0.10511,0.14657,0.03629,2.19219,0.96455,3.03917,0.36079,0.71613,0.69665,6.8129,4.5914,1.56989,0.28172,0.06462,0.10167,0.39339,3.78374,5.0919
