"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",9.33390625,"Up",47347000,-54540000,-7193000,-29043000,-16218000,-12825000,-36236000,4583000,623000,3960000,-31653000,-95595000,-232000,-95827000,-95827000,-95827000,-95827000,383492907.366962,150027692.794201,233465214.572761,62002746.2869956,62002746.2869956,30179094.250137,34330739.4411855,37822498.1423597,510005487.34528,39389416.730071,9071059.75806028,5190705.06197943,9914143.00298996,48460476.4881312,558465963.833411,72285334.2976194,35529154.2059396,34122345.6739458,12621248.7054419,12621248.7054419,84905365.4595025,12091359.0992728,11640077.9387727,12090615.0313555,96995980.490858,650058303.974701,-190369345.879244,1781025.24709674,461469983.342553,461469983.342553,558465963.833411,-95827000,7836000,69105000,-1961000,-20847000,-5851000,-5995000,55482000,48016000,2099000,2099000,2099000,29268000,29268000,210000,29478000,-28400000,0,-35980000,-0.15192,-0.76533,-2.02393,-0.0298475400402563,-0.022710174241848,0.37547,0.523426417524362,0.228782803473814,-4.92313484100834e-06,-1.90716,-1.90716,0.9423,9.13543926354053,-0.71608,-0.0290721000437163,-0.0762376997503814,89.1006126662012,56.9852437408717
"2","2011_Q1",9.3466129032258,"Up",43912000,-40593000,3319000,-25874000,-14398000,-11476000,-22555000,857000,426000,431000,-21698000,-23003000,2592000,-20411000,-20411000,-20411000,-20411000,347235000,121207000,226028000,28598000,28598000,25003000,15455000,14743000,416291000,37311000,12452000,5445000,7007000,49763000,466054000,40887000,14948000,24045000,4637000,4637000,45524000,9329000,9329000,9329000,54853000,651315000,-242141000,2027000,411201000,411201000,466054000,-20411000,3435000,7864000,-9522000,-18634000,-8286000,-8435000,26345000,21879000,-537000,89000,-537000,2708000,2708000,-54999.9999999999,2653000,-19120000,0,-39520000,0.07558,-0.51364,-0.46482,-0.04964,-0.0438,1.93621,9.14443,0.1334,0,-0.40622,-0.40622,0.87394,8.18376,-0.78653,-0.04854,-0.09398,18.16083,15.39503
"3","2011_Q2",9.57206349206349,"Up",40428000,-36359000,4069000,-23947000,-12387000,-11560000,-19878000,50000,424000,-374000,-19828000,-21217000,-207000,-21424000,-21424000,-21424000,-21424000,330817697.544346,118810602.401933,212007095.142413,21906584.5710015,21906584.5710015,22635385.2499543,9002503.51960482,7495917.28588009,384362170.884907,35909111.0899763,13397146.7473132,6397348.31267352,5799035.66567001,49306257.8372896,433668428.722196,30513055.2341269,11327365.2646868,18100468.1086847,2855333.7648527,2855333.7648527,33368794.8468325,8308296.96690907,6390224.0204091,8308544.98954817,41677339.8363807,653612148.6751,-264055968.040252,2434908.25096775,391991088.885816,391991088.885816,433668428.722196,-21424000,2935000,6385000,-190000,-12294000,-1522000,-1537000,8812000,7290000,-434000,1534000,-434000,-5438000,-5438000,373000,-5065000,-16943000,0,-18448000,0.10065,-0.49169,-0.52993,-0.0385691533199146,-0.0348832752527173,0.86109,11.5861386941585,0.105274065508729,1.64104494700278e-06,-0.4231,-0.4231,0.7984,7.77061191215316,-0.36433,-0.0377542999854279,-0.0718116000832062,11.8598424445996,12.3796887530428
"4","2011_Q3",8.10859375,"Down",46559000,-36668000,9891000,-22032000,-11154000,-10878000,-12141000,953000,369000,584000,-11188000,-10090000,2412000,-7678000,-7678000,-7678000,-7678000,324227000,130085000,194142000,28017000,28017000,21799000,9702000,9022000,383745000,35078000,12771000,7364000,5407000,47849000,431594000,31581000,16023000,15176000,4409000,4409000,35990000,8310000,4101000,8310000,44300000,655726000,-271243000,2811000,387294000,387294000,431594000,-7678000,2883000,-590999.999999999,-1859000,-7245000,-1178000,-1196000,23171000,21993000,-997000,42000,-997000,13751000,13751000,192000,13943000,-9258000,-2.8421709430404e-14,-14707000,0.21244,-0.26077,-0.16491,-0.01982,-0.01779,1.91547,10.66255,0.11438,0,-0.15122,-0.15122,0.91699,7.6278,-0.28966,-0.01941,-0.03718,35.02128,26.70513
"5","2011_Q4",5.87936507936508,"Down",52114000,-40141000,11973000,-21623000,-11200000,-10423000,-9650000,260000,335000,-75000,-9390000,-9747000,-157000,-9904000,-9904000,-9904000,-9904000,316032000,140933000,175099000,29142000,29142000,20647000,11554000,11250000,377375000,34872000,11701000,7417000,4284000,46573000,423948000,32290000,18120000,14170000,5960000,5960000,38250000,8360000,4205000,8360000,46610000,655501000,-281146000,2983000,377338000,377338000,423948000,-9904000,2775000,4902000,-7000,-2234000,-2141000,-2141000,18784000,17026000,-3593000,1936000,-3593000,11199000,11199000,-351000,10848000,-6875000,0,-8866000,0.22975,-0.18517,-0.19004,-0.02625,-0.02336,0.89519,9.86601,0.12352,0,-0.19516,-0.19516,1.02694,7.43567,-0.17471,-0.02568,-0.02299,45.96829,32.74943
"6","2012_Q1",5.28064516129032,"Down",30224000,-35199000,-4975000,-22647000,-11964000,-10683000,-27622000,1217000,276000,941000,-26405000,-26828000,-147000,-26975000,-26975000,-26975000,-26975000,296691000,139049000,157642000,12662000,12662000,18092000,9530000,7458000,336975000,35132000,10964000,5954000,1768000,46096000,383071000,23797000,9731000,13966000,4798000,4798000,28595000,7824000,7824000,7824000,36419000,652024000,-308122000,2750000,346652000,346652000,383071000,-26975000,2245000,8555000,8605000,-7570000,-2826000,-2826000,17249000,14403000,-7878000,-2999.99999999977,-7878000,-1045000,-1045000,-839000,-1884000,-25377000,4.54747350886464e-13,-19451000,-0.1646,-0.91391,-0.8925,-0.07782,-0.07042,0.72108,11.7844,0.10506,-1.6940658945086e-21,-0.54029,-0.54029,0.60536,6.94318,-0.38959,-0.0761,-0.05487,11.69133,10.74111
"7","2012_Q2",5.87984126984127,"Up",34806000,-30650000,4156000,-21995000,-11148000,-10847000,-17839000,622000,212000,410000,-17217000,-17352000,-102000,-17454000,-17454000,-17454000,-17454000,280320000,135536000,144784000,21203000,21203000,20148000,9674000,7011000,331345000,34376000,10468000,5794000,4674000,44844000,376189000,29458000,15171000,14106000,5449000,5449000,34907000,8410000,8410000,8410000,43317000,656407000,-325576000,2041000,332872000,332872000,376189000,-17454000,2843000,5242000,-5591000,-14960000,-1804000,-1804000,12687000,10883000,1182000,1182000,1182000,-2895000,-2895000,-618000,-3513000,-14996000,0,-22289000,0.1194,-0.51253,-0.50147,-0.05243,-0.0464,1.27701,9.49222,0.13013,0,-0.3527,-0.3527,0.70334,6.72645,-0.4504,-0.05114,-0.06531,18.69298,15.71389
"8","2012_Q3",5.72761904761905,"Down",54813000,-38646000,16167000,-22466000,-11531000,-10935000,-6299000,728000,182000,546000,-5571000,-5768000,1551000,-4217000,-4217000,-4217000,-4217000,277724000,144823000,132901000,27726000,27726000,20507000,7956000,7226000,333913000,34225000,10216000,5818000,4398000,44441000,378354000,34218000,17833000,16107000,6232000,6232000,40450000,5495000,5495000,5495000,45945000,659881000,-329793000,2321000,332409000,332409000,378354000,-4217000,2576000,5305000,-3528000,135999.999999996,-2124000,-2124000,11882000,9758000,-2999.99999999907,-3000,-2999.99999999907,9891000,9891000,-604000,9287000,-3723000,0,-10926000,0.29495,-0.11492,-0.0769299999999999,-0.01269,-0.01115,2.59094,8.25496,0.13822,0,-0.08465,-0.08465,1.10029,6.6726,-0.21932,-0.01248,-0.03233,74.59683,44.09017
"9","2012_Q4",4.55370967741935,"Down",41262000,-33110000,8152000,-20167000,-11594000,-8573000,-12015000,334000,163000,171000,-11681000,-14305000,-173000,-14478000,-14478000,-14478000,-14478000,276163000,162062000,114101000,16891000,16891000,20054000,7096000,6364000,320204000,32912000,9715000,5902000,3813000,42627000,362831000,28702000,10856000,17412000,6093000,6093000,34795000,5583000,5583000,5583000,40378000,663923000,-344270000,2800000,322453000,322453000,362831000,-14478000,2577000,5480000,5725000,-696000,-2194000,-2194000,18834000,16640000,1074000,1074000,1074000,17018000,17018000,221000,17239000,-9438000,0,-5734000,0.19757,-0.29119,-0.35088,-0.0449,-0.0399,0.39605,9.20259,0.12522,0,-0.28892,-0.28892,0.82341,6.43477,-0.11443,-0.04414,-0.01748,29.26075,22.98485
"10","2013_Q1",4.96733333333333,"Up",47654000,-50798000,-3144000,-24733000,-14958000,-9775000,-27877000,468000,134000,334000,-27409000,-24541000,25144000,603000.000000002,603000.000000002,603000.000000002,603000.000000002,165788000,72243000,93545000,28919000,28919000,23616000,20849000,10569000,239172000,45515000,110995000,4207000,1518000,156510000,395682000,38285000,21015000,17270000,6189000,6189000,45047000,11037000,11037000,11377000,56424000,681211000,-343668000,1715000,339258000,339258000,395682000,603000,8905000,-21122000,906000.000000001,-10708000,-1830000,-1830000,20500000,-77982000,-2000,-2000.00000000047,-114000,-88804000,-88804000,-1015000,-89819000,-18972000,913000,-45040000,-0.06598,-0.58499,0.0126499999999999,0.00177999999999998,0.00152000000000001,-74.6932,5.30939,0.16632,0.00231,0.0114199999999999,0.0114199999999999,0.90273,6.42668,-0.85321,0.00172,-0.12824,8.69044,5.91437
