"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2013_Q4",22.855,"Up",1.26e+08,-4.4e+07,8.2e+07,-1.9e+07,-1e+06,-1.8e+07,6.3e+07,-9e+06,-2.1e+07,1.2e+07,0,5.4e+07,0,5.4e+07,-5e+06,4.9e+07,4.9e+07,-2.2e+07,2.7e+07,2.7e+07,1.21e+08,1.21e+08,5.4e+07,5.4e+07,9e+06,2.31e+08,1.8e+07,2.02e+08,4.15e+08,1.487e+09,1.78e+08,2.7e+07,1.16e+08,3.3e+07,1.916e+09,2.331e+09,5.6e+07,2.6e+07,3e+07,1.47e+08,6.4e+07,2.3e+07,2.67e+08,1.02e+09,5.3e+07,2.5e+07,2.8e+07,1.073e+09,1.34e+09,5.71e+08,9e+06,-2e+06,5.78e+08,4.13e+08,9.91e+08,2.331e+09,4.9e+07,1.8e+07,-1.2e+07,5.4e+07,1.09e+08,-7.2e+07,-7.2e+07,-7.2e+07,-3.5e+07,-1.07e+08,-3.95e+08,2.9e+07,-1e+06,1.01e+08,1.03e+08,1.03e+08,1.03e+08,8.1e+07,1.167e+09,6.8e+07,0.65079,0.5,0.21429,0.02725,0.01158,2.51852,1.55431,1.35217,0.50064,1.17391,1.17391,5.47826,25.13043,2.95652,17.17391,0.19086,0.03076,14.62963,12.91358,16.60317
"2","2014_Q1",24.5867213114754,"Up",1.26e+08,-4.3e+07,8.3e+07,-3.8e+07,-2e+06,-3.6e+07,4.5e+07,-1.4e+07,-2e+07,4e+06,2e+06,3.1e+07,0,3.1e+07,-3e+06,2.8e+07,2.8e+07,1.8e+07,4.6e+07,4.6e+07,5.9e+07,5.9e+07,5.1e+07,5.1e+07,1.5e+07,2.72e+08,2.7e+07,2.25e+08,3.97e+08,2.291e+09,3.21e+08,1.03e+08,1.46e+08,7.1e+07,2.839e+09,3.236e+09,7.2e+07,4.2e+07,3e+07,2.14e+08,8.3e+07,3.1e+07,3.69e+08,1.569e+09,4.8e+07,1.6e+07,3.2e+07,1.617e+09,1.986e+09,6.21e+08,8e+06,0,6.29e+08,6.23e+08,1.252e+09,3.238e+09,2.8e+07,3.6e+07,6e+06,-4e+07,3e+07,-1.4e+07,-1.4e+07,-1.4e+07,3.7e+07,-9.7e+07,6.92e+08,-1e+06,-6.86e+08,5e+06,-6.2e+07,-6.2e+07,-6.2e+07,8.1e+07,1.783e+09,3e+07,0.65873,0.35714,0.36508,0.03674,0.01422,0.65217,1.07588,1.58626,0.55099,2,2,5.47826,27.34783,1.30435,-30.08696,-0.20967,0.00974,-15.04348,21.28395,38.31111
"3","2014_Q2",29.8446031746032,"Up",1.4e+08,-6e+07,8e+07,-2.4e+07,-3317814.77811836,-2.4e+07,5.6e+07,-2.5e+07,-2.7e+07,1e+06,1e+06,3.1e+07,-8e+06,2.3e+07,-3e+06,2e+07,2e+07,-1.4e+07,6e+06,6e+06,4.2e+08,4.2e+08,3.8e+07,3.8e+07,1.5e+07,3.5e+07,4e+06,2.4e+07,5.08e+08,1.53e+09,2.67e+08,8.5e+07,1.44e+08,3.7e+07,2.026e+09,2.534e+09,3.1e+07,1.4e+07,1.7e+07,7.1e+07,4.8e+07,2.2e+07,1.5e+08,1.31e+09,4.3e+07,2e+07,2.3e+07,1.353e+09,1.503e+09,6.44e+08,4e+06,-2e+06,6.46e+08,3.85e+08,1.031e+09,2.534e+09,2.6e+07,2.4e+07,3e+06,-2.8e+07,2.5e+07,-2.2e+07,-2.2e+07,-2.2e+07,1.47e+08,1.25e+08,-2.2e+07,2.78e+08,-3.1e+07,2.25e+08,3.75e+08,3.75e+08,3.75e+08,8e+07,1.381e+09,3.3e+07,0.57143,0.4,0.04286,0.00582,0.00237,5.5,3.38667,1.45781,0.54499,0.26087,0.26087,6.08696,28.08696,1.43478,0.95652,0.01141,0.01344,3.66667,12.0125,17.16071
"4","2014_Q3",34.118125,"Up",1.73e+08,-5.3e+07,1.2e+08,-5.8e+07,-4e+06,-5.4e+07,6.2e+07,-2e+07,-3.4e+07,1.4e+07,0,4.2e+07,-1.7e+07,2.5e+07,-2e+06,2.3e+07,2.3e+07,-1.9e+07,4e+06,4e+06,86999999.9999999,86999999.9999999,5.6e+07,5.6e+07,1.4e+07,4.3e+07,7e+06,3e+07,2e+08,2.255e+09,5.28e+08,1.05e+08,3.12e+08,1.1e+08,3.036e+09,3.236e+09,3.4e+07,1.5e+07,1.9e+07,1.19e+08,8e+07,3e+07,2.33e+08,1.88e+09,5e+07,2.4e+07,2.1e+07,1.93e+09,2.163e+09,8.15e+08,3e+06,-9e+06,8.09e+08,2.64e+08,1.073e+09,3.236e+09,4.2e+07,5.4e+07,-5e+06,-4.1e+07,5e+07,-7e+06,-7e+06,-7e+06,4e+07,-3.03e+08,-2.2e+07,-4.6e+07,-4999999.99999994,-7.3e+07,-3.26e+08,-3.26e+08,-3.26e+08,1.16e+08,1.999e+09,7e+07,0.69364,0.35838,0.02312,0.00373,0.00124,17.5,0.858369999999999,2.01584,0.61774,0.17391,0.0869600000000001,7.52174,35.17391,3.04348,0.95652,0.00833,0.02242,5.5,16.48276,30.83871
"5","2014_Q4",30.68109375,"Down",1.84e+08,-6e+07,1.24e+08,-3.7e+07,-3e+06,-3.4e+07,8.7e+07,-3.6e+07,-4.8e+07,1.1e+07,1e+06,5.1e+07,-1e+07,4.1e+07,-1e+07,3.1e+07,3.1e+07,-2.5e+07,6e+06,6e+06,3.72e+08,3.72e+08,8e+07,8e+07,1.7e+07,9.3e+07,2.2e+07,6.4e+07,5.62e+08,3.276e+09,1.831e+09,1.517e+09,2.04e+08,1.1e+08,5.337e+09,5.899e+09,6.7e+07,1.5e+07,5.2e+07,1.57e+08,7.8e+07,3e+07,3.02e+08,3.926e+09,5.7e+07,2.3e+07,2.9e+07,3.983e+09,4.285e+09,1.336e+09,5e+06,-6e+06,1.335e+09,2.79e+08,1.614e+09,5.899e+09,3.9e+07,3.4e+07,4.8e+07,5.3e+07,1.74e+08,1e+06,1e+06,1e+06,-3e+07,-9.3e+08,-2.8e+07,4.72e+08,-3.3e+07,1.041e+09,2.85e+08,2.85e+08,2.85e+08,1.21e+08,4.083e+09,1.85e+08,0.67391,0.47283,0.03261,0.00372,0.00102,30.83333,1.86093,2.65489,0.69215,0.19355,0.09677,5.93548,43.06452,5.96774,0.90323,0.00591,0.03215,4.66667,30.66942,42.65517
"6","2015_Q1",34.5931147540984,"Up",3.31e+08,-1.04e+08,2.27e+08,-1.22e+08,-1e+06,-1.21e+08,1.05e+08,-1.12e+08,-1.07e+08,-9e+06,4e+06,-7000000.00000001,-1.4e+07,-2.1e+07,1.1e+07,-1e+07,-1e+07,1e+07,0,0,4.29e+08,4.29e+08,9e+07,9e+07,3.2e+07,1.05e+08,2.2e+07,8.1e+07,6.56e+08,5.175e+09,1.619e+09,1.424e+09,1.34e+08,5.9e+07,7.204e+09,7.86e+09,8.7e+07,2.2e+07,6.5e+07,2.24e+08,9.8e+07,5.2e+07,4.09e+08,4.697e+09,1.29e+08,7.7e+07,5.2e+07,4.826e+09,5.235e+09,1.24e+09,3e+06,-9e+06,1.234e+09,1.391e+09,2.625e+09,7.86e+09,1e+06,1.23e+08,-2e+06,-9e+06,1.13e+08,-3.2e+07,-3.2e+07,-3.2e+07,3.76e+08,3.69e+08,-2.9e+07,-3.07e+08,-1.1e+08,-4.46e+08,3.6e+07,3.6e+07,3.6e+07,2.28e+08,4.921e+09,1.76e+08,0.6858,0.31722,0,0,0,5.02609503197029,1.60391,1.99429,0.62608,0,0,9.45714,35.25714,5.02857,0.82857,0.00378,0.02293,-2.91903571878185,19.70175,42.78095
"7","2015_Q2",25.2257142857143,"Down",2e+08,-8.4e+07,1.16e+08,-7e+07,-3e+06,-6.7e+07,4.6e+07,-7e+07,-7.3e+07,2e+06,1e+06,-2.4e+07,4e+06,-2e+07,4e+06,-1.6e+07,-1.6e+07,1.1e+07,-5e+06,-5e+06,1.14e+08,1.14e+08,6.3e+07,6.3e+07,2.7e+07,8.1e+07,1.8e+07,5.3e+07,2.85e+08,4.43e+09,1.692e+09,1.403e+09,1.43e+08,1.38e+08,6.31e+09,6.595e+09,7.7e+07,3.3e+07,4.4e+07,2.18e+08,9.4e+07,4.8e+07,3.89e+08,4.719e+09,1.46e+08,9.7e+07,4.9e+07,4.865e+09,5.254e+09,1.235e+09,-2e+06,-2.3e+07,1.21e+09,1.31e+08,1.341e+09,6.595e+09,-2e+07,6.7e+07,5e+07,-2.2e+07,7.5e+07,-3e+06,-3e+06,-3e+06,4e+06,-4.89e+08,-3e+07,1.49e+08,23422508.9357381,1.19e+08,-2.95e+08,-2.95e+08,-2.95e+08,1.13e+08,4.937e+09,8.4e+07,0.58,0.23,-0.025,-0.00373,-0.00076,-16.8,0.73265,3.91797,0.7486,-0.14286,-0.14286,5.71429,34.57143,2.4,0.85714,0.00389,0.01308,-6,42.68142,104.84783
"8","2015_Q3",11.68484375,"Down",2.35e+08,-7.5e+07,1.6e+08,-7.3e+07,-3e+06,-7e+07,8.7e+07,-3.7e+07,-4.5e+07,8e+06,-4.65661287307739e-10,5e+07,-5e+06,4.5e+07,-4e+06,4.1e+07,4.1e+07,-3.1e+07,1e+07,1e+07,2.81e+08,2.81e+08,9.8e+07,9.8e+07,2.9e+07,8.3e+07,1.9e+07,4.6e+07,4.91e+08,4.478e+09,1.69e+09,1.389e+09,1.4e+08,1.57e+08,6.717e+09,7.208e+09,6e+07,2.3e+07,3.7e+07,4.07e+08,1.03e+08,4.3e+07,5.7e+08,4.336e+09,9.6e+07,4.4e+07,5.2e+07,4.432e+09,5.002e+09,1.853e+09,8e+06,-1.6e+07,1.845e+09,3.61e+08,2.206e+09,7.208e+09,3.8e+07,7e+07,1.3e+07,-1.03e+08,1.8e+07,-5e+06,-5e+06,-5e+06,-3.09e+08,-3.5e+08,-3.1e+07,-1.76e+08,1.12e+08,5.05e+08,1.73e+08,1.73e+08,1.73e+08,1.57e+08,4.743e+09,5.3e+07,0.68085,0.37021,0.04255,0.00453,0.00139,5.3,0.8614,2.26745,0.65802,0.14286,0.14286,3.35714,26.35714,0.75714,0.44286,0.00582,0.00752,3.1,28.42038,51.28736
"9","2015_Q4",9.81859375,"Down",2.94e+08,-8.7e+07,2.07e+08,-8.8e+07,-3e+06,-8.5e+07,1.19e+08,-7.3e+07,-8.3e+07,9e+06,1e+06,4.6e+07,-4e+06,4.2e+07,-8e+06,3.4e+07,3.4e+07,-1.7e+07,1.7e+07,1.7e+07,1.25e+08,1.25e+08,1.04e+08,1.04e+08,3e+07,1.14e+08,2.5e+07,7.7e+07,3.73e+08,4.434e+09,1.629e+09,1.377e+09,1.24e+08,1.25e+08,6.616e+09,6.989e+09,1.01e+08,2.2e+07,7.9e+07,2.24e+08,1e+08,4.2e+07,4.25e+08,4.285e+09,1.27e+08,7.4e+07,5.3e+07,4.412e+09,4.837e+09,1.821e+09,1.5e+07,-3.2e+07,1.804e+09,3.48e+08,2.152e+09,6.989e+09,3.5e+07,8.7e+07,2.3e+07,7.2e+07,2.17e+08,-9e+06,-9e+06,-9e+06,-1.9e+07,-2.8e+07,-3.8e+07,-2.58e+08,-5.4e+07,-3.51e+08,-1.62e+08,-1.62e+08,-1.62e+08,2.06e+08,4.509e+09,2.77e+08,0.70408,0.40476,0.05782,0.0079,0.00243,16.29412,0.87765,2.24768,0.64516,0.17347,0.17347,3,18.40816,2.82653,0.38776,0.0081,0.04081,2.23529,21.28155,36.84034
"10","2016_Q1",9.19622950819672,"Down",2.39e+08,-7.7e+07,1.62e+08,-8.4e+07,-3e+06,-8.1e+07,7.8e+07,-5.3e+07,-6.6e+07,1.2e+07,1e+06,2.5e+07,-8e+06,1.7e+07,-4e+06,1.3e+07,1.3e+07,-2e+06,1.1e+07,1.1e+07,1.11e+08,1.11e+08,1.01e+08,1.01e+08,3.6e+07,1.68e+08,2e+07,1.48e+08,4.16e+08,5.878e+09,1.698e+09,1.362e+09,1.7e+08,1.66e+08,8.273e+09,8.689e+09,1e+08,2.3e+07,7.7e+07,2.64e+08,1.25e+08,3.9e+07,4.89e+08,5.329e+09,1.33e+08,6.1e+07,7.2e+07,5.462e+09,5.951e+09,1.856e+09,1.2e+07,-2.7e+07,1.841e+09,8.97e+08,2.738e+09,8.689e+09,1.9e+07,7.9e+07,2.7e+07,-1e+07,1.15e+08,-1.2e+07,-1.2e+07,-1.2e+07,-1e+07,-2.31e+08,-4e+07,1.49e+08,-2.8e+07,8.1e+07,-3.5e+07,-3.5e+07,-34999999.9999999,1.57e+08,5.593e+09,1.39e+08,0.67782,0.32636,0.04603,0.00402,0.00127,12.63636,0.85072,2.17348,0.64369,0.08271,0.08271,1.79699,13.84211,1.04511,0.30075,0.00603,0.01642,3.63636,34.9172,70.28205
