"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",10.89921875,"Down",136550000,-98791000,37759000,-22340000,-22340000,15419000,-595000,-342000,-253000,14824000,14839000,-5490000,9349000,9349000,9349000,9349000,8516000,8516000,61770000,61770000,121793000,14962000,7494000,207041000,93996000,265710000,-171714000,256560000,107106000,145673000,3781000,350556000,557597000,27095000,24991000,463000,47204000,34635000,22760000,973000,130135000,177339000,197287000,-71635000,270194000,-15588000,380258000,380258000,557597000,9349000,3739000,1013000,-15634000,-1533000,-1851000,-63708000,-4588000,55955000,-9286000,-9286000,-9165000,19158000,95500000,7163000,0.27652,0.11292,0.06847,0.02459,0.01677,0.76618,4.38609,0.46636,0.17127,0.3573,0.35693,5.2187,14.53278,0.27376,0.17535,0.02731,0.01403,0.49075,4.54035,5.64135
"12","2014_Q1",9.72868852459016,"Down",132138000,-98558000,33580000,-21049000,-21049000,12531000,-414000,-459000,45000,12117000,-12105000,-2362000,-14467000,-14467000,-14467000,-14467000,5316000,5316000,63695000,63695000,130095000,15037000,8152000,214143000,91565000,265187000,-173622000,230639000,111775000,115207000,3657000,322204000,536347000,22845000,22062000,445000,41877000,26035000,22904000,1216000,131535000,173412000,197651000,-73440000,251137000,-12413000,362935000,362935000,536347000,-14467000,3989000,22923000,-18261000,-5816000,-599000,-599000,-4590000,3596000,-2819000,-2819000,-3200000,16520000,105500000,22000,0.25413,0.09483,-0.10948,-0.03986,-0.02697,-0.00152000000000008,5.11362,0.4778,0.1967,-0.55261,-0.55227,5.04739,13.86334,0.000839999999999952,0.17533,-0.01997,4e-05,-0.31727,6.06441,7.99489
"13","2014_Q2",9.59857142857143,"Down",141186000,-105798000,35388000,-21795000,-21795000,13593000,-845000,-502000,-343000,12748000,12749000,-4717000,8032000,8032000,8032000,8032000,13266000,13266000,63904000,63904000,129598000,15642000,9218000,222410000,90228000,266433000,-176205000,229253000,110358000,115219000,3676000,319481000,541891000,26025000,21290000,866000,42591000,26876000,23504000,1183000,132376000,174967000,195947000,-72192000,254602000,-11433000,366924000,366924000,541891000,8032000,3999000,539000,742000,13312000,-303000,-303000,-4567000,-5382000,7627000,7627000,7950000,17592000,105500000,22748000,0.25065,0.09628,0.05689,0.02189,0.01482,2.83217,5.222,0.47685,0.19469,0.30924,0.30907,5.43583,14.12701,0.87582,0.17583,0.02523,0.04556,0.5686,5.24295,6.7854
"14","2014_Q3",9.06453125,"Down",151841000,-113653000,38188000,-21824000,-21824000,16364000,-468000,-525000,57000.0000000001,15896000,15899000,-5883000,10016000,10016000,10016000,10016000,13782000,13782000,67013000,67013000,125830000,16681000,9423000,223306000,91032000,269699000,-178667000,231683000,111892000,116164000,3627000,322715000,546021000,25937000,23584000,1204000,43977000,26979000,23231000,1286000,130979000,174956000,196273000,-73374000,260044000,-11878000,371065000,371065000,546021000,10016000,4058000,448000,4504000,19026000,-611000,-11111000,-4574000,-7256000,658999.999999998,658999.999999998,516000,20422000,1.04e+08,30198000,0.2515,0.10777,0.06596,0.02699,0.01834,3.01498,5.07779,0.4715,0.19047,0.38509,0.38491,5.83787,14.26643,1.16103,0.17586,0.02906,0.06015,0.45667,4.41769,5.5132
"15","2014_Q4",8.8653125,"Down",146971000,-110455000,36516000,-23817000,-23817000,12699000,-125000,-472000,347000,12574000,-80735000,9556000,-71179000,-71179000,-71179000,-71179000,14668000,14668000,63178000,63178000,125181000,17209000,9396000,220236000,87656000,266701000,-179045000,136825000,73179000,60241000,3405000,224481000,444717000,23856000,21180000,891000,41546000,12113000,8035000,1343000,113613000,155159000,196600000,-77875000,184317000,-13484000,289558000,289558000,444717000,-71179000,4007000,79955000,1277000,14060000,-628000,-972000,-4548000,-11549000,1539000,1539000,886000,16706000,101500000,7799000,0.24846,0.0864,-0.48431,-0.24582,-0.16005,-0.10957,5.30102,0.53585,0.22824,-2.75935,-2.76215,5.69753,11.2251,0.30234,0.17631,-0.16527,0.01934,-0.0639,5.19765,6.8377
"16","2015_Q1",8.82114754098361,"Down",-59619000,64598000,4979000,6775000,6775000,11754000,1429000,1491000,-62000,13183000,106542000,-18941000,87601000,8598000,8598000,8598000,15346000,15346000,62865000,62865000,119814000,18517000,8853000,216542000,92875000,273747000,-180872000,143845000,76227000,64489000,3129000,236720000,453262000,21931000,21275000,656000,40247000,21835000,10248000,1735000,128335000,168582000,196821000,-78357000,188413000,-22197000,284680000,284680000,453262000,8598000,-974000,-90131000,-11114000,18036000,-334000,-17024000,-4502000,-90000,922000,922000,-157000,10780000,106500000,18273000,-0.08351,-0.19715,-0.14422,0.0302,0.01897,2.12526,5.38033,0.59218,0.23496,0.33483,0.33483,-2.32171,11.08613,0.71159,0.17532,0.03172,0.04424,0.52361,8.45584,7.75515
"17","2015_Q2",10.5938095238095,"Up",96769000,-66805000,29964000,-16053000,-16053000,13911000,-3000,-3000,-136954.584254625,13908000,13910000,-5147000,8763000,9171000,9171000,9171000,19047000,19047000,62174000,62174000,107315000,15274000,7540000,203810000,90680000,273683000,-183003000,142153000,74735000,64537000,2881000,232833000,436643000,24591000,21286000,1013000,40458000,21662000,9841000,1417000,107162000,147620000,195801000,-77005000,193088000,-22861000,289023000,289023000,436643000,9171000,2938000,537000,6029000,29998000,-1160000,-1203000,-4496000,-25496000,3299000,3299000,2967000,16849000,85500000,26865000,0.30964,0.14375,0.09477,0.03173,0.021,2.92934,5.03757,0.51076,0.19581,0.35843,0.35826,3.78202,11.29588,1.04996,0.17572,0.0345,0.06781,0.49024,3.94403,4.77701
"18","2015_Q3",11.17015625,"Up",100455000,-69092000,31363000,-16116000,-16116000,15247000,-2.3283064365387e-10,-2999.99999999953,2999.99999999988,15247000,15255000,-5644000,9611000,11046000,11046000,11046000,18851000,18851000,62012000,62012000,97838000,14234000,5649000,192935000,87029000,272386000,-185357000,141345000,74095000,64537000,2713000,228374000,421309000,26802000,24760000,1176000,44579000,20463000,8242000,1266000,83463000,128042000,196126000,-77005000,199618000,-25472000,293267000,293267000,421309000,11046000,3117000,-4000,-3981000,30189000,-1171000,-1621000,-4516000,-27016000,1552000,1552000,49999.9999999995,18364000,6.3e+07,18856000,0.31221,0.15178,0.10996,0.03767,0.02622,1.70704,4.32793,0.43661,0.14953,0.43004,0.42954,3.91091,11.41747,0.7341,0.17582,0.04131,0.05005,0.40884,2.40411,2.89559
"19","2015_Q4",13.035,"Up",97516000,-67797000,29719000,-16427000,-16427000,13292000,-10000,-3000,-7000,13282000,13643000,-5048000,8595000,10674000,10674000,10674000,13710000,13710000,54243000,54243000,98570000,14476000,6098000,180999000,86303000,274582000,-188279000,139753000,72579000,64537000,2637000,226056000,407055000,23352000,20986000,624000,40461000,21620000,8378000,1735000,66620000,107081000,196452000,-77005000,205776000,-25249000,299974000,299974000,407055000,10674000,3131000,473000,1915000,18438000,-807000,-1155000,-4516000,-22516000,-5233000,-5233000,-5179000,16423000,4.5e+07,22579000,0.30476,0.13631,0.10946,0.03558,0.02622,2.11533,4.47342,0.35697,0.11055,0.41496,0.4143,3.79103,11.66179,0.87778,0.17556,0.04144,0.06159,0.42308,1.90525,2.35405
"20","2016_Q1",13.1631147540984,"Up",91206000,-65942000,25264000,-17147000,-17147000,8117000,8000,9000.00000000001,-1000,8125000,8233000,-2944000,5289000,4845000,4845000,4845000,7957000,7957000,36546000,36546000,27619000,103719000,1443000,175841000,50791000,209017000,-158226000,163412000,52264000,64537000,274000,214203000,390044000,13974000,13738000,172000,40400000,11098000,1536000,866000,51098000,91498000,196731000,-77005000,206105000,-27285000,298546000,298546000,390044000,4845000,3167000,-5335000,453000,8059000,-51000,-136999.999999996,-4516000,-9562000,-1640000,-1640000,-3238000,11284000,4e+07,14630000,0.277,0.089,0.05312,0.01623,0.01242,3.01961,4.3525,0.30648,0.10255,0.1881,0.18771,3.5409,11.59047,0.56798,0.17532,0.02677,0.04184,0.93209,2.83968,3.94764
"21","2016_Q2",12.9125,"Down",90410000,-63716000,26694000,-16071000,-16071000,10623000,-9000,-2000,-7000,10614000,10608000,-3925000,6683000,-16878000,-16878000,-16878000,122421000,122421000,35979000,35979000,27588000,13474000,823000,199462000,49957000,209982000,-160025000,116160000,51355000,64537000,268000,166117000,365579000,12979000,12425000,554000,25255000,14885000,4670000,880000,49885000,75140000,195372000,-72285000,184697000,-17345000,290439000,290439000,365579000,-16878000,3142000,37122000,-8877000,15047000,-421000,106037000,-4530000,-6620000,114464000,114464000,114464000,13765000,3.5e+07,8392000,0.29525,0.1175,-0.18668,-0.05811,-0.04617,-0.49722,7.89792,0.25871,0.09574,-0.6546,-0.65391,3.50647,11.26441,0.32548,0.17569,-0.03628,0.02466,-0.2684,-6.35096,-8.22941
"22","2016_Q3",12.6646875,"Down",91246000,-64208000,27038000,-16057000,-16057000,10981000,-220000,-231000,11000,10761000,10765000,-3981000,6784000,6784000,6784000,6784000,85225000,85225000,37017000,37017000,28227000,10098000,749000,160567000,48436000,210455000,-162019000,115276000,50193000,64537000,546000,163712000,324279000,12440000,11362000,1078000,26640000,15519000,4670000,875000,45519000,72159000,195712000,-74071000,147824000,-17345000,252120000,252120000,324279000,6784000,3181000,445999.999999993,3620000,14031000,-494000,-784000.00000003,-43657000,-50443000,-37196000,-37196000,-37196000,14162000,3e+07,21269000,0.29632,0.12035,0.0743499999999999,0.02691,0.02092,3.13517,6.02729,0.28621,0.09251,0.262,0.26183,3.52393,9.73691,0.82141,1.68604,0.16947,0.07146,6.43529,-3.89952,-5.02914
"23","2016_Q4",12.1585714285714,"Down",88660000,-63368000,25292000,-15833000,-15833000,9459000,-84000,-172000,88000,9375000,9111000,-3371000,5740000,5740000,5740000,5740000,87865000,87865000,35150000,35150000,27132000,7519000,1201000,157666000,46564000,209399000,-162835000,114388000,49308000,64537000,543000,160952000,318618000,10516000,10142000,374000,24784000,16142000,4670000,859000,46142000,70926000,196052000,-80042000,149027000,-17345000,247692000,247692000,318618000,5740000,3115000,646000,3981000,13482000,-334000,-334000,-4537000,-10508000,2640000,2640000,2640000,12574000,3e+07,19592000,0.28527,0.10669,0.06474,0.02317,0.01802,3.41324,6.3616,0.28635,0.09416,0.22308,0.22306,3.44565,9.62621,0.76142,0.17632,0.03498,0.06668,0.79042,-4.60196,-6.11745
"24","2017_Q1",12.5493548387097,"Up",86572000,-61646000,24926000,-15186000,-15186000,9740000,-179000,-208000,29000,9561000,9549000,-2339000,7210000,6134000,6134000,6134000,80466000,80466000,37368000,37368000,27965000,3451000,1351000,149250000,49995000,214049000,-164054000,125040000,53927000,70603000,510000,175035000,324285000,14427000,14202000,225000,29968000,12962000,6953000,1163000,42962000,72930000,196659000,-80728000,150685000,-15261000,251355000,251355000,324285000,6134000,3169000,4622000,2402000,16327000,-1152000,-18829000,-4476000,-4897000,-7399000,-7399000,-7399000.00000001,12909000,3e+07,16498000,0.28792,0.11251,0.07085,0.0244,0.01892,2.6896,4.98031,0.29015,0.09251,0.24026,0.24015,3.3909,9.84521,0.6462,0.17532,0.03605,0.05606,0.729699999999999,-3.90937,-5.18131
"25","2017_Q2",12.8233333333333,"Up",94590000,-64598000,29992000,-17316000,-17316000,12676000,-306000,-190000,-116000,12370000,12355000,-4571000,7784000,7784000,7784000,7784000,84323000,84323000,36359000,36359000,29249000,2355000,1041000,152286000,48626000,212049000,-163423000,123486000,52402000,70603000,481000,172112000,324398000,15486000,11661000,403000,29425000,13031000,7105000,1080000,43031000,72456000,195525000,-82571000,154001000,-15013000,251942000,251942000,324398000,7784000,3521000,210000,831000,12346000,-711000,-711000,-4468000,-7778000,3857000,3857000,3857000,16197000,3e+07,20888000,0.31707,0.13401,0.08229,0.0309,0.024,2.68345,5.1754,0.28759,0.09248,0.30618,0.30601,3.72067,9.91006,0.82162,0.17575,0.04154,0.07081,0.574,-3.35389,-4.2855
"26","2017_Q3",14.747619047619,"Up",94887000,-64028000,30859000,-17038000,-17038000,13821000,-217000,-204000,-13000,13604000,13556000,-5016000,8540000,8540000,8540000,8540000,83865000,83865000,38171000,38171000,29228000,3652000,819000,154916000,47761000,212583000,-164822000,123223000,52235000,70603000,385000,170984000,325900000,11421000,10753000,668000,26296000,13624000,7257000,1521000,43624000,69920000,195809000,-82521000,157457000,-14765000,255980000,255980000,325900000,8540000,3552000,1129000,-6391000,6830000,-854000,-2204000,-5084000,-5084000,-458000.000000002,-458000.000000002,-458000,17373000,3e+07,15144000,0.32522,0.14566,0.09,0.03336,0.0262,1.7733,5.89124,0.27315,0.09205,0.33698,0.33667,3.74415,10.10072,0.59757,0.20061,0.04547,0.05055,0.59532,-3.1005,-3.89733
"27","2017_Q4",15.5761904761905,"Up",93606000,-63650000,29956000,-16642000,-16642000,13314000,-184000,-163000,-21000,13130000,13134000,-4860000,8274000,8274000,8274000,8274000,92930000,92930000,38409000,38409000,27799000,3436000,1228000,162574000,46236000,212510000,-166274000,121706000,50746000,70603000,357000,167942000,330516000,10345000,9988000,357000,2.7e+07,13765000,7408000,1511000,43765000,70765000,196144000,-82524000,160648000,-14517000,259751000,259751000,330516000,8274000,3509000,775000,2084000,14642000,-491000,-491000,-5083000,-5086000,9065000,9065000,9065000,16823000,3e+07,23276000,0.32002,0.14223,0.08839,0.03185,0.02503,2.81315,6.02126,0.27243,0.09077,0.32626,0.32583,3.69102,10.24236,0.91781,0.20043,0.04401,0.07669,0.61433,-3.74071,-4.7266
"28","2018_Q1",15.9719672131148,"Up",87088000,-60981000,26107000,-18455000,-18455000,7652000,315000,-220000,535000,7967000,7864000,296000,8160000,8307000,8307000,8307000,96230000,96230000,35654000,35654000,26480000,4980000,1305000,163344000,45908000,210748000,-164840000,120187000,49254000,70603000,330000,166095000,329439000,29571000,12168000,17403000,29571000,8164000,6189000,1240000,38164000,67735000,196467000,-82512000,164177000,-16428000,261704000,261704000,329439000,8307000,3509000,-560000,216000.000000002,11472000,-547000,-547000,-7625000,-7625000,3300000,3300000,3300000,11161000,3e+07,10534000,0.29978,0.08787,0.09539,0.03174,0.02522,1.26809,5.52379,0.25882,0.09106,0.32651,0.32611,3.42301,10.28632,0.41404,0.2997,0.05313,0.03513,0.9179,-5.93406,-8.65525
"29","2018_Q2",15.13,"Down",93419000,-63228000,30191000,-17735000,-17735000,12456000,-131000,-261000,130000,12325000,12329000,-3082000,9247000,9247000,9247000,9247000,96420000,96420000,36241000,36241000,30971000,1614000,1227000,165246000,46371000,213141000,-166770000,120710000,49805000,70603000,302000,167081000,332327000,27912000,11290000,16622000,27912000,8639000,6257000,1647000,38639000,66551000,195404000,-81802000,168341000,-16167000,265776000,265776000,332327000,9247000,3450000,486000,-1293000,11890000,-1201000,-5937000,-5083000,-5763000,190000,190000,190000,15906000,3e+07,16494000,0.32318,0.13333,0.09898,0.03479,0.02783,1.78371,5.92025,0.2504,0.09027,0.36501,0.36458,3.68754,10.49102,0.65107,0.20064,0.04707,0.05418,0.54969,-4.17578,-5.33237
