"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2014_Q3",17.23109375,"Up",172742000,-121586000,51156000,-34138000,-34138000,17018000,-8719000,-8719000,8299000,7134000,-4832000,2302000,2302000,2302000,2302000,2302000,5292000,676000,8348000,16618000,-5543000,8000,-5535000,-17161000,-17161000,-6078000,-6078000,-299000,-6377000,22310000,0,29947000,0.29614,0.09852,0.01333,13.00912,0.07558,0.07558,5.67148,0.98322
"2","2014_Q4",23.98375,"Up",173267000,-120425000,52842000,-35520000,-35520000,17322000,-8744000,-8744000,8578000,8303000,-1933000,6370000,6370000,6370000,6370000,6370000,5122000,1266000,-12524000,234000.000000004,-4483000,101000,-4382000,9638000,-15362000,-19510000,-19510000,15000,-19495000,22444000,340505000,7370000,0.30497,0.09997,0.03676,1.15699,0.20914,0.20778,5.68872,0.24197
"3","2015_Q1",28.0054098360656,"Up",183677000,-132773000,50904000,-37847000,-37847000,13057000,-6764000,-6764000,6293000,-16143000,-1499000,-17642000,-17642000,-17642000,-17642000,-17642000,5838000,6175000,-11713000,-17342000,-5598000,324000,-5274000,-86559000,23319000,703000,703000,139000,842000,18895000,289391000,3083000,0.27714,0.07109,-0.09605,-0.17475,-0.47174,-0.47426,4.91141,0.08244
"4","2015_Q2",30.081746031746,"Up",187458000,-127129000,60329000,-35224000,-35224000,25105000,-3490000,-3490000,21615000,22819000,-3887000,18932000,18932000,18932000,18932000,18932000,5353000,375000,-7300000,17360000,-3975000,15000,-3960000,-861000,-4757000,8643000,8643000,-715000,7928000,30458000,288663000,23070000,0.32183,0.13392,0.10099,1.21857,0.48668,0.47827,4.81897,0.59306
"5","2015_Q3",31.93140625,"Up",188688000,-132603000,56085000,-36298000,-36298000,19787000,-3515000,-3515000,16272000,17290000,-3042000,14248000,14248000,14248000,14248000,14248000,5241000,-783000,-10303000,8403000,-3753000,794000,-2959000,-743000,-4480000,964000,964000,-24000,940000,25028000,287941000,14014000,0.29724,0.10487,0.07551,0.98358,0.36574,0.35787,4.84349,0.35973
"6","2015_Q4",28.14453125,"Down",187495000,-128385000,59110000,-37297000,-37297000,21813000,-3602000,-3602000,18211000,22844000,-6148000,16696000,16696000,16696000,16696000,16696000,5356000,399000,-1372000,21079000,-5375000,-4811000,-15186000,-1754000,-5197000,695999.999999999,695999.999999999,-581000,115000,27169000,287223000,26570000,0.31526,0.11634,0.08905,1.5914,0.42812,0.41825,4.80781,0.68132
"7","2016_Q1",25.2303278688525,"Down",184950000,-127194000,57756000,-36793000,-36793000,20963000,-3698000,-3698000,17265000,15810000,-5406000,10404000,10404000,10404000,10404000,10404000,5654000,3782000,2022000,21862000,-6955000,-27000,-12359000,2268000,-917000,8586000,8586000,-174000,8412000,26617000,289518000,27090000,0.31228,0.11334,0.05625,2.60381,0.26663,0.26046,4.73976,0.69424
"8","2016_Q2",18.43015625,"Down",187120000,-127913000,59207000,-37349000,-37349000,21858000,-3819000,-3819000,18039000,23492000,-4739000,18753000,18753000,18753000,18753000,18753000,5429000,-4336000,-22240000,-2394000,-8094000,246000,-7848000,16766000,13549000,3307000,3307000,-706000,2601000,27287000,306326000,1692000,0.31641,0.11681,0.10022,0.09023,0.47971,0.46868,4.78666,0.04328
"9","2016_Q3",20.081875,"Up",191773000,-130311000,61462000,-38841000,-38841000,22621000,-3967000,-3967000,18654000,16097000,14081000,30178000,30178000,30178000,30178000,30178000,5393000,-17907000,-9666000,7998000,-9559000,17000,-9542000,-2232000,-4764000,-6308000,-6308000,-137000,-6445000,28014000,305121000,-5292000,0.32049,0.11796,0.15736,-0.17536,0.77057,0.75487,4.89679,-0.13513
"10","2016_Q4",24.3236507936508,"Up",183461000,-124671000,58790000,-37619000,-37619000,21171000,-4265000,-4265000,16906000,19149000,-572000,18577000,18577000,18577000,18577000,18577000,5856000,-1545000,-17866000,5022000,-10995000,-121000,-57662000,61268000,59215000,6575000,6575000,278000,6853000,27027000,366415000,-1262000,0.32045,0.1154,0.10126,-0.06793,0.47202,0.46442,4.66158,-0.03207
"11","2017_Q1",25.2340322580645,"Up",189172000,-129599000,59573000,-39479000,-39479000,20094000,-4541000,-4541000,15553000,18023000,-2803000,15220000,15220000,15220000,15220000,15220000,6774000,884000,3714000,26592000,-7704000,-5000,-7739000,-13731000,-17620000,1233000,1233000,147000,1380000,26868000,350172000,25681000,0.31491,0.10622,0.08046,1.68732,0.38625,0.38186,4.80071,0.65172
"12","2017_Q2",29.301746031746,"Up",187987000,-126988000,60999000,-39186000,-39186000,21813000,-3907000,-3907000,17906000,17572000,-5395000,12177000,12177000,12177000,12177000,12177000,6318000,2956000,4999.99999999627,21456000,-5911000,25000,-5886000,-7729000.00000001,-11670000,3900000,3900000,-90000,3810000,28131000,342601000,27620000,0.32449,0.11603,0.06478,2.26821,0.309,0.30514,4.77028,0.70087
"13","2017_Q3",33.7874603174603,"Up",191598000,-128100000,63498000,-40870000,-40870000,22628000,-3872000,-3872000,18756000,19304000,-5887000,13417000,13417000,13417000,13417000,13417000,6444000,5288000,1128000,26277000,-4653000,-226000,-4879000,-15547000,-19378000,2020000,2020000,-215000,1805000,29072000,328533000,31434000,0.33141,0.1181,0.07003,2.34285,0.34044,0.33541,4.86154,0.79759
"14","2017_Q4",32.0331746031746,"Down",189861000,-129241000,60620000,-30646000,-30646000,29974000,-3929000,-3929000,26045000,26448000,-2805000,23643000,23643000,23643000,23643000,23643000,6842000,609000,5983000,37077000,-4813000,-1590000,-6403000,-19226000,-20715000,9959000,9959000,131000,10090000,36816000,309465000,40791000,0.31929,0.15787,0.12453,1.72529,0.59838,0.5902,4.80515,1.03237
"15","2018_Q1",33.5124590163934,"Up",194835000,-131709000,63126000,-39607000,-39607000,23519000,-3198000,-3198000,20321000,17219000,-1841000,15378000,15378000,15378000,15378000,15378000,6397000,-1587000,-6613000,13575000,-5503000,729000,-4774000,2975000,-1975000,6826000,6826000,-53000,6773000,29916000,313141000,19641000,0.324,0.12071,0.07893,1.27721,0.38672,0.38253,4.89966,0.49393
"16","2018_Q2",40.1634375,"Up",193412000,-130030000,63382000,-40995000,-40995000,22387000,-3118000,-3118000,19269000,18944000,-3052000,15892000,15892000,15892000,15892000,15892000,6644000,2488000,-20221000,4803000,-4998000,-271999.999999999,-16832000,18348000,17845000,5816000,5816000,198000,6014000,29031000,331854000,6864000,0.3277,0.11575,0.08217,0.43192,0.39786,0.39441,4.84208,0.17184
"17","2018_Q3",42.9473015873016,"Up",205876000,-138957000,66919000,-42981000,-42981000,23938000,-3050000,-3050000,20888000,21211000,-14179000,7032000,7032000,7032000,7032000,7032000,6631000,7207000,11420000,32290000,-3853000,-27444000,-34735000,-15584000,-19389000,-21834000,-21834000,-78000,-21912000,30569000,316368000,52315000,0.32505,0.11627,0.03416,7.43956,0.17499,0.17421,5.12308,1.30182
"18","2018_Q4",34.3855555555556,"Down",208908000,-139839000,69069000,-42577000,-42577000,26492000,-3064000,-3064000,23428000,24388000,-4548000,19840000,19840000,19840000,19840000,19840000,6751000,1964000,-5749000,22806000,-4168000,-18856000,-23024000,-7083000,-9520000,-9738000,-9738000,106000,-9632000,33243000,309376000,27874000,0.33062,0.12681,0.09497,1.40494,0.49287,0.49121,5.18975,0.69245
"19","2019_Q1",28.4714754098361,"Down",211786000,-144277000,67509000,-41400000,-41400000,26109000,-2678000,-2678000,23431000,23527000,-1408000,22119000,22119000,22119000,22119000,22119000,6917000,401000,-19328000,10109000,-5529000,-4492000,-10021000,2918000,-711000,-623000,-623000,-762000,-1385000,33026000,312381000,9577000,0.31876,0.12328,0.10444,0.43298,0.54831,0.54624,5.25002,0.23741
"20","2019_Q2",28.8031746031746,"Up",200153000,-134348000,65805000,-42952000,-42952000,22853000,-2783000,-2783000,20070000,22705000,-6391000,16314000,16314000,16314000,16314000,16314000,6691000,-2402000,-19323000,1280000,-6049000,-262000,-16149000,11785000,11734000,-3135000,-3135000,-173000,-3308000,29544000,324330000,10563000,0.32877,0.11418,0.08151,0.64748,0.40412,0.40222,4.95809,0.26166
"21","2019_Q3",25.26859375,"Down",218223000,-149579000,68644000,-42938000,-42938000,25706000,-3015000,-3015000,22691000,20074000,-5326000,14748000,14748000,14748000,14748000,14748000,6841000,3048000,-9281000,15356000,-6068000,1289000,-4779000,-144000,-4860000,5717000,5717000,-241000,5476000,32547000,324276000,22524000,0.31456,0.1178,0.06758,1.52726,0.3652,0.36394,5.40383,0.55776
"22","2019_Q4",21.5465625,"Down",205736000,-140864000,64872000,-42304000,-42304000,22568000,-2931000,-2931000,19637000,19515000,-4666000,14849000,14849000,14849000,14849000,14849000,6875000,2358000,-8428000,15654000,-7657000,-291000,-7948000,4855000,-2982000,4724000,4724000,-184000,4540000,29443000,329227000,18024000,0.31532,0.10969,0.07218,1.21382,0.36717,0.36688,5.08719,0.44568
"23","2020_Q1",22.7872580645161,"Up",203883000,-138580000,65303000,-53204000,-53204000,12099000,-2992000,-3047000,9107000,9211000,-409000,8802000,8802000,8802000,8802000,8802000,7157000,-2169000,1089000,14879000,-10117000,24860000,14743000,630000,-7999000,21623000,21623000,74000,21697000,19256000,326175000,10637000,0.3203,0.05934,0.04317,1.20848,0.21758,0.21715,5.03987,0.26294
"24","2020_Q2",23.267619047619,"Up",189720000,-132057000,57663000,-47516000,-47516000,10147000,-6575000,-3354000,3572000,3572000,-1057000,2515000,2515000,2515000,2515000,2515000,7781000,2243000,-16109000,-3570000,-7675000,-296000.000000004,-62531000,68785000,63931000,-2170000,-2170000,-510000,-2680000,17928000,395124000,-4799000,0.30394,0.05348,0.01326,-1.90815,0.0621699999999997,0.0620900000000003,4.68976999999999,-0.118629999999998
"25","2020_Q3",20.08875,"Down",211623000,-136902000,74721000,-49290000,-49290000,25431000,3558000,-2670000,28989000,28989000,-6401000,22588000,22588000,22588000,22588000,11894000,8148000,-583000,12632000,32091000,-8440000,-25749000,-34178000,-22146000,-27001000,-29088000,-29088000,375000,-28713000,33579000,373071000,44172000,0.35309,0.12017,0.10674,1.95555,0.55836,0.55767,5.2312,1.09191
"26","2020_Q4",17.433125,"Down",213128000,-149194000,63934000,-48437000,-48437000,15497000,-8927000,-4025000,6570000.00000001,6570000,-3763000,2807000,2807000,2807000,2807000,13501000,8248000,1193000,4008000,26950000,-7854000,-6294000,-14148000,-6125000,-10979000,1823000.00000001,1823000.00000001,-1255000,568000,23745000,367039000,23662000,0.29998,0.07271,0.01317,8.42964,0.0693900000000087,0.0693000000000074,5.26839999999976,0.584909999999995
