"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",19.64203125,"Up",139627000,-65942000,73685000,-67254000,-70995000,3982000,6431000,-5095000,-5095000,1336000,1336000,-17000,1319000,5550000,5550000,5550000,4376000,4376000,58900000,58900000,63484000,115223000,14663000,241983000,74721000,157765000,136584000,20125630.9455054,21181000,232486000,474469000,82308000,63308000,1.9e+07,21542000,21542000,124774000,75104000,27753000,47351000,222004000,346778000,112230000,39165000,-23704000,127691000,127691000,474469000,1319000,4622000,739000,-15900000,-9220000,-6065000,-6086000,-1822000,132000,132000,13914000,-1392000,-23902000,107000,-23795000,11053000,167824000,-10895000,0.52773,0.04606,0.03975,0.04346,0.0117,-1.96306,1.93937,2.71576,0.35371,0.33506,0.33482,8.42955,7.70895,-0.65775,0.11,0.01989,-0.0294,0.32829,14.78766,25.41564
"2","2011_Q1",20.3672580645161,"Up",157714000,-72717000,84997000,-76716000,-81647000,4212000,8281000,-4772000,-4772000,3509000,3309000.00000001,-1596000,1713000,53392000,53392000,53392000,44094000,44094000,50177000,50177000,85338000,89304000,12554000,268913000,83895000,205663000,166680000,16866000,22117000,289558000,558471000,106306000,83211000,23095000,40785000,40785000,147091000,84287000,28846000,55441000,231352000,378443000,113108000,90739000,-23819000,180028000,180028000,558471000,1713000,5465000,-619000,20375000,26934000,-3893000,-62196000,-1815000,-185000,-185000,-22901000,-58163000,39669000,49000,39718000,13746000,147065000,31824000,0.53893,0.05251,0.33854,0.29658,0.0956,0.596039999999999,1.82821,2.10213,0.26334,3.22864,3.22591,9.53704,10.88638,1.92441,0.10975,0.1342,0.07736,0.03399,7.49098,12.43461
"3","2011_Q2",28.4536507936508,"Up",208308000,-90648000,117660000,-86347000,-91138000,4791000,31313000,-4804000,-4804000,26509000,25909000,-8849000,17060000,18100000,18100000,18100000,47033000,47033000,72263000,72263000,62843000,60587000,10912000,242726000,82899000,205474000,167573000,16185000,21716000,288373000,531099000,95593000,73746000,21847000,4949000,4949000,101258000,85279000,30231000,55048000,232507000,333765000,113190000,106700000,-22556000,197334000,197334000,531099000,17060000,5119000,5770000,-10733000,17216000,-3634000,-3634000,-2142000,939000,939000,-508000,13074000,2661000,278000,2939000,36432000,147944000,30914000,0.56484,0.15032,0.08689,0.09172,0.03408,1.70796,2.3971,1.69137,0.27856,1.09597,1.09531,12.61326,11.94877,1.87187,0.1297,0.04701,0.0718,0.11834,2.76985,3.22266
"4","2011_Q3",30.01296875,"Up",180646000,-77709000,102937000,-84626000,-88648000,4022000,18311000,-4268000,-4268000,14043000,5195000,-1675000,3520000,2604000,2604000,2604000,37775000,37775000,53902000,53902000,77731000,34103000,16337000,203511000,86889000,203171000,166826000,16555000,19790000,290060000,493571000,96617000,76877000,19740000,1362000,1362000,102385000,84491000,30322000,54169000,192579000,294964000,114170000,107160000,-22723000,198607000,198607000,493571000,3520000,5339000,9100000,-1515000,16444000,-9092000,-9490000,-2143000,474000,474000,-44603000,-37649000,-9179000,-79000,-9258000,23650000,112494000,14718000,0.56983,0.10136,0.01441,0.01311,0.00528,5.65207,1.9877,1.48516,0.22792,0.15768,0.15752,10.93896,12.02658,0.89124,0.12977,0.012,0.0372,0.82296,3.15937,4.08055
"5","2011_Q4",32.391746031746,"Up",170280000,-81540000,88740000,-81324000,-85161000,3837000,7416000,-3705000,-3705000,3711000,2342000,-731000,1611000,1624000,1624000,1624000,4962000,4962000,66372000,66372000,91003000,35021000,17425000,197358000,91121000,201022000,166082000,16555000,18385000,292143000,489501000,99957000,78209000,21748000,3073989.03620414,3073989.03620414,103236000,84611000,30738000,53873000,187901000,291137000,114933000,106645000,-23214000,198364000,198364000,489501000,1611000,5727000,2091000,-23655000,-14226000,-9722000,-9722000,-2140000,604000,604000,-8186000,-32134000,-32712000,-101000,-32813000,13143000,106569000,-19503000,0.52114,0.04355,0.00954,0.00819,0.00332,-12.00924,1.91172,1.46769,0.21771,0.09841,0.09832,10.31875,12.0206,-1.18186,0.12968,0.00966,-0.05007,1.31773,7.73088,13.70105
"6","2012_Q1",40.6854838709677,"Up",199679000,-96047000,103632000,-89465000,-93635000,4170000,14167000,-3489000,-3489000,10678000,10078000,-3026000,7052000,7052000,7052000,7052000,13373000,13373000,59706000,59706000,103420000,37571000,17838000,214070000,93206000,201931000,165193000,16495000,20243000,295137000,509207000,112483000,89149000,23334000,2500000,2500000,117554000,84179000,34882000,49297000,187584000,305138000,116192000,111551000,-23674000,204069000,204069000,509207000,7052000,10969000,3275000,3517000,24813000,-12862000,-12862000,-2143000,-715000,1112000,-3521000,8430000,8430000.00000001,-19000,8411000,25136000,105976000,18817000,0.51899,0.07095,0.03532,0.03456,0.01385,2.66832,1.82104,1.49527,0.20812,0.42716,0.42628,12.09516,12.36108,1.1398,0.12981,0.02332,0.04773,0.30389,3.68408,6.53653
"7","2012_Q2",37.6461904761905,"Down",230953000,-101739000,129214000,-95826000,-100808000,4982000,33388000,-3603000,-3603000,29785000,29185000,-11183000,18002000,18002000,18002000,18002000,5679000,5679000,86705000,86705000,85996000,34869000,15530000,213249000,97270000,204470000,165673000,16495000,22302000,301740000,514989000,93080000,76377000,16703000,2500000,2500000,101603000,84305000,33614000,50691000,191296000,292899000,117631000,127079000,-22620000,222090000,222090000,514989000,18002000,6028000,687000,-27829000,-3112000,-9633000,-9633000,-2475000,680000,680000,4989000,-7756000,-7756000,62000,-7694000,39416000,113014000,13137000,0.55948,0.14457,0.07795,0.08106,0.03496,0.72975,2.09885,1.31883,0.21945,1.08898,1.0876,13.9709,13.43476,0.79469,0.14972,0.04882,0.03132,0.13748,2.72313,3.21478
"8","2012_Q3",41.2895238095238,"Up",206929000,-88649000,118280000,-97362000,-100702000,3340000,20918000,-3314000,-3314000,17604000,7861000,-2833000,5028000,5028000,5028000,5028000,4561000,4561000,61833000,61833000,88382000,38610000,18907000,193386000,109500000,204211000,164682000,17277000,22252000,313711000,507097000,95798000,76186000,19612000,0,0,101566000,84700000,31281000,53419000,179949000,281515000,119419000,129628000,-23465000,225582000,225582000,507097000,5028000,5694000,8500000,23881000,43103000,-17631000,-19314000,-2481000,885000,885000,-24935000,-1146000,-1146000,28000,-1118000.00000001,26612000,101017000,35695000,0.5716,0.10109,0.0243,0.02229,0.00992,7.09924,1.90404,1.24795,0.19921,0.30373,0.30344,12.50024,13.62704,2.15628,0.14987,0.01826,0.08679,0.49344,3.62453,4.61115
"9","2012_Q4",43.8822580645161,"Up",181414000,-84592000,96822000,-90302000,-94146000,3844000,6520000,-959000,-959000,5561000,4961000,-1951000,3010000,3010000,3010000,3010000,5621000,5621000,68920000,68920000,102172000,39438000,20111000,216151000,123841000,204830000,165013000,17273000,22544000,328671000,544822000,100255000,78550000,21705000,2500000,2500000,109710000,84511000,31459000,53052000,207812000,317522000,120175000,130153000,-23028000,227300000,227300000,544822000,3010000,6477000,1666000,-16468000,-5315000,-20389000,-20519000,-2482000,203000,203000,26812000,978000,978000,82000,1060000,12997000,130256000,-21909000,0.53371,0.03594,0.01659,0.01324,0.00552,-7.27874,1.9702,1.39693,0.23908,0.18154,0.18142,10.94174,13.70929,-1.32141,0.1497,0.01242,-0.04956,0.82458,9.58952,19.1158
"10","2013_Q1",42.2195,"Down",236246000,-111005000,125241000,-110811000,-115081000,4270000,14430000,-1063000,-1063000,13367000,8882000,-3605000,5277000,5277000,5277000,5277000,7517000,7517000,62805000,62805000,109605000,42463000,19511000,222390000,128882000,204798000,164317000,17275000,23206000,333680000,556070000,116322000,66004000,50318000,0,0,124266000,93407000,34385000,59022000,201959000,326225000,121486000,132944000,-24585000,229845000,229845000,556070000,5277000,8136000,4186000,14823000,32422000,-13049000,-13049000,-2486000,1124000,1124000,-17460000,1913000,1913000,-17000,1896000,22566000,116496000,27945000,0.53013,0.06108,0.02234,0.02296,0.00949,5.29562,1.78963,1.41933,0.2095,0.31814,0.3173,14.24284,13.85694,1.68475,0.14988,0.01765,0.0635499999999999,0.4711,4.82935,7.55225
"11","2013_Q2",51.3325,"Up",234203000,-100128000,134075000,-107945000,-113025000,5080000,26130000,-936000,-936000,25194000,25125000,-11502000,13623000,13623000,13623000,13623000,28325000,28325000,82196000,82196000,95798000,42194000,21508000,248513000,135613000,204289000,163813000,17267000,23209000,339902000,588415000,92434000,49862000,42572000,0,0,98259000,96357000,35498000,60859000,255651000,353910000,128269000,131120000,-24884000,234505000,234505000,588415000,13623000,7226000,-1592000,-23837000,-4580000,-13860000,-13860000,-3024000,-6423000,6214000,39296000,20856000,20856000,-48000,20808000,33356000,165119000,7161000,0.57247,0.11157,0.05817,0.05809,0.02315,0.52566,2.52916,1.50918,0.28062,0.82136,0.82012,14.12052,14.13873,0.43175,0.18232,0.03356,0.01444,0.22198,4.10103,5.23513
"12","2013_Q3",55.91375,"Up",235024000,-98175000,136849000,-109068000,-112424000,3356000,27781000,-1042000,-1042000,26739000,26670000,-10864000,15806000,15806000,15806000,15806000,9705000,9705000,62082000,62082000,101920000,42656000,21853000,216363000,140885000,214061000,173250000,17919000,22892000,354946000,571309000,100774000,52757000,48017000,2500000,2500000,109159000,95369000,34674000,60695000,214896000,324055000,129445000,143407000,-25598000,247254000,247254000,571309000,15806000,8532000,-282000,29708000,53764000,-12160000,-30048000,-2964000,165999.999999998,729000,-42329000,-18613000,-18613000,-7000.00000000001,-18620000,36313000,125412000,64725000,0.58228,0.1182,0.06725,0.06393,0.02767,4.09496,1.98209,1.31062,0.21952,0.96413,0.96243,14.33598,15.08198,3.94809,0.1808,0.0401,0.13829,0.18752,3.18638,4.16497
"13","2013_Q4",61.7634375,"Up",197506000,-92721000,104785000,-100166000,-104434000,4268000,4619000,-1195000,-1195000,3424000,3356000,-2467000,889000,889000,889000,889000,9310000,9310000,71205000,71205000,123987000,47384000,27280000,251886000,143710000,215356000,174643000,17205000,23508000,359066000,610952000,97001000,56692000,40309000,2500000,2500000,101808000,97734000,35652000,62082000,262148000,363956000,129988000,141337000,-24329000,246996000,246996000,610952000,889000,8963000,1931000,-39712000,-27929000,-10723000,-10723000,-2961000,233000,233000,38374000,-278000,-278000,-117000,-395000,13582000,166721000,-34386000,0.53054,0.02339,0.0045,0.0036,0.00146,-38.67942,2.47413,1.47353,0.27289,0.05419,0.05409,12.03864,15.05522,-2.09594,0.18048,0.00753,-0.06723,3.33071,11.58968,34.07902
"14","2014_Q1",65.653606557377,"Up",183146000,-77375000,105771000,-67989000,-69221000,1232000,37782000,-767000,-767000,37015000,37221000,-12111000,25110000,14973000,14973000,14973000,8483000,8483000,75277000,75277000,143712000,43560000,23095000,271032000,141519000,214754000,173023000,17399000,24332000,356273000,627305000,126553000,75527000,51026000,2500000,2500000,133046000,96504000,32759000,63745000,234096000,367142000,130437000,153344000,-23618000,260163000,260163000,627305000,14973000,9181000,-4703000,12028000,31479000,-6629000,-4499000,-2966000,324000,323000,-28403000,-1423000,-1423000,596000,-827000.000000004,46963000,141585000,64473000,0.57752,0.20629,0.08175,0.05755,0.02387,4.30595,2.03713,1.4112,0.2257,0.91221,0.90972,11.15791,15.85007,3.92793,0.1807,0.036,0.1294,0.19809,2.83419,3.52289000000001
"15","2014_Q2",57.4820634920635,"Down",242566000,-102194000,140372000,-107570000,-110840000,3270000,32802000,-970000,-970000,31832000,31763000,-12705000,19058000,14969000,14969000,14969000,8568000,8568000,79273000,79273000,105751000,78548000,19035000,272140000,131722000,223345000,148805000,17440000,23432000,355067000,627207000,105757000,51583000,54174000,26190000,26190000,131947000,84418000,29286000,49162000,223019000,354966000,131257000,164849000,-23865000,272241000,272241000,627207000,14969000,9136000,125000,-11679000,12551000,-6704000,-6704000,-3463000,228000,228000,-5427000,420000,420000,-335000,85000,41938000,138601000,36260000,0.5787,0.13523,0.06171,0.05498,0.02387,2.42234,2.06249,1.30387,0.22098,0.91174,0.90997,14.77439,16.58186,2.20855,0.21093,0.03722,0.07321,0.23134,3.1006,3.96418
"16","2014_Q3",53.97578125,"Down",227550000,-91279000,136271000,-106644000,-109943000,3299000,29627000,-888000,-888000,28739000,28671000,-11382000,17289000,15069000,15069000,15069000,6416000,6416000,46912000,46912000,107866000,89144000,18226000,250338000,136186000,222555000,148264000,17444000,23535000,358741000,609079000,104435000,52447000,51988000,27249000,27249000,131684000,85392000,29309000,50221000,191908000,323592000,132735000,176453000,-23701000,285487000,285487000,609079000,15069000,9304000,974000,22016000,47363000,-12872000,-12872000,-3468000,336000,336000,-36629000,-2138000,-2138000,-13999.9999999999,-2152000,38931000,106516000,59457000,0.59886,0.1302,0.06622,0.05278,0.02474,3.94565000000001,1.90105,1.13347,0.17488,0.91744,0.91549,13.85388,17.38125,3.61991,0.21114,0.03883,0.12454,0.230139999999999,2.57122,3.37867
"17","2014_Q4",52.36140625,"Down",201178000,-97313000,103865000,-99408000,-102891000,3483000,4457000,-730000,-730000,3727000,3658000,-1886000,1772000,-74000,-74000,-74000,6275000,6275000,70269000,70269000,118105000,87931000,25278000,282580000,143480000,219634000,147478000,17401000,22558000,363114000,645694000,105362000,59620000,45742000,26867000,26867000,132229000,89080000,28800000,54138000,232596000,364825000,134095000,172907000,-26133000,280869000,280869000,645694000,-74000,9324000,1613000,-30096000,-19233000,-16973000,-16973000,-3468000,248000,248000,36065000,-141000,-141000,0,-141000,13781000,143516000,-31402000,0.51628,0.02215,-0.00037,-0.00026,-0.00011,424.35135,2.13705,1.29892,0.22227,-0.0045,-0.0045,12.24083,17.08969,-1.91068,0.21101,0.00661,-0.06116,-46.86486,9.95871,30.79224
"18","2015_Q1",48.5365573770492,"Down",249031000,-111590000,137441000,-111508000,-115395000,3887000,25933000,-648000,-648000,25285000,25491000,-9813000,15678000,15794000,15794000,15794000,5281000,5281000,64587000,64587000,120613000,68064000,19941000,258545000,146039000,217823000,146134000,17296000,22646000,363862000,622407000,130063000,72785000,57278000,29879000,29879000,159942000,67018000,5161000,56286000,171860000,331802000,135530000,185229000,-30154000,290605000,290605000,622407000,15794000,9882000,-1166000,30218000,54728000,-13806000,-13806000,-3474000,178000,178000,-41628000,-706000,-706000,-288000,-994000,35815000,104842000,62040000,0.5519,0.10414,0.06342,0.05435,0.02538,3.92807000000005,1.61649,1.14176,0.16845,0.96082,0.95495,15.14971,17.67885,3.77418,0.21134,0.04166,0.13415,0.219959999999993,2.77987,3.83916
"19","2015_Q2",68.5361904761905,"Up",260394000,-106002000,154392000,-118910000,-122680000,3770000,35482000,-773000,-773000,34709000,34709000,-13385000,21324000,17256000,17256000,17256000,8913000,8913000,82338000,82338000,114376000,91394000,20774000,297021000,149279000,186259000,145902000,17313000,23044000,335538000,632559000,117261000,50945000,66316000,18208000,18208000,135469000,60519000,4365000,56154000,191091000,326560000,136976000,198333000,-29310000,305999000,305999000,632559000,17256000,9428000,455000,-22068000,5071000,-11907000,-11907000,-4153000,263000,263000,10405000,3569000,3569000,63000,3632000,44910000,130572000,24320000,0.59292,0.13626,0.06627,0.05639,0.02728,1.40936,2.19254,1.06719,0.20642,1.04932,1.04424,15.83424,18.60742,1.47887,0.25254,0.04307,0.04892,0.24067,2.70895,3.42875
"20","2015_Q3",71.96828125,"Up",250690000,-99603000,151087000,-116340000,-119963000,3623000,34747000,-739000,-739000,34008000,34008000,-12959000,21049000,-2021000,-2021000,-2021000,13661000,13661000,57108000,57108000,104786000,22212000,22163000,197767000,170283000,185017000,145010000,17254000,22753000,355300000,553067000,110671000,48337000,62334000,6868000,6868000,117539000,65872000,2452000,63420000,110872000,228411000,138647000,192153000,-6144000,324656000,324656000,553067000,-2021000,8403000,21219000,40059000,67660000,-29518000,29818000,-4160000,395000,395000,-93206000,4272000,4272000,476000,4748000,43150000,4.5e+07,66650000,0.60268,0.13861,-0.00806,-0.00623000000000001,-0.00365,-32.97872,1.68256,0.70355,0.08136,-0.12285,-0.12214,15.23859,19.73473,4.05143,0.25287,0.00491,0.15303,-2.05839,0.726280000000001,0.90192
"21","2015_Q4",59.97,"Down",198624000,-90735000,107889000,-109055000,-112694000,3639000,-1166000,-449000,-449000,-1615000,-1615000,225000,-1390000,-2144000,-2144000,-2144000,6558000,6558000,60344000,60344000,120559000,26570000,26570000,214031000,183482000,184129000,144491000,17238000,22400000,367611000,581642000,116724000,63855000,52869000,6208000,6208000,122932000,70037000,3101000,66936000,138781000,261713000,140280000,185850000,-6201000,319929000,319929000,581642000,-2144000,9097000,2043000,-13115000,-4119000,-21792000,-22892000,-4161000,333000,333000,19916000,-7095000,-7095000,-8000,-7103000,7931000,68744000,-27201000,0.54318,-0.00587,-0.01079,-0.0067,-0.00369,12.68703,1.74105,0.81803,0.11819,-0.13028,-0.13028,12.06927,19.4403,-1.65285,0.25284,0.0044,-0.0593,-1.94076,7.84088,-53.33276
"22","2016_Q1",59.5134426229508,"Down",259582000,-116359000,143223000,-114772000,-118180000,3408000,28451000,-497000,-497000,27954000,27954000,-10400000,17554000,17471000,17471000,17471000,6323000,6323000,59065000,59065000,129136000,22272000,22272000,216796000,184094000,181800000,143738000,17223000,20839000,365894000,582690000,126505000,68306000,58199000,2394000,2394000,128899000,75416000,3657000,67188000,119391000,248290000,142078000,199151000,-6829000,334400000,334400000,582690000,17471000,9499000,1212000,8579000.00000001,36761000,-9865000,-8965000,-4166000,316000,316000,-28581000,-784999.999999996,-785000.000000002,550000,-235000,37950000,43975000,47064000,0.55174,0.1096,0.0673,0.05225,0.02998,2.69384,1.68191,0.74249,0.07547,1.06071,1.04573,15.75994,20.30235,2.85739,0.25293,0.04768,0.10371,0.23845,0.992149999999999,1.32339999999999
"23","2016_Q2",54.32,"Down",256235000,-104771000,151464000,-119458000,-123498000,4040000,32006000,-614000,-614000,31392000,31392000,-11215000,20177000,20177000,20177000,20177000,6974000,6974000,81493000,81493000,143641000,23442000,23442000,255550000,185971000,257274000,185416000,50058000,21800000,443245000,698795000,109370000,62497000,46873000,0,0,109370000,84152000,12323000,67551000,237057000,346427000,142419000,214798000,-4849000,352368000,352368000,698795000,20177000,9954000,6359000,-34793000,1697000,-10582000,-104483000,-4531000,-1234000,315000,103165000,379000,379000,272000,651000,41960000,152905000,7800000,0.59111,0.12491,0.07874,0.05726,0.02887,0.38658,2.33656,0.98314,0.21881,1.22263,1.21424,15.52657,21.35175,0.47264,0.27456,0.04192,0.01323,0.22456,3.47786,4.55949
