"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",70.7591803278688,"Down",298535000,-134133000,164402000,-142401000,-145761000,3360000,22001000,-411000,-411000,21590000,21590000,-4911000,16679000,16679000,16679000,16679000,8327000,8327000,69037000,69037000,160656000,31768000,31768000,269788000,192576000,264890000,176176000,66621000,22093000,457466000,727254000,142209000,81612000,60597000,26520516.4480541,26520516.4480541,142209000,93697000,18411000,75286000,106690000,248899000,159935000,323515000,-5095000,478355000,478355000,727254000,16679000,9237000,5639000,204000,31759000,-6129000,-6129000,-5768000,2637000,286000,-24700000,929999.999999999,930000,-16000,914000,31238000,12993000,30224000,0.5507,0.0737,0.05587,0.03487,0.02293,1.8121,1.89712,0.52032,0.01787,0.99898,0.98757,17.88063,28.65087,1.81025,0.34547,0.03837,0.05166,0.34582,0.14937,0.212079999999998
"35","2019_Q2",70.6766666666667,"Down",281973000,-116204000,165769000,-136027000,-139814000,3787000,29742000,-671000,-671000,29071000,29071000,-7414000,21657000,21657000,21657000,21657000,5501000,5501000,85857000,85857000,157221000,24588000,24588000,273167000,191104000,560154000,175883000,66597000,317674000,751258000,1024425000,112618000,52121000,60497000,53683000,53683000,166301000,331770000,19664000,312106000,364952000,531253000,159780000,338875000,-5483000,493172000,493172000,1024425000,21657000,10137000,3001000,-40883000,-6088000,-8282000,-8282000,-6297000,-2031000,422000,11579000,-2791000,-2791000,-35000,-2826000,39879000,33182000,-1872000,0.58789,0.10548,0.07681,0.04391,0.02114,-0.08644,1.64261,1.07722,0.03239,1.29582,1.28543,16.87148,29.50829,-0.11201,0.37677,0.03258,-0.00218,0.29076,0.69412,0.9307
"36","2019_Q3",65.4146875,"Down",3.02e+08,-122175000,179825000,-139566000,-143403000,3837000,40259000,-419000,-419000,39840000,39840000,-10004000,29836000,29836000,29836000,29836000,30756000,30756000,59176000,59176000,152672000,22440000,22440000,265044000,189410000,555740000,175591000,66585000,313564000,745150000,1010194000,110075000,48998000,61077000,54044000,54044000,164119000,327126000,19916000,307210000,327126000,491245000,162158000,362407000,-5616000,518949000,518949000,1010194000,29836000,9849000,2276000,31394000,73355000,-7694000,-7694000,-6304000,463000,463000,-40668000,24993000,24993000,262000,25255000,50108000,-3.72529029846191e-09,83812000,0.59545,0.13331,0.09879,0.05749,0.02953,2.80909,1.61495,0.94662,0,1.7803,1.76461,18.02017,30.96539,5.00101,0.37616,0.04271,0.09906,0.21129,-0.61379,-0.76395
"37","2019_Q4",67.429375,"Up",241221000,-108241000,132980000,-130386000,-134231000,3845000,2594000,-81000,-81000,2513000,2513000,-845000,1668000,1668000,1668000,1668000,21568000,21568000,64593000,64593000,154229000,28438000,28438000,268828000,190537000,553719000,175298000,66594000,311827000,744256000,1013084000,114217000,60708000,53509000,49901000,49901000,164118000,332150000,21010000,311140000,332150000,496268000,164488000,357768000,-5440000,516816000,516816000,1013084000,1668000,10193000,3089000,-7011000,7939000,-10901000,-10901000,-6307000,2875000,422000,-5943000,-8905000,-8905000,-283000,-9188000,12787000,0,-4280000,0.55128,0.01075,0.00691,0.00323,0.00165,-2.56595,1.63802,0.96024,0,0.09945,0.09851,14.38236,30.81421,-0.25519,0.37604,0.00939,-0.00504,3.78118,-1.68671,-8.31457
"38","2020_Q1",57.5727419354839,"Down",297596000,-131203000,166393000,-145313000,-148701000,3388000,21080000,-74000,-74000,21006000,21006000,-5674000,15332000,15332000,15332000,15332000,52460000,52460000,57862000,57862000,152229000,26275000,25413000,288826000,191517000,553026000,175005000,66578000,311443000,744543000,1033369000,127581000,65491000,62090000,50198000,50198000,177779000,326992000,16540000,310452000,326992000,504771000,166466000,366793000,-4661000,528598000,528598000,1033369000,15332000,9018000,-813999.999999996,23184000,46720000,-10544000,-10544000,-6307000,332000,332000,-6266000,29910000,29910000,982000,30892000,30098000,-7.45058059692383e-09,48412000,0.55912,0.07083,0.05152,0.02901,0.01484,3.15758,1.62464,0.95492,0,0.91371,0.90358,17.73516,31.50167,2.8851,0.37586,0.02529,0.05658,0.41136,-1.74297,-2.48861
"39","2020_Q2",39.2798412698413,"Down",160343000,-66269000,94074000,-119111000,-123001000,3890000,-25037000,-658000,-658000,-25695000,-86147000,19363000,-66784000,-66784000,-66784000,-66784000,181775000,181775000,51055000,51055000,169495000,21367000,21367000,423692000,188568000,485210000,157015000,23802000,304393000,673778000,1097470000,86999000,40432000,46567000,66128000,66128000,153127000,298030000,9119000,288911000,505648000,658775000,166352000,277595000,-5252000,438695000,438695000,1097470000,-66784000,10693000,54798000,-44556000,-45849000,-8591000,-8591000,-4194000,-17647000,406000,183908000,129468000,129468000,-153000,129315000,-14344000,207618000,-86854000,0.5867,-0.15615,-0.41651,-0.15223,-0.06085,1.30052,2.76693,1.50167,0.18918,-4.02023,-4.02023,9.65224,26.40832,-5.22839,0.25247,-0.06628,-0.09197,-0.0628,-1.80166,-1.03219
"40","2020_Q3",42.79015625,"Up",191988000,-87251000,104737000,-112754000,-115663000,2909000,-8017000,-676000,-676000,-8693000,-8693000,2606000,-6086999.99999999,-6087000,-6087000,-6087000,97089000,97089000,28133000,28133000,148578000,24617000,23830000,298417000,180284000,473848000,156739000,23866000,293243000,654132000,952549000,108048000,47904000,60144000,65653000,65653000,173701000,282298000,7892000,274406000,347298000,520999000,168596000,267273000,-4319000,431550000,431550000,952549000,-6087000,12958000,744000.000000007,62558000,70173000,-5131000,-8131000,-4235000,360000,360000,-146953000,-84911000.0000001,-84911000.0000001,225000,-84686000,4941000,6.5e+07,59762000,0.54554,-0.0417599999999999,-0.0317099999999999,-0.0141,-0.00638999999999999,-9.81797,1.71799,1.20727,0.06824,-0.36784,-0.367840000000001,11.60189,26.07868,3.61143,0.25592,-0.00237999999999999,0.07673,-0.69575,-6.49443,4.00262
"41","2020_Q4",49.38421875,"Up",175135000,-78866000,96269000,-109987000,-113537000,3550000,-13718000,-339000,-339000,-14057000,-14057000,3453000,-10604000,-10604000,-10604000,-10604000,53071000,53071000,38726000,38726000,148740000,21926000,21139000,262463000,178029000,461525000,156464000,23857000,281204000,639554000,902017000,113550000,52177000,61373000,62839000,62839000,176389000,271880000,8516000,263364000,306682000,483071000,170987000,252392000,-4433000,418946000,418946000,902017000,-10604000,10572000,2770000,-4385000,-1647000,-8194000,-8194000,-4277000,331000,331000,-34144000,-43985000,-43985000,-33000,-44018000,-3146000,34802000,-19178000,0.54968,-0.07833,-0.06055,-0.02531,-0.01176,1.80856,1.48798,1.15306,0.03858,-0.64003,-0.64003,10.57068,25.28646,-1.15753,0.25815,-0.00872,-0.02643,-0.40334,5.80706,1.33175
"42","2021_Q1",73.6959016393443,"Up",221367000,-101240000,120127000,-136752000,-140427000,3675000,-16625000,-355000,-355000,-16980000,-16980000,4763000,-12217000,-12217000,-12217000,-12217000,66013000,66013000,30418000,30418000,123543000,38342000,20367000,258316000,159732000,447586000,156187000,23910000,267489000,607318000,865634000,135366000,71148000,64218000,60886000,60886000,196252000,263654000,4434528.41334121,263654000,263654000,459906000,173397000,235995000,-3664000,405728000,405728000,865634000,-12217000,5863000,12328000,55199000,61173000,-7008000,-9735000,-4138000,281000.000000001,281000,-38659000,12779000,12779000,163000,12942000,-10762000,0,32666000,0.54266,-0.0751,-0.05519,-0.03011,-0.01411,-2.67382,1.31625,1.13353,0,-0.73703,-0.73703,13.35467,24.47683,1.97068,0.24964,-0.01207,0.0488,-0.33871,6.1339,3.97071
"43","2021_Q2",90.384126984127,"Up",265762000,-99177000,166585000,-131692000,-137125000,5433000,34893000,-252000,-252000,34641000,34641000,-6173000,28468000,28468000,28468000,28468000,92086000,92086000,67658000,67658000,108810000,40185000,22355000,308739000,157553000,434690000,155967000,23930000,254793000,592243000,900982000,164864000,72323000,92541000,60226000,60226000,225090000,247991000,363000,247628000,247991000,473081000,172963000,258211000,-3273000,427901000,427901000,900982000,28468000,9683000,3897000,-1043000,41005000,-4925000,-5425000,-6252000,322000,322000,-9662000,25918000,25918000,155000,26073000,44576000,0,44781000,0.62682,0.13129,0.10712,0.06653,0.0316,1.57303,1.37162,1.10559,0,1.71742,1.71742,16.03294,25.81449,2.70156,0.37717,0.05137,0.06625,0.21962,-2.06582,-2.6391
"44","2021_Q3",88.02796875,"Down",328672000,-119046000,209626000,-141630000,-146367000,4737000,67996000,-211000,-211000,67785000,67785000,-16325000,51460000,51460000,51460000,51460000,180389000,180389000,48522000,48522000,77330000,42805000,24720000,349046000,157380000,425323000,155747000,23897000,245679000,582703000,931749000,161661000,62116000,99545000,58523000,58523000,220184000,237866000,1043000,236823000,237866000,458050000,174978000,302456000,-3735000,473699000,473699000,931749000,51460000,9692000,2407000,44421000,107980000,-11298000,-12798000,-7101000,341000,341000,-6760000.00000001,88422000,88422000,-155000,88267000,77688000,9.31322574615479e-10,127136000,0.6378,0.20688,0.15657,0.10863,0.05523,2.47058,1.58525,0.96696,-8.67361737988404e-19,3.0972,3.05854,19.78164,28.51032,7.65188,0.42738,0.0823,0.17867,0.13799,-2.32197,-2.65294
"45","2021_Q4",94.50609375,"Up",247729000,-95191000,152538000,-121931000,-137505000,15574000,30607000,-222000,-222000,30385000,30385000,-4400000,25985000,25985000,25985000,25985000,188012000,37976000,46266000,46266000,90981000,41694000,23609000,366953000,156672000,409178000,155527000,23909000,229742000,565850000,932803000,148885000,64709000,84176000,58287000,58287000,207172000,230162000,1899000,228263000,230162000,437334000,177312000,321238000,-3081000,495469000,495469000,932803000,25985000,9877000,-7877000,-19885000,8100000,-8909000,-144323000,-7094000,381000,381000,-6713000,-142936000,-142936000,154637.373178566,-142936000,40484000,0,16090000,0.61575,0.12355,0.10489,0.05245,0.02786,0.6192,1.77125,0.88267,0,1.56395,1.54443,14.90996,29.82058,0.9684,0.42696,0.04559,0.02217,0.273,-4.64411,-6.14278
"46","2022_Q1",86.18,"Down",299916000,-122447000,177469000,-145462000,-152639000,7177000,32007000,-259000,-259000,31748000,31748000,-6340000,25408000,25408000,25408000,25408000,209749000,44859000,34550000,34550000,117709000,38327000,18599000,400335000,152447000,404860000,155307000,23869000,225684000,557307000,957642000,164894000,80753000,84141000,61272000,61272000,226166000,223812000,2911000,220901000,223812000,449978000,179961000,331175000,-3472000,507664000,507664000,957642000,25408000,10690000,2746000,2077000,40921000,-6762000,-19026000,-7089000,-7951000,408000,-15040000,6855000,6855000,587000,7441999.99999997,42697000,5.82076609134674e-11,44352000,0.59173,0.10672,0.08472,0.05005,0.02653,1.74559,1.77009,0.88637,0,1.53282,1.53282,18.09339,30.62645,2.67568,0.42767,0.04443,0.06063,0.27901,-4.9125,-6.55322
"47","2022_Q2",88.1185483870968,"Up",352581000,-126204000,226377000,-150399000,-157412000,7013000,75978000,-242000,-242000,75736000,75736000,-18328000,57408000,57408000,57408000,57408000,166126000,31799000,74374000,74374000,122760000,44652000,24911000,407912000,150393000,388712000,155080000,23870000,209762000,539105000,947017000,171775000,68641000,103134000,54642000,54642000,226417000,207180000,2215000,204965000,207180000,433597000,179421000,336994000,-2995000,513420000,513420000,947017000,57408000,10190000,2084000,-47202000,22480000,-9280000,20720000,-9020000,-42475000,392000,-56671000,-13471000,-13471000,411000,-13060000,86168000,0,48014000,0.64206,0.21549,0.16282,0.11181,0.06062,0.83636,1.8016,0.84453,0,3.45956,3.41877,21.2475,30.9401,2.89346,0.54357,0.09218,0.06663,0.15712,-1.92793,-2.1865
"48","2022_Q3",95.59828125,"Up",363430000,-131281000,232149000,-156778000,-163135000,6357000,75371000,-274000,-274000,75097000,75097000,-18485000,56612000,56612000,56612000,56612000,186023000,31269000,50757000,50757000,135483000,48985000,29242000,421248000,150887000,385067000,154853000,23861000,206353000,535954000,957202000,169521000,76974000,92547000,53119000,53119000,222640000,200546000,1254000,199292000,200546000,423186000,182099000,355037000,-3120000,534016000,534016000,957202000,56612000,10622000,1683000,-768000,68149000,-10466000,-30516000,-8809000,-29323000,490000,-38132000,-499000,-499000,-411000,-910000,85993000,0,93244000,0.63877,0.20739,0.15577,0.10601,0.05914,1.64707,1.89206,0.79246,-6.7762635780344e-21,3.40728,3.36475,21.87361,32.1406,5.61204,0.53018,0.08906,0.12694,0.1556,-2.16323,-2.4681
