"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",11.625873015873,"Up",259624000,-162978000,96646000,-66382000,-12342000,-10337000,-43703000,30264000,-622000,-730000,108000,29642000,-158000,29484000,-9606000,19878000,19878000,-637000,19241000,19241000,512368905.625942,512368905.625942,27073366.1391324,27073366.1391324,34476766.0252809,-3981032.83846882,-27262137.1753977,569938004.951887,492504935.450526,139879962.625889,10929906.4981703,111212767.335554,17737288.793495,632384898.076415,1202322903.0283,-414820764.922227,25397228.7416588,94913568.0453458,311129152.802225,311129152.802225,-103410896.036741,153007113.75587,80072195.7341052,47289434.098356,213908796.978322,110497900.94158,-235789714.790963,143054702.403191,1065121901.29482,26703100.7919049,1091825002.08672,1202322903.0283,19878000,10337000,2146000,-9677000,22684000,-7801000,-7801000,4448000,-386000,-7998000,6885000,6885000,6885000,40601000,0,32729000,0.37225,0.11657,0.07411,-0.602656970038952,-0.414703668584168,1.701,7.25219055454375,-0.263655941516139,0.0341902006070356,0.27219,0.2664,3.67271,16.7757685038582,0.46299,-0.254250750594455,-0.706084398806347,-22.7904184723662,-39.0173103089734
"2","2010_Q3",10.90140625,"Down",255162000,-162444000,92718000,-69289000,-14953000,-10262000,-44074000,23429000,-612000,-704000,92000,22817000,-1e+05,22717000,-7049000,15668000,15668000,-632000,15036000,15036000,267279452.812971,267279452.812971,19053683.0695662,19053683.0695662,20646883.0126404,4803483.58076559,-7184568.58769887,311783502.475943,474590467.725263,133153481.312944,10658453.2490851,111498883.667777,10996144.3967475,607743949.038207,919527451.514151,-153000382.461113,24714114.3708294,63965784.0226729,171959076.401113,171959076.401113,19230551.9816293,87155556.8779352,39008097.8670526,35610217.049178,143596398.489161,162826950.47079,36334642.6045183,191525851.201595,743799450.647408,12901050.3959525,756700501.043361,919527451.514151,15668000,10262000,1890000,-2176000,25644000,-10115000,-10143000,1366000,-315000,-9009000,6492000,6492000,6492000,33691000,0,28449000,0.36337,0.09182,0.05893,-0.264413485019476,-0.181951834292084,1.89206,3.71298027727187,0.115342029241931,0.0577301003035178,0.21038,0.20608,3.57015,11.2088242519291,0.39805,-0.114645375297228,-0.258112199403174,-10.6654492361831,-18.3116701544867
"3","2010_Q4",13.08546875,"Up",245613000,-156265000,89348000,-67856000,-11968000,-10262000,-45626000,21492000,-489000,-644000,155000,21003000,-44000,20959000,-6478000,14481000,14481000,-529000,13952000,13952000,134698150.937657,134698150.937657,14540227.6898554,14540227.6898554,12723294.3375468,8965161.19358853,3407143.80410038,170926834.158648,463544489.241754,130226493.770981,10387817.749695,111689627.889259,8149048.13224917,593770983.012736,764697817.171384,275539.179628909,25409704.7902765,49230594.6742243,85173025.4670376,85173025.4670376,85718850.6605431,52196185.6259784,16935032.6223509,30059072.349726,105638466.163054,191357316.823597,188316547.534839,224995283.733865,567819150.215803,5521350.13198415,573340500.347787,764697817.171384,14481000,10262000,917000,314000,25974000,-13507000,-13507000,408000,-623000,-17277000,-4810000,-4810000,-4810000,31754000,0,25039000,0.36378,0.0875,0.0568,-0.069104495006492,-0.047363944764028,1.79465,1.78781675909062,0.32256400974731,0.0698600334345059,0.1947,0.19112,3.42748,8.14826141730969,0.34941,-0.0283484584324092,-0.0208340664677246,-3.92734641206103,-6.71372005149557
"4","2011_Q1",13.7606451612903,"Up",244594000,-156963000,87631000,-70194000,-13231000,-10422000,-46541000,17437000,-522000,-595000,73000,16915000,-1703000,15212000,-4550000,10662000,10662000,-602000,10060000,10060000,82215000,82215000,12563000,12563000,9197000,9947000,7204000,113922000,458983000,129896000,10118000,111785000,7993000,588879000,702801000,72619000,26864000,45755000,39165000,39165000,112058000,39455000,8444000,28833000,91361000,203419000,250946000,247008000,496616000,2766000,499382000,702801000,10662000,10422000,4872000,19798000,45754000,-13393000,-13400000,4806000,-158000,-5416000,26938000,26938000,26938000,27859000,52180000,38814000,0.35827,0.07129,0.04113,0.02014,0.01431,3.85825,1.01663,0.40734,0.07425,0.1399,0.13682,3.40153,6.90637,0.53978,0.01702,0.06567,-1.07811,-1.72249
"5","2011_Q2",13.3084126984127,"Down",283785000,-181918000,101867000,-71632000,-13861000,-10600000,-47171000,30235000,-462000,-565000,103000,29773000,-26000,29747000,-9272000,20475000,20475000,-682000,19793000,19793000,77420000,77420000,12152000,12152000,8559000,9192000,6897000,107323000,460522000,130959000,9849000,111785000,9325000,591481000,698804000,91642000,28457000,48586000,22329000,22329000,114252000,40258000,8126000,30129000,92090000,206342000,255013000,261109000,489625000,2837000,492462000,698804000,20475000,10600000,2896000,-1835000,32136000,-12409000,-12409000,-22856000,-1599000,-24522000,-4795000,-4795000,-4795000,40835000,52113000,35863000,0.35896,0.10654,0.06975,0.04019,0.02832,1.8119,0.93935,0.419,0.07457,0.2747,0.26846,3.93861,6.79544,0.49774,0.03384,0.06132,-0.61974,-0.837010000000001
"6","2011_Q3",12.29875,"Down",279572000,-180878000,98694000,-74926000,-16239000,-10553000,-48134000,23768000,-445000,-542000,97000,23323000,-20000,23303000,-6604000,16699000,16699000,-623000,16076000,16076000,79376000,79376000,12350000,12350000,8889000,7979000,5110000,108594000,467378000,132237000,9580000,111785000,10872000,599615000,708209000,86479000,28421000,52247000,18426000,18426000,105194000,44813000,9720000,31805000,96570000,201764000,233173000,271479000,502632000,3813000,506445000,708209000,16699000,10553000,4523000,-7560000,24215000,-16609000,-16609000,1237000.00000001,-1128000,-5650000,1956000,1956000,1956000,34321000,52046000,16756000,0.35302,0.08502,0.0575,0.03174,0.0227,1.0423,1.03232,0.39839,0.07349,0.22559,0.22085,3.92321,7.0534,0.23514,0.03608,0.02777,-0.79631,-1.14987
"7","2011_Q4",11.3512698412698,"Down",269253000,-173659000,95594000,-72509000,-13499000,-10571000,-48439000,23085000,-598000,-669000,71000,22487000,-13000,22474000,-6058000,16416000,16416000,-618000,15798000,15798000,55673000,55673000,12187000,12187000,8678000,7751000,4534000,84289000,479167000,132527000,9311000,111785000,11431000,611694000,695983000,84742000,26136000,51785000,15850000,15850000,100888000,44446000,7817000,32058000,96127000,197015000,216216000,281663000,495072000,3896000,498968000,695983000,16416000,10571000,-117000,-2212000,24658000,-22650000,-22650000,-20335000,4e+05,-25711000,-23703000,-23703000,-23703000,33656000,51977000,14852000,0.35503,0.08574,0.05867,0.03166,0.0227,0.94012,0.83547,0.39484,0.07468,0.22314,0.21885,3.80301,6.99254,0.20977,0.03612,0.02494,-0.10982,-0.1601
"8","2012_Q1",13.186935483871,"Up",276616000,-180313000,96303000,-76951000,-14103000,-10985000,-51863000,19352000,-542000,-637000,95000,18810000,-1142000,17668000,-4831000,12837000,12837000,-540000,12297000,12297000,78777000,78777000,11480000,11480000,10730000,10987000,7045000,111974000,497217000,131479000,9042000,110946000,11491000,628696000,740670000,92010000,32744000,53731000,44058000,44058000,136372000,46875000,8715000,33913000,108476000,244848000,206088000,288425000,491904000,3918000,495822000,740670000,12837000,10985000,4696000,26892000,55410000,-27807000,-27807000,-12177000,-676000,-8538000.00000001,19065000,19065000,19065000,30337000,61905000,34253000,0.34815,0.06996,0.04446,0.0248,0.0166,2.78548,0.82109,0.49382,0.08358,0.17769,0.17465,3.99717,7.10813,0.49496,0.02962,0.05665,-0.55615,-0.87185
"9","2012_Q2",14.4292063492063,"Up",324869000,-209254000,115615000,-86194000,-20033000,-11347000,-54814000,29421000,-564000,-605000,41000,28857000,-19000,28838000,-9085000,19753000,19753000,-884000,18869000,18869000,77322000,77322000,12793000,12793000,9822000,12882000,7636000,112819000,507873000,132048000,8773000,110946000,12329000,639921000,752740000,112117000,32758000,63122000,25216000,25216000,137645000,47959000,7695000,35939000,99479000,237124000,212194000,301024000,510568000,5048000,515616000,752740000,19753000,11347000,977000,5817000,37894000,-22741000,-22741000,4603000,-1423000,-12428000,2725000,2725000,2725000,40768000,51832000,32929000,0.35588,0.09056,0.05808,0.0366,0.02507,1.74514,0.81964,0.45988,0.06886,0.27187,0.2664,4.68077,7.35636,0.47445,0.03966,0.05351,-0.62525,-0.86639
"10","2012_Q3",14.5103174603175,"Up",320275000,-206474000,113801000,-82534000,-17653000,-11546000,-53335000,31267000,-447000,-568000,121000,30820000,-20000,30800000,-9952000,20848000,20848000,-538000,20310000,20310000,77225000,77225000,14045000,14045000,9941000,10483000,5336000,111694000,515620000,132062000,8504000,110946000,12612000,647682000,759376000,101486000,29634000,60383000,21285000,21285000,123092000,46979000,5666000,36884000,98416000,221508000,220715000,315007000,533007000,4861000,537868000,759376000,20848000,11546000,-158000,-10592000,21644000,-19700000,-19700000,3746000,711000,-1888000,55999.9999999963,55999.9999999963,55999.9999999963,42813000,51758000,22473000,0.35532,0.09763,0.06341,0.03776,0.02675,1.1065,0.9074,0.41183,0.06816,0.28961,0.28371,4.56694,7.60038,0.32045,0.04175,0.0353,-0.59484,-0.8145
