"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","net_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",6.21507936507937,"Down",9730000,7348000,10025000,-2677000,2382000,-1200000,8530000,-5511000,-5511000,3019000,3019000,3019000,-820000,2199000,2199000,2199000,2199000,22922823.7623626,103241791.813503,172389726.194295,549760595.808933,17002008.767563,4074000,33305363.0137695,902696309.360425,685809238.347868,495563671.640759,190245566.707109,96723087.7811914,15551901.0410555,798084227.170115,4158828.40723413,89873542.8006859,10579710.9823907,104612082.190311,104612082.190311,902696309.360425,2199000,360000,1901000,-81000,4379000,-3038000,-55605000,24576000,-34067000,-850000,-2469000,37176000,34002000,4314000,4314000,4314000,3379000,0,1080000,0.31028,0.226,0.0360636860977212,0.00397027205485957,0.49113,7.71472971355805,0.106806512963722,0.23343,0.23343,1.03287,11.0155595903402,0.11465,0.09023,0.00483007060283787,0.0101833129583027,0.38654,8.51552584362287,-2.14643657840265
"2","2011_Q1",6.49387096774194,"Up",9288000,7218000,9675000,-2457000,2070000,-450000,8838000,-5819000,-5819000,3019000,3019000,3019000,-834000,2185000,2185000,2185000,2185000,28987000,14392000,291723000,521883000,17202000,4074000,28102000,906363000,724513000,477062000,247451000,82009000,5438000,811960000,2878000,91567000,-42000,94403000,94403000,906363000,2185000,99000,-2549000,2385000,2120000,1089000,-41312000,19044000,-22320000,-848000,-2441000,11194000,7396999.99999999,-12803000,-12803000,-12803000,3118000,82009000,7426000,0.32504,0.23525,0.02315,0.00241,3.39863,8.601,0.09048,0.23195,0.23195,0.98599,10.0216,0.78833,0.09002,0.00335,0.00819,0.3881,17.00513,17.56277
"3","2011_Q2",6.51,"Up",8859000,7434000,9655000,-2221000,1425000,-772000,8087000,-5660000,-5660000,2427000,2427000,2427000,-446000,1981000,1981000,1981000,1981000,22957892.0792125,-6972763.93783424,334085174.601902,506944218.063689,17222663.7441457,4074000,26511045.6620768,904822230.213192,730729337.217377,466785609.45308,263943727.764297,76875887.4062695,3351866.31964816,810957090.943295,2507307.19758862,92561485.7331047,-1203653.66079689,93865139.2698964,93865139.2698964,904822230.213192,1981000,338000,3269000,-1094000,4494000,-237000,-31982000,28255000,-3964000,-894000,785000,15819000,15621000,16151000,16151000,16151000,2765000,0,1880000,0.27396,0.22361,0.0169187713007596,0.00174324264838014,0.94902,8.60564176214732,0.0850019956787592,0.21106,0.21106,0.94384,10.0083959698866,0.20029,0.09525,0.00272330979905404,0.00575056234723244,0.45129,22.799411385459,27.2478346928009
"4","2011_Q3",6.475625,"Down",8324000,6735000,8844000,-2109000,1589000,-657000,7667000,-5474000,-5474000,2193000,2193000,2193000,-626000,1567000,1567000,1567000,1567000,13357000,9268000,332031000,500671000,17137000,4074000,26894000,903432000,722607000,462857000,259750000,76601000,5648000,804856000,2649000,93335000,2592000,98576000,98576000,903432000,1567000,337000,1324000,613999.999999999,3842000,-392000,-25172000,9743000,-15821000,-891000,-6189000,-17725000,-24926000,-36905000,-36905000,-36905000,2530000,76601000,3378000,0.26346,0.18825,0.0159,0.00173,2.15571,8.16483,0.08479,0.16722,0.16722,0.88827,10.51928,0.36047,0.09508,0.00272,0.00374,0.5686,24.99763,28.83903
"5","2011_Q4",6.43698412698413,"Down",8430000,6864000,8855000,-1991000,1566000,-93000,8337000,-5537000,-5537000,2800000,2800000,2800000,-719000,2081000,2081000,2081000,2081000,13987000,24417000,320737000,500326000,17035000,4074000,27146000,907722000,719585000,461578000,258007000,75808000,8577000,803970000,2868000,94502000,6382000,103752000,103752000,907722000,2081000,219000,1140000,675000,4115000,-117000,5840000,10647000,16370000,-890000,-794000,-3022000,-4706000,15779000,15779000,15779000,3019000,75808000,4296000,0.33215,0.24686,0.02006,0.00229,2.06439,7.74896,0.08351,0.22197,0.22197,0.89918,11.06659,0.45823,0.09493,0.00327,0.00473,0.42768,20.47731,22.07893
"6","2012_Q1",7.00774193548387,"Up",9731000,7471000,9306000,-1835000,2260000,-193000,9538000,-5551000,-5551000,3987000,3987000,3987000,-1102000,2885000,2885000,2885000,2885000,31609000,11534000,331884000,501124000,16984000,4074000,25784000,922993000,739382000,461678000,277704000,69992000,8528000,817902000,2779000,96495000,5817000,105091000,105091000,922993000,2885000,241000,-3584000,3210000,2752000,-201000,-10799000,-3000,-11003000,-892000,-5815000,19797000,12990000,4739000,4739000,4739000,4228000,69992000,8339000,0.40972,0.29648,0.02745,0.00313,2.89047,7.7828,0.07583,0.30758,0.30758,1.03744,11.20399,0.88904,0.0951,0.00409,0.00903,0.30919,9.07829,9.62704
"7","2012_Q2",7.83693548387097,"Up",9197000,6852000,8476000,-1624000,2345000,-128000,9069000,-5855000,-5855000,3214000,3214000,3214000,-930000,2284000,2284000,2284000,2284000,12060000,47177000,349394000,488090000,16883000,4074000,27105000,944783000,763821000,478617000,285204000,67608000,7879000,839308000,2543000,97889000,5043000,105475000,105475000,944783000,2284000,289000,3355000,-1896000,4032000,-188000,-43886000,35204000,-8870000,-890000,-2384000,24439000,20932000,16094000,16094000,16094000,3503000,67608000,2349000,0.34946,0.24834,0.02165,0.00242,1.02846,7.95741,0.07156,0.24225,0.24225,0.97546,11.18695,0.24914,0.0944,0.00336,0.00249,0.38967,15.85727,17.28314
"8","2012_Q3",7.66920634920635,"Down",9389000,6872000,8525000,-1653000,2517000,-78000,9311000,-5753000,-5753000,3558000,3558000,3558000,-1020000,2538000,2538000,2538000,2538000,15579000,26112000,361515000,493332000,16882000,4074000,26562000,944056000,750151000,474146000,276005000,71986000,14076000,836213000,2087000,99544000,6212000,107843000,107843000,944056000,2538000,288000,69000,6732000,9627000,-289000,13160000,-29418000,-16547000,-890000,4384000,-13670000,-10626000,-17546000,-17546000,-17546000,3846000,71986000,11309000,0.37895,0.27032,0.02353,0.00269,4.45587,7.75398,0.07625,0.27028,0.27028,0.99986,11.48451,1.20433,0.09478,0.00363,0.01198,0.35067,14.66641,15.85357
"9","2012_Q4",7.67,"Up",9351000,6746000,8278000,-1532000,2605000,-236000,9115000,-5727000,-5727000,3388000,3388000,3388000,-947000,2441000,2441000,2441000,2441000,13994000,15635000,357820000,486170000,16680000,4074000,26606000,920979000,734831000,461348000,273483000,67389000,8748000,810968000,2194000,101048000,6769000,110011000,110011000,920979000,2441000,322000,2027000,-5231000,-441000,-120000,4115000,5338000,9333000,-884000,-4644000,-15320000,-20954000,-12062000,-12062000,-12062000,3710000,67389000,-694000,0.36231,0.26104,0.02219,0.00265,-0.28431,7.3717,0.07317,0.26047,0.26047,0.99781,11.7389,-0.07405,0.09433,0.00361,-0.00075,0.36215,14.39218,15.76004
"10","2013_Q1",8.09,"Up",10682000,6553000,7994000,-1441000,4129000,-296000,10386000,-6854000,-6854000,3532000,3532000,3532000,-1007000,2525000,2525000,2525000,2525000,37561000,6531000,360270000,496178000,17599000,4074000,24447000,946660000,763252000,462315000,300937000,63843000,9326000,836421000,2089000,102641000,5509000,110239000,110239000,946660000,2525000,255000,-3419000,1635000,995999.999999998,-1177000,-63827000,54634000,-10370000,-933000,-3546000,28421000,23837000,14463000,14463000,14463000,3787000,63843000,5252000,0.33065,0.23638,0.0229,0.00267,2.08,7.58734,0.06744,0.26928,0.26928,1.13919,11.75654,0.5601,0.0995,0.00365,0.00555,0.3695,6.94006,7.44111
