"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",10.76578125,"Up",716093000,-433874000,282219000,-247089000,-247089000,35130000,-4870000,-4870000,30260000,28408000,-9918000,18490000,18490000,83000,18573000,18573000,29707000,29707000,131352000,131352000,539881000,31910000,31910000,732850000,136533000,195214000,72218000,122996000,331747000,1064597000,327684000,172789000,154895000,440684000,1.5e+08,64185000,64185000,214185000,654869000,132606000,273948000,2250000,408804000,924000,409728000,1064597000,18490000,10117000,5197000,-93631000,-59827000,-9438000,-6761000,-16199000,-3069000,77500000,457000,74888000,-1138000,-1138000,121000,-1017000,45247000,2.63e+08,-47904000,0.39411,0.04906,0.02594,0.04533,0.01745,-2.57923,1.66298,1.5983,0.24704,0.44058,0.43715,16.98674,9.69741,-1.13635,0.0728,0.02937,-0.06501,0.16524,5.15599,6.64085
"2","2011_Q1",11.0893548387097,"Up",604524000,-369219000,235305000,-226924000,-226924000,8381000,-5319000,-5319000,3062000,608000,2639000,3247000,3247000,106000,3353000,3353000,126548000,126548000,113937000,113937000,524250000,43546000,28848000,808281000,135632000,204130000,70592000,70288000,339762000,1148043000,249377000,167190000,82187000,511905000,1.5e+08,70229000,58695000,220229000,732134000,134709000,274230000,6141000,415080000,829000,415909000,1148043000,3247000,10321000,28864000,-11906000,30526000,-8499000,-5414000,-13913000,-3071000,8.5e+07,-2146000,79783000,96396000.0000001,96396000.0000001,445000,96841000,18702000,3.48e+08,-4342000,0.38924,0.01386,0.00554999999999999,0.00806,0.00292000000000001,-1.29496,1.57897,1.76032,0.30312,0.07954,0.07892,14.34017,9.84629,-0.103,0.07285,0.0077,-0.00520999999999999,0.9159,11.84109,26.4231000000001
"3","2011_Q2",9.28825396825397,"Down",619555000,-371591000,247964000,-234140000,-234140000,13824000,-6613000,-6613000,7211000,5467000,-2119000,3348000,3641000,47000,3688000,3688000,54229000,54229000,144484000,144484000,534725000,57468000,57468000,790906000,141398000,308265000,173162000,135103000,449663000,1240569000,304192000,171386000,132806000,592192000,1.5e+08,78565000,78565000,228565000,820757000,136011000,274814000,8197000,419022000,790000,419812000,1240569000,3641000,10987000,6081000,-17052000,3657000,-7067000,481000,-163222000,-3104000,9e+07,-1181000,85715000,-73850000,-73850000,1531000,-72319000,24811000,4.38e+08,2811000,0.40023,0.02231,0.00595,0.00878,0.00297,0.7622,1.33556,1.95506,0.35306,0.08748,0.0868,14.69672,9.9398,0.06668,0.07363,0.00725,0.003,0.84165,15.46778,27.76121
"4","2011_Q3",7.21125,"Down",620590000,-386985000,233605000,-233914000,-233914000,-309000.000000004,-6455000,-6455000,-6764000.00000001,-8456000,3005000,-5451000,-4768000,159000,-4609000,-4609000,62553000,62553000,158595000,158595000,627929000,49360000,49360000,898437000,139078000,313408000,174299000,139109000,452486000,1350923000,435524000,295826000,139698000,685524000,198540000,76137000,76137000,274677000,960201000,115135000,267112000,7830000,390077000,645000,390722000,1350923000,-4768000,11784000,6813000,25977000,39806000,-7616000,-4458000,-12074000,-3093000,10540000,-4407000,-19368000,8364000,8364000,-39999.9999999998,8323999.99999997,11475000,448540000,26831000,0.37642,-5e-04,-0.00743,-0.0118,-0.00341,-5.82144,1.31058,2.4575,0.33202,-0.10931,-0.10931,14.71848,9.25142,0.63635,0.07336,-0.00166,0.02931,-0.67108,33.63721,-1249.14887
"5","2011_Q4",7.15730158730159,"Down",713788000,-437290000,276498000,-239422000,-239422000,37076000,-6587000,-6587000,30489000,25774000,-8180000,17594000,33693000,39000,33732000,33732000,41951000,41951000,155754000,155754000,580154000,32948000,32948000,810807000,136817000,280134000,142544000,137590000,416951000,1227758000,315595000,177521000,138074000,537595000,198586000,71984000,71984000,270570000,808165000,114280000,297906000,6414000,418600000,993000,419593000,1227758000,33693000,11417000,-8021000,-67934000,-30845000,-7592000,-1609000,46149000,-2938000,-27954000,-477000,-34445000,-19141000,-19141000,-1461000,-20602000,48493000,420586000,-18853000,0.38737,0.05194,0.04726,0.08039,0.02747,-0.55891,1.50821,1.92607,0.34256,0.84164,0.80917,17.80953,10.44437,-0.4704,0.07331,0.0402,-0.02067,0.0871,7.80803,10.2124
"6","2012_Q1",8.20370967741935,"Up",480833000,-274404000,206429000,-202817000,-202817000,3612000,-5204000,-5204000,-1592000,-18115000,8715000.00000001,-9400000,-8175999.99999999,-46000,-8221999.99999999,-8221999.99999999,47682000,47682000,154022000,154022000,561797000,51637000,32060000,815138000,131471000,280867000,100986000,72223000,412338000,1227476000,278066000,190611000,87455000,524580000,198633000,90547000,59411000,289180000,813760000,116289000,286743000,9637000,412669000,1047000,413716000,1227476000,-8175999.99999999,11444000,4963000,27237000,35468000,-5582000,-2e+06,-7581999.99999999,-2941000,-20953000,1933000,-21961000,5924999.99999999,5924999.99999999,-194000,5730999.99999999,15056000,399633000,27996000,0.42932,0.00751,-0.0171,-0.01987,-0.0067,-3.40501,1.55389,1.96695,0.32557,-0.20505,-0.20223,11.99175,10.29177,0.69821,0.07335,-0.00583999999999998,0.03097,-0.3577,23.37613,97.43937
"7","2012_Q2",8.79746031746032,"Up",598179000,-363925000,234254000,-211475000,-211475000,22779000,-5953000,-5953000,16826000,6638000,-2616000,4022000,1628000,67000,1695000,1695000,39792000,39792000,115911000,115911000,475557000,106890000,41375000,738150000,124551000,278121000,65220000,137479000,402672000,1140822000,302746000,172894000,129852000,441864000,198680000,87284000,77315000,285964000,727828000,116340000,285439000,10233000,412012000,982000,412994000,1140822000,1628000,9997000,8041000,60232000,79898000,-5622000,-1386000,-7008000,-2999000,-7.7e+07,-1395000,-81394000,-8504000,-8504000,614000,-7890000,32776000,322680000,90002000,0.39161,0.03808,0.00283,0.0041,0.00149,53.09853,1.67054,1.76232,0.28285,0.04193,0.0416,14.79835,10.19277,2.22656,0.07419,0.0057,0.10936,1.76932,8.63095,12.41881
"8","2012_Q3",12.4409523809524,"Up",564897000,-337243000,227654000,-211706000,-211706000,15948000,-5568000,-5568000,10380000,3054000,-1241000,1813000,-2714000,179000,-2535000,-2535000,47397000,47397000,107534000,107534000,585969000,111080000,44425000,851980000,133520000,268674000,63775000,135790000,402194000,1254174000,426405000,284190000,142215000,559093000,198726000,88657000,80044000,287383000,846476000,118244000,279898000,8759000,406901000,797000,407698000,1254174000,-2714000,10170000,12101000,19905000,39462000,-18524000,-1570000,-20094000,-3006000,-8000000.00000001,75000.0000000005,-10931000,8437000,8437000,-832000,7605000,26118000,314726000,28740000,0.403,0.02823,-0.00449,-0.00622000000000001,-0.00202,-11.33728,1.52386,2.07623,0.25094,-0.0623,-0.06211,13.88363,10.00052,0.70635,0.07388,0.000580000000000003,0.03543,-1.1858,10.23543,16.76254
"9","2012_Q4",14.7772580645161,"Up",695985000,-416650000,279335000,-236196000,-236196000,43139000,-5322000,-5322000,37817000,35671000,-11418000,24253000,24287000,5000,24292000,24292000,40884000,40884000,113519000,113519000,512206000,86876000,30511000,753485000,139982000,270637000,67265000,134664000,410619000,1164104000,319543000,173856000,145687000,443478000,198773000,89916000,82713000,288689000,732167000,120094000,301188000,9856000,431138000,799000,431937000,1164104000,24287000,10345000,4977000,-15446000,24163000,-14935000,-2480000,-22415000,-3002000,-6e+06,349000,-8653000,-6905000,-6905000,392000,-6513000,53484000,308773000,34521000,0.40135,0.06198,0.0349,0.05624,0.02087,1.42109,1.69904,1.69508,0.26525,0.59621,0.59822,17.0819,10.58163,0.84727,0.07368,0.03286,0.04156,0.12358,5.00877,6.2099
"10","2013_Q1",14.819,"Up",618735000,-371403000,247332000,-232289000,-232289000,15043000,-5808000,-5808000,9235000.00000001,6463999.99999999,-1381000,5083000,4003000,36000,4039000,4039000,68223000,68223000,111392000,111392000,503688000,91839000,41661000,775142000,144856000,253975000,65749000,63702000,398831000,1173973000,301470000,213660000,87810000,471823000,198823000,77426000,63564000,276249000,748072000,122022000,302223000,884000,425129000,772000,425901000,1173973000,4003000,10851000,4311000,35249000,54414000,-21720000,-2492000,-19212000,-3004000,-5e+06,215000,-7789000,27413000,27413000,-73999.9999999998,27339000,25894000,303823000,40804000,0.39974,0.02431,0.00653000000000001,0.00948,0.00344,10.1025,1.64287,1.75645,0.2588,0.0990400000000001,0.09848,15.17177,10.42443,1.00054,0.07366,0.00873,0.05055,0.74375,9.09863,15.66177
