"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2016_Q2",111.925625,"Up",2.234e+09,-1.831e+09,-1.196e+09,-2.04e+08,-4.31e+08,4.03e+08,-6.4e+07,-4.6e+07,3.39e+08,-7.7e+07,2.62e+08,-1.8e+07,2.45e+08,2.45e+08,-7e+06,2.38e+08,2.38e+08,9.54e+08,9.54e+08,2.268e+09,2.268e+09,1.2357e+10,3.26e+08,1.2031e+10,1.5579e+10,7.9e+08,1.666e+10,1.0477e+10,5.086e+09,7.49e+08,3.48e+08,1.745e+10,3.3029e+10,1.109e+09,1.109e+09,1.144e+09,1.3003e+10,1.3003e+10,1.5256e+10,2.767e+09,3.649e+09,1.21e+09,1.234e+09,1.205e+09,6.416e+09,2.1672e+10,1.0436e+10,-3e+06,1.771e+09,-1.053e+09,1.1151e+10,2.06e+08,1.1357e+10,3.3029e+10,2.45e+08,2.04e+08,-4e+07,-2.9e+08,1.19e+08,-4.8e+07,4.69e+08,-4e+06,4.17e+08,0,-1.22e+08,1.1e+07,-5e+06,-1.16e+08,4.2e+08,4.2e+08,2e+06,4.22e+08,6.07e+08,3.911e+09,2.87e+08,0.18039,0.10654,0.02096,0.00721,1.20588,1.02117,1.90825,0.11841,1.76296,1.75,16.54815,82.6,2.12593,0,0.01258,0.01517,0,4.8715,7.33747
"2","2016_Q3",113.36796875,"Up",1.949e+09,-1.743e+09,-1.201e+09,-1.69e+08,-3.73e+08,2.06e+08,-4.1e+07,-4.7e+07,1.65e+08,-7e+07,9.5e+07,-1.9e+07,7.6e+07,7.6e+07,-4e+06,7.2e+07,7.2e+07,9.49e+08,9.49e+08,2.187e+09,2.187e+09,1.2094e+10,3.27e+08,1.1767e+10,1.523e+10,7.94e+08,1.6385e+10,1.0527e+10,4.713e+09,8.15e+08,3.3e+08,1.7179e+10,3.2409e+10,1.221e+09,1.221e+09,5.28e+08,1.2668e+10,1.2668e+10,1.4417e+10,3.281e+09,3.471e+09,1.16e+09,1.156e+09,1.155e+09,6.752e+09,2.1169e+10,1.0495e+10,-3e+06,1.739e+09,-1.181e+09,1.105e+10,1.9e+08,1.124e+10,3.2409e+10,7.6e+07,1.69e+08,2e+07,5.2e+07,3.17e+08,-4.4e+07,-5e+07,-1.5e+07,-1.09e+08,-6.7e+07,-8.7e+07,-2.1e+07,-3.3e+07,-2.08e+08,0,0,-5e+06,-5e+06,3.75e+08,3.809e+09,4.02e+08,0.1057,0.03694,0.00641,0.00222,5.58333,1.05639,1.88336,0.11753,0.51799,0.51429,14.02158,79.4964,2.89209,0.48201,0.00751,0.02171,0.93056,7.62667,13.8835
"3","2016_Q4",113.977301587302,"Up",1.777e+09,-1.691e+09,-1.122e+09,-2.02e+08,-3.67e+08,8.6e+07,-5.9e+07,-4.5e+07,2.7e+07,-8.5e+07,-5.8e+07,2.6e+07,-3.1e+07,-3.1e+07,-1e+06,-3.2e+07,-3.2e+07,7.67e+08,7.67e+08,2.043e+09,2.043e+09,1.1923e+10,3.19e+08,1.1604e+10,1.4733e+10,8.11e+08,1.6257e+10,1.0483e+10,4.589e+09,8.57e+08,3.28e+08,1.7068e+10,3.1801e+10,1.282e+09,1.282e+09,5.19e+08,1.2416e+10,1.2416e+10,1.4217e+10,3.267e+09,3.363e+09,1.089e+09,1.137e+09,1.137e+09,6.63e+09,2.0847e+10,1.0536e+10,-3e+06,1.455e+09,-1.221e+09,1.0767e+10,1.87e+08,1.0954e+10,3.1801e+10,-3.1e+07,2.02e+08,-5.7e+07,7.1e+07,1.85e+08,-5.9e+07,5.7e+07,-2.3e+07,-2.5e+07,-6.6e+07,-3.1e+07,-1.68e+08,-7e+07,-3.35e+08,-1.75e+08,-1.75e+08,-7e+06,-1.82e+08,2.88e+08,3.786e+09,2.74e+08,0.0484,-0.01801,-0.00292,-0.00101,-8.5625,1.03629,1.90314,0.11905,-0.23188,-0.23188,12.87681,78.02174,1.98551,0.47826,0.00188,0.01514,-2.0625,10.48264,35.10465
"4","2017_Q1",116.683387096774,"Up",1.927e+09,-1.701e+09,-1.127e+09,-1.94e+08,-3.8e+08,2.26e+08,-4.7e+07,-4.6e+07,1.79e+08,-1.38e+08,4.1e+07,1.07e+08,1.48e+08,1.48e+08,-6e+06,1.42e+08,1.42e+08,8.7e+08,8.7e+08,2.08e+09,2.08e+09,1.0842e+10,3.37e+08,1.0505e+10,1.3792e+10,8.39e+08,1.5622e+10,1.0413e+10,4.368e+09,4.88e+08,3.53e+08,1.6461e+10,3.0253e+10,1.481e+09,1.481e+09,5.08e+08,1.1381e+10,1.1381e+10,1.337e+10,3.357e+09,3.292e+09,1.321e+09,8.64e+08,1.107e+09,6.649e+09,2.0019e+10,1.0596e+10,-9.9e+07,1.452e+09,-1.884e+09,1.0065e+10,1.69e+08,1.0234e+10,3.0253e+10,1.48e+08,1.94e+08,-1.02e+08,7.2e+07,3.12e+08,-6.7e+07,-1e+06,-2e+07,-8.8e+07,-6.6e+07,1.12e+08,-1.55e+08,-6999999.99999999,-1.16e+08,1.08e+08,1.08e+08,-5e+06,1.03e+08,4.2e+08,3.865e+09,3.18e+08,0.11728,0.07369,0.01388,0.00469,2.23944,1.03156,1.95613,0.12776,1.04412,1.02899,14.16912,74.00735,2.33824,0.48529,0.01196,0.01829,0.46479,7.13095,13.25221
"5","2017_Q2",128.71873015873,"Up",2.319e+09,-1.851e+09,-1.253e+09,-1.97e+08,-4.01e+08,4.68e+08,-3e+06,-4.6e+07,4.65e+08,-6.7e+07,3.98e+08,-4.6e+07,3.52e+08,3.52e+08,-8e+06,3.44e+08,3.44e+08,9.01e+08,9.01e+08,2.307e+09,2.307e+09,1.2587e+10,3.21e+08,1.2266e+10,1.5795e+10,8.63e+08,1.5574e+10,1.0442e+10,4.245e+09,5.36e+08,3.51e+08,1.6437e+10,3.2232e+10,1.203e+09,1.203e+09,1.2e+08,1.3262e+10,1.3262e+10,1.4585e+10,3.975e+09,3.215e+09,1.286e+09,7.99e+08,1.13e+09,7.19e+09,2.1775e+10,1.0628e+10,-3e+06,1.561e+09,-1.908e+09,1.0278e+10,1.79e+08,1.0457e+10,3.2232e+10,3.52e+08,2.03e+08,-8.4e+07,-3.76e+08,9.5e+07,-6.2e+07,-1.2e+07,-8e+06,-8.2e+07,-6.5e+07,2.22e+08,-1.36e+08,-7e+06,1.4e+07,2.7e+07,2.7e+07,4e+06,3.1e+07,6.71e+08,4.095e+09,2.79e+08,0.20181,0.14834,0.0329,0.01067,0.81105,1.08296,2.08234,0.12705,2.51095,2.49275,16.92701,75.0219,2.0365,0.47445,0.02302,0.0157,0.18895,4.76006,6.82479
"6","2017_Q3",138.077142857143,"Up",1.953e+09,-1.802e+09,-1.211e+09,-2e+08,-3.91e+08,1.51e+08,-1.2e+07,-4.6e+07,1.39e+08,-9e+07,48999999.9999999,-8e+06,41000000.0000001,4.1e+07,-8e+06,3.3e+07,3.3e+07,8.52e+08,8.52e+08,2.288e+09,2.288e+09,1.3093e+10,3.42e+08,1.2751e+10,1.6233e+10,8.95e+08,1.5646e+10,1.0509e+10,4.156e+09,5.95e+08,3.86e+08,1.6541e+10,3.2774e+10,1.311e+09,1.311e+09,8.5e+07,1.3633e+10,1.3633e+10,1.5029e+10,4.097e+09,3.204e+09,1.271e+09,8.23e+08,1.11e+09,7.301e+09,2.233e+10,1.0658e+10,-2.1e+07,1.402e+09,-1.776e+09,1.0263e+10,1.81e+08,1.0444e+10,3.2774e+10,4.1e+07,2.09e+08,9e+06,-3.5e+07,2.24e+08,-5.7e+07,-1e+06,-1.5e+07,-7.3e+07,-7.2e+07,4.8e+07,-1.23e+08,-6.3e+07,-2.1e+08,-5.9e+07,-5.9e+07,1e+07,-4.9e+07,3.6e+08,4.182e+09,2.76e+08,0.07732,0.0169,0.00316,0.00101,8.36364,1.08011,2.13807,0.1276,0.24265,0.24088,14.36029,75.46324,2.02941,0.52941,0.00589,0.01548,2.18182,9.25,22.05298
"7","2017_Q4",146.561904761905,"Up",1.852e+09,-1.773e+09,-1.212e+09,-1.95e+08,-3.66e+08,7.9e+07,-9e+06,-4.7e+07,7e+07,-1.05e+08,-3.5e+07,-1.9e+07,-5.4e+07,-5.4e+07,0,-5.4e+07,-5.4e+07,9.12e+08,9.12e+08,2.155e+09,2.155e+09,1.2624e+10,4.18e+08,1.2206e+10,1.5691e+10,9.37e+08,1.5644e+10,1.0529e+10,4.034e+09,6.49e+08,4.32e+08,1.6581e+10,3.2272e+10,1.472e+09,1.472e+09,8.5e+07,1.2999e+10,1.2999e+10,1.4556e+10,4.493e+09,3.142e+09,1.207e+09,8.56e+08,1.079e+09,7.635e+09,2.2191e+10,1.0501e+10,-4e+07,1.13e+09,-1.676e+09,9.915e+09,1.66e+08,1.0081e+10,3.2272e+10,-5.4e+07,1.98e+08,4.4e+07,8e+06,1.96e+08,-7.9e+07,0,-2.8e+07,-1.07e+08,-7.2e+07,3.73e+08,-3.36e+08,-1.5e+07,-5e+07,3.9e+07,3.9e+07,2.1e+07,6e+07,2.77e+08,4.578e+09,2.25e+08,0.04266,-0.02916,-0.00536,-0.00167,-4.16667,1.07797,2.20127,0.14186,-0.40299,-0.40299,13.8209,73.99254,1.6791,0.53731,0.00101,0.01264,-1.33333,13.23466,46.40506
"8","2018_Q1",146.159508196721,"Down",2.078e+09,-1.859e+09,-1.291e+09,-1.92e+08,-3.76e+08,2.19e+08,0,-4.9e+07,2.19e+08,-1.39e+08,8e+07,1.73e+08,2.53e+08,2.53e+08,-8e+06,2.45e+08,2.45e+08,1.03e+09,1.03e+09,2.246e+09,2.246e+09,1.2585e+10,4.3e+08,1.2155e+10,1.5861e+10,9.85e+08,1.5612e+10,1.0519e+10,3.882e+09,7.64e+08,4.47e+08,1.6597e+10,3.2458e+10,1.711e+09,1.711e+09,8.5e+07,1.2959e+10,1.2959e+10,1.4755e+10,4.45e+09,2.976e+09,1.259e+09,6.15e+08,1.102e+09,7.426e+09,2.2181e+10,1.0538e+10,-3e+06,1.104e+09,-1.513e+09,1.0126e+10,1.51e+08,1.0277e+10,3.2458e+10,2.53e+08,2.23e+08,-2.54e+08,1.25e+08,3.47e+08,-1.02e+08,5.7e+07,-2.8e+07,-7.3e+07,-6.8e+07,-5.4e+07,-5.3e+07,-5.8e+07,-2.33e+08,4.1e+07,4.1e+07,7.7e+07,1.18e+08,4.42e+08,4.535e+09,2.92e+08,0.10539,0.1179,0.02384,0.00755,1.19184,1.07496,2.15831,0.13972,1.84211,1.81481,15.62406,76.13534,2.19549,0.51128,0.0176,0.01642,0.27755,7.92986,16.00457
"9","2018_Q2",142.28640625,"Down",2.292e+09,-1.99e+09,-1.377e+09,-1.9e+08,-4.23e+08,3.02e+08,5e+06,-5.1e+07,3.07e+08,-4.3e+07,2.64e+08,-4.3e+07,2.21e+08,2.21e+08,-6e+06,2.15e+08,2.15e+08,9.54e+08,9.54e+08,2.6e+09,2.6e+09,1.4052e+10,4.39e+08,1.3613e+10,1.7606e+10,9.26e+08,1.568e+10,1.0555e+10,3.761e+09,8.32e+08,5.32e+08,1.6606e+10,3.4212e+10,1.239e+09,1.239e+09,8.5e+07,1.448e+10,1.448e+10,1.5804e+10,4.507e+09,3.071e+09,1.23e+09,7.11e+08,1.13e+09,7.578e+09,2.3382e+10,1.0548e+10,-3e+06,1.557e+09,-1.43e+09,1.0672e+10,1.58e+08,1.083e+10,3.4212e+10,2.21e+08,1.92e+08,-5.4e+07,-3.41e+08,1.8e+07,-6.5e+07,-1e+06,-1.3e+07,-7.9e+07,-6.8e+07,4e+07,1.1e+07,-7e+06,-2.4e+07,-8.5e+07,-8.5e+07,9e+06,-7.6e+07,4.94e+08,4.592e+09,1.31e+08,0.13176,0.0938,0.01985,0.00628,0.6093,1.11402,2.159,0.13422,1.61654,1.61654,17.23308,80.2406,0.98496,0.51128,0.0153,0.00708,0.31628,7.36437,12.04636
"10","2018_Q3",141.885396825397,"Down",1.99e+09,-1.872e+09,-1.275e+09,-1.91e+08,-4.06e+08,1.18e+08,1.1e+07,-5.2e+07,1.29e+08,-5.5e+07,7.4e+07,-9e+06,6.5e+07,6.5e+07,-7e+06,5.8e+07,5.8e+07,9.11e+08,9.11e+08,2.394e+09,2.394e+09,1.4584e+10,4.58e+08,1.4126e+10,1.7889e+10,9.24e+08,1.54e+10,1.0468e+10,3.562e+09,9.02e+08,4.68e+08,1.6324e+10,3.4213e+10,1.357e+09,1.357e+09,8.5e+07,1.494e+10,1.494e+10,1.6382e+10,4.589e+09,2.868e+09,1.185e+09,6.91e+08,9.92e+08,7.457e+09,2.3839e+10,1.0566e+10,-3e+06,1.27e+09,-1.605e+09,1.0228e+10,1.46e+08,1.0374e+10,3.4213e+10,6.5e+07,1.93e+08,-3.1e+07,1.5e+08,3.77e+08,-7.6e+07,-3000000.00000001,5e+06,-7.4e+07,-8.1e+07,1.14e+08,-2.62e+08,-8.2e+07,-3.11e+08,-8e+06,-8e+06,-3.5e+07,-4.3e+07,3.11e+08,4.674e+09,3.94e+08,0.0593,0.02915,0.00559,0.0017,6.7931,1.09199,2.29796,0.13661,0.43939,0.43609,15.07576,77.48485,2.98485,0.61364,0.00776,0.02199,1.39655,12.09968,31.88983
