"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",6.0715873015873,"Down",1.433e+09,-2.65e+08,1.168e+09,-9.34e+08,-6.65e+08,-2.08e+08,-6.1e+07,2.34e+08,-3e+07,-3.1e+07,1e+06,2.04e+08,-4.7e+07,1.57e+08,4e+06,1.61e+08,1.61e+08,1.61e+08,1.61e+08,2.739e+09,2.726e+09,1.3e+07,5.73e+08,5.73e+08,4.21e+08,2.49e+08,3.755e+09,9.35e+08,6.176e+09,1.172e+09,4.86e+09,9.3e+07,7.111e+09,1.0866e+10,5.43e+08,2.13e+08,2.84e+08,2.943e+09,2.93e+08,4.53e+09,8.53e+08,9.45e+08,1.86e+08,4.11e+08,1.798e+09,6.328e+09,8.821e+09,-4.448e+09,1.65e+08,4.538e+09,4.538e+09,1.0866e+10,1.61e+08,1.67e+08,8e+07,-7.3e+07,3.35e+08,-5.2e+07,-4e+06,-4.18e+08,-1e+06,-1.9e+08,-1.6e+07,-2.07e+08,-2.9e+08,-2.9e+08,-1.3e+07,-3.03e+08,4.01e+08,1.897e+09,2.72e+08,0.81507,0.16329,0.11235,0.03548,0.01482,1.68944,0.82892,1.39445,0.17458,0.20226,0.2,1.80025,5.70101,0.34171,-34.1279796926856,0.02182,0.03686,-2.09975,-3.59829
"2","2010_Q3",5.49328125,"Down",1.48e+09,-2.46e+08,1.234e+09,-9.87e+08,-7.12e+08,-2.08e+08,-6.7e+07,2.47e+08,-2e+07,-3.4e+07,1.4e+07,2.27e+08,-4.9e+07,1.78e+08,-4.4e+07,1.34e+08,1.34e+08,1.36e+08,1.36e+08,2.264e+09,2.256e+09,8e+06,6.82e+08,6.82e+08,4.74e+08,2.78e+08,3.443e+09,1.009e+09,7.367e+09,1.724e+09,5.485e+09,1.11e+08,8.376e+09,1.1819e+10,6.23e+08,2.57e+08,3.04e+08,3.033e+09,3.08e+08,4.234e+09,1.962e+09,1.034e+09,2.36e+08,4.19e+08,2.996e+09,7.23e+09,8.668e+09,-4.312e+09,1.49e+08,4.505e+09,4.589e+09,1.1819e+10,1.34e+08,1.56e+08,9.1e+07,-7.1e+07,3.1e+08,-6.4e+07,1e+06,-1.229e+09,5.99e+08,-1.89e+08,-1.1e+07,3.99e+08,-5.2e+08,-5.2e+08,5e+07,-4.7e+08,4.03e+08,2.54e+09,3.12e+08,0.83378,0.16689,0.09189,0.02964,0.01151,2.29412,0.81318,1.57551,0.21491,0.17391,0.17325,1.89258,5.76087,0.39898,-13.0639898463428,0.01666,0.03822,0.68486,1.11741
"3","2010_Q4",6.40015625,"Up",1.604e+09,-2.64e+08,1.34e+09,-1.092e+09,-8.02e+08,-2.2e+08,-7e+07,2.48e+08,-5.2e+07,-3.4e+07,-1.8e+07,1.96e+08,-2.9e+07,1.67e+08,-3.5e+07,1.32e+08,1.32e+08,1.32e+08,1.32e+08,2.452e+09,2.445e+09,7e+06,9.76e+08,9.76e+08,4.33e+08,2.34e+08,3.893e+09,1.019e+09,7.251e+09,1.628e+09,5.479e+09,1.08e+08,8.27e+09,1.2163e+10,7.05e+08,2.59e+08,3.92e+08,3.292e+09,3.12e+08,4.584e+09,1.974e+09,1.064e+09,2.19e+08,4.17e+08,3.038e+09,7.622e+09,8.458e+09,-4.181e+09,1.78e+08,4.455e+09,4.541e+09,1.2163e+10,1.32e+08,1.63e+08,6.3e+07,1.02e+08,4.6e+08,-3.9e+07,-2e+06,-3.1e+07,-1e+06,-2.45e+08,3e+06,-2.43e+08,1.86e+08,1.86e+08,3e+06,1.89e+08,4.11e+08,2.561e+09,5.09e+08,0.83541,0.15461,0.08229,0.02907,0.01085,3.85606,0.84926,1.67848,0.21056,0.17121,0.16923,2.08042,5.77821,0.66018,-0.354663282114274,0.01616,0.06233,0.26521,0.43952
"4","2011_Q1",6.93774193548387,"Up",1.673e+09,-2.7e+08,1.403e+09,-1.131e+09,-8.33e+08,-2.26e+08,-7.2e+07,2.72e+08,-3.3e+07,-3.4e+07,1e+06,2.39e+08,-4.3e+07,1.96e+08,-3e+07,1.66e+08,1.66e+08,1.68e+08,1.68e+08,2.958e+09,2.95e+09,8e+06,1.013e+09,1.013e+09,4.85e+08,2.62e+08,4.486e+09,1.05e+09,7.183e+09,1.511e+09,5.494e+09,1.51e+08,8.233e+09,1.2719e+10,7.03e+08,2.6e+08,4.43e+08,3.594e+09,2.73e+08,4.893e+09,1.987e+09,1.234e+09,2.96e+08,4.4e+08,3.221e+09,8.114e+09,8.369e+09,-4.012e+09,1.71e+08,4.528e+09,4.605e+09,1.2719e+10,1.66e+08,1.56e+08,9.4e+07,2.73e+08,6.89e+08,-8.3e+07,7e+06,-7.5e+07,5.96046447753906e-08,-1.26e+08,-1.4e+07,-1.4e+08,4.74e+08,4.74e+08,3.1e+07,5.05e+08,4.28e+08,2.583e+09,6.48e+08,0.83861,0.16258,0.10042,0.03648,0.01321,3.85714,0.91682,1.762,0.20308,0.22018,0.21705,2.19266,5.93447,0.84928,6,0.01995,0.07694,-0.87617,-1.37868
"5","2011_Q2",7.37555555555556,"Up",1.653e+09,-2.59e+08,1.394e+09,-1.08e+09,-7.7e+08,-2.39e+08,-7.1e+07,3.14e+08,-3.2e+07,-2.8e+07,-4e+06,2.82e+08,-2.5e+07,2.57e+08,-6.7e+07,1.9e+08,1.9e+08,1.89e+08,1.89e+08,2.297e+09,2.29e+09,7e+06,6.75e+08,6.75e+08,4.84e+08,2.58e+08,3.484e+09,1.04e+09,7.499e+09,1.591e+09,5.739e+09,1.55e+08,8.539e+09,1.2023e+10,6.1e+08,2.6e+08,3.29e+08,3.441e+09,2.61e+08,4.051e+09,1.999e+09,1.329e+09,3.49e+08,4.71e+08,3.328e+09,7.379e+09,8.234e+09,-3.84e+09,1.7e+08,4.564e+09,4.644e+09,1.2023e+10,1.9e+08,1.61e+08,8.6e+07,6.6e+07,5.03e+08,-5.1e+07,-13321123.9765276,-4.15e+08,-6e+08,-1.63e+08,-1.5e+07,-7.78e+08,-6.9e+08,-6.9e+08,3e+07,-6.6e+08,4.75e+08,1.999e+09,5.57e+08,0.84332,0.18996,0.11434,0.0407,0.01572,2.94709,0.86003,1.58893,0.16626,0.25033,0.24706,2.1894,6.04503,0.73775,8,0.02371,0.06987,-0.62737,-0.94904
"6","2011_Q3",6.8025,"Down",1.681e+09,-2.65e+08,1.416e+09,-1.123e+09,-8.03e+08,-2.47e+08,-7.3e+07,2.93e+08,-2.2e+07,-2.4e+07,2e+06,2.71e+08,-2.2e+07,2.49e+08,-6.7e+07,1.82e+08,1.82e+08,1.82e+08,1.82e+08,2.253e+09,2.215e+09,3.8e+07,6.94e+08,6.94e+08,4.58e+08,2.4e+08,3.433e+09,1.043e+09,7.359e+09,1.477e+09,5.732e+09,1.5e+08,8.402e+09,1.1835e+10,6.81e+08,3.04e+08,3.12e+08,3.214e+09,2.52e+08,3.895e+09,2.012e+09,1.29e+09,3.33e+08,4.67e+08,3.302e+09,7.197e+09,8.053e+09,-3.658e+09,1.58e+08,4.553e+09,4.638e+09,1.1835e+10,1.82e+08,1.62e+08,6.5e+07,-1.01e+08,3.08e+08,-7.3e+07,-3.2e+07,-1.05e+08,-1e+06,-2.27e+08,-1e+06,-2.29e+08,-2.6e+07,-2.6e+07,-4.9e+07,-7.5e+07,4.55e+08,2.012e+09,3.48e+08,0.84236,0.1743,0.10827,0.03924,0.01538,1.91209,0.88139,1.55175,0.17,0.2443,0.24234,2.25638,6.11141,0.46711,8,0.02292,0.04383,-0.52967,-0.82253
"7","2011_Q4",6.44650793650794,"Down",1.715e+09,-2.71e+08,1.444e+09,-1.139e+09,-8.24e+08,-2.42e+08,-7.3e+07,3.05e+08,-2.7e+07,-2.5e+07,-2e+06,2.78e+08,-5e+06,2.73e+08,-3.2e+07,2.41e+08,2.41e+08,2.42e+08,2.42e+08,2.38e+09,2.327e+09,5.3e+07,1.009e+09,1.009e+09,4.65e+08,2.43e+08,3.886e+09,1.05e+09,7.247e+09,1.379e+09,5.725e+09,1.43e+08,8.297e+09,1.2183e+10,7.27e+08,2.68e+08,3.93e+08,3.442e+09,2.82e+08,4.169e+09,2.025e+09,1.254e+09,3.54e+08,3.95e+08,3.279e+09,7.448e+09,7.907e+09,-3.418e+09,1.6e+08,4.649e+09,4.735e+09,1.2183e+10,2.41e+08,1.61e+08,8.1e+07,-8e+07,4.03e+08,-7.5e+07,-1.6e+07,-9.1e+07,-1e+06,-2.08e+08,0,-2.09e+08,1.03e+08,1.03e+08,9e+06,1.12e+08,4.66e+08,2.025e+09,3.43e+08,0.84198,0.17784,0.14111,0.05111,0.01986,1.41736,0.93212,1.57297,0.16622,0.32925,0.32703,2.33333,6.32517,0.46667,8,0.0302,0.0428,-0.7618,-1.16393
"8","2012_Q1",6.76629032258065,"Up",1.681e+09,-2.87e+08,1.394e+09,-1.142e+09,-8.29e+08,-2.41e+08,-7.2e+07,2.52e+08,-2.7e+07,-2.5e+07,-2e+06,2.25e+08,4.91e+08,7.16e+08,-1.42e+08,5.74e+08,5.74e+08,5.74e+08,5.74e+08,3.211e+09,3.162e+09,4.9e+07,9.4e+08,9.4e+08,4.54e+08,2.49e+08,4.633e+09,1.1e+09,7.287e+09,1.337e+09,5.826e+09,1.24e+08,8.387e+09,1.302e+10,7.4e+08,3.24e+08,4.16e+08,3.765e+09,3.21e+08,4.505e+09,2.039e+09,1.304e+09,2.88e+08,4.87e+08,3.343e+09,7.848e+09,7.78e+09,-2.859e+09,1.73e+08,5.094e+09,5.172e+09,1.302e+10,5.74e+08,1.69e+08,-4.85e+08,4.29e+08,6.87e+08,-8.7e+07,1e+06,3e+08,-5e+06,-1.48e+08,-2.4e+07,-1.77e+08,8.1e+08,8.1e+08,2.5e+07,8.35e+08,4.21e+08,2.039e+09,9.05e+08,0.82927,0.14991,0.34146,0.11098,0.04409,1.57666,1.02841,1.5174,0.15661,0.78738,0.77989,2.3059,6.98765,1.24143,6,0.06741,0.10628,-2.78385,-4.65079
"9","2012_Q2",6.14047619047619,"Down",1.668e+09,-2.84e+08,1.384e+09,-1.099e+09,-7.78e+08,-2.49e+08,-7.2e+07,2.85e+08,-3.2e+07,-2.6e+07,-6e+06,2.53e+08,-3.5e+07,2.18e+08,-5.8e+07,1.6e+08,1.6e+08,1.6e+08,1.6e+08,4.111e+09,4.082e+09,2.9e+07,6.27e+08,6.27e+08,4.54e+08,2.62e+08,5.219e+09,1.106e+09,7.231e+09,1.244e+09,5.842e+09,1.45e+08,8.337e+09,1.3556e+10,6.12e+08,3.26e+08,2.86e+08,3.547e+09,3.11e+08,5.114e+09,2.093e+09,1.267e+09,2.87e+08,4.71e+08,3.36e+09,8.474e+09,7.511e+09,-2.687e+09,1.78e+08,5.002e+09,5.082e+09,1.3556e+10,1.6e+08,1.6e+08,5.5e+07,-3.5e+07,3.4e+08,-7.9e+07,2.4e+07,-8.3e+07,9.96e+08,-2.97e+08,-1.4e+07,6.85e+08,9.42e+08,9.42e+08,-2.2e+07,9.2e+08,4.45e+08,3.048e+09,3.89e+08,0.82974,0.17086,0.09592,0.03148,0.0118,2.43125,1.02053,1.66745,0.22485,0.22346,0.22222,2.32961,6.98603,0.5433,6,0.01703,0.0414,-2.38876,-3.72982
"10","2012_Q3",6.4831746031746,"Up",1.699e+09,-2.84e+08,1.415e+09,-1.095e+09,-7.76e+08,-2.47e+08,-7.2e+07,3.2e+08,-3.2e+07,-3.3e+07,1e+06,2.88e+08,-2.3e+07,2.65e+08,-7.6e+07,1.89e+08,1.89e+08,1.89e+08,1.89e+08,4.007e+09,4.002e+09,5e+06,7.35e+08,7.35e+08,4.41e+08,2.44e+08,5.206e+09,1.114e+09,7.143e+09,1.155e+09,5.842e+09,1.46e+08,8.257e+09,1.3463e+10,5.86e+08,2.78e+08,3.08e+08,3.454e+09,3.36e+08,5.008e+09,2.093e+09,1.259e+09,3.12e+08,4.46e+08,3.352e+09,8.36e+09,7.392e+09,-2.494e+09,1.9e+08,5.088e+09,5.103e+09,1.3463e+10,1.89e+08,1.62e+08,67999999.9999999,-2.41e+08,1.78e+08,-8.9e+07,2.4e+07,-64999999.9999999,0,-1.29e+08,-9.5e+07,-2.24e+08,-1.11e+08,-1.11e+08,3.1e+07,-8e+07,4.82e+08,3.061e+09,2.28e+08,0.83284,0.18835,0.11124,0.03704,0.01404,1.20635,1.03954,1.63825,0.22736,0.26923,0.26695,2.42023,7.24786,0.32479,5,0.02006,0.0242,-1.96266,-2.95625
