"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q3",138.44265625,"Up",95139000,-34490000,60649000,-83453000,-60089000,-39820000,-20269000,-23364000,-22804000,-7032000,1479000,-29836000,-29836000,9842000,-19994000,-19994000,-19994000,-19994000,808210000,613906000,83949000,83949000,28839000,19738000,9101000,920998000,15021000,541053000,103388000,372272000,65393000,556074000,1477072000,58142000,2903000,55239000,193106000,186493000,431944000,46949000,2426000,44523000,591056000,1.023e+09,750624000,-295319000,454072000,454072000,1477072000,-19994000,7294000,31384000,-17432000,1252000,-3519000,-408189000,6570000,6570000,-118738000,674399000,267462000,267462000,267462000,-15510000,724803000,-46303000,0.63748,-0.23969,-0.21016,-0.04403,-0.01354,2.31584,2.13222,2.25295,0.4907,-0.32218,-0.32218,1.53304,7.31678,-0.74611,-0.01631,-0.03777,5.37763,3.65756
"12","2019_Q4",142.7721875,"Up",101784000,-37294000,64490000,-81435000,-57975000,-39145000,-18830000,-23460000,-16945000,-9112000,4076000,-26057000,-26057000,-259999.999999998,-26317000,-26317000,-26317000,-26317000,842356000,587029000,79658000,79658000,34060000,24017000,10043000,956074000,17807000,537700000,96848000,370869000,69983000,555507000,1511581000,71440000,3008000,68432000,196885000,189490000,452200000,46605000,3026000,43579000,599885000,1052085000,782050000,-321636000,459496000,459496000,1511581000,-26317000,7835000,35837000,8477000,25832000,-3689000,-61494000.0000001,9245000,9245000,0,8835000.00000012,-26827000,-26827000,-26827000,-9110000,737155000,-4061999.99999999,0.6336,-0.16648,-0.25856,-0.05727,-0.01741,0.15435,2.11427,2.28965,0.48767,-0.41723,-0.41723,1.6137,7.28491,-0.0644,-0.02117,-0.00327,11.54786,6.20838
"13","2020_Q1",154.714032258065,"Up",111452000,-40103000,71349000,-87218000,-61967000,-42641000,-19326000,-25251000,-15869000,-9947000,2837000,-25816000,-25816000,1763000,-24053000,-24053000,-24053000,-24053000,767205000,268045000,118508000,118508000,43618000,31636000,11982000,929331000,18802000,645940000,128660000,442112000,75168000,664742000,1594073000,57762000,3517000,54245000,265891000,257692000,510768000,58201000,4091000,54110000,620813000,1131581000,790475000,-345689000,462492000,462492000,1594073000,-24053000,9388000,35968000,976000,22279000,-2108000,-344834000,3686000,3686000,0,3686000,-318869000,-318869000,-318869000,-6481000,749727000,-9376000,0.64018,-0.14238,-0.21581,-0.05201,-0.01509,0.38981,1.81948,2.4467,0.47032,-0.37573,-0.37573,1.74098,7.22452,-0.14646,-0.01893,-0.00738,2.69681,1.10139
"14","2020_Q2",201.397777777778,"Up",119214000,-42838000,76376000,-82002000,-55283000,-46139000,-9144000,-26719000,-5626000,-8961000,3328000,-14587000,-14587000,-229000,-14816000,-14816000,-14816000,-14816000,705780000,295806000,90258000,90258000,38059000,25963000,12096000,834097000,21040000,636025000,119795000,443086000,73144000,657065000,1491162000,48257000,2568000,45689000,362914000,240680000,411171000,42220000,3800000,38420000,614117000,1025288000,822720000,-360505000,465874000,465874000,1491162000,-14816000,10502000,27486000,-7764000,15408000,-3599000,83355000,10329000,10329000,-151858730.713316,-71114999.9999999,27648000,27648000,27648000,4876000,571897000,-6258000,0.64066,-0.04719,-0.12428,-0.0318,-0.00994,0.42238,2.02859,2.20078,0.38352,-0.22631,-0.22631,1.82095,7.11606,-0.09559,-0.01372,-0.00579,-27.45755,23.79719
"15","2020_Q3",291.6840625,"Up",125921000,-48439000,77482000,-109405000,-79193000,-50488000,-28705000,-30212000,-31923000,-15464000,4759000,-47387000,-47387000,4271000,-43116000,-43116000,-43116000,-43116000,1342075000,905612000,101120000,101120000,39212000,26573000,12639000,1482407000,23598000,774939000,156279000,542232000,76428000,798537000,2280944000,74418000,2107000,72311000,253404000,244596000,922829000,68543000,4439000,64104000,931066000,1853895000,822204000,-403621000,427049000,427049000,2280944000,-43116000,12418000,43209000,10878000,23389000,-3429000,-115204000,6671000,6671000,-192786000,701418000,609603000,609603000,609844000,-19505000,1457530000,-16327000,0.61532,-0.25352,-0.34241,-0.10096,-0.0189,0.37868,1.60637,4.34118,0.639,-0.6376,-0.6376,1.86213,6.31524,-0.24145,-0.02208,-0.00836,-5.91925,-3.61667
"16","2020_Q4",309.2015625,"Up",132964000,-50787000,82177000,-115824000,-85296000,-53204000,-32092000,-30528000,-33647000,-28562000,745999.999999999,-62209000,-62209000,1411000,-60798000,-60798000,-60798000,-60798000,1354140000,1251006000,98301000,98301000,46937000,33553000,13384000,1499378000,23963000,775128000,145511000,544391000,85226000,799091000,2298469000,80824000,2447000,78377000,859536000,250680000,940360000,65270000,5245000,60025000,945110000,1885470000,872207000,-464419000,412999000,412999000,2298469000,-60798000,13609000,67403000,-1213000,19001000,-2531000,322220000,13056000,13056000,0,7789000.00000024,349010000,349010000,348897000,-20038000,879840000,-25193000,0.61804,-0.25305,-0.45725,-0.14721,-0.02645,0.41437,1.59447,4.56531,0.38279,-0.88168,-0.88168,1.92822,5.98923,-0.36534,-0.04477,-0.01855,23.67003,14.09635
"17","2021_Q1",315.088360655738,"Up",163544000,-79637000,83907000,-179264000,-132881000,-86481000,-46400000,-46383000,-95357000,-24963000,4488000,-120320000,-120320000,58933000,-61387000,-61387000,-61387000,-61387000,606320000,323284000,196009000,196009000,51922000,36381000,15541000,854251000,28266000,2222648000,632173000,1480847000,109628000,2250914000,3105165000,85102000,4831000,80271000,367337000,356115000,1061507000,105902000,5773000,100129000,1003427000,2064934000,1556865000,-525806000,1040231000,1040231000,3105165000,-61387000,35576000,86806000,-40591000,20404000,-1933000,-951493000,4807000,4807000,0,3699000,-927390000,-927390000,-927080000,-59781000,1506593000,-161238000,0.51305,-0.58307,-0.37535,-0.05901,-0.01977,2.62658,0.80475,1.98507,0.48519,-0.85037,-0.85037,2.2655,14.40973,-2.23355,-0.02314,-0.06078,-15.05952,-9.44108
"18","2021_Q2",247.739682539683,"Down",166929000,-79727000,87202000,-161057000,-117220000,-77843000,-39377000,-43837000,-73855000,-28568000,535000.000000001,-102423000,-102423000,2066000.00000001,-100357000,-100357000,-100357000,-100357000,600345000,362509000,150352000,150352000,59877000,43825000,16052000,810574000,28147000,2233136000,610664000,1514514000,107958000,2261283000,3071857000,87263000,7553000,79710000,350101000,338533000,1053764000,100790000,5001000,95789000,1015784000,2069548000,1617230000,-626163000,1000086000,1002309000,3071857000,-100357000,36539000,77248000,18652000,32082000,-2754000,-5480000,12738000,12738000,2223000,12522000,39124000,39124000,39111000,-37316000,1531394000,-23484000,0.52239,-0.44243,-0.6012,-0.10013,-0.03267,0.234,0.76922,2.06478,0.49852,-1.3773,-1.3773,2.29094,13.72519,-0.32229,-0.03809,-0.00891,-24.9504,-12.60645
"19","2021_Q3",234.8784375,"Down",179246000,-79220000,100026000,-154326000,-112527000,-76279000,-36248000,-41799000,-54300000,-32604000,-1983000,-86904000,-86904000,155000,-86749000,-86749000,-91467000,-91467000,633564000,432009000,170171000,170171000,52850000,35422000,17428000,856585000,29578000,2205682000,577146000,1515477000,113059000,2235260000,3091845000,98830000,4621000,94209000,364295000,351933000,1089944000,102853000,7308000,95545000,1036292000,2126236000,1662804000,-712912000,958657000,965609000,3091845000,-86749000,36607000,79551000,11402000,40811000,-3908000,26313000,2466000,2466000,0,2459000,69583000,69583000,69555000,-17693000,1560258000,-10354000,0.55804,-0.30294,-0.51029,-0.09472,-0.02958,0.1132,0.7859,2.20196,0.50464,-1.25529,-1.25529,2.45997,13.15652,-0.1421,-0.0348,-0.00394,-52.37631,-17.06619
"20","2021_Q4",205.90875,"Down",185816000,-77620000,108196000,-164282000,-124292000,-83854497.6277436,-37735172.0532809,-39990000,-56086000,-32428000,-1298000,-88514000,-88514000,476000,-88038000,-88038000,-91203000,-91203000,667855000,458195000,179278000,179278000,51131000,32283000,18848000,898264000,30161000,2175428000,543628000,1515141000,116659000,2205589000,3103853000,101995000,5279000,96716000,364599000,352198000,1100235000,109442000,14058000,95384000,1061727000,2161962000,1724049000,-800950000,931847000,941891000,3103853000,-88038000,36754000,83943000,-1644000,31015000,-3594000,-15333000,13866000,13866000,0,10564000,26246000,26246000,26109000,-19332000,1585926000,-25046000,0.58227,-0.30184,-0.49082,-0.09683,-0.02938,0.27462,0.81643,2.29534,0.51095,-1.23026,-1.23026,2.50652,12.56994,-0.33785,-0.03458,-0.0095,-47.48971,-16.36899
"21","2022_Q1",121.013548387097,"Down",193298000,-76669000,116629000,-176472000,-135612000,-93256153.0358368,-40198336.7611788,-40860000,-59843000,-34024000,-2137000,-93867000,-93867000,-95000,-93962000,-93962000,-96012000,-96012000,729491000,506459000,226191000,226191000,59366000,38270000,21096000,1015048000,30576000,2147555000,510663000,1514550000,122342000,2178131000,3193179000,83770000,4610000,79160000,481543000,468783000,566952000,106308000,22655000,83653000,1720565000,2287517000,1778847000,-894912000,893578000,905662000,3193179000,-93962000,36492000,89961000,31691000,64182000,-3597000,-18165000,2002000,2002000,0,1999000,48016000,48016000,47975000,-23351000,1615896000,4838000,0.60336,-0.30959,-0.4967,-0.10601,-0.03007,-0.05039,1.79036,2.5258,0.50605,-1.29513,-1.29513,2.60745,12.05371,0.06526,-0.03654,0.00184,-37.96004,-14.81218
"22","2022_Q2",77.0640322580645,"Down",196371000,-80828000,115543000,-186801000,-143091000,-100953000,-42138000,-43710000,-71258000,-7192000,-3716000,-78450000,-78450000,-2751000,-81201000,-81201000,-81473000,-81473000,786210000,493889000,186625000,186625000,63023000,41301000,21722000,1035858000,31333000,2108804000,477955000,1514550000,116299000,2140137000,3175995000,95824000,7835000,87989000,473758000,460862000,571326000,96369000,22070000,74299000,2254224000,2825550000,1102969000,-774323000,336281000,350445000,3175995000,-81201000,36242000,57514000,37187000,49742000,-4113000,-74349000,10666000,10666000,2111000,12777000,-11830000,-11830000,-12694000,-35016000,2159599000,809000,0.58839,-0.36287,-0.41489,-0.23248,-0.02565,-0.00993,1.81308,8.06275,0.67998,-1.08366,-1.08366,2.61191,4.47283,0.01076,-0.03126,0.000310000000000002,-39.22176,-19.27347
"23","2022_Q3",65.5140625,"Down",211103000,-83309000,127794000,-191423000,-145157000,-103215000,-41942000,-46266000,-63629000,-4328000,-709000,-67957000,-67957000,-2641000,-70598000,-70598000,-75269000,-75269000,809333000,527963000,219522000,219522000,58776000,35975000,22801000,1087631000,31989000,2076257000,446123000,1514550000,115584000,2108246000,3195877000,106807000,8433000,98374000,490507000,477423000,599061000,101047000,29646000,71401000,2260730000,2859791000,1154899000,-844921000,317311000,336086000,3195877000,-70598000,35562000,63417000,713000,29094000,-4128000,4942000,266000,266000,4.65661287307739e-10,266000,34302000,34302000,34091000,-28067000,2161430000,-28841000,0.60536,-0.30141,-0.35655,-0.22396,-0.02355,0.38317,1.81556,8.5091,0.67632,-0.99471,-0.99471,2.78982,4.19341,-0.38115,-0.02897,-0.0111,-48.17391,-21.2497
