"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",8.05953125,"Down",-21924000,-5530000,-16394000,50358000,75000,75000,50433000,50433000,50433000,50433000,50433000,50433000,2644103.20501697,-130480668.680787,133124771.885804,-166037.213508993,-166037.213508993,2477988.9859269,4450820.25915256,2198118.3518421,2198118.3518421,6648938.61099466,9126927.59692156,13103052.2286314,200053.88785117,12902998.3407802,13345976.8569427,9367316.05984624,9367316.05984624,9367316.05984624,22713292.9167889,521916374.886434,-534973715.289257,-529024.917043856,-13586365.3198674,-13586365.3198674,9126927.59692156,50433000,327000,3767000,-73535000,-19008000,-897000,9768000,8871000,235000,235000,-34000,-10171000,-10171000,-10171000,50685000,0,-0.0405467648490047,-0.0270260423847314,-12.9759029814433,0.205068897756062,0.00715215286677943,0.9675,0.95573,-2.38310538543642,-0.0334712581602759,19.1044548199204,18.2177134830254
"2","2011_Q1",7.04370967741936,"Down",-19669000,-5911000,-13758000,-19669000,2430000,69000,-17239000,-17239000,-17239000,-17239000,-17239000,-17239000,177295000,8877000,168418000,2631000,2631000,179926000,4534000,2235000,2235000,6769000,186695000,10571000,1403000,9168000,11326000,9238000,9238000,9238000,20564000,741603000,-575434000,-38000,166131000,166131000,186695000,-17239000,393000,3801000,23313000,10268000,-928000,-23027000,-23955000,771000,771000,506000,-13181000,-13181000,-13181000,-19276000,755000,-0.10377,-0.09234,15.8861,0.12378,0.00404,-0.33117,-0.32791,3.19145,-0.09788,9.15854,8.97555
"3","2011_Q2",8.08761904761905,"Up",-20860000,-5754000,-15106000,-20860000,79000,79000,-20781000,-20781000,-20781000,-20781000,-20781000,-20781000,259883382.264994,53748056.2269289,206135326.038065,3618679.07116966,3618679.07116966,263502087.004691,4828393.24694915,2202460.54938597,2202460.54938597,7030853.79633511,270532940.801026,8532565.92378954,1670732.03738294,6861833.8864066,9256591.04768577,9281061.31338459,9281061.31338459,9281061.31338459,18537652.3610704,852395291.704522,-600509011.570248,109008.305681285,251995288.439956,251995288.439956,270532940.801026,-20781000,447000,3837000,-4266000,-20763000,-860000,38651000,37791000,52000,52000,-199000,16829000,16829000,16829000,-20413000,0,-0.104816911716998,-0.0969379858717562,31.3198443271478,0.0793120340813127,0.00213761571107352,-0.39753,-0.39753,5.06116596181214,-0.100629580613241,9.00652756002653,8.91888967232488
"4","2011_Q3",8.10828125,"Up",-21952000,-4843000,-17109000,-21557000,83000,83000,-21474000,-21474000,-21474000,-21474000,-21474000,-21474000,279097000,42952000,236145000,3472000,3472000,282569000,5168000,2130000,2130000,7298000,289867000,7365000,1461000,5904000,7785000,9397000,9397000,9397000,17182000,890314000,-617689000,59999.9999999999,272685000,272685000,289867000,-21474000,476000,3200000,633000.000000007,-17165000,-697000,-106280000,-106977000,141622000,141622000,141388000,17246000,17246000,17246000,-21081000,315000,-0.07875,-0.07408,36.2966,0.06301,0.00109,-0.36851,-0.36851,4.67952,-0.07604,13.22433,12.93232
"5","2011_Q4",7.58555555555556,"Down",-22396000,-5080000,-17316000,-18041000,110000,110000,-17931000,-17931000,-17931000,-17931000,-17931000,-17931000,265682000,18682000,2.47e+08,2910000,2910000,268592000,5223000,2050000,2050000,7273000,275865000,8288000,1275000,7013000,8422000,9479000,9479000,9479000,17901000,893606000,-635620000,-22000,257964000,257964000,275865000,-17931000,506000,3090000,1542000,-12793000,-561000,-10937000,-11498000,202000,202000,21000,-24270000,-24270000,-24270000,-17535000,134000,-0.06951,-0.065,31.89171,0.06939,0.00049,-0.25175,-0.25175,3.62177,-0.06701,15.14388,14.71914
"6","2012_Q1",9.01016129032258,"Up",-25910000,-6091000,-19819000,-25910000,123000,123000,-25787000,-25787000,-25787000,-25787000,-25787000,-25787000,247640000,18633000,229007000,2593000,2593000,250233000,4882000,1991000,1991000,6873000,257106000,11398000,1556000,9842000,11527000,9430000,9430000,9430000,20957000,897550000,-661407000,6000.00000000001,236149000,236149000,257106000,-25787000,526000,3041000,3566000,-18654000,-185000,18021000,17836000,903000,903000,769000,-49000.0000000075,-49000.0000000075,-49000.0000000075,-25384000,-5.82076609134674e-11,-0.1092,-0.1003,21.70842,0.08874,0,-0.36044,-0.36044,3.3008,-0.105,9.75575,9.5577
"7","2012_Q2",7.99206349206349,"Down",-24060000,-6156000,-17904000,-23310000,136000,136000,-23174000,-23174000,-23174000,-23174000,-23174000,-23174000,223300000,22033000,201267000,2775000,2775000,226075000,5904000,1932000,1932000,7836000,233911000,7777000,1922000,5855000,8039000,9292000,9292000,9292000,17331000,901136000,-684581000,25000,216580000,216580000,233911000,-23174000,552000,3098000,-3749000,-23273000,-1574000,27759000,26185000,488000,488000,488000,3400000,3400000,3400000,-22758000,0,-0.107,-0.09907,28.12228,0.08002,0,-0.32447,-0.32447,3.0324,-0.1026,9.81193,9.57958
"8","2012_Q3",10.0630158730159,"Up",-26382000,-5458000,-20924000,-24882000,144000,144000,-24738000,-24738000,-24738000,-24738000,-24738000,-24738000,202639000,26151000,176488000,3734000,3734000,206373000,6112000,1875000,1875000,7987000,214360000,9103000,1912000,7191000,9500000,9110000,9110000,9110000,18610000,905032000,-709319000,37000,195750000,195750000,214360000,-24738000,610000,3011000,377000,-20740000,-818000,24791000,23973000,885000.000000002,885000.000000002,885000,4118000,4118000,4118000,-24272000,0,-0.12638,-0.1154,21.72347,0.09507,0,-0.34619,-0.34619,2.73937,-0.12076,8.34867,8.144
"9","2012_Q4",8.315,"Down",-25569000,-5383000,-20186000,-25569000,113000,113000,-25456000,-25456000,-25456000,-25456000,-25456000,-25456000,183895000,26801000,157094000,2734000,2734000,186629000,5861000,1826000,1826000,7687000,194316000,10054000,1388000,8666000,10585000,8927000,8927000,8927000,19512000,909473000,-734775000,106000,174804000,174804000,194316000,-25456000,635000,3245000,1951000,-19625000,-384000,19463000,19079000,1196000,1196000,1196000,650000,650000,650000,-24934000,0,-0.14563,-0.131,17.63146,0.11162,0,-0.35535,-0.35535,2.44017,-0.13855,7.37527,7.19211
"10","2013_Q1",6.81716666666667,"Down",-25616000,-5852000,-19764000,-25616000,127000,127000,-25489000,-25472000,-25472000,-25472000,-25472000,-25472000,298241000,33484000,264757000,4217000,4217000,302458000,5826000,1759000,1759000,7585000,310043000,11538000,1697000,9841000,12204000,8743000,8743000,8743000,20947000,1049261000,-760247000,82000,289096000,289096000,310043000,-25472000,636000,3246000,19000,-21571000,-584000,-107687000,-108271000,136525000,136525000,136525000,6683000,6683000,6683000,-24980000,0,-0.08811,-0.08216,24.78351,0.07246,0,-0.29843,-0.29843,3.3871,-0.08552,11.93919,11.64276
