"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",12.4378125,"Up",64627000,-35043000,29584000,-14211000,-7148000,-7063000,15373000,15289000,15289000,-2110000,13179000,13179000,13179000,13179000,153298811.159498,219577864.971961,-66279053.8124631,-15325877.518791,28025486.020729,10715014.7592299,5258805.50636694,176713434.420666,10704861.9057121,13034449.3514802,46664563.2988326,21114424.1820281,70403874.5560249,247117308.97669,33853619.0701823,4871319.51895357,28982299.5512287,-7365157.30952891,-7362549.62837603,26488461.7606534,11290733.7871684,11290733.7871684,11290733.7871684,37779195.5478218,139784168.44344,69748363.8676629,-194432.791616146,209338113.428869,209338113.428869,247117308.97669,13179000,1474000,1809000,23271000,39733000,-3077000,54756000,51679000,589000,589000,589000,92001000,92001000,35000,92036000,16847000,0,39151000,0.45777,0.23787,0.20392,-0.0282329342109721,-0.0249381857322563,2.97071,6.21258742520285,0.178558771826531,0,0.5888,0.57583,2.88733,9.61970655904347,1.74914,-0.0267565793566602,0.377640964288126,-271.284002972995,-8777.33764284594
"2","2011_Q1",13.0140322580645,"Up",36159000,-21583000,14576000,-14543000,-7243000,-7300000,33000,553000,427000,676000,1103000,1103000,1103000,1103000,114514000,109520000,4994000,25911000,20671000,9754000,6630000,170850000,13918000,22866000,44137000,18764000,80921000,251771000,28031000,5562000,22469000,4867000,4867000,32898000,11630000,11630000,11630000,44528000,139847000,67141000,255000,207243000,207243000,251771000,1103000,1465000,-4953000,13874000,11489000,-1636000,-17590000,-21864000,948000,948000,1070000,-9305000,-9305000,-18000,-9323000,1498000,0,13060000,0.40311,0.000909999999999883,0.0305000000000001,0.00532,0.00438,11.84044,5.19332,0.21486,0,0.04937,0.048,1.61858,9.27677,0.5846,0.00504,0.05967,-76.44459,-3470.12121
"3","2011_Q2",11.0060317460317,"Down",17423000,-11043000,6380000,-15897000,-6885000,-9012000,-9517000,-9388000,-9388000,2357000,-7031000,-7031000,-7031000,-7031000,88824146.2801674,52871045.0093464,35953101.270821,35004625.839597,18505254.659757,9930661.74692335,7108398.16454436,152264688.526445,15233129.3647626,36677100.2161733,44821312.2337225,19597608.6059906,96731541.8146584,248996230.341103,24188793.6432726,5854143.49368214,18334650.1495904,8448135.76984297,8447266.54279201,32636929.4131155,11645755.4042772,11645755.4042772,11645755.4042772,44282684.8173927,141404360.518853,62863295.3774457,445894.263872049,204713545.52371,204713545.52371,248996230.341103,-7031000,1388000,-870000,-1070000,-7583000,-2617000,-74945000,-77562000,1495000,1495000,1495000,-83650000,-83650000,9000,-83641000,-8129000,0,-14173000,0.36618,-0.54623,-0.40355,0.00476681140365735,0.00424272857741877,2.01579,4.66706835826572,0.216520409391156,0,-0.31473,-0.306,0.7799,9.02647781365218,-0.63442,0.00452552645222005,-0.0497136547627086,7.50928349099823,-832.954034051354
"4","2011_Q3",8.27921875,"Down",27585000,-17447000,10138000,-14799000,-6509000,-8290000,-4661000,-4492000,-4492000,1873000,-2619000,-2619000,-2619000,-2619000,75061000,31890000,43171000,26360000,19190000,10529000,7084000,131140000,15301000,48226000,47289000,22188000,110816000,241956000,21866000,5816000,16050000,7101000,7101000,28967000,11376000,11376000,11376000,40343000,143648000,57491000,474000,201613000,201613000,241956000,-2619000,1437000,-637000,-2227000,-4046000,-1210000,1.1e+07,9790000,260000,260000,260000,6004000.00000003,6004000.00000003,7000,6011000.00000001,-3224000,0,-8534000,0.36752,-0.16897,-0.09494,-0.01299,-0.01082,3.2585,4.52722,0.2001,0,-0.11461,-0.11461,1.20717,8.82294,-0.37346,-0.0123,-0.04007,23.28195,16.1040500000004
"5","2011_Q4",7.38142857142857,"Down",19321000,-11804000,7517000,-15554000,-6942000,-8612000,-8037000,-7897000,-7933000,1817000,-6116000,-6116000,-6116000,-6116000,73370000,27933000,45437000,16289000,19754000,10529000,6957000,119942000,14829000,48686000,49640000,24674000,113155000,233097000,20232000,5454000,14778000,4746000,4746000,24978000,10780000,10780000,10780000,35758000,145533000,51375000,431000,197339000,197339000,233097000,-6116000,1284000,58000,6341000,1567000,-676000,-3316000,-3992000,870000,870000,-1519000,-3944000,-3944000,-13000,-3957000,-6753000,0,-2905000,0.38906,-0.41597,-0.31655,-0.03099,-0.02624,0.47498,4.80191,0.1812,0,-0.26648,-0.26648,0.84184,8.59827,-0.12657,-0.02939,-0.01396,10.8648,9.12903
"6","2012_Q1",8.24967741935484,"Up",18645000,-12249000,6396000,-13634000,-5261000,-8373000,-7238000,-6829000,-8293000,2084000,-6209000,-6209000,-6209000,-6209000,82145000,23560000,58585000,18561000,18070000,9316000,7114000,128092000,14449000,32677000,50603000,25773000,97729000,225821000,18949000,4857000,14092000,5040000,5040000,23989000,9922000,9922000,9922000,33911000,146330000,45166000,414000,191910000,191910000,225821000,-6209000,1314000,1265000,-2587000,-6217000,-830000,2359999.99999999,1530000,299000,299000,299000,-4388000,-4388000,15000,-4373000,-5924000,0,-11425000,0.34304,-0.3882,-0.33301,-0.03235,-0.0275,1.84007,5.33961,0.1767,0,-0.26899,-0.26899,0.80774,8.31391,-0.49495,-0.03076,-0.05661,13.86648,11.34913
"7","2012_Q2",7.99349206349206,"Down",17315000,-10491000,6824000,-15986000,-6773000,-9213000,-9162000,-9162000,-6583000,3422000,-3161000,-3161000,-3161000,-3161000,78934000,18043000,60891000,19600000,19843000,10242000,7696000,128619000,14018000,32792000,53172000,28478000,99982000,228601000,22088000,5029000,17059000,5797000,5797000,27885000,9953000,9953000,9953000,37838000,148247000,42005000,511000,190763000,190763000,228601000,-3161000,1241000,-3738000,-196000,-5854000,2148000,-2686000,-538000,863000,863000,863000,-5529000,-5529000,12000,-5517000,-7921000,0,-9391000,0.39411,-0.52914,-0.18256,-0.01657,-0.01383,2.9709,4.61248,0.19835,0,-0.13614,-0.13614,0.74576,8.21617,-0.40447,-0.01575,-0.04679,9.96516,8.61537
"8","2012_Q3",6.27730158730159,"Down",31792000,-17538000,14254000,-14932000,-6669000,-8263000,-678000,-678000,-630000,-863000,-1493000,-1493000,-1493000,-1493000,66141000,12598000,53543000,25945000,19761000,10911000,8418000,122758000,13911000,37323000,51734000,27176000,102968000,225726000,23374000,5839000,17535000,1900000,1900000,25274000,10179000,10179000,10179000,35453000,149210000,40512000,551000,190273000,190273000,225726000,-1493000,1058000,2767000,-6912000,-4580000,-815000,2346000,1531000,18999.9999999997,19000,-2370000,-5419000,-5419000,-26000,-5445000,380000.000000001,0,-6484000,0.44835,-0.02133,-0.04696,-0.00785,-0.00661,4.34293,4.85709,0.18633,0,-0.06418,-0.06418,1.36657,8.17886,-0.27871,-0.00745,-0.03235,-174.05526,97.5531
"9","2012_Q4",4.95951612903226,"Down",16834000,-11101000,5733000,-13725000,-6389000,-7336000,-7992000,-7992000,-11018000,3011000,-8007000,-8007000,-8007000,-8007000,68425000,16859000,51566000,16528000,24479000,9697000,7150000,119129000,13234000,30356000,52338000,27915000,95928000,215057000,18561000,6166000,12395000,2819000,2819000,21380000,9419000,9419000,9419000,30799000,151136000,32505000,617000,184258000,184258000,215057000,-8007000,1092000,1201000,1678000,-4036000,-447000,8699000,8252000,983000,983000,27000,4243000,4243000,18000,4261000,-6900000,0,-8680000,0.34056,-0.47475,-0.47564,-0.04346,-0.03723,1.08405,5.57198,0.16715,0,-0.34222,-0.34222,0.71949,7.87528,-0.37099,-0.04134,-0.04482,9.91667,8.56169
"10","2013_Q1",4.57466666666667,"Down",17483000,-10136000,7347000,-13038000,-6088000,-6950000,-5691000,-4885000,-23848000,-18810000,-42658000,-42658000,-42658000,-42658000,64852000,24261000,40591000,19822000,26193000,2120000,2120000,112987000,13426000,27317000,18773000,12905000,59516000,172503000,17162000,4479000,12683000,3474000,2193000,20636000,9232000,9232000,9232000,29868000,152019000,-10153000,769000,142635000,142635000,172503000,-42658000,1088000,37807000,-1483000,-5246000,-1166000,13802000,12636000,4000.00000000012,4000,3999.99999999977,7394000,7394000,8000,7402000,-4603000,0,11558000,0.42024,-0.32552,-2.43997,-0.29907,-0.24729,-0.27095,5.47524,0.2094,0,-1.81794,-1.81794,0.74507,6.07863,0.49256,-0.28089,0.07611,14.08907,11.39554
