"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",10.0003125,"Up",54123000,-31549000,22574000,-23777000,-13918000,-7503000,-2356000,-1203000,19000,-5000,24000,-1184000,-260000,-1444000,2232000,788000,788000,788000,788000,35145000,35145000,29470000,29470000,38744000,38946000,4919000,3014000,17997000,142305000,16631000,217458000,37209000,178398000,1851000,234089000,376394000,23719000,5997000,17722000,4898000,4898000,28617000,19355000,14608000,4747000,19355000,47972000,229853000,97536000,1033000,328422000,328422000,376394000,788000,4424000,1123000,-4638000,1697000,-533000,-421000,-97000,73000,73000,-12000,1264000,1264000,-19000,1245000,3221000,0,-4182000,0.41709,-0.02223,0.01456,0.0024,0.00209,-5.30711,4.97274,0.14607,-8.27180612553028e-25,0.02606,0.02591,1.79008,10.86231,-0.13832,0.00227,-0.01202,-10.91121,29.21446
"12","2014_Q1",11.36,"Up",40876000,-23254000,17622000,-21061000,-11739000,-7474000,-1848000,-3439000,72000,-7000,79000,-3367000,-1645000,-5012000,2426000,-2586000,-2012000,-2012000,-2012000,39126000,39126000,29229000,29229000,37432000,40514000,7326000,2369000,17266000,146301000,14462000,213668000,32308000,167551000,1704000,228130000,374431000,23376000,4773000,18603000,7442000,5788000,30818000,15112000,9532000,4511000,15112000,45930000,232015000,95524000,962000,328501000,328501000,374431000,-2012000,4365000,-1136000,3605000,4822000,-846000,-846000,-228000,508000,508000,281000,4256999.99999999,4256999.99999999,-276000,3981000,926000,-3.5527136788005e-15,1259000,0.43111,-0.08413,-0.04922,-0.00612,-0.00537,-0.625750000000001,4.74726,0.13982,0,-0.06643,-0.06682,1.34962,10.84627,0.04157,-0.00586,0.00366,-42.2527,11.37714
"13","2014_Q2",12.4849206349206,"Up",50726000,-29164000,21562000,-25618000,-14321000,-9312000,-1985000,-4056000,418000,-14000,432000,-3638000,15000,-3623000,1319000,-2304000,-2256000,-2256000,-2256000,40106000,40106000,35143000,35143000,35179000,34915000,6737000,3541000,13913000,145343000,14565000,210977000,32758000,176612000,1607000,225542000,370885000,22668000,7522000,15146000,4749000,4749000,27417000,14250000,10118000,4132000,14250000,41667000,234929000,93268000,1021000,329218000,329218000,370885000,-2256000,4120000,3256000,-2947000,2173000,-1108000,-1108000,-121000,60000,60000,-61000,1004000,1004000,-24000,980000,64000,0,-5310000,0.42507,-0.07996,-0.04447,-0.00685,-0.00608,2.35372,5.3012,0.12656,2.64697796016969e-23,-0.0736,-0.0736,1.65485,10.74016,-0.17323,-0.00657,-0.01546,-626.65625,9.88807
"14","2014_Q3",11.24671875,"Down",50932000,-26607000,24325000,-25889000,-13944000,-10142000,-1803000,-1564000,432000,-8000,440000,-1132000,-97000,-1229000,442000,-787000,-1045000,-1045000,-1045000,44535000,44535000,31117000,31117000,33140000,35675000,6916000,8681000,9888000,144467000,16145000,209130000,31131000,176612000,1387000,225275000,369742000,19451000,3553000,15898000,4879000,4879000,24330000,14600000,9915000,4685000,14600000,38930000,237642000,92223000,947000,330812000,330812000,369742000,-1045000,3908000,2762000,1733000,7358000,-2826000,-3126000,-222000,520000,520000,301000,4533000,4533000,-104000,4429000,2344000,0,809000,0.4776,-0.03071,-0.02052,-0.00316,-0.00283,-0.77416,5.93781,0.11768,0,-0.03372,-0.03372,1.6436,10.67549,0.02611,-0.00303,0.00234,-18.99957,28.47506
"15","2014_Q4",12.81328125,"Up",53393000,-29017000,24376000,-22306000,-12363000,-8166000,-1777000,2070000,328000,-9000,337000,2398000,-3477000,-1079000,809000,-270000,-578000,-578000,-578000,45710000,45710000,33535000,33535000,35330000,36466000,4683000,3113000,18610000,151041000,15226000,207329000,28954000,177116000,1259000,222555000,373596000,28542000,10412000,18130000,4476000,4476000,33018000,8316000,4208000,4108000,8316000,41334000,239647000,91645000,970000,332262000,332262000,373596000,-578000,3864000,-4485000,3400000,2201000,-1133000,-1133000,-221000,292000,292000,84000,1152000,1152000,23000,1175000,5934000,0,7392000,0.45654,0.03877,-0.01083,-0.00174,-0.00155,-12.78893,4.5745,0.1244,2.11758236813575e-22,-0.01855,-0.01855,1.71373,10.66446,0.23726,-0.0017,0.0217,-7.70307000000002,-22.08213
"16","2015_Q1",15.7832786885246,"Up",53678000,-29197000,24481000,-22893000,-13057000,-8073000,-1763000,1588000,314000,-9000,323000,1902000,-1884000,18000,-729000,-711000,-7546000,-7546000,-7546000,47287000,47287000,37625000,37625000,31655000,43738000,3631000,1481000,22036000,160305000,14144000,199263000,25006000,168146000,1252000,213407000,373712000,25414000,7054000,18360000,7516000,5898000,32930000,13635000,9065000,3752000,13635000,46565000,242037000,84099000,1011000,327147000,327147000,373712000,-7546000,3716000,8259000,-1920000,2509000,-1634000,-1353000,-199000,612000,612000,418000,1574000,1574000,3000.00000000001,1577000,5304000,0,2479000,0.45607,0.02958,-0.14058,-0.02307,-0.02019,-0.328519999999999,4.86805,0.14234,0,-0.24184,-0.24184,1.72028,10.48447,0.07945,-0.02214,0.00727,-8.91535,-29.77771
"17","2015_Q2",14.5336507936508,"Down",54061000,-30062000,23999000,-22003000,-12290000,-7951000,-1762000,1996000,-11000,-5000,-6000,1985000,-1268000,717000,0,717000,499000,499000,499000,48876000,48876000,35155000,35155000,30771000,51250000,4547000,1399000,29228000,166052000,13343000,197595000,23244000,168146000,1520000,210938000,376990000,29052000,12384000,16668000,5032000,3649000,34084000,12465000,8591000,3103000,12465000,46549000,244929000,84598000,914000,330441000,330441000,376990000,499000,3630000,1193000,-3144000,2178000,-905000,-905000,-160000,236000,236000,392000,1665000,1665000,-76000,1589000,5626000,0,1577000,0.44392,0.03692,0.00923,0.00151,0.00132,3.16032,4.87185,0.14087,-3.3881317890172e-21,0.01577,0.01536,1.7089,10.44542,0.04985,0.00146000000000001,0.0046,-8.68752,-24.48697
"18","2015_Q3",15.145,"Up",57089000,-30054000,27035000,-22334000,-12677000,-7895000,-1762000,4701000,394000,-4000,398000,5095000,-1162000,3933000,-1047000,2886000,265000.000000001,265000.000000001,265000.000000001,56987000,56987000,47432000,47432000,30011000,44605000,3835000,4729000,19774000,179035000,12968000,193364000,21481000,168146000,1502000,206332000,385367000,29096000,11300000,17796000,10361000,8778000,39457000,11694000,8298000,2672000,11694000,51151000,248550000,84863000,803000,334216000,334216000,385367000,265000.000000001,3520000,3605000,838000,8228000,-1218000,-1217000,-160000,1077000,1077000,1137000,8148000,8148000,-37000,8111000,8221000,7.27595761418343e-12,8888000,0.47356,0.08235,0.00464000000000002,0.00079,0.00069,33.53962,4.53747,0.15305,0,0.00826999999999999,0.00810999999999999,1.78114,10.42731,0.2773,0.00077,0.02569,-6.93188,-12.12231
"19","2015_Q4",18.115625,"Up",59578000,-31660000,27918000,-21701000,-11842000,-8115000,-1744000,6217000,6000,-1000,7000,6223000,-60000,6163000,-1469000,4694000,3675000,3675000,3675000,66520000,66520000,47552000,47552000,32526000,41161000,3661000,3981000,20475000,187759000,12391000,189090000,19739000,168146000,1205000,201481000,389240000,32639000,14387000,18252000,8094000,8094000,40733000,7842000,5429000,2413000,7842000,48575000,251324000,88538000,803000,340665000,340665000,389240000,3675000,3296000,3257000,-1114000,9114000,-1344000,-459000,-161000,735000,735000,872000,9527000,9527000,6000,9533000,9513000,0,8524000,0.4686,0.10435,0.06168,0.01079,0.00944,2.31946,4.60951,0.14259,5.42101086242752e-20,0.11378,0.11058,1.84463,10.54756,0.26392,0.01054,0.02446,-6.99254,-10.69969
"20","2016_Q1",17.483606557377,"Down",64119000,-28871000,35248000,-26515000,-12201000,-12574000,-1740000,8733000,51000,-3000,54000,8784000,-802000,7982000,-1850000,6132000,5930000,5930000,5930000,77586000,77586000,31765000,31765000,31960000,34446000,8678000,3747000,22021000,175757000,13226000,197897000,17998000,168146000,1179000,211123000,386880000,25808000,6928000,18880000,7477000,7477000,33285000,3457000,1459000,1998000,3457000,36742000,254894000,94468000,776000,350138000,350138000,386880000,5930000,3394000,1372000,1991000,12687000,-2517000,-3017000,-161000,1556000,2500000,1504000,11174000,11174000,-108000,11066000,12127000,1.16415321826935e-10,13451000,0.54973,0.1362,0.09248,0.01694,0.01533,2.2683,5.28037,0.10494,0,0.18262,0.17778,1.97465,10.7831,0.41425,0.01677,0.03804,-6.39779,-8.88423
"21","2016_Q2",21.5034375,"Up",58409000,-30107000,28302000,-22705000,-12126000,-8866000,-1713000,5597000,93000,22000,71000,5690000,-2466000,3224000,-368000,2856000,2856000,2856000,2856000,79073000,79073000,41993000,41993000,34666000,45135000,5292000,3041000,24423000,200867000,13493000,187028000,16470000,168146000,2412000,200521000,401388000,34817000,17186000,17631000,7944000,7944000,42761000,5993000,4117000,1876000,5993000,48754000,255413000,96428000,793000,352634000,352634000,401388000,2856000,3301000,2169000,-1744000,6582000,-1867000,-2052000,0,-3079000,629000,-3079000,1451000,1451000,36000,1487000,8898000,0,5655000,0.48455,0.09582,0.0489,0.0081,0.00712,1.98004,4.69743,0.13826,0,0.08713,0.08496,1.78196,10.75825,0.17252,0.00796,0.01577,-8.8866,-14.12775
"22","2016_Q3",24.0146875,"Up",60417000,-30678000,29739000,-23066000,-12583000,-8845000,-1638000,6673000,104000,21000,83000,6777000,-304000,6473000,-1433000,5040000,5040000,5040000,5040000,81554000,81554000,35468000,35468000,36707000,45249000,5361000,2880000,24645000,198978000,13324000,195790000,18608000,173749000,3433000,209114000,408092000,31986000,11858000,20128000,9406000,9406000,41392000,5242000,3792000,1450000,5242000,46634000,259472000,101221000,765000,361458000,361458000,408092000,5040000,3258000,1878000,2079000,12255000,-1289000,-11053000,3.72529029846191e-09,1252000,1668000,1252000,2454000,2454000,27000,2481000,9931000,0,12154000,0.49223,0.11045,0.08342,0.01394,0.01235,2.41151,4.80716,0.12902,0,0.15217,0.14898,1.82418,10.91359,0.36697,0.01374,0.03314,-8.21206,-12.22149
"23","2016_Q4",28.4073015873016,"Up",65898000,-34496000,31402000,-22621000,-12687000,-8180000,-1754000,8781000,180000,36000,144000,8961000,-1962000,6999000,-2642000,4357000,4357000,4357000,4357000,84245000,84245000,39314000,39314000,34348000,48728000,4652000,1912000,29376000,206635000,13512000,194609000,17235000,173741000,3633000,208121000,414756000,36826000,12412000,24414000,5166000,5166000,41992000,5021000,3904000,1117000,5021000.00000001,47013000,261138000,105747000,858000,367743000,367743000,414756000,4357000,3319000,1557000,-4878000,4355000,-1752000,-2126000,0,420000,507000,420000,2649000,2649000,42000,2691000,12100000,0,8112000,0.47652,0.13325,0.06612,0.01185,0.0105,1.86183,4.92082,0.12784,0,0.13103,0.12818,1.98184,11.05961,0.24396,0.01169,0.02176,-6.9624,-9.59401
"24","2017_Q1",35.5509677419355,"Up",85430000,-47254000,38176000,-29790000,-15556000,-10497000,-3737000,8386000,936000,-1120000,2056000,9322000,-732000,8590000,-1101000,7489000,7489000,7489000,7489000,81691000,81691000,73427000,73427000,58284000,31990000,6122000,3401000,22467000,245392000,28337000,462767000,116673000,344027000,2067000,491104000,736496000,50279000,26723000,23556000,7365000,7365000,67644000,13533000,12542000,991000,195808000,263452000,357887000,114210000,947000,473044000,473044000,736496000,7489000,5864000,719000,-324000,13748000,-2977000,-302977000,194900000,94327000,98071000,286301000,-2928000,-2928000,374000,-2554000,14250000,192275000,12050000,0.44687,0.09816,0.08766,0.01583,0.01017,1.60903,3.6277,0.55693,0.26107,0.19804,0.19227,2.25916,12.50943,0.31866,0.01103,0.01775,7.76028,13.18674
"25","2017_Q2",39.2979365079365,"Up",87649000,-48205000,39444000,-34984000,-17544000,-12838000,-4602000,4460000,-1182000,-1782000,6e+05,3278000,-718000,2560000,1259000,3819000,3819000,3819000,3819000,77314000,77314000,62158000,62158000,58443000,34043000,7665000,2804000,23574000,231958000,31376000,458827000,112071000,344525000,2231000,490203000,722161000,42608000,19283000,23325000,3566000,3566000,56174000,11202000,10275000,927000,191448000,247622000,355555000,118029000,955000,474539000,474539000,722161000,3819000,7320000,1446000,-2302000,10283000,-6050000,-6161000,-2500000,-6048000,80000,-8548000,-4426000,-4426000,49000,-4377000,11780000,190246000,2169000,0.45002,0.05088,0.04357,0.00805,0.00529,0.56795,4.12928,0.52182,0.26344,0.09826,0.0958,2.25522,12.20993,0.05581,0.00565,0.00321,9.58676,25.32108
"26","2017_Q3",46.1103174603175,"Up",98014000,-50625000,47389000,-37364000,-19320000,-13156000,-4888000,10025000,-1975000,-1888000,-87000,8050000,-1067000,6983000,-1779000,5204000,5204000,5204000,5204000,46185000,46185000,68827000,68827000,70088000,39747000,6646000,5049000,28052000,224847000,39379000,491051000,122308000,366791000,1952000,530430000,755277000,52624000,26236000,26388000,5896000,5896000,68520000,21331000,12654000,8677000,202041000,270561000,360869000,123233000,614000,484716000,484716000,755277000,5204000,7856000,5871000,-4693000,14238000,-7703000,-46467000,2.98023223876953e-08,1221000,2653000,1220999.99999994,-31008000,-31008000,-121000,-31129000,17881000,190710000,7264000,0.48349,0.10228,0.05309,0.01074,0.00689,1.39585,3.28148,0.55818,0.2525,0.13292,0.13015,2.50349,12.38068,0.18554,0.00747,0.01043,8.0826,14.41646
"27","2017_Q4",51.3146031746032,"Up",107317000,-56534000,50783000,-38159000,-19229000,-14198000,-4732000,12624000,-1477000,-1756000,279000,11147000,-929000,10218000,-3170000,7048000,7048000,7048000,7048000,270238000,270238000,68227000,68227000,72096000,37792000,7916000,1487000,28389000,448353000,47356000,485667000,117953000,365713000,2001000,533023000,981376000,56809000,24321000,32488000,6556000,6556000,73365000,20492000,7730000,12762000,196629000,269994000,580354000,130281000,747000,711382000,711382000,981376000,7048000,7963000,-761000,10639000,24889000,-13036000,-11558000,-5e+06,48000,170000,210780000,224111000,224111000,-58000,224053000,20587000,186137000,21360000,0.47321,0.11763,0.06567,0.00991,0.00718,3.03065,6.11127,0.37953,0.18967,0.16101,0.15727,2.45167,16.25162,0.48797,0.00768,0.02327,-4.08515,-6.66199
"28","2018_Q1",47.6914754098361,"Down",115608000,-61681000,53927000,-39750000,-20398000,-13894000,-5458000,14177000,-1701000,-1680000,-21000,12476000,-1169000,11307000,-2503000,8804000,8804000,8804000,8804000,41637000,41637000,76341000,76341000,81071000,47147000,8381000,1434000,37332000,246196000,51643000,517906000,129037000,380846000,8023000,569549000,815745000,66485000,27485000,3.9e+07,6360000,6360000,72845000,17483000,5711000,11772000,17483000,90328000,585258000,139085000,1074000,725417000,725417000,815745000,8804000,9130000,2128000,-10326000,9736000,-6055000,-46901000,-192500000,216708000,217792000,-192115000,-229280000,-229280000,679000,-228601000,23307000,0,9429000,0.46646,0.12263,0.07615,0.01214,0.01079,1.07099,3.37972,0.12452,0,0.19075,0.18571,2.50478,15.71698,0.20429,0.01185,0.01269,-1.78646,-2.93694
"29","2018_Q2",38.70484375,"Down",106069000,-55395000,50674000,-39947000,-20568000,-13742000,-5637000,10727000,-799000,16000,-815000,9928000,-356000,9572000,8381000,17953000,17953000,17953000,17953000,26074000,26074000,89037000,89037000,93274000,43612000,9114000,2085000,32413000,251997000,51603000,518992000,126501000,384200000,8291000,570595000,822592000,69467000,42225000,27242000,5849000,5849000,75316000,13008000,1505000,11503000,13008000,88324000,576204000,157038000,1026000,734268000,734268000,822592000,17953000,9337000,813000,-20075000,8028000,-3628000,-10002000,0,-13548000,0,-13548000,-15522000,-15522000,-41000,-15563000,20064000,0,-12020000,0.47775,0.10113,0.16926,0.02445,0.02182,-0.66953,3.34586,0.12029,-1.38777878078145e-17,0.38605,0.37805,2.28086,15.78935,-0.25847,0.02402,-0.01609,-1.29954,-2.43069
"30","2018_Q3",48.4004761904762,"Up",117912000,-63752000,54160000,-42236000,-21222000,-15187000,-5827000,11924000,-420000,-104000,-316000,11504000,-1036000,10468000,-1335000,9133000,9133000,9133000,9133000,32035000,32035000,87315000,87315000,105912000,43640000,7970000,15000,35655000,268902000,51640000,515274000,120672000,384785000,9817000,566914000,835816000,65836000,37628000,28208000,8440000,8440000,74276000,12309000,855000,11454000,12309000,86585000,582002000,166171000,1058000,749231000,749231000,835816000,9133000,9602000,4649000,-14605000,8779000,-3964000,-3763000,-2.98023223876953e-08,688000.00000003,2049000,687999.99999997,5703999.99999997,5703999.99999997,257000,5961000,21526000,0,4292000,0.45933,0.10113,0.07746,0.01219,0.01093,0.46994,3.62031,0.11557,0,0.19535,0.19249,2.52207,16.02565,0.0918,0.01199,0.00564,-1.4882,-2.6866
"31","2018_Q4",48.7630158730159,"Up",116336000,-63570000,52766000,-43263000,-21138000,-15021000,-7104000,9503000,-933000,-999000,66000,8570000,-2665000,5905000,-2209000,3696000,3696000,3696000,3696000,44217000,44217000,101400000,101400000,117075000,50466000,7802000,2487000,40177000,313158000,51291000,692497000,186391000,499292000,6814000,743788000,1056946000,69800000,32857000,36943000,9537000,9537000,79337000,26813000,15016000,11797000,221813000,301150000,585323000,169867000,606000,755796000,755796000,1056946000,3696000,11381000,3344000,-17548000,873000,-3475000,-183073000,1.95e+08,-209000,0,194791000,12591000,12591000,-409000,12182000,20884000,1.95e+08,2070000,0.45357,0.08169,0.03177,0.00489,0.0035,0.56006,3.94719,0.39845,0.18449,0.0789,0.07776,2.48348,16.13432,0.04419,0.00378,0.00212,7.22002,15.86688
"32","2019_Q1",57.6545901639344,"Up",152867000,-84609000,68258000,-47730000,-25437000,-14857000,-7436000,20528000,-2260000,-1731000,-529000,18268000,-1640000,16628000,-6527000,10101000,10101000,10101000,10101000,66521000,66521000,104040000,104040000,108585000,52597000,9062000,3761000,39774000,331743000,50980000,681757000,177904000,497442000,6411000,732737000,1064480000,59084000,21323000,37761000,12596000,12596000,71680000,25909000,14633000,11276000,220909000,292589000,590632000,179968000,1291000,771891000,771891000,1064480000,10101000,11957000,5147000,-1564000,25641000,-4039000,-4038999.99999994,0,1005999.99999999,1396000,1006000,22608000,22608000,-304000,22304000,32485000,1.95e+08,33409000,0.44652,0.13429,0.06608,0.01309,0.00949,3.30749,4.62811,0.37905,0.18319,0.21594,0.21303,3.26806,16.50186,0.71423,0.01017,0.03365,3.95503,6.25872
"33","2019_Q2",69.3925396825397,"Up",144056000,-82473000,61583000,-46870000,-24741000,-14948000,-7181000,14713000,-3202000,-2193000,-1009000,11511000,-903000,10608000,-3129000,7479000,7479000,7479000,7479000,72869000,72869000,113920000,113920000,121156000,56234000,9521000,6736000,39977000,364179000,50829000,711966000,183606000,520589000,7771000,762795000,1126974000,61151000,25726000,35425000,21605000,21605000,82756000,27597000,16145000,11452000,267597000,350353000,588260000,187447000,914000,776621000,776621000,1126974000,7479000,11546000,5520000,-4516000,20029000,-3727000,-5e+07,4.5e+07,-6812000,41907190.4791403,36337000,6366000,6366000,-18000,6348000,26259000,2.4e+08,21145000,0.42749,0.10213,0.05192,0.00963,0.00664,2.82725,4.40064,0.45112,0.21296,0.15897,0.1568,3.06189,16.50699,0.44943,0.00716,0.02025,6.36471,11.35941
"34","2019_Q3",79.0009375,"Up",159089000,-88202000,70887000,-50950000,-27819000,-16192000,-6939000,19937000,-2995000,-2125000,-870000,16942000,-76000,16866000,-4483000,12383000,12383000,12383000,12383000,93903000,93903000,123117000,123117000,126402000,55883000,9923000,766000,45194000,399305000,53130000,704204000,176671000,519660000,7873000,757334000,1156639000,70689000,30750000,39939000,22491000,22491000,93180000,27383000,15082000,12301000,267383000,360563000,595142000,199830000,1104000,796076000,796076000,1156639000,12383000,11708000,4644000,-3434000,25301000,-7075000,-5831000,-51932000,8489000.00000001,1677000,1557000,21027000,21027000,7000,21034000,31645000,2.4e+08,25619000,0.44558,0.12532,0.07784,0.01556,0.01071,2.06888,4.28531,0.45293,0.2075,0.26242,0.25963,3.37139,16.87031,0.54291,0.01164,0.02409,4.61675,7.32793
"35","2019_Q4",72.04359375,"Down",174636000,-100789000,73847000,-51636000,-27411000,-17439000,-6786000,22211000,-2596000,-2268000,-328000,19615000,-149000,19466000,-5357000,14109000,14109000,14109000,14109000,112515000,112515000,114806000,114806000,131655000,66194000,10253000,0,55941000,425170000,55857000,731354000,180828000,543515000,7011000,787211000,1212381000,83062000,35220000,47842000,10728000,10728000,93790000,29709000,14691000,15018000,306209000,399999000,599711000,213939000,-1268000,812382000,812382000,1212381000,14109000,11576000,6333000,-5800000,26218000,-7060000,-43560000,-502000,0,0,35998000,18656000,18656000,-44000,18612000,33787000,276500000,26284000,0.42286,0.12718,0.08079,0.01737,0.01164,1.86292,4.53321,0.49238,0.22806,0.29857,0.2942,3.69553,17.19109,0.5562,0.01261,0.0235,4.85349,7.38305
"36","2020_Q1",75.7690322580645,"Up",176963000,-97124000,79839000,-58100000,-30746000,-20346000,-7008000,21739000,-8264000,-1591000,-6673000,13475000,-888000,12587000,217000,12804000,12804000,12804000,12804000,257932000,257932000,118832000,118832000,137112000,68296000,10819000,90000,57387000,582172000,60001000,774804000,206124000,562146000,6534000,834805000,1416977000,86741000,39030000,47711000,11291000,11291000,98032000,34206000,19087000,15119000,34206000,132238000,1059287000,226743000,-1291000,1284739000,1284739000,1416977000,12804000,11562000,10567000,-8964000,25969000,-8829000,-54383000,-192986000,448359000,456327000,173873000,145459000,145459000,-42000,145417000,33301000,5.96046447753906e-08,15291000,0.45116,0.12284,0.07235,0.00997,0.00904,1.19424,5.93859,0.10293,0,0.25694,0.25279,3.55119,25.78141,0.30685,0.00971,0.01159,-7.74547,-11.86494
