"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q1",21.6516393442623,"Down",258285000,-146047000,112238000,-112028000,-112028000,210000,17000,-1233977.74356338,17000,227000,-3147000,-1360000,-4507000,-4507000,-4507000,-4507000,110608000,110608000,67592000,19562000,19312000,197762000,26733000,32710000,12719000,59443000,257205000,90601000,44238000,46363000,43317000,43317000,133918000,19204000,19204000,19204000,153122000,27002000,34858000,104082000,104082000,257204000,-4507000,2235000,-714000,5621000,2635000,-3324000,-3324000,1074000,1074000,-1817000,-743000,-1432000,-1432000,-1432000,2445000,0,6102000,0.43455,0.00081,-0.01745,-0.0433,-0.01752,-1.35389,1.47674,1.47117,0,-0.17531,-0.21342,10.04648,2.40616,0.23735,-0.03656,0.04949,-45.23845,-526.70476
"2","2018_Q2",22.649375,"Up",295563000,-166548000,129015000,-119471000,-119471000,9544000,17000,17000,0,9561000,18632000,-5144000,13488000,13488000,13488000,13488000,131096000,131096000,87576000,16834000,16584000,235506000,29545000,33660000,12303000,63205000,298711000,122834000,58519000,64315000,36137000,36137000,158971000,19251000,19251000,19251000,178222000,29920000,48346000,120489000,120489000,298711000,13488000,2270000,-4044000,13077000,24791000,-4180000,-4180000,405000,444000,-527999.99999997,-123000,20488000,20488000,20488000,11814000,0,25855000,0.43651,0.03229,0.04563,0.11194,0.04515,1.91689,1.48144,1.47916,0,0.51228,0.40551,11.22555,2.97256,0.98198,0.0965199999999999,0.18502,-11.09666,-13.7359600000001
"3","2018_Q3",36.4450793650794,"Up",295906000,-168523000,127383000,-111771000,-111771000,15612000,18000,18000,0,15630000,17244000,-13603000,3641000,3641000,3641000,3641000,266374000,266374000,80094000,11653000,11653000,358121000,30875000,27406000,12913000,58281000,416402000,106222000,55145000,51077000,23537000,23537000,129759000,15546000,15546000,15546000,145305000,219108000,51987000,271095000,271095000,416400000,3641000,2618000,11150000,-8465000,8944000,-4052000,-4052000,562000,562000,129574000,130136000,135028000,135028000,135028000,18230000,0,19316000,0.43048,0.05276,0.0123,0.01343,0.00874,5.30514,2.75989,0.53599,0,0.04417,0.0414,3.58938,3.28842,0.23431,0.0127,0.06739,-14.61185,-17.06213
"4","2018_Q4",24.7469841269841,"Down",316741000,-178535000,138206000,-128454000,-128454000,9752000,209000,-35000,244000,9961000,9961000,-474000,9487000,9487000,9487000,9487000,287257000,287257000,82222000,17244000,17244000,386723000,32374000,30773000,16557000,63147000,449870000,122457000,74286000,48171000,21231000,21231000,143688000,19441000,19441000,19441000,163129000,225265000,61474000,286739000,286739000,449868000,9487000,2650000,2335000,13289000,27761000,-3794000,-3794000,666000,666000,0,666000,24633000,24633000,24633000,12402000,0,22371000,0.43634,0.03079,0.02995,0.03309,0.02109,2.35807,2.69141,0.56891,0,0.09775,0.0931499999999999,3.2635,2.95438,0.2305,0.03098,0.07306,-23.16215,-29.45621
"5","2019_Q1",24.8340983606557,"Up",318295000,-176877000,141418000,-133302000,-133302000,8116000,760000,904000,-144000,8876000,8876000,9408000,18284000,18284000,18284000,18284000,297516000,297516000,85092000,34398000,34148000,417006000,34169000,30410000,16303000,64579000,481585000,122819000,79782000,43037000,19413000,19413000,142232000,24281000,24281000,24281000,166513000,235312000,79758000,315070000,315070000,481583000,18284000,3004000,3936000,-14542000,10682000,-4539000,-4539000,4712000,4712000,-596000,4116000,10259000,10259000,10259000,11120000,0,-17369000,0.4443,0.0255,0.05744,0.05803,0.03797,-0.94996,2.93187,0.5285,0,0.18664,0.1791,3.24901,3.2161,-0.1773,0.05388,-0.05118,-26.75504,-36.65796
"6","2019_Q2",26.8284126984127,"Up",366236000,-201068000,165168000,-154271000,-154271000,10897000,1519000,1399000,120000,12416000,12416000,-1738000,10678000,10678000,10678000,10678000,258326000,173341000,106701000,33286000,33036000,398313000,37629000,30980000,15746000,152479000,550792000,172760000,105662000,67098000,19235000,19235000,191995000,25294000,25294000,25294000,217289000,243086000,90471000,333501000,333501000,550790000,10678000,3175000,7139000,29974000,50966000,-6985000,-175778000,637000,637000,3.72529029846191e-09,637000,-124175000,-124175000,-124175000,14072000,0,38799000,0.45099,0.02975,0.02916,0.03202,0.01939,3.63355,2.0746,0.65154,0,0.1079,0.10214,3.70065,3.36988,0.39205,0.02976,0.10814,-18.35745,-23.70616
"7","2019_Q3",23.2228125,"Down",370280000,-207131000,163149000,-147738000,-147738000,15411000,1623000,1170000,453000,17034000,17034000,-5058000,11976000,11976000,11976000,11976000,276859000,167496000,103167000,33410000,33160000,413436000,44888000,31993000,15610000,143615000,557051000,152895000,86815000,66080000,24264000,24264000,177159000,26603000,26603000,26603000,203762000,250699000,102447000,353287000,353287000,557049000,11976000,3281000,10173000,-18729000,6701000,-4918000,-11456000,1294000,1294000,-2281000,-987000,-5742000,-5742000,-5845000,18692000,0,103000,0.44061,0.04162,0.03234,0.0339,0.0215,0.0086,2.3337,0.57676,0,0.12025,0.11648,3.71804,3.54741,0.00103,0.03152,0.00027,-14.81163,-17.96502
"8","2019_Q4",23.23078125,"Up",408893000,-224445000,184448000,-189015000,-189015000,-4567000,1854000,1463000,391000,-2713000,-2713000,9761000,7048000,7048000,7048000,7048000,291608000,143829000,110100000,40889000,40639000,442597000,52715000,33251000,15815000,148885000,591482000,165766000,99727000,66039000,23286000,23286000,189052000,27295000,27295000,27295000,216347000,265547000,109495000,375133000,375133000,591480000,7048000,3735000,5500000,1258000.00000001,17541000,-12614000,-46520000,7353000,7353000,-2069000,5284000,-23695000,-23695000,-23667000,-832000,0,-21949000,0.45109,-0.01117,0.01724,0.01879,0.01192,-3.11422,2.34114,0.57672,0,0.07027,0.06818,4.07659,3.74,-0.21883,0.01751,-0.05454,350.49038,63.85111
"9","2020_Q1",21.693064516129,"Down",432149000,-241785000,190364000,-188610000,-188610000,1754000,2330000,1759000,571000,4084000,4084000,3095000,7179000,7179000,7179000,7179000,314208000,170932000,118216000,49980000,49980000,482404000,54888000,25402000,3227000,133662000,616066000,160617000,90883000,69734000,22014000,22014000,182631000,37435000,37435000,37435000,220066000,279513000,116674000,3.96e+08,3.96e+08,616066000,7179000,4140000,12363000,-20296000,3386000,-6308000,8570000,4409000,4409000,-2398000,2011000,13967000,13967000,14253000,5894000,0,-23805000,0.44051,0.00406,0.01661,0.01813,0.01165,-3.31592,2.64141,0.55572,0,0.07094,0.0691,4.27043,3.91321,-0.23524,0.01656,-0.05492,-53.30981,-179.13797
"10","2020_Q2",19.7357142857143,"Down",444815000,-243513000,201302000,-201142000,-201142000,159999.999999998,819000,1653000,-834000,979000,979000.000000002,-1157000,-178000,-178000,-178000,-178000,297283000,151779000,148502000,39702000,39702000,485487000,65369000,155940000,132075000,311841000,797328000,198410000,112161000,86249000,44484000,44484000,242894000,145820000,145820000,145820000,388714000,290720000,116496000,408612000,408612000,797326000,-178000,4652000,11980000,11070000,27524000,-7502000,-46521000,518000,518000,-2212000,-1694000,-20691000,-20691000,-19153000,4812000,0,9537000,0.45255,0.000359999999999993,-0.000400000000000001,-0.000439999999999999,-0.00022,-53.57865,1.99876,0.9513,0,-0.00175,-0.00174999999999999,4.37993,4.02345,0.09391,-0.000320000000000004,0.0172,-61.7795099999999,-1858.01875
