"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",67.3693650793651,"Down",39482921,-26343594,13139327,-3514172,-3514172,9625155,-123627,-111684,-11943,9501528,9501528,-1713743,7787785,7787785,7787785,7787785,-123070458.608167,-123070458.608167,351173775.403024,351173775.403024,104774082.850775,-239659287.03681,18247266.8371683,-257948175.397154,93218112.6088222,134376252.014027,32979833.6848779,29547630.5163928,-1354448.02889313,167356085.698905,260574198.307727,69867398.6029217,36364778.3116166,33502614.7693433,-108246559.539757,253833398.916912,62899.516720022,215454237.980077,215454237.984428,96345448.9626791,-48968156.676523,-2257331.96285642,45119960.3232996,45119960.3232996,260574198.307727,7787785,7787785,933836,644075,-13062927,-3697231,-776669,-141985,-7639193,2240468,2240468,-9095956,-9095956,707613,-8388343,10558991,0,-1566862,0.33279,0.24378,0.19724,-0.661483355144528,-0.54645287869863,-0.20119,-1.32277793938866,1.07039207079964,-0.506414810771454,3.6065,3.59091,18.28441,76.2133685892534,-0.72561,-0.595064498445954,-1.00933070483127,-42.5859051327521,-59.9023642966512
"2","2011_Q3",53.96828125,"Down",35311738,-22978912,12332826,-4460070,-4460070,7872756,-27843,-29927,2084.00000000003,7844913,7844913,-1615421,6229492,6229492,6229492,6229492,-20004445.8040836,-20004445.8040836,155854395.701512,155854395.701512,45011419.9253877,-96259931.5184052,7717201.41858415,-103997943.698577,84601438.3044111,98031339.0070136,33200040.8424389,28935401.7581964,-592888.014446567,131231379.849453,215832818.153864,34157136.3014608,17336201.1558083,16820932.3846716,-51264924.7698787,112915584.958456,66338.258360011,95807796.4900384,95807796.4922138,102202721.98134,14049279.6617385,3773020.01857179,120025021.66165,120025021.66165,215832818.153864,6229492,6229492,1262917,898262,-3490359,4900312,-1214134,-1705321,-2919455,-2467.99999999907,-2468.00000000047,1978389,1978389,761104,2739493,9135673,0,6046601,0.34926,0.22295,0.17641,-0.254066677572264,-0.206946439349315,0.97064,2.22283603030567,0.48885103539982,-0.233652405385727,2.88319,2.83346,16.3433,82.1845492946267,2.79854,-0.224712249222977,-0.464965352415633,-20.506532566376,-28.4888021483256
"3","2011_Q4",43.6226984126984,"Down",44653284,-27613775,17039509,-4914655,-4914655,12124854,-140650,-94862,-45788,11984204,11984204,-2511459,9472745,9472745,9472745,9472745,39024069.3986388,39024069.3986388,53036535.5671707,53036535.5671707,22333931.3084626,-18478636.8394684,2332559.13952805,-20818132.8995257,95915899.4348037,78315959.6690045,33429340.9474796,28629334.2527321,-111181.004815522,111745300.616484,207661200.051288,18356607.7671536,8257809.38526944,10098797.4615572,-15431788.2566262,38501901.3194854,68672.0861200037,41426720.8300128,41426720.830738,106116161.660447,52092228.5539128,8026089.0061906,166234479.22055,166234479.22055,207661200.051288,9472745,9472745,1402827,1000392,11419451,23295415,-2233615,-11357565,-13591180,15000,15000,9719235,9719235,533688,10252923,13527681,0,25224976,0.3816,0.27153,0.21214,-0.0351055591907547,-0.0259088131164383,2.6629,3.68316534343522,0.220200345133273,-0.0672408017952423,4.38446,4.25442,20.66776,86.0530230982089,11.67537,-0.0268040830743257,-0.157068450805211,-8.70598752212535,-11.5496773827752
"4","2012_Q1",48.546935483871,"Up",60270023,-39161650,21108373,-8619707,-8619707,12488666,131934,52288,79646,12620600,12620600,-3196521,9424079,9424079,9424079,9424079,65606413,65606413,17517625,17517625,23732404,12025022,537126,11487896,118881464,70873480,33616043,28508629,150169,104489523,223370987,16268921,5981703,10287218,4099550,11129275,69962,31497746,31497746,108682049,72287436,10903756,191873241,191873241,223370987,9424079,9424079,2148678,1031450,-3455234,9148973,-18515700,9698826,-8816874,-2253000,-2253000,-1920901,-1920901,587804,-1333097,14637344,4099550,-4137069,0.35023,0.20721,0.15636,0.04912,0.04219,-0.43899,3.77428,0.16416,0.01835,4.36464,4.60643,27.9133,88.86366,-1.91603,0.04809,-0.02111,-4.20205,-4.92501
"5","2012_Q2",43.068253968254,"Down",53102594,-34193862,18908732,-5629169,-5629169,13279563,-84416,-58992,-25424,13195147,13195147,-2463511,10731636,10731636,10731636,10731636,71333911,71333911,24095094,24095094,36197625,13591470,774688,12816782,145218100,71347266,33708456,28452487,250658,105055722,250273822,21697184,7359982,14337202,12175790,11334633,70269,45207607,45207607,110496665,81761648,12807902,205066215,205066215,250273822,10731636,10731636,1463901,557192,-14761698,-2008969,-828035,-91631,-919666,8010765,8010765,5082130,5082130,645368,5727498,14743464,12175790,1617242,0.35608,0.25007,0.20209,0.05233,0.04288,0.1507,3.21225,0.22045,0.04865,4.79687,4.79687,23.73601,91.66133,0.72288,0.0494,0.00744,-4.0125,-4.45482
"6","2012_Q3",43.487619047619,"Up",47093997,-30704512,16389485,-6193730,-6193730,10195755,-220662,-309752,89090,9975093,9975093,-2231215,7743878,7743878,7743878,7743878,68193490,68193490,46789336,46789336,44682504,5896503,1275193,4621310,165561833,75113957,33607850,28320932,246358,108721807,274283640,27679625,8537988,19141637,13834535,18067240,70494,59581400,59581400,112012750,88442492,14246998,214702240,214702240,274283640,7743878,7743878,1547417,453051,-10482372,-738026,-3012422,-1449605,-4462027,1606160,1606160,-3593893,-3593893,453472,-3140421,11743172,13834535,479593.000000002,0.34802,0.2165,0.16443,0.03607,0.02823,0.0619299999999999,2.77875,0.27751,0.05044,3.45053,3.45053,20.98423,95.66741,0.2137,0.03388,0.0021,-4.62898,-5.33153
"7","2012_Q4",38.6387096774194,"Down",60016344,-37541005,22475339,-6613331,-6613331,15862008,-521093,-465011,-56082,15340915,15340915,-2966554,12374361,12374361,12374361,12374361,67776476,67776476,60397781,60397781,36177828,7280546,482427,6798119,171632631,77816919,33262534,27993165,196765,111079453,282712084,28019352,6367821,21651531,13922485,11864023,70698,53805860,53805860,113826585,99456714,15622925,228906224,228906224,282712084,12374361,12374361,1684162,153695,-11988345,2223873,-1870073,-1530387,-3400460,43015,343016,-833571,-833571,416557,-417014,17546170,13922485,6654306,0.37449,0.26429,0.20618,0.05406,0.04377,0.53775,3.18985,0.23506,0.04925,5.51002,5.51002,26.72392,101.92677,2.96301,0.05096,0.0274,-3.06927,-3.39516
"8","2013_Q1",39.7048333333333,"Up",57311270,-35809593,21501677,-6913993,-6913993,14587684,-339701,-392329,52628,14247983,14247983,-3140033,11107950,11107950,11107950,11107950,71978630,71978630,62001158,62001158,28602684,12506851,299526,12207325,175089323,80065161,32876569,27618641,182119,112941730,288031053,28847386,6881748,21965638,13931280,2995733,370719,45774399,45774399,117333323,109142824,15780507,242256654,242256654,288031053,11107950,11107950,1297386,2084898,-7566714,6923520,-6173417,3071623,-3101794,318435,318435,4140161,4140161,61993,4202154,15885070,13931280,5284972,0.37517,0.25453,0.19382,0.04585,0.03857,0.47578,3.82505,0.18895,0.04837,4.93616,4.93616,25.46805,107.65432,2.34854,0.04336,0.02063,-3.65421,-3.9792
"9","2013_Q2",34.1725,"Down",39512740,-22579367,16933373,-5910029,-5910029,11023344,-311960,-311360,-600,10711384,10711384,-1849984,8861400,8861400,8861400,8861400,74197824,74197824,67699174,67699174,28659714,15741985,756788,14985197,186298697,81704041,32399050,27173943,158912,114103091,300401788,30485217,5594344,24890873,14466150,3929821,1477357,48881188,48881188,119253426,116951020,15316154,251520600,251520600,300401788,8861400,8861400,3194681,866899,-6536432,6386548,-4421106,-171704,-4592810,561255,561255,2354993,2354993,-135799,2219194,14218025,14466150,5110471,0.42855,0.27898,0.22427,0.03523,0.0295,0.57671,3.81126,0.19434,0.04816,3.87361,3.87361,17.27233,109.94798,2.23396,0.03332,0.01921,-4.20112,-5.41865
"10","2013_Q3",37.95765625,"Up",41730992,-25537459,16193533,-6294555,-6294555,9898978,118250,-279730,397980,10017228,10017228,-1775900,8241328,8241328,8241328,8241328,74937781,74937781,61731764,61731764,51122753,11204650,323712,10880938,198996948,83542872,32074851,26850239,145599,115617723,314614671,30095254,4826224,25269030,14502750,7971969,1180239,52569973,52569973,121876473,124232932,15935293,262044698,262044698,314614671,8241328,8241328,2819548,1363631,-7804290,4620217,-4058868,-3877.00000000047,-4062745,1420,1420,558892,558892,181065,739957,12718526,14502750,2631268,0.38805,0.23721,0.19749,0.03145,0.02619,0.31928,3.78537,0.20061,0.0461,3.57678,3.57678,18.11145,113.72863,1.14198,0.0298,0.00951,-4.75173,-6.10518
