"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","raw_materials","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_investments","long_term_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_tax_liabilities_short_term","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",46.772380952381,"Up",4.6741e+10,-3.1733e+10,1.5008e+10,-8.776e+09,-1.042e+09,-3.082e+09,-4.652e+09,6.232e+09,1.418e+09,1.235e+09,2.03e+08,7.65e+09,7.65e+09,-3.07e+09,4.58e+09,4.58e+09,-2.8e+07,4.552e+09,4.552e+09,7.46e+09,7.376e+09,8.4e+07,1.7921e+10,6.078e+09,6.078e+09,9.367e+09,5.672e+09,4.0826e+10,9.7347e+10,1.91977e+11,-9.463e+10,2.3689e+10,2.129e+10,2.399e+09,7.07e+09,4.618e+09,2.452e+09,1.28106e+11,1.68932e+11,2.3546e+10,1.6787e+10,1.55e+09,5.209e+09,3.02e+08,3.718e+09,3.718e+09,2.7566e+10,1.0083e+10,9.793e+09,3.5231e+10,4.5314e+10,7.288e+10,1.6199e+10,-2.6115e+10,1.09484e+11,-4.219e+09,9.5349e+10,7.03e+08,9.6052e+10,1.68932e+11,4.58e+09,3.082e+09,2.13e+08,-1.04e+08,3.17e+08,-3.58e+08,-1.29e+08,-2.29e+08,7.517e+09,-3.728e+09,-3.967e+09,-3.675e+09,-7.335e+09,-1.357e+09,-5.7e+07,-1.7e+07,-1.431e+09,-1.249e+09,-1.249e+09,-9.1e+07,-1.34e+09,9.314e+09,1.0385e+10,8.298e+09,0.32109,0.13333,0.09739,0.04739,0.02695,1.82293,1.48103,0.75876,0.06147,2.28172,2.27121,23.42927,47.79439,4.15943,0.68021,72.8787862590665,0.04171,0.05857,0.29811,0.31404,0.46935
"2","2010_Q3",46.86359375,"Up",5.1051e+10,-3.5195e+10,1.5856e+10,-9.026e+09,-1.136e+09,-3.141e+09,-4.749e+09,6.83e+09,1.936e+09,1.65e+09,3.03e+08,8.766e+09,8.766e+09,-3.322e+09,5.444e+09,5.444e+09,-3.5e+07,5.409e+09,5.409e+09,9.462e+09,9.396e+09,6.6e+07,1.7893e+10,5.911e+09,5.911e+09,9.128e+09,5.375e+09,4.2394e+10,9.8539e+10,1.96032e+11,-9.7493e+10,2.389e+10,2.1682e+10,2.208e+09,6.923e+09,4.618e+09,2.305e+09,1.29352e+11,1.71746e+11,2.2913e+10,1.637e+10,1.457e+09,5.086e+09,3.75e+08,2.725e+09,2.725e+09,2.6013e+10,1.0098e+10,9.793e+09,3.5344e+10,4.5442e+10,7.1455e+10,1.6237e+10,-2.5998e+10,1.13456e+11,-4.126e+09,9.9569e+10,7.22e+08,1.00291e+11,1.71746e+11,5.444e+09,3.141e+09,-5.67e+08,-1.33e+08,-4.34e+08,-4.15e+08,6.2e+07,-4.77e+08,7.603e+09,-4.398e+09,-4.552e+09,1.3e+08,-4.249e+09,-1.437e+09,1.58e+08,-1.4e+07,-1.293e+09,2.061e+09,2.061e+09,-41000000.0000001,2.02e+09,9.971e+09,1.0473e+10,8.48e+09,0.31059,0.13379,0.10595,0.05393,0.03149,1.56776,1.62972,0.71248,0.06098,2.70938,2.6964,25.57152,49.87425,4.24764,0.7198,38.6686860048355,0.04686,0.05804,0.26567,0.10139,0.14802
"3","2010_Q4",52.98421875,"Up",4.8554e+10,-3.3275e+10,1.5279e+10,-9.561e+09,-1.181e+09,-3.401e+09,-4.979e+09,5.718e+09,1.155e+09,1.242e+09,-7.8e+07,6.873e+09,6.873e+09,-3.081e+09,3.792e+09,3.792e+09,-2.4e+07,3.768e+09,3.768e+09,1.1061e+10,1.0995e+10,6.6e+07,1.7994e+10,6.137e+09,6.137e+09,9.291e+09,5.818e+09,4.4483e+10,1.01732e+11,2.02108e+11,-1.00376e+11,2.3911e+10,2.1764e+10,2.147e+09,7.073e+09,4.618e+09,2.455e+09,1.32716e+11,1.77199e+11,2.4092e+10,1.7237e+10,1.45e+09,5.405e+09,1.7e+08,2.588e+09,2.588e+09,2.685e+10,1.0449e+10,1.0143e+10,3.6935e+10,4.7384e+10,7.4234e+10,1.6287e+10,-2.5888e+10,1.15784e+11,-3.94e+09,1.02243e+11,7.22e+08,1.02965e+11,1.77199e+11,3.792e+09,3.401e+09,1.042e+09,1.77e+08,8.65e+08,-2.53e+08,2e+07,-2.73e+08,7.982e+09,-5.439e+09,-5.589e+09,2.82e+08,-5.307e+09,-1.439e+09,2.18e+08,-2.5e+07,-1.246e+09,1.429e+09,1.429e+09,1.7e+08,1.599e+09,9.119e+09,1.0619e+10,6.508e+09,0.31468,0.11777,0.0776,0.03659,0.02126,1.72718,1.65672,0.72096,0.05993,1.88613,1.87761,24.30442,51.17923,3.25767,0.72031,18.1257572518133,0.03459,0.04324,0.3819,-0.04847,-0.0773
"4","2011_Q1",61.8279032258065,"Up",5.1852e+10,-3.5452e+10,1.64e+10,-9.805e+09,-1.408e+09,-3.439e+09,-4.958e+09,6.595e+09,2.171e+09,1.51e+09,6.65e+08,8.766e+09,8.766e+09,-3.446e+09,5.32e+09,5.32e+09,-2.5e+07,5.295e+09,5.295e+09,1.4215e+10,1.406e+10,1.55e+08,2.0759e+10,5.493e+09,5.493e+09,8.374e+09,5.519e+09,4.8841e+10,1.04504e+11,2.07367e+11,-1.02863e+11,2.3597e+10,2.152e+10,2.077e+09,7.827e+09,4.617e+09,3.21e+09,1.35928e+11,1.84769e+11,2.6049e+10,1.9259e+10,1.466e+09,5.324e+09,1.87e+08,2.776e+09,2.776e+09,2.9012e+10,1.1289e+10,1.1003e+10,3.8657e+10,4.9946e+10,7.8958e+10,1.6317e+10,-2.6411e+10,1.19641e+11,-4.466e+09,1.05081e+11,7.3e+08,1.05811e+11,1.84769e+11,5.32e+09,3.439e+09,-1.95e+08,6.19e+08,-8.14e+08,-3.12e+08,3.5e+07,-3.47e+08,8.252e+09,-4.052e+09,-5.504e+09,1.4e+07,-4.024e+09,-1.436e+09,2.57e+08,-1.6e+07,-1.195e+09,3.033e+09,3.033e+09,3.2e+07,3.065e+09,1.0034e+10,1.1476e+10,9.116e+09,0.31628,0.12719,0.10212,0.05004,0.02866,1.72162,1.68348,0.74622,0.06211,2.64899,2.63306,25.94063,52.57015,4.56057,0.71841,8,0.04316,0.05846,0.2712,-0.27297,-0.41531
"5","2011_Q2",65.4396825396825,"Up",5.8412e+10,-4.0264e+10,1.8148e+10,-8.955e+09,-1.1e+09,-3.126e+09,-4.729e+09,9.193e+09,1.929e+09,1.687e+09,2.42e+08,1.1122e+10,1.1122e+10,-4.883e+09,6.239e+09,6.239e+09,-2.8e+07,6.211e+09,6.211e+09,1.3294e+10,1.3149e+10,1.45e+08,2.2078e+10,6.232e+09,6.232e+09,9.247e+09,5.667e+09,5.0851e+10,1.11075e+11,2.1556e+11,-1.04485e+11,2.4074e+10,2.2003e+10,2.071e+09,8.736e+09,4.655e+09,4.081e+09,1.43885e+11,1.94736e+11,2.739e+10,2.1011e+10,1.463e+09,4.916e+09,1.817e+09,4.106e+09,4.106e+09,3.3313e+10,9.758e+09,9.484e+09,4.0815e+10,5.0573e+10,8.3886e+10,1.6464e+10,-2.6528e+10,1.24417e+11,-4.253e+09,1.101e+11,7.5e+08,1.1085e+11,1.94736e+11,6.239e+09,3.126e+09,4.69e+08,7.3e+07,3.96e+08,-2e+07,7e+06,-2.7e+07,9.814e+09,-4.361e+09,-4.645e+09,-7.03e+08,-8.347e+09,-1.436e+09,-9.76e+08,-1.3e+07,-2.425e+09,-9.58e+08,-9.58e+08,4.7e+07,-9.11e+08,1.2319e+10,1.1575e+10,1.2821e+10,0.31069,0.15738,0.10633,0.05603,0.03189,2.06424,1.52646,0.75675,0.05944,3.1137,3.09223,29.28309,55.1953,6.42742,0.7199,5.04141424939557,0.04685,0.07854,0.2312,-0.13954,-0.18699
"6","2011_Q3",63.24890625,"Down",6.6671e+10,-4.6019e+10,2.0652e+10,-9.722e+09,-1.2e+09,-3.257e+09,-5.265e+09,1.093e+10,2.277e+09,1.882e+09,3.95e+08,1.3207e+10,1.3207e+10,-5.447e+09,7.76e+09,7.76e+09,-2.8e+07,7.732e+09,7.732e+09,1.3556e+10,1.3335e+10,2.21e+08,2.3613e+10,7.286e+09,7.286e+09,9.551e+09,5.143e+09,5.4006e+10,1.14754e+11,2.20107e+11,-1.05353e+11,2.3838e+10,2.1724e+10,2.114e+09,9.119e+09,4.654e+09,4.465e+09,1.47711e+11,2.01717e+11,2.922e+10,2.2764e+10,1.55e+09,4.906e+09,1.902e+09,4.098e+09,4.098e+09,3.522e+10,9.618e+09,9.484e+09,4.0449e+10,5.0067e+10,8.5287e+10,1.656e+10,-2.7382e+10,1.30592e+11,-4.117e+09,1.15653e+11,7.77e+08,1.1643e+11,2.01717e+11,7.76e+09,3.257e+09,3.52e+08,2.75e+08,76999999.9999998,-6.79e+08,-3.9e+07,-6.4e+08,1.069e+10,-7.431e+09,-7.773e+09,-4.56e+08,-8.074e+09,-1.556e+09,-8.88e+08,-1.5e+07,-2.459e+09,1.57e+08,1.57e+08,2.9e+07,1.86e+08,1.4187e+10,1.152e+10,1.1524e+10,0.30976,0.16394,0.11597,0.06641,0.03833,1.49043,1.53339,0.73252,0.05711,3.87763,3.84868,33.43576,58.00041,5.77933,0.78034,6,0.05515,0.06843,0.20124,-0.14351,-0.18628
"7","2011_Q4",65.4866666666667,"Up",6.1261e+10,-4.2978e+10,1.8283e+10,-8.114e+09,-1.115e+09,-3.215e+09,-3.784e+09,1.0169e+10,3.171e+09,2.227e+09,9.44e+08,1.334e+10,1.334e+10,-5.483e+09,7.857e+09,7.857e+09,-2.8e+07,7.829e+09,7.829e+09,1.4477e+10,1.4229e+10,2.48e+08,2.0878e+10,6.072e+09,6.072e+09,1.1598e+10,5.74e+09,5.3025e+10,1.18377e+11,2.26536e+11,-1.08159e+11,2.4535e+10,2.241e+10,2.125e+09,8.162e+09,4.654e+09,3.508e+09,1.51074e+11,2.04099e+11,2.7229e+10,2.0746e+10,1.117e+09,5.366e+09,2.45e+08,4.864e+09,4.864e+09,3.2338e+10,9.498e+09,9.384e+09,4.0587e+10,5.0085e+10,8.2423e+10,1.6643e+10,-2.8559e+10,1.36873e+11,-4.066e+09,1.20891e+11,7.85e+08,1.21676e+11,2.04099e+11,7.857e+09,3.215e+09,-4.46e+08,8.62e+08,-1.308e+09,8.96e+08,-1.1e+07,9.07e+08,1.1522e+10,-4.725e+09,-6.775e+09,-1.313e+09,-6.06e+09,-1.549e+09,-2.932e+09,-2.8e+07,-4.509e+09,9.53e+08,9.53e+08,-5.9e+07,8.94e+08,1.3384e+10,9.743e+09,1.5038e+10,0.29844,0.16599,0.1278,0.06434,0.03836,1.92081,1.63971,0.6774,0.04774,3.94479,3.91732,30.86752,60.91322,7.57718,0.78049,7,0.05452,0.08743,0.19785,-0.35371,-0.46553
"8","2012_Q1",69.6359677419355,"Up",5.8027e+10,-4.2311e+10,1.5716e+10,-7.709e+09,-1.33e+09,-3.313e+09,-3.066e+09,8.007e+09,1.958e+09,1.567e+09,3.91e+08,9.965e+09,9.965e+09,-4.813e+09,5.152e+09,5.152e+09,-2.9e+07,5.123e+09,5.123e+09,1.6113e+10,1.5864e+10,2.49e+08,2.1793e+10,5.543e+09,5.543e+09,9.785e+09,5.827e+09,5.3234e+10,1.22608e+11,2.33432e+11,-1.10824e+11,2.5101e+10,2.2868e+10,2.233e+09,8.531e+09,4.642e+09,3.889e+09,1.5624e+11,2.09474e+11,2.8676e+10,2.2147e+10,1.242e+09,5.287e+09,3.4e+08,4.584e+09,4.584e+09,3.36e+10,9.812e+09,9.684e+09,4.3881e+10,5.3693e+10,8.7293e+10,1.669e+10,-2.9685e+10,1.40399e+11,-6.022e+09,1.21382e+11,7.99e+08,1.22181e+11,2.09474e+11,5.152e+09,3.313e+09,-2.41e+08,3.79e+08,-6.2e+08,8.45e+08,-1.07e+08,9.52e+08,9.069e+09,-6.466e+09,-7.307e+09,1.452e+09,-5.008e+09,-1.595e+09,-7.66e+08,-1.5e+07,-2.376e+09,1.685e+09,1.685e+09,-5e+07,1.635e+09,1.132e+10,1.0152e+10,1.0512e+10,0.27084,0.13799,0.08829,0.04193,0.02446,2.05192,1.58435,0.71446,0.04846,2.59969,2.57715,29.44608,61.59587,5.33436,0.80939,5,0.03812,0.05965,0.31134,-0.52659,-0.74447
"9","2012_Q2",66.6106349206349,"Down",5.8896e+10,-4.1236e+10,1.766e+10,-7.4e+09,-9.4e+08,-3.205e+09,-3.255e+09,1.026e+10,1.809e+09,1.709e+09,1e+08,1.2069e+10,1.2069e+10,-5.57e+09,6.499e+09,6.499e+09,-2.8e+07,6.471e+09,6.471e+09,1.911e+10,1.8871e+10,2.39e+08,2.2005e+10,7.347e+09,7.347e+09,6.76e+09,6.102e+09,5.5222e+10,1.24798e+11,2.38064e+11,-1.13266e+11,2.548e+10,2.3226e+10,2.254e+09,9.39e+09,4.641e+09,4.749e+09,1.59668e+11,2.1489e+11,2.8788e+10,2.2951e+10,1.217e+09,4.62e+09,3.96e+08,5.073e+09,5.073e+09,3.4257e+10,8.879e+09,8.765e+09,4.5428e+10,5.4307e+10,8.8564e+10,1.6805e+10,-3.0701e+10,1.45278e+11,-5.875e+09,1.25507e+11,8.19e+08,1.26326e+11,2.1489e+11,6.499e+09,3.205e+09,1.755e+09,4.91e+08,1.264e+09,-3.072e+09,-1.5e+07,-3.057e+09,8.387e+09,-5.467e+09,-5.895e+09,3.483e+09,-1.973e+09,-1.59e+09,-1.863e+09,-8e+06,-3.461e+09,2.953e+09,2.953e+09,5.4e+07,3.007e+09,1.3465e+10,9.275e+09,1.0496e+10,0.29985,0.17421,0.10987,0.05122,0.03011,1.62201,1.61199,0.70107,0.04316,3.29504,3.2702,29.98989,63.90826,5.34457,0.80963,6,0.04453,0.05798,0.24571,-0.73041,-0.95858
"10","2012_Q3",73.3277777777778,"Up",5.978e+10,-4.2192e+10,1.7588e+10,-8.061e+09,-1.25e+09,-3.284e+09,-3.527e+09,9.527e+09,2.828e+09,2.091e+09,7.37e+08,1.2355e+10,1.2355e+10,-5.123e+09,7.232e+09,7.232e+09,-2.2e+07,7.21e+09,7.21e+09,2.1455e+10,2.1209e+10,2.46e+08,2.0711e+10,7.186e+09,7.186e+09,6.656e+09,6.648e+09,5.6008e+10,1.29047e+11,2.46076e+11,-1.17029e+11,2.5433e+10,2.3073e+10,2.36e+09,8.891e+09,4.641e+09,4.25e+09,1.63371e+11,2.19379e+11,2.8322e+10,2.1958e+10,1.237e+09,5.127e+09,3.59e+08,3.975e+09,3.975e+09,3.2656e+10,9.872e+09,9.765e+09,4.5562e+10,5.5434e+10,8.809e+10,1.6872e+10,-3.1871e+10,1.50728e+11,-5.732e+09,1.29997e+11,1.292e+09,1.31289e+11,2.19379e+11,7.232e+09,3.284e+09,-1.239e+09,5.03e+08,-1.742e+09,6.38e+08,-1.25e+08,763000000.000001,9.915e+09,-6.342e+09,-7.067e+09,8.36e+08,-5.506e+09,-1.758e+09,-2.04e+08,-3e+06,-1.965e+09,2.444e+09,2.444e+09,-1.06e+08,2.338e+09,1.2811e+10,1.0231e+10,1.223e+10,0.29421,0.15937,0.12061,0.05492,0.03287,1.69626,1.71509,0.67096,0.04664,3.68959,3.66363,30.59135,66.52365,6.25849,0.89963,6,0.04794,0.06537,0.24383,-0.87612,-1.17813
