"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",15.3338095238095,"Up",6026330,-4375798,1650532,-692709,-692709,957823,91872,16824,75048,1049695,1049695,-296156,753539,753539,753539,753539,-53772409.0081614,-57822908.9772367,4050499.96907533,19149291.8407807,19149291.8407807,-2743195.86859153,-5021698.72908561,-1890783.85312438,-42388011.7650578,4275446.16658774,4413630.14512783,-37974381.61993,-2996699.18665562,-4286646.9172033,1289947.67854511,-262635.558728715,-262635.558728715,-3259334.74538434,340527.444283647,340527.444283647,340527.444283647,-2918807.30110069,14442279.6520664,-10246947.9417599,-37248639.5497304,-2002266.47940536,-35055574.3188293,-35055574.3188293,-37974381.61993,753539,113645,128037,444159,1439380,-107247,2350000,2247353,-481800,-385571,3301162,3301162,3301162,1071468,0,1704536,0.27389,0.15894,0.12504,0.532942572161499,0.480297654070169,2.26204,7.30309154281154,0.134047801219565,0,0.35188,0.34989,2.81414,-16.2196070871986,0.79597,0.22499,3.57566945536409,0.292915809060056,0.63938,123.393794476842,139.186244688568
"2","2011_Q3",14.5521875,"Down",6581342,-4956543,1624799,-743774,-743774,881025,23123,13485,9637.99999999999,904148,904148,-254401,649747,649747,649747,649747,-17087215.0040807,-19408273.9886184,2321058.98453766,12443826.9203903,12443826.9203903,4743551.56570423,-1810855.8645428,-608409.426562188,-1710692.38252891,3426839.58329387,3555143.07256391,1844450.690035,-231898.093327812,-1157094.45860165,925196.339272554,621780.720635642,621780.720635642,389882.62730783,314611.222141823,314611.222141823,314611.222141823,704493.849449653,15070240.8260332,-8719092.47087996,-3069219.27486521,-2141972.23970268,1139956.84058535,1139956.84058535,1844450.690035,649747,115122,128101,947481,1840451,-436366,864000,434580,-2633672,-2628855,-353824,-353824,-353824,996147,0,1761663,0.24688,0.13387,0.09873,0.27384628608075,0.246583827035084,2.71131,8.35226077140577,0.126473900609783,0,0.30189,0.29729,3.05786,0.60112145640068,0.81851,1.22367,1.56736472768204,0.166512904530028,4.05338,53.2912422384209,60.3243723442841
"3","2011_Q4",14.4185714285714,"Down",7005795,-4958639,2047156,-663544,-663544,1383612,26664,13616,13048,1410276,1410276,-398245,1012031,1012031,1012031,1012031,3184791.99863977,1439443.67046055,1745348.32817922,8399034.97346345,8399034.97346345,8861740.18856808,-89506.6215142676,24066.8578126039,20356060.539157,2934818.52776462,3053161.3575213,23409221.8966783,1236486.96889073,643301.180466116,593185.779757518,1042908.57354521,1042908.57354521,2279395.54243594,291345.074047274,291345.074047274,291345.074047274,2570740.61648322,15463648.9420111,-7871949.82362666,15478706.5750449,-2231924.41323423,20838481.2801951,20838481.2801951,23409221.8966783,1012031,120956,177004,-782572,527419,-46890,1056000,890764,-483117,-868953,549230,549230,549230,1504568,0,1073351,0.29221,0.1975,0.14446,0.121998762026917,0.109741275678361,1.06059,9.23720025713526,0.118661300203261,0,0.46913,0.46394,3.24752,9.72052381880023,0.49755,0.22395,0.485308242560681,0.098470968176676,0.47737,12.9970607461403,14.9887341147614
"4","2012_Q1",15.0851612903226,"Up",9886037,-7002325,2883712,-805889,-805889,2077823,-60400,12229,-72629,2017423,2017423,-575203,1442220,1442220,1442220,1442220,11642025,9695811,1946214,6266765,6266765,10579060,569457,208904,29057307,2703014,2811317,31868624,1775538,1453707,321831,1157338,1157338,2932876,270729,270729,270729,3203605,15684147,-7523282,22780026,-2275872,28665019,28665019,31868624,1442220,117573,236731,-690325,1106199,38052,894968,943063,-481903,-325085,1724177,1724177,1724177,2195396,0,2118326,0.2917,0.21018,0.14588,0.05031,0.04526,1.4688,9.90744,0.11176,0,0.66931,0.66016,4.58795,13.30298,0.98308,0.22364,0.0665,0.07321,0.33414,-5.30293,-5.60299
"5","2012_Q2",15.9852380952381,"Up",7993927,-5992119,2001808,-742867,-742867,1258941,37050,10167,26883,1295991,1295991,-369087,926904,926904,926904,926904,12882897,10336395,2546502,5298866,5298866,10863201,593143,148361,29638107,2635057,2733242,32371349,1752337,1613290,139047,1121659,1121659,2873996,252763,252763,252763,3126759,15793378,-7490851,23219627,-2277564,29244590,29244590,32371349,926904,108248,78808,520813,1634773,-40370,-601980,-632232,-487303,-361957,640584,640584,640584,1367189,0,2216719,0.25042,0.15749,0.11595,0.03169,0.02863,2.39153,10.31251,0.10692,0,0.42829,0.42207,3.69371,13.51287,1.02427,0.22517,0.04794,0.07515,0.52573,-9.42291,-10.23312
"6","2012_Q3",17.9028571428571,"Up",8265754,-6083894,2181860,-690825,-690825,1491035,2522,13303,-10781,1493557,1493557,-422694,1070863,1070863,1070863,1070863,11922563,8736132,3186431,4615864,4615864,10823954,465551,85609,27827932,2629786,2717776,30545708,1643802,1509924,133878,1056775,1056775,2700577,234797,234797,234797,2935374,15833745,-7582647,21634946,-2275710,27610334,27610334,30545708,1070863,106794,139474,565636,1882767,-122068,-638075,-749948,-2655544,-2733082,-1600263,-1600263,-1600263,1597829,0,2464091,0.26396,0.18039,0.12955,0.03878,0.03506,2.30103,10.30444,0.10631,0,0.49289,0.48662,3.80454,12.70843,1.13417,1.22229,0.13383,0.08849,2.47982,-7.46173,-7.99617
"7","2012_Q4",17.2983870967742,"Down",7661946,-5257556,2404390,-663625,-663625,1740765,21418,13926,7492,1762183,1762183,-499320,1262863,1262863,1262863,1262863,13359436,9870589,3488847,3469608,3469608,11429009,613789,222907,28871842,2590832,2668551,31540393,1817015,1482776,334239,1119276,1119276,2936291,216831,216831,216831,3153122,15866891,-7616432,22410871,-2274059,28387271,28387271,31540393,1262863,106102,122737,514721,2006423,-67821,-300765,-358315,-486938,-513651,1134457,1134457,1134457,1846867,0,2793087,0.31381,0.2272,0.16482,0.04449,0.04004,2.21171,9.83276,0.11108,0,0.58073,0.575,3.52339,13.05404,1.28442,0.22392,0.06117,0.09765,0.38558,-7.23357,-7.67446
"8","2013_Q1",17.5143333333333,"Up",8115730,-5883625,2232105,-731092,-731092,1501013,28712,11958,16754,1529725,1529725,-400087,1129638,1129638,1129638,1129638,14708135,11523424,3184711,3217875,3217875,11645706,623320,200322,30195036,2523196,2590567,32785603,1427519,1309037,118482,1568132,1568132,2995651,222504,222504,222504,3218155,16103470,-7616432,23053762,-1973352,29567448,29567448,32785603,1129638,105245,134248,493232,1862363,-37724,304595,277219,-486747,-486747,1652835,1652835,1652835,1606258,0,2461853,0.27503,0.18495,0.13919,0.03821,0.03446,2.17933,10.07962,0.10884,0,0.51843,0.50903,3.72459,13.56954,1.12983,0.22339,0.05426,0.08264,0.43089,-9.15677,-9.79881
"9","2013_Q2",17.43359375,"Down",7891877,-5409684,2482193,-722589,-722589,1759604,15754,10905,4849,1775358,1775358,-494640,1280718,1280718,1280718,1280718,14285493,10978191,3307302,4189427,4189427,11913149,651917,170141,31039986,2485556,2542501,33582487,1560868,1401289,159579,1329338,1329338,2890206,208509,208509,208509,3098715,16232756,-7618150,23842235,-1973069,30483772,30483772,33582487,1280718,104539,134572,-1483504,36325,-72187,-122155,-183916,-492245,-397642,-545233,-545233,-545233,1864143,0,803092,0.31453,0.22296,0.16228,0.04201,0.03814,0.62706,10.73971,0.10165,0,0.58576,0.57319,3.60949,13.9423,0.36731,0.22514,0.05777,0.02617,0.38435,-7.6633,-8.11858
"10","2013_Q3",18.83890625,"Up",8052447,-5907939,2144508,-687108,-687108,1457400,17166,7510,9656,1474566,1474566,-402790,1071776,1071776,1071776,1071776,11866242,8165231,3701011,4824571,4824571,11929339,775080,101868,29395232,2472374,2518814,31914046,1171463,1055071,116392,1367829,1367829,2539292,195126,195126,195126,2734418,16451910,-7454800,22154165,-1971647,29179628,29179628,31914046,1071776,104532,122183,-1234090,64401.0000000002,-91597,-391521,-472613,-2759846,-2404748,-2812960,-2812960,-2812960,1561932,0,639035,0.26632,0.18099,0.1331,0.03673,0.03358,0.59624,11.57615,0.09371,0,0.48692,0.47874,3.65831,13.2566,0.29032,1.25383,0.13044,0.02175,2.57502,-7.59716,-8.14206
