"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q4",14.13890625,"Up",183712000,-163994000,19718000,-8337000,-8337000,11381000,1220000,727000,493000,12601000,12601000,-2204000,10397000,10397000,10397000,10397000,95295756.6427939,48048704.5264564,71497269.8032619,71497269.8032619,99213402.5898602,62279505.4645991,-663470.470065201,63478258.8494056,328285934.500515,102793506.243725,-6424430.68421464,18380847.9791325,96369075.5595105,424655010.060026,77725311.2605428,41433874.3894102,43981540.7900565,77725311.2605505,70997862.3721754,40843517.7932229,30154344.5789525,70997862.3724288,148723173.632979,325577012.906493,-103948337.201422,275931836.427024,275931836.427046,424655010.060026,2102000,-2671000,4829000,-4282000,0,-4267000,2664000,2664000,0,2664000,0,0.10733,0.06195,0.05659,-0.139958517510879,-0.111267304060012,4.00175264684658,0.466235556187895,1.59236716397161e-13,0.38934,0.38811,6.87957,12.0068084032255,0.16035,-0.11319809626525,0.41185,-66.722536151261
"2","2011_Q1",15.5964516129032,"Up",191030000,-162031000,28999000,-6399000,-6399000,22600000,1099000,196000,903000,23699000,22546000,-288000.000000001,22258000,22258000,22258000,22258000,151553000,129631000,116726000,116726000,74897000,38436000,1221000,28747000,381612000,167207000,23623000,19123000,190830000,572442000,70538000,30230000,40308000,70538000,88422000,58541000,29881000,88422000,158960000,407529000,-55722000,413482000,413482000,572442000,23531000,-3716000,1362000,-4291000,0,-1858000,23035000,23035000,0,23035000,0,0.1518,0.11831,0.11652,0.05383,0.03888,5.41002,0.38444,0,0.83351,0.83086,7.15361,15.4839,0.16069,0.0529,0.19278,-6.70588
"3","2011_Q2",16.7785714285714,"Up",189534000,-172657000,16877000,-6692000,-6692000,10185000,982000,291000,691000,11167000,11167000,-3113000,8054000,8054000,8054000,8054000,160713747.785735,151434265.157848,134498660.065579,134498660.065579,72510865.8033799,32184831.5118003,2358406.82335507,18545247.0501981,399908105.166495,181604497.918758,28513476.8947382,18387717.3402892,210117974.813497,610026079.979991,66773562.9131524,25151875.2035299,39307486.4033145,66773562.9131498,92194545.8759415,62759577.402259,29434968.4736825,92194545.875857,158968108.789007,429359412.364502,-43994554.2661926,451057971.190992,451057971.190985,610026079.979991,32598000,-4098000,-1128000,-4319000,245241.441055307,-2797000,28673000,28673000,0,28673000,0,0.08904,0.05374,0.04249,0.0841745058369598,0.063085768020004,6.00088578438447,0.354440647937368,-5.30789054657202e-14,0.3016,0.30065,7.09759,16.3109638655915,0.16174,0.07917936542175,0.53626,3.94348788375365
"4","2011_Q3",13.45796875,"Down",208734000,-189187000,19547000,-6354000,-6354000,13193000,792000,358000,434000,13985000,13645000,1055000,14700000,14700000,14700000,14700000,149611000,144474000,134670000,134670000,79919000,34525000,2980000,21226000,398725000,167767000,22312000,17518000,190079000,588804000,65676000,24369000,39812000,65676000,86907000,57747000,29160000,86907000,152583000,421618000,-52861000,436221000,436221000,588804000,-23282000,-5382000,10706000,-4346000,273000,-1254000,-13830000,-13830000,7.27595761418343e-12,-13830000,0,0.09365,0.0632,0.07042,0.0337,0.02497,6.07109,0.34978,0,0.53336,0.53336,7.57353,15.82747,0.15769,0.03641,0.29565,-11.34018
"5","2011_Q4",12.5828571428571,"Down",207057000,-194482000,12575000,-6607000,-6607000,5968000,-844000,247000,-1091000,5124000,5124000,-896000,4228000,4228000,4228000,4228000,152193000,147067000,126445000,126445000,81745000,34790000,3823000,22944000,395173000,148689000,22949000,18207000,171638000,566811000,66524000,26295000,40229000,66524000,75894000,46282000,29612000,75894000,142418000,421500000,-65233000,424393000,424393000,566811000,11972000,-4255000,-4652000,-4346000,-51000,-4300000,3020000,3020000,-427000,2593000,0,0.06073,0.02882,0.02042,0.00996,0.00746,5.94031,0.33558,0,0.15569,0.155,7.62472,15.62796,0.16004,0.01714,1.02791,-25.50151
"6","2012_Q1",14.1187096774194,"Up",216847000,-198786000,18061000,-6235000,-6235000,11826000,1161000,205000,956000,12987000,11990000,28197000,40187000,40187000,40187000,40187000,192921000,187795000,119895000,119895000,66933000,24534000,4950000,12785000,404283000,145747000,43201000,21681000,188948000,593231000,68550000,29018000,39532000,68550000,64166000,33102000,31064000,64166000,132716000,457340000,-65600000,460515000,460515000,593231000,46372000,-1567000,-1245000,-4347000,81000,-4158000,40969000,40969000,-241000,40728000,2.71050543121376e-20,0.08329,0.05454,0.18532,0.08727,0.06774,5.89764,0.28819,0,1.48062,1.48062,7.98935,16.96688,0.16016,0.08488,0.10817,-16.31329
"7","2012_Q2",13.2592063492063,"Down",202457000,-185349000,17108000,-6885000,-6885000,10223000,641000,3e+05,341000,10864000,10864000,-4131000,6733000,6733000,6733000,6733000,197956000,193157000,127142000,127142000,69126000,20824000,1993000,11332000,415048000,150182000,41726000,22983000,191908000,606956000,72649000,30795000,41854000,72649000,68179000,37222000,30957000,68179000,140828000,459724000,-63223000,466128000,466128000,606956000,9981000,-4288000,-3905000,-4347000,96013.8948023603,-2254000,3822000,3822000,1540000,5362000,0,0.0845,0.05049,0.03326,0.01444,0.01109,5.71306,0.30212,0,0.24781,0.24639,7.45149,17.15598,0.15999,0.02074,0.64563,-19.36379
"8","2012_Q3",13.4587301587302,"Up",215053000,-199337000,15716000,-7490000,-7490000,8226000,212000,216000,-4000,8438000,8438000,-2024000,6414000,6414000,6414000,6414000,212285000,207494000,128529000,128529000,67211000,18773000,3669000,7963000,426798000,142237000,38822000,22550000,181059000,607857000,82155000,38984000,43171000,82155000,60352000,29212000,31140000,60352000,142507000,461782000,-66625000,465350000,465350000,607857000,24583000,-4373000,-4182000,-4356000,0,-4306000,16095000,16095000,-1758000,14337000,0,0.07308,0.03825,0.02983,0.01378,0.01055,5.19503,0.30624,0,0.23572,0.23495,7.90345,17.10217,0.16009,0.02049,0.67914,-25.80659
"9","2012_Q4",14.1953225806452,"Up",193926000,-178906000,15020000,-5960000,-5960000,9060000,823000,357000,466000,9883000,9883000,5174000,15057000,15057000,15057000,15057000,219905000,214894000,120743000,120743000,66546000,18410000,1903000,10994000,425604000,147097000,32803000,27694000,179900000,605504000,79558000,36024000,43534000,79558000,42950000,9744000,33206000,42950000,122508000,472478000,-60484000,482996000,482996000,605504000,13592000,-3543000,-4251000,-4360000,0,-3967000,5374000,5374000,2026000,7400000,0,0.07745,0.04672,0.07764,0.03117,0.02487,5.34961,0.25364,0,0.55285,0.55128,7.12047,17.73439,0.16009,0.03692,0.28957,-24.27208
"10","2013_Q1",16.3956666666667,"Up",210018000,-197255000,12763000,-7392000,-7392000,5371000,-67000,379000,-446000,5304000,5304000,-2617000,2687000,2687000,2687000,2687000,207334000,203364000,98467000,98467000,71948000,27159000,4925000,14299000,404908000,147544000,47149000,25473000,194693000,599601000,66578000,32400000,34178000,66578000,66118000,30204000,35914000,66118000,132696000,457700000,-62614000,466905000,466905000,599601000,17605000,-8960000,-6194000,-21815000,4000,-22817000,-11406000,-11406000,-124000,-11530000,3.46944695195361e-18,0.06077,0.02557,0.01279,0.00575,0.00448,6.08171,0.2842,6.46234853557053e-27,0.09857,0.09813,7.70397,17.12721,0.80023,0.04597,8.11872,-38.60249
