"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q2",2.70892857142857,"Down",590000,-295000,295000,-1101000,-777000,-269000,-55000,-806000,-30000,-13000,-17000,-836000,-836000,-836000,-836000,-836000,-836000,701000,701000,569000,569000,476000,127000,105000,1873000,41000,1554000,3427000,1034000,744000,290000,70000,1104000,330000,330000,1434000,120010000,-118089000,72000,1993000,1993000,3427000,-836000,55000,197000,62000,-522000,1000,0,0,1000,-547000,-547000,0,-547000,-751000,0,0.5,-1.3661,-1.41695,-0.41947,-0.24395,1.69656,0.71952,0,-0.1562,-0.1562,0.11024,0.37238,-0.35988,0.93342,0.86973
"2","2016_Q3",3.2408064516129,"Up",509000,-212000,297000,-1115000,-805000,-254000,-56000,-818000,-17000,-28000,11000,-835000,-835000,-835000,-835000,-835000,-835000,1602000,1602000,346000,346000,413000,93000,67000,2454000,84000,1541000,3995000,1148000,838000,310000,70000,1218000,313000,1104000,2322000,120526000,-118924000,71000,1673000,1673000,3995000,-835000,56000,128000,379000,-272000,1187000,0,0,1187000,901000,901000,0,901000,-762000,791000,0.5835,-1.60707,-1.64047,-0.4991,-0.20901,2.01478,1.38793,0.198,-0.15482,-0.15482,0.09437,0.31019,-0.30068,1.0643,0.99144
"3","2016_Q4",3.01028571428571,"Down",476000,-160000,316000,-952000,-652000,-240000,-60000,-636000,-70000,-64000,-6000,-706000,-706000,-706000,-706000,-706000,-706000,807000,807000,311000,311000,341000,73000,51000,1532000,77000,1478000,3010000,614000,444000,170000,70000,684000,295000,1109000,1793000,120775000,-119630000,72000,1217000,1217000,3010000,-706000,60000,257000,-401000,-790000,0,0,0,0,-795000,-795000,0,-795000,-576000,814000,0.66387,-1.33613,-1.48319,-0.58012,-0.23455,2.23977,1.47329,0.27043,-0.13025,-0.13025,0.08782,0.22453,-0.30353,-0.01215,-0.01101
"4","2017_Q1",3.90161290322581,"Up",745000,-359000,386000,-995000,-620000,-316000,-59000,-609000,-46000,-62000,16000,-655000,-655000,-655000,-655000,-655000,-655000,275000,275000,388000,388000,479000,122000,95000,1264000,70000,1414000,2678000,825000,585000,240000,70000,895000,278000,1116000,2011000,120885000,-120285000,67000,667000,667000,2678000,-655000,59000,126000,-58000.0000000001,-528000,0,-5.82076609134674e-11,-5.82076609134674e-11,0,-528000,-528000,-4000,-532000,-550000,838000,0.51812,-0.81745,-0.87919,-0.98201,-0.24459,1.41229,3.01499,0.31292,-0.12074,-0.12074,0.13733,0.12296,-0.36736,-1.02364,-0.92447
"5","2017_Q2",2.69793650793651,"Down",734000,-279000,455000,-1060000,-770000,-231000,-59000,-605000,-75000,-65000,-10000,-680000,-680000,-680000,-680000,-680000,-680000,803000,803000,582000,582000,401000,142000,121000,1928000,63000,1351000,3279000,710000,361000,349000,70000,780000,261000,1125000,1905000,122283000,-120977000,68000,1374000,1374000,3279000,-680000,59000,229000,-267000,-659000,0,1187000,1187000,1187000,528000,528000,0,528000,-546000,864000,0.61989,-0.82425,-0.92643,-0.49491,-0.20738,2.47179,1.38646,0.26349,-0.1234,-0.1234,0.13319,0.24933,-0.27211,-0.11172,-0.10083
"6","2017_Q3",2.25857142857143,"Down",859000,-342000,517000,-1217000,-881000,-276000,-60000,-7e+05,-86000,-63000,-23000,-786000,-786000,-786000,-786000,-786000,-786000,301000,301000,584000,584000,603000,65000,50000,1553000,56000,1288000,2841000,853000,513000,340000,70000,923000,243000,1135000,2058000,122471000,-121763000,75000,783000,783000,2841000,-786000,60000,235000,-7999.99999999994,-499000,-2.91038304567337e-11,-8000,-8000,-7999.99999999953,-507000,-507000,5000,-502000,-640000,892000,0.60186,-0.8149,-0.91502,-1.00383,-0.27666,1.68256,2.62835,0.31397,-0.13187,-0.13187,0.14412,0.13137,-0.4098,-0.92344,-0.84429
"7","2017_Q4",4.12825396825397,"Up",916000,-384000,532000,-1050000,-754000,-237000,-59000,-518000,-114000,-87000,-27000,-632000,-632000,-632000,-632000,-632000,-632000,150000,150000,751000,751000,581000,127000,107000,1609000,49000,1215000,2824000,779000,436000,343000,70000,1412000,225000,1147000,2559000,122584000,-122395000,76000,265000,265000,2824000,-632000,59000,144000,-284000,-713000,563000,0,0,563000,-150000,-150000,-1000,-151000,-459000,1485000,0.58079,-0.5655,-0.68996,-2.38491,-0.2238,1.13952,9.6566,0.52585,-0.10501,-0.10501,0.1522,0.04403,-0.32,-2.9085,-2.57722
"8","2018_Q1",4.21688524590164,"Up",1300000,-512000,788000,-1191000,-893000,-258000,-40000,-403000,-97000,-83000,-14000,-5e+05,-5e+05,1289000,1289000,1289000,1289000,2194000,2194000,836000,836000,674000,105000,85000,3809000,52000,1174000,4983000,1090000,872000,218000,781000,1871000,208000,1162000,3033000,122979000,-121106000,77000,1950000,1950000,4983000,1289000,40000,299000,166000,1794000,248000,5.82076609134674e-11,5.82076609134674e-11,248000,2042000,2042000,2000,2044000,-363000,954000,0.60615,-0.31,0.99154,0.66103,0.25868,2.03581,1.55538,0.19145,0.21358,0.21358,0.2154,0.3231,0.4142,3.41598,3.07692
"9","2018_Q2",5.17890625,"Up",985000,-518000,467000,-1590000,-1260000,-289000,-41000,-1123000,-107000,-85000,-22000,-1230000,-1429000,-1429000,-1429000,-1429000,-1429000,1819000,1819000,678000,678000,928000,89000,63000,3514000,35000,1118000,4632000,1397000,1069000,328000,150000,1731000,0,1003000,2734000,124075000,-122257000,80000,1898000,1898000,4632000,-1429000,41000,542000,177000,-669000,-561000,854000,854000,293000,-376000,-376000,1000,-375000,-1082000,1187000,0.47411,-1.1401,-1.45076,-0.7529,-0.30851,2.03004,1.44046,0.25626,-0.23147,-0.23147,0.15955,0.30743,-0.46321,0.5841,0.56278
"10","2018_Q3",5.55412698412698,"Up",1366000,-536000,830000,-1483000,-1091000,-352000,-40000,-653000,-29000,-27000,-2000,-682000,-682000,-682000,-682000,-682000,-682000,3484000,3484000,855000,855000,1352000,80000,49000,5771000,28000,1074000,6845000,1056000,679000,377000,153000,1396000,0,951000,2347000,127363000,-122939000,74000,4498000,4498000,6845000,-682000,40000,218000,-919000,-1343000,92000.0000000001,2924000,2924000,3016000,1673000,1673000,-8000,1665000,-613000,1138000,0.60761,-0.47804,-0.49927,-0.15162,-0.09963,4.13395,0.52179,0.16625,-0.0982299999999999,-0.0982299999999999,0.19674,0.64783,-0.12101,3.82708,3.59265
"11","2018_Q4",5.51241935483871,"Down",1724000,-772000,952000,-1463000,-1069000,-352000,-42000,-511000,-39000,-31000,-8000,-550000,-550000,-550000,-550000,-550000,-566000,5322000,5322000,1508000,1508000,1459000,87000,63000,8376000,20000,1028000,9404000,1086000,562000,524000,163000,1440000,0,897000,2337000,127483000,-123489000,73000,4067000,7067000,9404000,-550000,42000,156000,-770000,-1122000,-40000,3e+06,3e+06,2960000,1838000,1838000,0,1838000,-469000,1088000,0.5522,-0.2964,-0.32831,-0.08009,-0.06019,5.81667,0.33069,0.1157,-0.07932,-0.07932,0.24162,0.56999,-0.06941,9.02772,8.28571
"12","2019_Q1",4.98327868852459,"Down",1612000,-658000,954000,-1683000,-1097000,-546000,-40000,-729000,-28000,-25000,-3000,-757000,-757000,-664000,-664000,-664000,-725000,4581000,4581000,1452000,1452000,1864000,276000,276000,8173000,91000,2385000,10558000,1232000,836000,396000,1186000,2654000,263000,1106000,3760000,127880000,-124153000,71000,3798000,6798000,10558000,-664000,-94000,570000,-340000,-528000,240000,0,0,778000,-741000,-741000,0,-741000,-823000,1079000,0.59181,-0.45223,-0.44975,-0.10665,-0.06867,3.0795,0.5531,0.1022,-0.10165,-0.10165,0.22602,0.53252,-0.08907,4.25516,4.80384
"13","2019_Q2",5.1015873015873,"Up",1769000,-771000,998000,-2309000,-1503000,-756000,-50000,-1311000,-48000,-46000,-2000,-1359000,-1349000,-1349000,-1349000,-1349000,-1408000,3608000,3608000,1249000,1249000,2040000,275000,275000,7172000,97000,2966000,10138000,1542000,1030000,512000,1296000,3110000,637000,1424000,4534000,128038000,-125502000,68000,2604000,5604000,10138000,-1349000,8000,227000,417000,-697000,-137000,0,0,-137000,-971000,-971000,-2000,-973000,-1303000,1059000,0.56416,-0.7411,-0.79593,-0.25125,-0.13888,2.30611,0.80906,0.10446,-0.1975,-0.1975,0.24814,0.36527,-0.19288,1.95625,1.94432
"14","2019_Q3",6.6928125,"Up",2309000,-942000,1367000,-2244000,-1403000,-793000,-48000,-877000,-74000,-46000,-28000,-951000,-942000,-942000,-942000,-942000,-1003000,4318000,4318000,1539000,1539000,2314000,266000,266000,8437000,89000,3577000,12014000,1516000,915000,601000,1244000,3292000,1186000,1916000,5208000,130177000,-126444000,70000,3803000,6806000,12014000,-942000,7999.99999999999,221000,-616000,-1329000,62000,1992000,1992000,2038000,709000,709000,1000,710000,-869000,1262000,0.59203,-0.37982,-0.43439,-0.14737,-0.08349,2.56288,0.76521,0.10504,-0.13572,-0.13572,0.31245,0.51461,-0.10839,3.51669,3.48461
"15","2019_Q4",8.90265625,"Up",3095000,-1276000,1819000,-2608000,-1787000,-777000,-44000,-789000,-49000,-48000,-1000,-838000,-744000,-744000,-744000,-744000,-804000,3855000,3855000,1894000,1894000,2128000,240000,240000,8117000,85000,3437000,11554000,1405000,690000,715000,1233000,3116000,1034000,1716000,4832000,130838000,-127188000,63000,3713000,6722000,11554000,-744000,4000,328000,-202000,-614000,199000,21000,21000,171000,-457000,-457000,-6000,-463000,-785000,1160000,0.58772,-0.25493,-0.25977,-0.11961,-0.06959,2.60494,0.71883,0.1004,-0.10432,-0.10432,0.4016,0.48179,-0.09017,3.43312,3.41572
"16","2020_Q1",8.49322580645161,"Down",3161000,-1261000,1900000,-2234000,-1426000,-764000,-44000,-334000,-78000,-55000,-23000,-412000,-369000,-144000,-144000,-144000,-205000,4166000,4166000,1045000,1045000,2562000,526000,526000,8299000,81000,3330000,11629000,1095000,959000,136000,822000,2428000,899000,1512000,3940000,131942000,-127332000,65000,4675000,7689000,11629000,-144000,4000,989000,-485000,364000,-38000,0,0,-55000,309000,309000,2000,311000,-330000,1124000,0.60108,-0.10566,-0.06485,-0.02666,-0.01763,3.41804,0.51242,0.09665,-0.02581,-0.02581,0.39794,0.58853,-0.02111,9.21818,9.10778
"17","2020_Q2",7.92079365079365,"Down",2529000,-1038000,1491000,-2559000,-1950000,-563000,-46000,-1068000,-72000,-42000,-30000,-1140000,-1098000,-1098000,-1098000,-1098000,-1157000,8962000,8962000,1597000,1597000,3649000,601000,601000,14809000,76000,3485000,18294000,1883000,1575000,308000,807000,3108000,988000,1550000,4658000,138962000,-128430000,64000,10596000,13636000,18294000,-1098000,5000,236000,-983000,-1840000,-122000,6824000,6824000,6639000,4798000,4798000,-2000,4796000,-1063000,980000,0.58956,-0.4223,-0.45749,-0.08485,-0.06324,4.7648,0.3416,0.05357,-0.13469,-0.13469,0.2944,1.23349,-0.07415,7.50894,7.47378
