"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","other_adjustments","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","investment_securities_available_for_sale","other_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","securities_sold_under_repo","short_term_borrowings","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","net_change_in_operating_loans","accrued_interest_payable","other_operating_assets_liabilities","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","decrease_in_investments","increase_in_investments","net_change_in_loans_interbank","net_change_in_other_loans","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",35.33,"Up",4.289e+09,3.228e+09,4.03e+09,-8.02e+08,1.061e+09,1.092e+09,-1.478e+09,2.811e+09,-1.723e+09,-1.723e+09,1.088e+09,1.088e+09,9.64e+08,-2.44e+08,7.2e+08,-8.4e+07,-8.4e+07,6.36e+08,6.36e+08,-21188358.4292942,6.36e+08,2928702000,41742979000,38251017000,3491962000,122362776000,-7751745000,130114521000,2735192000,13589339000,1134751000,11644184000,200707587000,117786559000,104013477000,13773082000,9134292000,1428537491.34808,9134292000,49412354000,176333205000,41141522.4237204,18995904000,5041000,18990863000,-3198257000,8417819000,158916000,24374382000,24374382000,200707587000,6.36e+08,1.47e+08,1.478e+09,1.3e+07,4.7e+07,5.6e+07,-2.69e+08,-2.1e+08,1.3e+07,1.3e+08,1.9e+07,2.024e+09,-7.4e+07,9.34e+08,1.0337e+10,-9.403e+09,4.168e+09,4.168e+09,1.113e+09,6.141e+09,-2.3e+07,-1.1276e+10,-1.1276e+10,0,0,-1.1e+07,7e+06,-1.8e+07,1.977e+09,0,-9.352e+09,-1.187e+09,-1.187e+09,-1.187e+09,1.235e+09,9134292000,1.136e+09,0.25367,0.14829,0.02609,0.00317,1.78616,7.23437,0.04551,1.4102,1.3978,9.50998,54.04519,2.51885,0.051,0.00328,0.00566,0.03616,5.02477,5.70367
"2","2010_Q3",33.08640625,"Down",3.904e+09,3.097e+09,3.835e+09,-7.38e+08,8.07e+08,8.33e+08,-7.23e+08,3.181e+09,-1.871e+09,-1.871e+09,1.31e+09,1.31e+09,1.181e+09,-3.69e+08,8.12e+08,-2.04e+08,-2.04e+08,6.08e+08,6.08e+08,-10594179.2146471,6.08e+08,2.668e+09,4.3076e+10,3.9424e+10,3.652e+09,1.20341e+11,-6.799e+09,1.2714e+11,2.73e+09,1.3588e+10,1.077e+09,1.1478e+10,1.97489e+11,1.17331e+11,102811176032.826,12957395288.0058,1.0152e+10,7.28e+08,9.424e+09,4.4736e+10,1.72219e+11,21942145.2926509,1.9034e+10,5e+06,1.9029e+10,-3.2e+09,8.969e+09,4.67e+08,2.527e+10,2.527e+10,1.97489e+11,6.08e+08,1.69e+08,7.23e+08,2.78e+08,4e+07,2.55e+08,1.009e+09,-2.4e+08,2.1e+07,1.17e+09,0,2.787e+09,-7.6e+07,-7.13e+08,4.866e+09,-5.579e+09,8.55e+08,8.55e+08,2.65e+08,3.31e+08,-2.3e+07,-4.949e+09,-4.949e+09,0,0,6e+06,8e+06,-2e+06,-455000000.000001,4e+06,-5.417e+09,-2.299e+09,-2.299e+09,-2.299e+09,1.479e+09,1.0152e+10,2.781e+09,0.33555,0.15574,0.02406,0.00308,4.57401,6.81516,0.05141,1.34216,1.33042,8.6181,55.78366,6.13907,0.05077,0.0032,0.01408,0.03783,5.06018,5.71298
"3","2010_Q4",32.654375,"Down",4.016e+09,3.109e+09,3.814e+09,-7.05e+08,9.07e+08,9.12e+08,-8.68e+08,3.148e+09,-1.868e+09,-1.868e+09,1.28e+09,1.28e+09,1.152e+09,-3.35e+08,8.17e+08,-1.5e+07,-1.5e+07,8.02e+08,8.02e+08,-3531393.07154904,8.02e+08,2.015e+09,4.2739e+10,3.9926e+10,2.813e+09,1.20159e+11,-6.175e+09,1.26334e+11,2.722e+09,1.3593e+10,1.025e+09,1.1753e+10,1.96933e+11,1.19212e+11,104300032932.826,13632170688.0058,1.003e+10,9.47e+08,9.083e+09,4.163e+10,1.70872e+11,8228304.48474408,1.9064e+10,5e+06,1.9059e+10,-3.202e+09,9.73e+09,4.69e+08,2.6061e+10,2.6061e+10,1.96933e+11,8.02e+08,1.06e+08,8.68e+08,6e+06,3e+07,2.8e+07,1.428e+09,5e+07,-7.9e+07,1.405e+09,-1e+06,3.209e+09,-7.5e+07,-5.32e+08,5.047e+09,-5.579e+09,-1.049e+09,-1.049e+09,1.135e+09,-5.21e+08,-2.3e+07,-4.809e+09,1.4502e+10,-1.9311e+10,-1.9311e+10,5e+06,7e+06,-2e+06,1.881e+09,2e+06,-2.944e+09,-2.56e+08,-2.56e+08,-2.56e+08,1.386e+09,1.003e+10,3.074e+09,0.31873,0.1997,0.03077,0.00407,3.83292,6.55662,0.05093,1.77434,1.75877,8.88496,57.65708,6.80088,0.05088,0.00419,0.01561,0.02868,5.78283,6.26172
"4","2011_Q1",40.8762903225806,"Up",3.962e+09,3.023e+09,3.674e+09,-6.51e+08,9.39e+08,9.42e+08,-8.38e+08,3.124e+09,-2.391e+09,-2.391e+09,7.33e+08,7.33e+08,1.033e+09,-3.32e+08,7.01e+08,-4e+06,-4e+06,6.97e+08,6.97e+08,0,6.97e+08,2.067e+09,4.3257e+10,4.1537e+10,1.72e+09,1.20319e+11,-5.628e+09,1.25947e+11,2.749e+09,1.3591e+10,1.07e+09,1.1268e+10,1.97503e+11,1.2221e+11,1.07162e+11,1.5048e+10,1.0167e+10,1.517e+09,8.65e+09,3.8585e+10,1.70962e+11,0,1.9089e+10,5e+06,1.9084e+10,-3.202e+09,1.0406e+10,2.48e+08,2.6541e+10,2.6541e+10,1.97503e+11,6.97e+08,9.5e+07,8.38e+08,-1.61e+08,3.2e+07,-2.1e+08,-1.682e+09,2.2e+08,2.4e+07,-1.881e+09,3.35e+08,1.22e+08,-1.15e+08,-1.977e+09,3.84e+09,-5.817e+09,-1.367e+09,-1.367e+09,1.971e+09,-1.488e+09,-2.2e+07,-1.31e+09,1.43e+09,-2.74e+09,-2.74e+09,8e+06,8e+06,0,2.998e+09,-3e+06,1.672e+09,3.06e+08,3.06e+08,3.06e+08,8.28e+08,1.0167e+10,-6.37e+08,0.18501,0.17592,0.02626,0.00353,-0.91392,6.44143,0.05148,1.54204,1.52851,8.76549,58.71903,-1.40929,0.04867,0.00364,-0.00323,0.03156,9.78261,11.05048
"5","2011_Q2",43.1649206349206,"Up",4.082e+09,3.14e+09,3.752e+09,-6.12e+08,9.42e+08,9.45e+08,-5.34e+08,3.548e+09,-2.027e+09,-2.027e+09,1.521e+09,1.521e+09,1.386e+09,-3.54e+08,1.032e+09,-1.6e+07,-1.6e+07,1.016e+09,1.016e+09,0,1.016e+09,2.028e+09,4.4234e+10,4.1566e+10,2.668e+09,1.19025e+11,-5.067e+09,1.24092e+11,2.739e+09,1.3597e+10,1.025e+09,1.0709e+10,1.993e+11,1.25446e+11,1.09097e+11,1.6349e+10,1.0515e+10,1.97e+09,8.545e+09,3.5789e+10,1.7175e+11,-2742768.16158136,1.9146e+10,5e+06,1.9141e+10,-3.24e+09,1.1399e+10,2.45e+08,2.755e+10,2.755e+10,1.993e+11,1.016e+09,1.67e+08,5.34e+08,2.12e+08,7.5e+07,1.35e+08,-8.7e+07,-2.9e+07,-7.7e+07,-2.6e+07,2.7e+07,1.869e+09,-6.7e+07,-1.39e+08,3.443e+09,-3.582e+09,1.713e+09,1.713e+09,-5.19e+08,-4.56e+08,-2.3e+07,-1.897e+09,5.12e+08,-2.409e+09,-2.409e+09,-3e+07,8e+06,-3.8e+07,3.236e+09,2.3e+07,1.309e+09,2.722e+09,2.722e+09,2.722e+09,1.688e+09,1.0515e+10,1.888e+09,0.37261,0.2489,0.03688,0.0051,1.85827,6.23412,0.05276,2.23789,2.2087,8.99119,60.68282,4.15859,0.05066,0.00521,0.00947,0.02264,5.02784,5.57988
"6","2011_Q3",37.52484375,"Down",3.993e+09,3.136e+09,3.699e+09,-5.63e+08,8.57e+08,8.63e+08,-3.43e+08,3.65e+09,-2.131e+09,-2.131e+09,1.519e+09,1.519e+09,1.395e+09,-4.5e+08,9.45e+08,-3.4e+07,-3.4e+07,9.11e+08,9.11e+08,0,9.11e+08,1.954e+09,4.0908e+10,3.9474e+10,1.434e+09,1.24477e+11,-4.488e+09,1.28965e+11,2.754e+09,1.3596e+10,1.027e+09,1.0348e+10,1.99753e+11,1.26117e+11,1.09278e+11,1.6839e+10,1.1239e+10,2.575e+09,8.664e+09,3.3716e+10,1.71072e+11,0,1.9193e+10,5e+06,1.9188e+10,-3.241e+09,1.2287e+10,4.42e+08,2.8681e+10,2.8681e+10,1.99753e+11,9.11e+08,1.32e+08,3.43e+08,2.51e+08,4.2e+07,1.99e+08,8.33e+08,-1.8e+08,5.8e+07,9.57e+08,2.2e+07,2.492e+09,-9.2e+07,2.339e+09,3.842e+09,-1.503e+09,-6.187e+09,-6.187e+09,1.619e+09,-2.321e+09,-2.3e+07,-2.175e+09,2.471e+09,-4.646e+09,-4.646e+09,9e+06,1e+07,-1e+06,6.71e+08,1.9e+07,-1.499e+09,-1.328e+09,-1.328e+09,-1.328e+09,1.651e+09,1.1239e+10,2.842e+09,0.38042,0.22815,0.03176,0.00456,3.11965,5.96465,0.05626,1.99781,1.97186,8.75658,62.89693,6.23246,0.05044,0.00468,0.01423,0.02525,5.62386,6.11257
"7","2011_Q4",35.8115873015873,"Down",4.154e+09,3.283e+09,3.835e+09,-5.52e+08,8.71e+08,8.77e+08,-6.22e+08,3.532e+09,-2.136e+09,-2.136e+09,1.396e+09,1.396e+09,1.235e+09,-3.7e+08,8.65e+08,-5.2e+07,-5.2e+07,8.13e+08,8.13e+08,1.86264514923096e-09,8.13e+08,1.794e+09,3.9485e+10,3.84e+10,1.085e+09,1.25672e+11,-4.28e+09,1.29952e+11,2.785e+09,1.3593e+10,9.58e+08,1.1297e+10,2.00148e+11,1.28318e+11,1.10777e+11,1.7541e+10,1.2492e+10,1.441e+09,1.1051e+10,2.996e+10,1.7077e+11,0,1.9239e+10,5e+06,1.9234e+10,-3.243e+09,1.3091e+10,2.91e+08,2.9378e+10,2.9378e+10,2.00148e+11,8.13e+08,1.1e+08,6.22e+08,1.46e+08,1.8e+07,3.75e+08,-1.67e+08,-5.72e+08,-6.8e+07,4.04e+08,3.1e+07,1.555e+09,-1.1e+08,1.156e+09,8.76e+09,-7.604e+09,-2.133e+09,-2.133e+09,7.15e+08,-3.72e+08,-2.3e+07,-3.667e+09,-3.065e+09,-6.02e+08,-3.594e+09,8e+06,1e+07,-2e+06,2.197e+09,1.7e+07,-1.468e+09,-2.85e+08,-2.85e+08,-2.85e+08,1.506e+09,1.2492e+10,1.599e+09,0.33606,0.19571,0.02767,0.00406,1.96679,5.81285,0.06241,1.78681,1.76356,9.12967,64.56703,3.51429,0.05055,0.00418,0.00799,0.02829,7.10359,7.66332
"8","2012_Q1",41.1427419354839,"Up",4.05e+09,3.182e+09,3.701e+09,-5.19e+08,8.68e+08,8.74e+08,-8.61e+08,3.189e+09,-2.993e+09,-2.993e+09,1.96e+08,1.96e+08,5.71e+08,-1.6e+08,4.11e+08,-4000000.00000001,-4000000.00000001,4.07e+08,4.07e+08,-2.6e+07,3.81e+08,2.097e+09,3.955e+10,3.8759e+10,7.91e+08,1.31642e+11,-4.25e+09,1.35892e+11,2.748e+09,1.3592e+10,1.029e+09,1.162e+10,2.06019e+11,1.28226e+11,1.09945e+11,1.8281e+10,1.2498e+10,1.464e+09,1.1034e+10,3.5629e+10,1.76353e+11,-1.86264514923096e-09,1.9279e+10,5e+06,1.9274e+10,-3.244e+09,1.3462e+10,1.69e+08,2.9666e+10,2.9666e+10,2.06019e+11,4.07e+08,1.7e+08,8.61e+08,4e+08,5.4e+07,3.98e+08,-3.14e+08,-2.5e+08,6.5e+07,-5.8e+07,1.5e+07,1.539e+09,-4.6e+07,-5.37e+08,2.834e+09,-3.371e+09,-7.17e+09,-7.17e+09,5.39e+08,-7.214e+09,-2.2e+07,5.262e+09,5.856e+09,-5.94e+08,-5.94e+08,1.1e+07,1.2e+07,-999999.999999996,-93999999.9999995,-2e+06,5.155e+09,-519999999.999998,-519999999.999998,-519999999.999998,3.66e+08,1.2498e+10,1.66e+08,0.0484,0.09407,0.01284,0.00185,0.4357,5.94462,0.06066,0.8337,0.84032,8.86214,64.91466,0.36324,0.04814,0.00196,0.00081,0.05774,28.41803,53.06633
"9","2012_Q2",44.2071428571429,"Up",4.935e+09,3.414e+09,3.979e+09,-5.65e+08,1.521e+09,1.535e+09,-5.73e+08,4.362e+09,-2.418e+09,-2.418e+09,1.944e+09,1.944e+09,1.858e+09,-3.53e+08,1.505e+09,-1.02e+08,-1.02e+08,1.403e+09,1.403e+09,-7e+06,1.396e+09,2.183e+09,6.1996e+10,6.081e+10,1.186e+09,1.69762e+11,-4.06e+09,1.73822e+11,3.062e+09,1.3595e+10,1.157e+09,1.4253e+10,2.94481e+11,2.16528e+11,1.97254e+11,1.9274e+10,1.2718e+10,7.7e+08,1.1948e+10,2.8285e+10,2.57531e+11,0,2.5142e+10,6e+06,2.5136e+10,-3.286e+09,1.4841e+10,2.53e+08,3.695e+10,3.695e+10,2.94481e+11,1.403e+09,2.2e+08,5.73e+08,-9.4e+07,6.3e+07,-1.3e+08,-4.17e+08,-4.89e+08,-8.2e+07,1.12e+08,1.52e+08,1.837e+09,-1.56e+08,8.169e+09,1.2176e+10,-4.007e+09,9.04e+08,9.04e+08,1.07e+08,2.2764e+10,-2.4e+07,-6.798e+09,-6.713e+09,-8.5e+07,-1.335e+09,3.146e+09,3.188e+09,-4.2e+07,3.877e+09,1.6e+07,2.17e+08,2.4818e+10,2.4818e+10,2.4818e+10,2.164e+09,1.2718e+10,1.944e+09,0.39392,0.28288,0.03778,0.00474,1.39255,6.96972,0.04319,2.74263,2.72125,9.69548,72.59332,3.81925,0.04715,0.00482,0.0066,0.01719,4.8683,5.41924
"10","2012_Q3",46.827619047619,"Up",5.055e+09,4.001e+09,4.616e+09,-6.15e+08,1.054e+09,1.067e+09,-1.677e+09,3.378e+09,-3.009e+09,-3.009e+09,3.69e+08,3.69e+08,2.36e+08,-4.3e+07,1.93e+08,-1e+08,-1e+08,9.3e+07,9.3e+07,-1e+06,91999999.9999998,2.297e+09,5.5755e+10,5.5289e+10,4.66e+08,1.97751e+11,-4.998e+09,2.02749e+11,3.556e+09,1.3864e+10,1.623e+09,1.8044e+10,2.96572e+11,2.13931e+11,1.93859e+11,2.0072e+10,1.318e+10,1.101e+09,1.2079e+10,3.2269e+10,2.5938e+11,0,2.5223e+10,6e+06,2.5217e+10,-3.286e+09,1.4905e+10,3.5e+08,3.7192e+10,3.7192e+10,2.96572e+11,9.3e+07,4.51e+08,1.677e+09,5.69e+08,5.3e+07,5.59e+08,-4.65e+08,-4.45e+08,7.8e+07,3.68e+08,-1.31e+08,2.194e+09,-1.06e+08,5.645e+09,1.0733e+10,-5.088e+09,-2.421e+09,-2.421e+09,1.082e+09,-2.7143e+10,-2.9e+07,2.858e+09,4.724e+09,-1.866e+09,-1.866e+09,12000000.000001,12000000.000001,0,-2.598e+09,2.9e+07,2.72e+08,-2.4677e+10,-2.4677e+10,-2.4677e+10,8.2e+08,1.318e+10,2.92e+08,0.073,0.0181999999999999,0.00246999999999999,0.00031,3.17391,6.97408,0.04444,0.15945,0.1578,8.76083,64.45754,0.50607,0.05026,0.00041,0.000980000000000002,0.31522,13.27195,29.49322
