"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",2.84296875,"Up",11789000,-2251000,-1830000,-421000,-43000,49000,2000,47000,6000,6000,-8000,-2000,-2000,-2000,-2000,1901449.83768908,1901449.83768908,22674509.7610212,22674509.7610212,945645.829392366,672339.224931004,313530.159847905,25521594.5189582,27830737.1086043,4295104.96965224,8000,4287104.96965224,32125842.0782565,57647436.5972147,16980731.6319031,16710492.5073148,261421.229884288,1026.90318882298,1270601.1204649,955439.154433813,315161.966031089,18252359.6555569,229812.211442119,229812.301273812,18482171.9568307,58229901.4203416,-19064605.7698123,39165295.6505293,39165264.640384,57647436.5972147,-2000,421000,68000,-245000,242000,-211000,-211000,31000,31000,31000,378000,0,-70000,-0.00365,-0.00017,7.83129240270401e-05,-4.13797695116452e-05,35,1.29811260755032,0.475527721500017,0.00392396191128685,-0.00053,-0.00053,3.09992,10.3050822336446,-0.01841,9.85578432675517e-05,-0.0758439930487177,61.1298963961665,474.839703887942
"2","2011_Q1",2.88548387096774,"Up",11283000,-1955000,-1534000,-421000,-15000,89000,-1000,90000,74000,74000,-19000,55000,55000,55000,55000,5565000,5565000,8202000,8202000,955000,341000,6e+05,14722000,27265000,5350000,8000,5342000,32615000,47337000,5825000,5173000,652000,1000,2306000,1988000,318000,8132000,228000,228000,8360000,58254000,-19277000,38977000,38977000,47337000,55000,421000,-46000,-555000,-125000,-3000,-3000,-129000,-129000,-129000,406000,229000,-133000,-0.00133,0.00487,0.00141,0.00116,-2.41817999999999,1.81038,0.21449,0.00484,0.01446,0.01446,2.96687,10.24901,-0.03497,0.0014,-0.00339,-13.14286,355.73333
"3","2011_Q2",2.86539682539683,"Down",9894000,-2051000,-1632000,-419000,-392000,65000,-1000,66000,-327000,-327000,-13000,-340000,-340000,-340000,-340000,6541766.72077031,6541766.72077031,4903746.74632626,4903746.74632626,1012701.39020254,227053.591689666,759906.613384032,12458218.4936806,26868420.9637986,5900548.34344925,8000,5892548.34344925,32768969.3072478,45227187.8009284,3401172.78936562,2561835.83089505,840942.923371904,991.032270392339,2774049.6265117,2432770.2818554,341279.344656304,6176213.44814771,227645.929519294,227645.899575396,6403859.3477231,58293949.5265528,-19470631.4100626,38823318.1164902,38823328.4532053,45227187.8009284,-340000,419000,44000,553000,676000,-182000,-182000,494000,494000,494000,27000,0,411000,-0.03962,-0.03436,0.00174472902532432,0.00147962658983722,-1.20882,1.88147079748323,0.164764926166661,0.00502284602957105,-0.0894,-0.0894,2.60163,10.2073259221185,0.10807,0.00172964738557748,0.0126154976829059,-34.6323587987222,207.970771204019
"4","2011_Q3",2.60125,"Down",11375000,-2107000,-1691000,-416000,-86000,174000,-3000,177000,88000,88000,-11000,77000,77000,76999.9999999999,76999.9999999999,6165000,6165000,7846000,7846000,1080000,244000,822000,15091000,26580000,6095000,8000,6087000,32675000,47766000,5877000,4976000,899000,1000,2853000,2481000,372000,8731000,228000,228000,8959000,58347000,-19540000,38807000,38807000,47766000,77000,416000,-49000,149000,593000,-487000,-487000,106000,106000,106000,330000,229000,3000,-0.00756,0.00677,0.00198,0.00161,0.0389600000000001,1.72844,0.23086,0.00479,0.02025,0.0199,2.99106,10.20431,0.000789999999999971,0.00197,8.00000000000011e-05,-17.98788,69.02326
"5","2011_Q4",2.50952380952381,"Down",15835000,-2292000,-1877000,-415000,276000,52000,-2000,54000,328000,328000,-24000,304000,304000,304000,304000,6008000,6008000,12158000,12158000,1085000,289000,796000,19251000,26337000,6108000,8000,6100000,32445000,51696000,9600000,8652000,938000,1000,2704000,2306000,398000,12305000,228000,228000,12533000,58399000,-19236000,39163000,39163000,51696000,304000,415000,60000,-646000,133000,-290000,-290000,-157000,-157000,-157000,691000,229000,-221000,0.01743,0.0192,0.00776,0.00588,-0.72697,1.56449,0.32002,0.00443,0.07994,0.07946,4.16382,10.29792,-0.05811,0.00772,-0.00561,-8.36324,-20.93841
"6","2012_Q1",3.76161290322581,"Up",16882000,-2479000,-2066000,-413000,280000,496000,-3000,499000,776000,776000,-41000,735000,735000,735000,735000,7324000,7324000,12885000,12885000,1e+06,281000,717000,21209000,26079000,6079000,8000,6071000,32158000,53367000,10678000,9643000,1015000,1000,2511000,2105000,406000,13190000,227000,227000,13417000,58451000,-18501000,39950000,39950000,53367000,735000,413000,61000,187000,1396000,-79000,-79000,1316000,1316000,1316000,693000,228000,842000,0.01659,0.04354,0.0184,0.01377,1.14558,1.60796,0.33584,0.00427,0.1932,0.18798,4.43758,10.50121,0.22133,0.01829,0.02096,-10.23954,-25.34286
"7","2012_Q2",4.38603174603175,"Up",10938000,-2351000,-1938000,-413000,-449000,73000,-2000,75000,-376000,-376000,-17000,-393000,-393000,-393000,-393000,7540000,7540000,8501000,8501000,1177000,337000,838000,17218000,25819000,6053000,8000,6045000,31872000,49090000,6382000,5619000,748000,1000,2770000,2351000,419000,9153000,227000,227000,9380000,58604000,-18894000,39710000,39710000,49090000,-393000,413000,156000,149000,325000,-109000,-109000,216000,216000,216000,-36000,228000,21000,-0.04105,-0.03593,-0.0099,-0.00801,-0.05344,1.88113,0.23621,0.00464,-0.10334,-0.10334,2.87615,10.44176,0.00552,-0.00984,0.00053,203.11111,16.28508
"8","2012_Q3",3.85253968253968,"Down",12609000,-2188000,-1781000,-407000,226000,66999.9999999999,-3000,70000,293000,293000,-19000,274000,274000,274000,274000,6961000,6961000,9712000,9712000,1205000,293000,910000,17878000,25630000,6816000,8000,6808000,32446000,50324000,6717000,5927000,783000,1000,3368000,2862000,506000,10086000,227000,227000,10313000,58631000,-18620000,40011000,40011000,50324000,274000,407000,42000,-706000,16999.9999999999,-596000,-596000,-579000,-579000,-579000,633000,228000,-650000,0.01792,0.02173,0.00685,0.00544,-2.37226,1.77256,0.25775,0.00453,0.0720499999999999,0.07205,3.31554,10.5209,-0.17092,0.00681,-0.01615,-10.63665,-29.79204
"9","2012_Q4",3.90548387096774,"Up",13230000,-2221000,-1815000,-406000,46000,54000,-3000,57000,1e+05,1e+05,-13000,87000,87000,87000,87000,6876000,6876000,9890000,9890000,1169000,338000,829000,17935000,25363000,6855000,8000,6847000,32218000,50153000,6925000,6052000,870000,1000,2876000,2486000,390000,9802000,227000,227000,10029000,58657000,-18533000,40124000,40124000,50153000,87000,406000,58000,-72000,479000,-564000,-564000,-85000,-85000,-85000,452000,228000,-171000,0.00348,0.00658,0.00217,0.00173,-1.96552,1.82973,0.24995,0.00455,0.02288,0.02288,3.47883,10.55062,-0.04496,0.00216,-0.00424,-14.70796,-144.52174
"10","2013_Q1",3.966,"Up",12114000,-2311000,-1902000,-409000,-324000,52000,-3000,55000,-272000,-272000,-22000,-294000,-294000,-294000,-294000,7888000,7888000,9244000,9244000,1054000,287000,758000,18186000,25177000,6792000,8000,6784000,31969000,50155000,7468000,6677000,789000,2000,2604000,2180000,424000,10074000,224000,224000,10298000,58684000,-18827000,39857000,39857000,50155000,-294000,409000,20000,1032000,1167000,-153000,-153000,1012000,1012000,1012000,85000,226000,986000,-0.02675,-0.02427,-0.00738,-0.00586,-3.35374,1.80524,0.25837,0.00451,-0.07728,-0.07731,3.18427,10.47676,0.25918,-0.00733,0.0246,-90.14118,23.64815
