"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",19.5260317460317,"Up",60280000,-10266000,50014000,-25555000,-22646000,-11152000,-11494000,-2909000,24459000,192000,192000,24651000,24651000,-7015000,17636000,17636000,17636000,17636000,-323857596.218723,-310292667.879137,18314362.0100346,18314362.0100346,40722950.7097081,33467686.8180911,-264820283.498981,18699549.5149737,18699549.5149737,-68083814.3044369,807516548.608678,-59981730.520406,577192892.6422,-64477365.2642953,162297523.961578,758132283.819215,493312000.320234,27842015.6628204,20144573.4169475,7697442.24587289,74873101.2110782,15029339.7983415,265213036.885999,102715116.873899,39388613.715112,-108711860.492738,-4162970.09897257,39349549.5850597,142064666.458959,159656207.385512,325965398.520342,-21685309.649708,351247333.084534,351247333.861275,493312000.320234,17636000,3968000,3719000,9365000,34688000,-2778000,-33875000,-10237000,-46890000,-258000,355000,-613000,-406000,-664000,-12866000,-12866000,-536000,-13402000,28427000,0,42029000,0.82969,0.40576,0.29257,0.0866398740186296,0.0655361074828526,2.38314,-9.43439720366629,0.366969288022998,-4.2936626024701e-05,0.39855,0.38828,1.36224,7.99733674413746,0.9498,0.0777373476305747,-0.0983908210060172,10.6040053031506,11.0037990154795
"2","2010_Q3",19.1303125,"Down",61311000,-10380000,50931000,-25038000,-22145000,-10297000,-11848000,-2893000,25893000,1067000,1067000,26960000,26960000,-8250000,18710000,18710000,18710000,18710000,223323000,211991000,11179000,11179000,8424000,5767000,242926000,11475000,11475000,41534000,147207000,-7991865.26020303,93706000,43715000,353000,200216000,443142000,18470000,15754000,2716000,12829000,12829000,132340018.442999,31299000,37463000,-37517953.4975793,37463000,37463000,68762000,155428000,334620000,-2997000,374380000,374380000,443142000,18710000,3929000,2722000,-13044000,12317000,-3053000,-3901999.99999999,-6405000,18293000,-1816000,1201000,-3017000,374000,-1442000,29168000,29168000,-1186000,27982000,29822000,0,21975000,0.8307,0.42232,0.30517,0.04998,0.04222,1.17451,7.76146,0.18367,0,0.42051,0.40844,1.37797,8.41423,0.49389,0.04543,0.05336,-7.48853,-8.62484
"3","2010_Q4",23.17015625,"Up",62778000,-10732000,52046000,-24807000,-21799000,-10878000,-10921000,-3008000,27239000,491000,491000,27730000,27730000,-7896000,19834000,19834000,19834000,19834000,228898000,212700000,13170000,13170000,9090000,6433000,251158000,11413000,11413000,43406000,168027000,22442711.5799323,113130000,44848000,517000,222846000,474004000,21539000,19837000,1702000,12349000,12349000,52817339.4809998,33888000,39437000,359000,39078000,39437000,73325000,158879000,354286000,185000.000000001,400679000,400679000,474004000,19834000,3076000,3559000,678000,27147000,-2395000,-6125000,-19904000,-28424000,333000,878000,-545000,196000,529000,-748000,-748000,1457000,709000,30315000,0,36494000,0.82905,0.43389,0.31594,0.0495,0.04184,1.83997,7.41141,0.183,0,0.44355,0.43174,1.40392,8.96046,0.81612,0.04507,0.08292,-7.55065,-8.40332
"4","2011_Q1",24.2035483870968,"Up",71025000,-12708000,58317000,-31985000,-27968000,-14005000,-13963000,-4017000,26332000,-1750000,-1750000,24582000,31296000,-4429000,26867000,26867000,26867000,26867000,78787000,64752000,17423000,17423000,19292000,15196000,115502000,13567000,13567000,8175000,395379000,36674000,281848000,11782000,52108000,417121000,532623000,26910000,25112000,1798000,30982000,16938000,13471000,57892000,42986000,15293000,27693000,42986000,100878000,165306000,381145000,-2035000,431745000,431745000,532623000,26867000,3537000,-1277000,-6894000,22233000,-1928000,39824000,-212009000,-174113000,4350000,4396000,-46000,-102000,4248000,-147632000,-147632000,-316000,-147948000,29869000,-3.63797880709171e-12,25476000,0.82108,0.37074,0.37828,0.06223,0.05044,0.94823,1.99513,0.23365,0,0.59902,0.57656,1.58356,9.62608,0.56801,0.05659,0.05366,-2.63775,-2.99206
"5","2011_Q2",24.0320634920635,"Down",73384000,-15792000,57592000,-34525000,-29753000,-15511000,-14242000,-4772000,23067000,-327000,-327000,22740000,22740000,8195000,30935000,30935000,30935000,30935000,123810000,106916000,17639000,17639000,16913000,12817000,158362000,13535000,13535000,2893000,395329000,40054000,277362000,11260000,53640000,411757000,570119000,25669000,25119000,550000,29977000,28277000,1127000,55646000,45723000,17573000,28150000,45723000,101369000,170155000,411661000,-395000,468750000,468750000,570119000,30935000,5109000,2551000,-442000,38153000,-1767000,2357000,324000,914000,1547000,2638000,-1091000,679000,2226000,41293000,41293000,871000,42164000,28176000,0,17772000,0.7848,0.31433,0.42155,0.06599,0.05426,0.57449,2.84588,0.21625,0,0.68602,0.66443,1.62739,10.39515,0.39412,0.06013,0.03454,-4.39417,-5.36741
"6","2011_Q3",24.52328125,"Up",85676000,-15158000,70518000,-32574000,-28737000,-14345000,-14392000,-3837000,37944000,299000,299000,38243000,38243000,-9729000,28514000,28514000,28514000,28514000,150956000,129707000,17175000,17175000,10311000,6215000,178442000,14619000,14619000,20694000,393784000,38558000,277948000,10730000,53522000,429097000,607539000,26450000,25094000,1356000,29439000,27739000,1127000,55889000,47447000,17573000,29874000,47447000,103336000,176742000,440168000,-36000,504203000,504203000,607539000,28514000,4972000,2449000,6463000,42398000,-2578000,-22323000,939999.99999997,-23961000,2904000,3056000,-152000,1443000,4347000,22784000,22784000,7000,22791000,42916000,-2.91038304567337e-11,56530000,0.82308,0.44288,0.33281,0.05655,0.04693,1.98253,3.19279,0.20495,0,0.62806,0.61027,1.88714,11.10581,1.24516,0.05169,0.10247,-3.51748,-3.97839
"7","2011_Q4",23.952380952381,"Down",86027000,-15002000,71025000,-34581000,-30476000,-15073000,-15403000,-4105000,36444000,290000,290000,36734000,36734000,-11236000,25498000,25498000,25498000,25498000,163195000,134190000,17723000,17723000,19305000,16145000,200223000,14335000,14335000,30635000,391712000,37538000,279007000,10283000,53207000,436682000,636905000,25246000,22903000,2343000,28252000,27275000,297000,53498000,51011000,20042000,30969000,51011000,104509000,195202000,452489000,-2624000,532396000,532396000,636905000,25498000,4811000,-617000,-1010000,28682000,-3346000,-18099000,-4504000,-25949000,1387000,1417000,-30000,11124000,3048000,5781000,5781000,-1298000,4483000,41255000,0,48135000,0.82561,0.42363,0.2964,0.04789,0.04003,1.8878,3.74263,0.1963,0,0.55438,0.54887,1.87042,11.57551,1.04656,0.05993,0.08251,-3.95576,-4.47797
"8","2012_Q1",24.841935483871,"Up",85072000,-14661000,70411000,-31916000,-28257000,-14137000,-14120000,-3659000,38495000,904000,275000,39399000,39399000,-9580000,29819000,29819000,29819000,29819000,177872000,139359000,19071000,19071000,15954000,14311000,212897000,14438000,14438000,43077000,380759000,35865000,279016000,9994000,52724000,438274000,651171000,25580000,24070000,1510000,32218000,26695000,5523000,57798000,38998000,12102000,26896000,38998000,96796000,197928000,472595000,-3477000,554375000,554375000,651171000,29819000,4864000,5252000,1580000,41515000,-3465000,-23037000,-682000,-27184000,113000,121000,-8000.00000000186,315000,-9283000,5048000,5048000,121000,5169000,43359000,9.31322574615479e-10,51054000,0.82766,0.4525,0.35051,0.05379,0.04579,1.71213,3.68347,0.1746,0,0.63836,0.65105,1.8212,11.86792,1.09295,0.06662,0.08604,-4.10231,-4.62065
"9","2012_Q2",21.6798412698413,"Down",86652000,-15864000,70788000,-33178000,-28689000,-14860000,-13829000,-4489000,37610000,-719000,-719000,36891000,36891000,-8352000,28539000,28539000,28539000,28539000,164754000,135682000,19908000,19908000,11294000,9091000,195956000,14205000,14205000,28593000,399180000,41819000,290097000,9630000,52944000,441978000,637934000,25596000,23224000,2372000,33683000,28157000,5523000,59279000,38418000,10154000,28264000,38418000,97697000,196555000,457458000,-1105000,540237000,540237000,637934000,28539000,4926000,104000,5373000,38942000,-2059000,23805000,-18843000,2903000,-37653000,2620000,-40273000,286000,-47342000,-5497000,-5497000,1820000,-3677000,42536000,0,54202000,0.81692,0.43403,0.32935,0.05283,0.04474,1.89923,3.30566,0.18084,0,0.61506,0.60988,1.86748,11.64293,1.16814,0.06656,0.09367,-3.87328,-4.38059
"10","2012_Q3",25.2831746031746,"Up",89465000,-16187000,73278000,-33252000,-28635000,-13861000,-14774000,-4617000,40026000,810000,810000,40836000,40836000,-9648000,31188000,31188000,31188000,31188000,184617000,142873000,20242000,20242000,8366000,6215000,213225000,14095000,14095000,22217000,399744000,40045000,289259000,9306000,54990000,436056000,649281000,29933000,26236000,3697000,33889000,28366000,5523000,63822000,41949000,11305000,30644000,41949000,105771000,196074000,462658000,-2551000,543510000,543510000,649281000,31188000,5271000,3089000,6834000,46382000,-3476000,-6143000,0,-9618999.99999999,-19519000,432000,-19951000,744000,-28701000,8061999.99999999,8061999.99999999,-871000,7191000.00000001,45297000,0,58303000,0.81907,0.44739,0.34861,0.05738,0.04803,1.8694,3.34093,0.19461,0,0.68736,0.6844,1.97173,11.97846,1.28494,0.07023,0.09959,-4.0757,-4.61243
