"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2013_Q3",14.605,"Up",2.321e+09,-1.352e+09,9.69e+08,-7.98e+08,-6.69e+08,-1.29e+08,1.71e+08,1.298e+09,1.8e+07,1.28e+09,1.469e+09,-6.2e+07,1.407e+09,4e+06,1.411e+09,1.411e+09,-1.2e+07,1.399e+09,1.399e+09,710545853.231106,710545853.231106,1539011793.46618,1539011793.46618,-5572227123.76213,4147793260.7108,-3322669464.46455,1702120289.06435,-307594146.192286,4396001597.95608,1691431261.73204,2316592347.51455,387505901.449526,5790527740.82814,2467858276.36359,1138739919.56335,323861498.127074,814878421.436279,-8435646342.15422,-370115412.635263,-8065530929.51896,-7296906416.29603,1535337879.30751,1386036885.14247,186311319.018435,-37010324.8533968,1535325115.42256,-5761581300.87347,12207095604.2307,6e+06,12201095604.2307,-1683317331.49637,-5378282289.402,8111681171.52816,117758405.708905,8229439577.23707,2467858276.36359,1.411e+09,1.411e+09,1.29e+08,-1.178e+09,-2.7e+08,9.2e+07,-7.7e+07,-1.9e+09,-1e+06,-1.978e+09,0,-2.35e+08,1.852e+09,1.617e+09,-2.69e+08,-2.69e+08,0,-2.69e+08,3e+08,0,-5.1e+07,0.41749,0.07368,0.60276,-0.771707063796541,-0.626117988165561,-0.03645,6.98888210267944,-0.357143456747941,-8.0884288134558e-07,2.41707,2.41707,4.01002,14.0321774061385,-0.08811,0,-0.74827025151753,0.301090890535868,0,153.610919484699,-719.315335710752
"2","2013_Q4",15.77359375,"Up",2.18e+09,-1.354e+09,8.26e+08,-8.01e+08,-6.57e+08,-1.44e+08,2.5e+07,3.66e+08,2.5e+07,3.41e+08,3.91e+08,-5.4e+07,3.37e+08,-4999999.99999994,3.32e+08,3.32e+08,-9e+06,3.23e+08,3.23e+08,1777181951.07704,1777181951.07704,1337337264.48873,1337337264.48873,-962075707.92071,2035597753.57027,2152443511.84515,2629373429.68812,1696801951.26924,5199333865.98536,2055810420.57735,2607864115.83818,535501967.149842,9525509246.94271,11677952758.7879,1300913306.52112,267620499.375691,1033292807.14543,-1981882114.05141,167294862.454912,-2149176976.50632,-680968805.432011,1007445959.76917,671012295.047489,146103773.006145,190329891.715534,1007441705.14085,326472899.708842,12257698534.7436,6e+06,12251698534.7436,-837158665.748185,-1382427429.80067,11232227057.1761,119252801.902968,11351479859.079,11677952758.7879,3.32e+08,3.32e+08,1.44e+08,-3.4e+08,2.79e+08,4.15e+08,-8.6e+07,6.73e+08,-7e+06,5.8e+08,-9e+06,0,-1.89e+08,-1.98e+08,7.97e+08,7.97e+08,1e+06,7.98e+08,1.69e+08,0,3.67e+08,0.3789,0.01147,0.14817,-0.32536568793218,-0.26398932938852,1.13622,3.55981070089315,0.054725514417353,-2.6961429378186e-07,0.558050000000001,0.55805,3.76641,19.3849691353795,0.63407,0.01555,-0.312866750505843,0.0578702968452892,0.0278599999999999,29.0685664948998,-114.011659641532
"3","2014_Q1",15.3591803278689,"Down",2.257e+09,-1.38e+09,8.77e+08,-8.97e+08,-7.47e+08,-1.5e+08,-2e+07,6.6e+07,2.3e+07,4.3e+07,4.6e+07,-1.506e+09,-1.46e+09,3.47e+08,-1.113e+09,-1.113e+09,-1.1e+07,-1.124e+09,-1.124e+09,2.381e+09,2.381e+09,1.335e+09,1.335e+09,9.27e+08,9.27e+08,4.643e+09,2.992e+09,2.499e+09,5.509e+09,2.186e+09,2.725e+09,5.98e+08,1.1e+10,1.5643e+10,1.35e+09,2.42e+08,1.108e+09,8.21e+08,3.89e+08,4.32e+08,2.171e+09,7.76e+08,3.45e+08,1.52e+08,2.79e+08,7.76e+08,2.947e+09,1.2287e+10,6e+06,1.2281e+10,-289052888.582728,2.71e+08,1.2578e+10,1.18e+08,1.2696e+10,1.5643e+10,-1.113e+09,-1.113e+09,1.5e+08,1.196e+09,-1.52e+08,8.1e+07,-1.05e+08,1.25e+08,-2e+06,1.8e+07,0,0,8.23e+08,8.23e+08,9.22e+08,9.22e+08,-8e+07,8.42e+08,1.3e+08,0,-4.74e+08,0.38857,-0.00886,-0.49801,-0.08853,-0.07185,0.42171,2.13865,0.23212,0,-1.94195,-1.93393,3.89945,21.69661,-0.81894,0,-0.08343,-0.03518,0,-18.31538,119.05
"4","2014_Q2",15.2280952380952,"Down",2.072e+09,-1.295e+09,7.77e+08,-7.77e+08,-6.36e+08,-1.41e+08,7.45058059692383e-09,-4.11e+08,1.7e+07,-4.28e+08,-4.11e+08,-2.7e+07,-4.38e+08,4.76e+08,37999999.9999998,3.8e+07,-1.1e+07,26999999.9999998,26999999.9999998,2.688e+09,2.688e+09,1.426e+09,1.426e+09,1.116e+09,5.32e+08,5.23e+09,3.012e+09,2.571e+09,5.53e+09,2.174e+09,2.739e+09,6.17e+08,1.1113e+10,1.6343e+10,1.345e+09,2.38e+08,1.107e+09,1.3e+09,4.14e+08,8.86e+08,2.645e+09,7.39e+08,2.68e+08,1.85e+08,2.86e+08,7.39e+08,3.384e+09,1.2305e+10,6e+06,1.2299e+10,2.7e+07,4.89e+08,1.2841e+10,1.18e+08,1.2959e+10,1.6343e+10,37999999.9999998,3.8e+07,1.41e+08,-5.5e+07,-6.5e+07,5.9e+07,-6.7e+07,94000000.0000001,4.65661287307739e-10,2.7e+07,-1.2e+07,-6477501.10658033,2.17e+08,2.05e+08,2.91e+08,2.91e+08,1.6e+07,3.07e+08,1.41e+08,1.13686837721616e-13,-4.67e+08,0.375,0,0.0130299999999999,0.00208,0.00165000000000001,-17.2963,1.97732,0.26113,0,0.0466500000000005,0.0465900000000004,3.57982,22.151,-0.80684,0.02073,0.00284999999999999,-0.03409,0.44444,-19.06383,108.911265713844
"5","2014_Q3",15.5153125,"Up",2.238e+09,-1.274e+09,9.64e+08,-7.75e+08,-6.37e+08,-1.38e+08,1.89e+08,-1.98e+08,1.6e+07,-2.14e+08,-9e+06,-3.6e+07,-4.5e+07,2.11e+08,1.66e+08,1.66e+08,-1.5e+07,1.51e+08,1.51e+08,2.908e+09,2.908e+09,1.481e+09,1.481e+09,7.23e+08,5.76e+08,5.112e+09,2.927e+09,2.431e+09,5.513e+09,2.12e+09,2.728e+09,6.65e+08,1.0871e+10,1.5983e+10,1.357e+09,2.42e+08,1.115e+09,9.35e+08,3.8e+08,5.55e+08,2.292e+09,8e+08,2.84e+08,2.39e+08,2.77e+08,8e+08,3.092e+09,1.2315e+10,6e+06,1.2309e+10,1.77e+08,2.57e+08,1.2769e+10,1.22e+08,1.2891e+10,1.5983e+10,1.66e+08,1.66e+08,1.38e+08,3.5e+07,9e+06,3.48e+08,-8e+07,-2e+07,-2e+06,-1.02e+08,-1e+06,0,0,-1e+06,2.45e+08,2.45e+08,-2.5e+07,2.2e+08,3.27e+08,0,4.5e+07,0.43074,0.08445,0.06747,0.01171,0.00945,0.29801,2.23037,0.23986,0,0.26088,0.26048,3.86662,22.02661,0.07775,0.00173,0.0111,0.00329,0.00662,-8.89297,-15.38624
"6","2014_Q4",13.52859375,"Down",2.078e+09,-1.259e+09,8.19e+08,-7.86e+08,-6.44e+08,-1.42e+08,3.3e+07,3.9e+07,1.7e+07,2.2e+07,7.2e+07,-1e+07,6.2e+07,-1e+06,6.1e+07,6.1e+07,-1.3e+07,4.8e+07,4.8e+07,3.207e+09,3.207e+09,1.394e+09,1.394e+09,7.69e+08,7.69e+08,5.37e+09,2.959e+09,2.551e+09,5.663e+09,2.116e+09,2.763e+09,7.84e+08,1.1173e+10,1.6543e+10,1.445e+09,2.45e+08,1.2e+09,1.053e+09,4.06e+08,6.47e+08,2.498e+09,8.57e+08,2.53e+08,2.95e+08,3.09e+08,8.57e+08,3.355e+09,1.2327e+10,6e+06,1.2321e+10,2.25e+08,4.82e+08,1.3054e+10,1.34e+08,1.3188e+10,1.6543e+10,6.1e+07,6.1e+07,1.42e+08,-22000000.0000001,2.15e+08,3.96e+08,-9.7e+07,-4e+06,-1e+07,-1.11e+08,-1e+07,0,-3e+06,-1.3e+07,2.72e+08,2.72e+08,2.7e+07,2.99e+08,1.75e+08,-9.09494701772928e-13,2.94e+08,0.39413,0.01588,0.0231,0.00364,0.0029,6.125,2.14972,0.2544,-5.29395592033938e-23,0.08289,0.08282,3.58833,22.50734,0.50768,0.01727,0.00413,0.02093,0.20833,-18.32571,-97.18182
"7","2015_Q1",14.2495081967213,"Up",2.098e+09,-1.246e+09,8.52e+08,-6.63e+08,-5.32e+08,-1.31e+08,1.89e+08,7.5e+07,1.8e+07,5.7e+07,2.64e+08,-2.1e+07,2.43e+08,-7.2e+07,1.71e+08,2.9e+07,-1.6e+07,1.3e+07,1.3e+07,3.145e+09,3.145e+09,1.388e+09,1.388e+09,7.37e+08,7.37e+08,5.27e+09,3.009e+09,2.609e+09,5.601e+09,2.137e+09,2.782e+09,6.82e+08,1.1219e+10,1.6489e+10,1.464e+09,2.76e+08,1.188e+09,8e+08,3.69e+08,4.31e+08,2.264e+09,8.06e+08,2.72e+08,2.24e+08,3.1e+08,8.06e+08,3.07e+09,1.2396e+10,6e+06,1.239e+10,2.37e+08,6.1e+08,1.3263e+10,1.56e+08,1.3419e+10,1.6489e+10,1.71e+08,2.9e+07,1.31e+08,5.1e+07,-1.27e+08,2.26e+08,-1.14e+08,8.7e+07,-7.2e+07,-9.9e+07,-1e+06,3.72529029846191e-09,-1e+06,-2e+06,1.25e+08,-7.1e+07,9e+06,-6.2e+07,3.2e+08,0,1.51e+08,0.4061,0.09009,0.0062,0.00097,0.00079,11.61538,2.32774,0.22878,0,0.02244,0.02241,3.62161,22.86035,0.26066,0.00173,0.00098,0.01062,0.07692,-9.82812,-16.64021
"8","2015_Q2",13.682380952381,"Down",2.108e+09,-1.282e+09,8.26e+08,-7.56e+08,-6.32e+08,-1.24e+08,7e+07,9e+07,1.7e+07,7.3e+07,1.6e+08,-4e+06,1.56e+08,-4.7e+07,1.09e+08,8.8e+07,-2.3e+07,6.5e+07,6.5e+07,2.735e+09,2.735e+09,1.411e+09,1.411e+09,7.19e+08,7.19e+08,4.865e+09,2.91e+09,2.497e+09,5.851e+09,2.246e+09,2.909e+09,6.96e+08,1.1258e+10,1.6123e+10,1.404e+09,2.72e+08,1.132e+09,8.89e+08,4.04e+08,4.85e+08,2.293e+09,8.28e+08,2.81e+08,2.45e+08,3.02e+08,8.28e+08,3.121e+09,1.2387e+10,6e+06,1.2381e+10,3.02e+08,1.52e+08,1.2861e+10,1.41e+08,1.3002e+10,1.6123e+10,1.09e+08,8.8e+07,1.24e+08,-5.6e+07,4.3e+07,2.2e+08,-9.4e+07,-3e+08,-1.15e+08,-5.09e+08,-1.7e+07,-96674015.0569145,-9e+06,-2.6e+07,-3.15e+08,-3.72e+08,-3.8e+07,-4.1e+08,1.94e+08,-1.45519152283669e-11,1.9e+08,0.39184,0.03321,0.03083,0.005,0.00403,2.92308,2.12167,0.24004,-1.6940658945086e-21,0.11217,0.11209,3.63762,22.15876,0.32787,0.02934,0.00593,0.01374,0.26154,-14.09794,-39.07143
"9","2015_Q3",12.459375,"Down",2.258e+09,-1.251e+09,1.007e+09,-7.82e+08,-6.55e+08,-1.27e+08,2.25e+08,3.9e+07,1.3e+07,2.6e+07,2.64e+08,-1.7e+07,2.47e+08,-6.5e+07,1.82e+08,1.63e+08,-2e+07,1.43e+08,1.43e+08,1.918e+09,1.918e+09,1.45e+09,1.45e+09,6.84e+08,6.84e+08,4.052e+09,2.809e+09,2.466e+09,6.643e+09,2.379e+09,3.547e+09,7.17e+08,1.1918e+10,1.597e+10,1.456e+09,3.2e+08,1.136e+09,8.73e+08,4.12e+08,4.61e+08,2.329e+09,8.54e+08,2.73e+08,2.74e+08,3.07e+08,8.54e+08,3.183e+09,1.2427e+10,6e+06,1.2421e+10,4.44e+08,-2.61e+08,1.263e+10,1.57e+08,1.2787e+10,1.597e+10,1.82e+08,1.63e+08,1.27e+08,2.5e+07,-1e+07,3.24e+08,-5.6e+07,-7.69e+08,-1.31e+08,-9.56e+08,0,-1.29e+08,-1e+06,-1.3e+08,-7.62e+08,-7.9e+08,-2.7e+07,-8.17e+08,3.52e+08,0,3.51e+08,0.44597,0.09965,0.06333,0.01118,0.00895,2.45455,1.7398,0.24892,0,0.24651,0.24549,3.89243,21.73763,0.60507,0,0.01048,0.02573,0,-5.44886,-8.52444
"10","2015_Q4",13.0659375,"Up",2.041e+09,-1.204e+09,8.37e+08,-7.77e+08,-6.53e+08,-1.24e+08,6e+07,3.1e+07,1.2e+07,1.9e+07,9.1e+07,-1e+07,8.1e+07,-2.5e+07,5.6e+07,3.4e+07,-1.1e+07,2.3e+07,2.3e+07,2.027e+09,2.027e+09,1.308e+09,1.308e+09,7.53e+08,7.53e+08,4.088e+09,2.699e+09,2.382e+09,6.517e+09,2.313e+09,3.51e+09,6.94e+08,1.1598e+10,1.5686e+10,1.346e+09,2.25e+08,1.121e+09,9.27e+08,3.99e+08,5.28e+08,2.273e+09,8.67e+08,2.66e+08,2.95e+08,3.06e+08,8.67e+08,3.14e+09,1.2456e+10,6e+06,1.245e+10,4.67e+08,-5.54e+08,1.2389e+10,1.57e+08,1.2546e+10,1.5686e+10,5.6e+07,3.4e+07,1.24e+08,-1.8e+07,1.2e+08,2.82e+08,-6.8e+07,1.5e+07,5e+06,-4.8e+07,-1.2e+07,0,8e+06,-4e+06,2.3e+08,1.41e+08,-3.2e+07,1.09e+08,1.84e+08,4.65661287307739e-10,2.61e+08,0.41009,0.0294,0.01127,0.00183,0.00147,11.34783,1.7985,0.25028,-1.35525271560688e-20,0.03953,0.0394299999999999,3.50748,21.25623,0.44853,0.02062,0.00261,0.01946,0.52174,-11.0163,-33.78333
