"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","other_interbank_assets","short_long_term_investments","other_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_intangible_assets","other_assets","total_assets","total_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.3339682539683,"Up",2.158e+09,1.314e+09,1.779e+09,-4.65e+08,8.44e+08,-5.75e+08,1.583e+09,-1.324e+09,-7.2e+07,-1.252e+09,2.59e+08,2.59e+08,-1.7e+07,2.42e+08,-4.8e+07,1.94e+08,1.94e+08,-6e+06,1.88e+08,522861.495569806,1.88e+08,1.265e+09,9.73e+08,9.73e+08,3.6185e+10,3.5534e+10,9.963e+10,-2.714e+09,1.02344e+11,1.798e+09,6.055e+09,6.01e+08,1.7193e+10,1.637e+11,1.13723e+11,7.02e+09,2.1428e+10,5.001e+09,1.47172e+11,9.136e+09,3.459e+09,5.677e+09,7.624e+09,-2.92e+08,1.6468e+10,6e+07,1.6528e+10,1.637e+11,1.94e+08,9.7e+07,5.75e+08,1.9e+07,-2.48e+08,6.37e+08,9.18e+08,4.56e+08,1.3e+07,4.53e+08,-1.03e+08,-1.088e+09,5.1e+07,-3.65e+08,4e+06,-1.501e+09,-4.11e+08,-4.11e+08,-4.11e+08,3.56e+08,2.8448e+10,0.12002,0.08712,0.01137,0.00115,8.9044,0.17378,0.27215,0.26908,3.12395,23.8393,0.1491,0.00178,0.54787,76.35674,104.95367
"2","2010_Q3",16.63046875,"Down",2.399e+09,1.36e+09,1.819e+09,-4.59e+08,1.039e+09,-6.5e+08,1.749e+09,-1.462e+09,-8.6e+07,-1.376e+09,2.87e+08,2.87e+08,-3.8e+07,2.49e+08,-2.5e+07,2.24e+08,2.24e+08,-1.4e+07,2.1e+08,278859.464303897,2.1e+08,1.27e+09,1.239e+09,1.239e+09,2.6734e+10,2.6147e+10,9.9825e+10,-2.723e+09,1.02548e+11,1.835e+09,6.067e+09,5.69e+08,1.7544e+10,1.55083e+11,1.04451e+11,6.08e+09,2.2086e+10,5.726e+09,1.38343e+11,9.184e+09,3.464e+09,5.72e+09,7.729e+09,-2.37e+08,1.6676e+10,6.4e+07,1.674e+10,1.55083e+11,2.24e+08,9.7e+07,6.5e+08,-1.98e+08,6.63e+08,1.436e+09,9.594e+09,-1.335e+09,2e+06,8.488e+09,-1.04e+08,-4.64e+08,2.5e+07,-9.253e+09,1.43e+08,-9.653e+09,2.71e+08,2.71e+08,2.71e+08,3.84e+08,2.8166e+10,0.11963,0.08754,0.01254,0.00135,8.26422,0.18162,0.30342,0.29924,3.46616,24.09409,0.15026,0.00202,0.49524,70.04167,93.71429
"3","2010_Q4",16.64703125,"Up",2.424e+09,1.314e+09,1.762e+09,-4.48e+08,1.11e+09,-7.7e+08,1.654e+09,-1.398e+09,-8.4e+07,-1.314e+09,2.56e+08,2.56e+08,-1e+07,2.46e+08,-2.7e+07,2.19e+08,2.19e+08,-9e+06,2.1e+08,104572.299113961,2.1e+08,1.225e+09,1.229e+09,1.229e+09,2.7258e+10,2.669e+10,9.957e+10,-2.611e+09,1.02181e+11,1.831e+09,6.013e+09,5.35e+08,1.9569e+10,1.5723e+11,1.06419e+11,5.82e+09,2.2111e+10,6.093e+09,1.40443e+11,9.221e+09,3.468e+09,5.753e+09,7.833e+09,-3.35e+08,1.6719e+10,6.8e+07,1.6787e+10,1.5723e+11,2.19e+08,9.4e+07,7.7e+08,-2.18e+08,-5.94e+08,2.71e+08,-4.97e+08,-1.663e+09,4.8e+07,-1.891e+09,-1.04e+08,-3.18e+08,1.6e+07,1.977e+09,-6e+06,1.565e+09,-5.5e+07,-5.5e+07,-5.5e+07,3.5e+08,2.7931e+10,0.10561,0.08663,0.01251,0.00134,8.36618,0.17764,0.30302,0.29948,3.49766,24.12436,0.15006,0.002,0.49524,76.30286,104.32031
"4","2011_Q1",18.7811290322581,"Up",2.296e+09,1.332e+09,1.755e+09,-4.23e+08,9.64e+08,-6.43e+08,1.653e+09,-1.417e+09,7.2e+07,-1.489e+09,2.36e+08,2.36e+08,-4e+06,2.32e+08,-1.5e+07,2.17e+08,2.17e+08,-9e+06,2.08e+08,0,2.08e+08,1.127e+09,1.258e+09,1.258e+09,2.6033e+10,2.54e+10,1.00859e+11,-2.708e+09,1.03567e+11,1.84e+09,6.008e+09,5.08e+08,1.9448e+10,1.57081e+11,1.07213e+11,5.673e+09,2.173e+10,5.967e+09,1.40583e+11,9.248e+09,3.472e+09,5.776e+09,7.935e+09,-7.47e+08,1.6436e+10,6.2e+07,1.6498e+10,1.57081e+11,2.17e+08,9.4e+07,6.43e+08,-7.8e+07,-3.22e+08,5.54e+08,7.7e+08,-2.052e+09,2.5e+07,-1.071e+09,-1.04e+08,-4e+08,1.8e+07,7.98e+08,1.36e+08,448000000.000001,-6.9e+07,-6.9e+07,-6.9e+07,3.3e+08,2.7403e+10,0.10279,0.09059,0.01261,0.00132,8.52121,0.17445,0.29971,0.29608,3.30831,23.68266,0.14985,0.00199,0.5,79.62424,111.33898
"5","2011_Q2",18.2560317460317,"Down",1.999e+09,1.285e+09,1.676e+09,-3.91e+08,7.14e+08,-3.4e+08,1.659e+09,-1.374e+09,-3.1e+07,-1.343e+09,2.85e+08,2.85e+08,2e+06,2.87e+08,-5.3e+07,2.34e+08,2.34e+08,-9e+06,2.25e+08,-34857.4330379871,2.25e+08,1.03e+09,1.17e+09,1.17e+09,2.8683e+10,1.962e+10,9.9934e+10,-2.641e+09,1.02575e+11,1.83e+09,6.014e+09,4.83e+08,1.7895e+10,1.57039e+11,1.06913e+11,5.186e+09,2.2591e+10,5.679e+09,1.40369e+11,9.275e+09,3.481e+09,5.794e+09,8.042e+09,-7.06e+08,1.6611e+10,5.9e+07,1.667e+10,1.57039e+11,2.34e+08,9.1e+07,3.4e+08,2.4e+07,1.342e+09,2.031e+09,-2.945e+09,5.09e+08,1.7e+07,-2.275e+09,-1.04e+08,3.85e+08,4e+06,-2.29e+08,3e+06,5.9e+07,-1.85e+08,-1.85e+08,-1.85e+08,3.76e+08,2.7777e+10,0.14257,0.11256,0.0135,0.00143,8.42046,0.17688,0.3236,0.31956,2.87498,23.8901,0.14957,0.0021,0.46222,71.13564,93.84912
"6","2011_Q3",15.8646875,"Down",2.141e+09,1.354e+09,1.69e+09,-3.36e+08,7.87e+08,-3.28e+08,1.813e+09,-1.393e+09,-3.8e+07,-1.355e+09,4.2e+08,4.2e+08,-2e+06,4.18e+08,-9.1e+07,3.27e+08,3.27e+08,-2e+07,3.07e+08,0,3.07e+08,1.199e+09,1.587e+09,1.587e+09,2.999e+10,2.0874e+10,1.00869e+11,-2.516e+09,1.03385e+11,1.846e+09,6.016e+09,4.57e+08,1.7346e+10,1.5931e+11,1.08064e+11,4.842e+09,2.338e+10,5.975e+09,1.42261e+11,9.314e+09,3.484e+09,5.83e+09,8.241e+09,-5.74e+08,1.6981e+10,6.8e+07,1.7049e+10,1.5931e+11,3.27e+08,8.9e+07,3.28e+08,2.7e+07,1.051e+09,1.822e+09,-1.458e+09,-1.474e+09,3.6e+07,-2.664e+09,-1.19e+08,3.91e+08,1.3e+07,1.153e+09,-1e+07,1.428e+09,5.86e+08,5.86e+08,5.86e+08,5.09e+08,2.8222e+10,0.19617,0.14339,0.01801,0.00193,8.34424,0.17715,0.44069,0.43542,3.07335,24.37582,0.17082,0.00267,0.38762,53.09037,64.34048
"7","2011_Q4",16.0771428571429,"Up",2.106e+09,1.416e+09,1.75e+09,-3.34e+08,6.9e+08,-2.5e+08,1.856e+09,-1.417e+09,-5.6e+07,-1.361e+09,4.39e+08,4.39e+08,0,4.39e+08,-6.8e+07,3.71e+08,3.71e+08,-5e+06,3.66e+08,0,3.66e+08,1.312e+09,3.092e+09,3.092e+09,3.4452e+10,2.5889e+10,1.02348e+11,-2.355e+09,1.04703e+11,1.864e+09,6.016e+09,4.33e+08,1.816e+10,1.67677e+11,1.17567e+11,3.953e+09,2.2153e+10,6.463e+09,1.50136e+11,9.342e+09,3.486e+09,5.856e+09,8.493e+09,-3.56e+08,1.7479e+10,6.2e+07,1.7541e+10,1.67677e+11,3.71e+08,9.1e+07,2.5e+08,6.3e+07,-2.8e+08,4.95e+08,-4.199e+09,-1.9e+09,1.7e+07,-5.899e+09,-1.11e+08,-2.359e+09,5e+06,9.503e+09,-1.6e+07,7.022e+09,1.618e+09,1.618e+09,1.618e+09,5.3e+08,2.6106e+10,0.20845,0.17379,0.02087,0.00218,8.55915,0.15569,0.52506,0.51873,3.02125,25.07521,0.15924,0.00284,0.30328,46.78113,56.47836
"8","2012_Q1",20.291935483871,"Up",2.374e+09,1.452e+09,1.769e+09,-3.17e+08,9.22e+08,-2.72e+08,2.102e+09,-1.602e+09,-4.9e+07,-1.553e+09,5e+08,5e+08,-1.6e+07,4.84e+08,-8.4e+07,4e+08,4e+08,-9e+06,3.91e+08,-2.91038304567337e-11,3.91e+08,1.562e+09,2.782e+09,2.782e+09,3.8061e+10,2.3433e+10,1.05213e+11,-2.256e+09,1.07469e+11,1.855e+09,6.078e+09,4.44e+08,1.8584e+10,1.74579e+11,1.24939e+11,3.566e+09,2.1803e+10,6.791e+09,1.57099e+11,9.359e+09,3.486e+09,5.873e+09,8.772e+09,-7.13e+08,1.7418e+10,6.2e+07,1.748e+10,1.74579e+11,4e+08,9.2e+07,2.72e+08,1.07e+08,-9.43e+08,-7.2e+07,-3.797e+09,-3.375e+09,-3.69e+08,-7.169e+09,-1.12e+08,-7.04e+08,-2.2e+07,7.372e+09,1.77e+08,6.711e+09,-5.3e+08,-5.3e+08,-5.3e+08,5.92e+08,2.5369e+10,0.21061,0.1647,0.02237,0.00224,8.98736,0.14532,0.56088,0.55387,3.40542,24.98555,0.16066,0.00288,0.28645,40.21453,47.614
"9","2012_Q2",21.5412698412698,"Up",2.307e+09,1.436e+09,1.743e+09,-3.07e+08,8.71e+08,-2.88e+08,2.019e+09,-1.373e+09,-3.5e+07,-1.338e+09,6.46e+08,6.46e+08,-1.2e+07,6.34e+08,-1.89e+08,4.45e+08,4.45e+08,-1.4e+07,4.31e+08,0,4.31e+08,1.336e+09,2.716e+09,2.716e+09,3.9423e+10,2.5349e+10,1.0598e+11,-2.181e+09,1.08161e+11,1.822e+09,6.077e+09,4.22e+08,1.6976e+10,1.74752e+11,1.24157e+11,3.436e+09,2.2768e+10,6.509e+09,1.5687e+11,9.372e+09,3.492e+09,5.88e+09,9.064e+09,-6.16e+08,1.782e+10,6.2e+07,1.7882e+10,1.74752e+11,4.45e+08,8.6e+07,2.88e+08,3.4e+07,1.02e+09,1.873e+09,-1.29e+09,-1.196e+09,1.4e+07,-2.255e+09,-1.12e+08,9.19e+08,-9e+06,-7.82e+08,7.4e+07,9e+07,-2.92e+08,-2.92e+08,-2.92e+08,7.32e+08,2.6204e+10,0.28002,0.18682,0.0241,0.00247,8.77251,0.14995,0.61776,0.6093,3.30665,25.54161,0.16053,0.00311,0.25986,33.97268,38.49536
"10","2012_Q3",22.6744444444444,"Up",2.428e+09,1.462e+09,1.728e+09,-2.66e+08,9.66e+08,-2.73e+08,2.155e+09,-1.424e+09,-3.9e+07,-1.385e+09,7.31e+08,7.31e+08,-2e+06,7.29e+08,-1.91e+08,5.38e+08,5.38e+08,-2e+07,5.18e+08,-8e+06,5.1e+08,1.409e+09,2.458e+09,2.458e+09,3.9011e+10,2.5902e+10,1.08949e+11,-2.126e+09,1.11075e+11,1.816e+09,6.428e+09,6.83e+08,1.7775e+10,1.78529e+11,1.26059e+11,3.196e+09,2.2561e+10,7.787e+09,1.59603e+11,9.408e+09,3.494e+09,5.914e+09,9.433e+09,-5.41e+08,1.8859e+10,6.7e+07,1.8926e+10,1.78529e+11,5.38e+08,9.6e+07,2.73e+08,2.8e+07,-1.89e+08,7.46e+08,3.44e+08,-2.919e+09,-50000000.0000001,-2.964e+09,-1.39e+08,-4.14e+08,5.68e+08,1.902e+09,-2e+07,1.897e+09,-3.21e+08,-3.21e+08,-3.21e+08,8.27e+08,2.5757e+10,0.30107,0.21005,0.02695,0.00286,8.433,0.14427,0.73005,0.71972,3.47563,26.19604,0.19898,0.00364,0.27255,29.44135,33.3078
