"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q2",2.3874,"Down",8055084,-6777091,1277993,-1424617,-1424617,-146624,-12021,-18914,6893,-158645,5868,-152777,63000,-89777,-89777,-89777,-89777,1479110,423015,7288517,7288517,2611242,2317652,354418,738544,13696521,5858944,202913,202913,6061857,19758378,3937816,1869794,2068022,494095,675820,675820,5107731,2390769,956000,956000,-1812.98074483638,3346769,8454500,5159593,-102300,6252610,11303878,11303878,19758378,-89777,189128,32648,-846725,-714726,-961510,-970352,372472,372472,-1312606,-1312606,-1312606,42504,2884864,-1828731,0.15866,-0.0182,-0.01115,-0.00794,-0.00454,20.3697,2.68153,0.74793,0.14601,-0.01825,-0.01825,1.63736,2.29775,-0.37173,-0.00593,-0.12075,33.07345,-9.58748
"2","2016_Q3",3.02553571428571,"Up",9640019,-7571093,2068926,-1435312,-1435312,633614,-3864,-14430,10566,629750,8175,637925,-219000,418925,418925,418925,418925,1863813,779504,7977742,7977742,2702769,2121292,384901,636201,14665616,5953514,192952,192952,6146466,20812082,4366683,2497565,1869118,748012,586176,586176,5700871,2283935,1089000,1089000,0,3372935,9073806,5159593,-102300,6671533,11738276,11738276,20812082,418925,191883,263508,-364934,509382,-285105.999999999,-299975.999999999,147083,147083,356489,356489,356489,825497,3031947,394457,0.21462,0.06573,0.04346,0.03569,0.02013,0.941590000000001,2.57252,0.77301,0.14568,0.08516,0.08434,1.95953,2.38605,0.0801800000000001,0.02642,0.02487,1.41507,1.84361
"3","2016_Q4",4.33942857142857,"Up",12396001,-8273621,4122380,-1467971,-1467971,2654409,-16356,-50126,33770,2638053,7254,2645307,-954000,1691307,1691307,1691307,1691307,2025905,945335,9978089,9978089,2507580,1381909,390888,294798,15893483,7793638,182970,182970,7976608,23870091,4072026,2010714,2061312,637173,1471764,1471764,6180963,3100161,1123000,1123000,0,4223161,10404124,5207993,-102300,8362841,13465967,13465967,23870091,1691307,188886,-84469,-704668,1091056,-2022757,-2031035,1057410,1105810,165831,165831,165831,2843295,3737334,1069870,0.33256,0.21413,0.13644,0.1256,0.07085,0.63257,2.57136,0.77262,0.15657,0.34346,0.34065,2.51728,2.73456,0.21726,0.09229,0.05838,0.60192,0.64475
"4","2017_Q1",5.6941935483871,"Up",9958942,-7079345,2879597,-1684550,-1684550,1195047,-39145,-42375,3230,1155902,10843,1166745,-352000,814745,814745,814745,814745,4572840,3522620,7187630,7187630,2578817,892334,370597,270622,15231621,8007518,173086,173086,8180604,23412225,3316150,2139760,1176390,587523,1155922,431480,5059595,3345511,764000,764000,0,4109511,9169106,5242162,-102300,9128170,14243119,14243119,23412225,814745,251145,301341,1741551,3108782,-417345,-409342,-156324,-122155,2577285,2577285,2577285,1446192,3933034,3122398,0.28915,0.12,0.08181,0.0572,0.0348,3.83236,3.01044,0.64376,0.16799,0.16379,0.15045,2.00209,2.86336,0.62771,0.04302,0.16486,-0.44241,-0.53538
"5","2017_Q2",7.20650793650794,"Up",9497242,-6180954,3316288,-1959849,-1959849,1356439,-25949,-36800,10851,1330490,12711,1343201,-486000,857201,857201,857201,857201,5483766,4423650,5793791,5793791,3795051,832230,469490,362740,15904838,8460394,163193,163193,8623587,24528425,3395944,1738082,1597243,627094,903233,903233,4926271,3348408,939000,939000,4.54747350886464e-13,4287408,9213679,5455441,-102300,9985371,15314746,15314746,24528425,857000,225000,160000,269000,1511000,-656000,-665000,42000,55000,901000,901000,901000,1581439,3975502,1680439,0.34918,0.14282,0.09026,0.05597,0.03495,1.96038,3.22858,0.60162,0.16208,0.17114,0.16968,1.89607,3.0575,0.33549,0.0448,0.08307,-0.95373,-1.11193
"6","2017_Q3",7.1715873015873,"Down",10727758,-7850046,2877712,-1784151,-1784151,1093561,-22051,-35200,13149,1071510,3289,1074799,-363000,711799,711799,711799,711799,3676535,2598766,9252048,9252048,3443621,905988,584906,238372,17278192,9719759,154344,154344,9874103,27152295,3755125,2480166,1274959,632566,2618143,1221522,7005834,3197478,793000,793000,0,3990478,10996312,5579253,-102300,10697023,16155983,16155983,27152295,712000,235000,-77000,-1111000,-241000,-1481000,-1493000,-146000,-91000,-1825000,-1825000,-1825000,1328561,3830044,-900439,0.26825,0.10194,0.06635,0.04406,0.02622,-1.26502,2.46626,0.68063,0.14106,0.1411,0.13972,2.12652,3.20253,-0.17849,0.03426,-0.04333,0.11555,0.14038
"7","2017_Q4",7.15206349206349,"Down",11481000,-8330000,3151000,-1921000,-1921000,1230000,-24000,-35000,11000,1206000,16000,1222000,-474000,748000,748000,748000,748000,3539264,2454503,10767243,10767243,2997319,870653,521379,194554,18174479,9903333,144514,144514,10047847,28222326,4038954,2552369,1486585,638103,2827883,1482026,7504940,3043839,701000,701000,7.27595761418343e-12,3744839,11249779,5648535,-102300,11445277,16972547,16972547,28222326,748000,234000,-7000,-569000,406000,-395000,-402000,-148000,-148000,-144000,-144000,-144000,1464000,3681942,974000,0.27445,0.10713,0.06515,0.04407,0.0265,1.30214,2.42167,0.66282,0.13046,0.148,0.14668,2.2716,3.35814,0.19271,0.03503,0.04561,0.09746,0.116
"8","2018_Q1",8.75213114754098,"Up",10011000,-7775000,2236000,-2201000,-2201000,35000,47000,-40000,87000,82000,19000,101000,266000,367000,367000,367000,367000,4488000,3390000,8967000,8967000,3515000,2062000,452000,251000,19032000,9867000,326000,326000,10193000,29225000,5134000,3059000,1819000,637000,2063000,919000,7834000,2896000,1290000,1290000,0,4186000,12020000,5770000,-102000,11556000,17205000,17205000,29225000,367000,232000,671000,-20000,1250000,-163000,-167000,-148000,-148000,935000,935000,935000,267000,3533000,-182000,0.22335,0.00350000000000002,0.03666,0.02133,0.01256,-0.49591,2.42941,0.69863,0.12089,0.07253,0.07238,1.97838,3.40007,-0.03597,0.01666,-0.00826,-3.57678,-27.28571
"9","2018_Q2",8.3515625,"Down",9125000,-7534000,1591000,-2144000,-2144000,-553000,-28000,-36000,8000,-581000,24000,-557000,135000,-422000,-422000,-422000,-422000,2093000,1006000,9833000,9833000,3e+06,2403000,528000,550000,17329000,10481000,1347000,1347000,11828000,29157000,4047000,2731000,1316000,693000,1994000,749000,6734000,3039000,2492000,1148000,1344000,5531000,12265000,5893000,-102000,11134000,16892000,16892000,29157000,-422000,248000,-1054000,-275000,-1503000,-822000,-830000,199000,-51000,-2384000,-2384000,-2384000,-305000,3732000,-1537000,0.17436,-0.0606,-0.04625,-0.02498,-0.01447,3.64218,2.57336,0.72608,0.128,-0.08252,-0.08252,1.78432,3.30309,-0.30055,-0.00718,-0.06649,-5.37377,-2.96383
"10","2018_Q3",7.9984126984127,"Down",9833000,-6857000,2976000,-2065000,-2065000,911000,-25000,-35000,10000,886000,31000,917000,-225000,692000,692000,692000,692000,1936000,839000,11262000,11262000,3092000,3038000,441000,1272000,19328000,10434000,3255000,3255000,13689000,33017000,4341000,2986000,1275000,693000,2425000,1227000,7459000,2878000,5020000,1287000,3733000,7898000,15357000,5968000,-102000,11826000,17660000,17660000,33017000,692000,256000,-1801000,1017000,164000,-168000,-176000,-161000,-155000,-167000,-167000,-167000,1167000,3571000,2241000,0.30265,0.09265,0.07038,0.03918,0.02096,3.23844,2.59123,0.86959,0.10816,0.13622,0.13558,1.93563,3.47638,0.44114,0.02636,0.08537,1.40103,1.79473
