"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q2",20.11140625,"Up",22341000,-10083000,12258000,-13332000,-9213000,-5336000,-3877000,-4119000,-1074000,-178000,-126000,-52000,-1252000,-1252000,-61000,-1313000,-1313000,-1313000,-1313000,115978459.955664,129437312.089643,-13275174.2968333,-13275174.2968333,5390705.23867985,4896967.98304685,493737.255633,108093990.897511,7018694.30122636,3353525.73716553,1162991.29832107,1508938.35643262,681596.082411841,10372220.0383919,118466210.935902,8618697.03131644,-10157018.7795052,18775715.8108216,14685955.4115677,14685955.4115677,34007803.9114682,-5307089.75302368,543439.767588634,531933.216650149,34539737.1281184,147297182.546898,-63311181.7737837,-59526.965330206,83926473.8077841,83926473.8077841,118466210.935902,-1313000,523000,586000,-912000,-1116000,-164000,-1118000,90000,90000,-890000,-3124000,-3124000,-11000,-3135000,-551000,0,-1566000,0.54868,-0.04807,-0.05877,-0.118715721546882,-0.073329672682918,1.19269,3.26987416364238,0.432561583854384,0.12157303158776,-0.16355,-0.16355,2.78288,23.2047919003078,-0.19507,-0.1089546669452,-0.0591416968225865,998.651059542664,555.446035722975
"2","2013_Q3",17.9621875,"Down",24559000,-11581000,12978000,-14011000,-9528000,-5770000,-3758000,-4483000,-1033000,-775000,-115000,-660000,-1808000,-1808000,-88000,-1896000,-1896000,-1896000,-1896000,109087000,109024000,15101000,15101000,3064000,1621000,1443000,127252000,5966000,3303000,1083000,1509000,711000,9269000,136521000,13254000,539000,12715000,28118000,28118000,44391000,3086000,688000,4570000,48961000,152102000,-64398000,-144000,87560000,87560000,136521000,-1896000,579000,1672000,-1756000,-1401000,-308000,-1139000,423000,423000,98943000,96403000,96403000,-12000,96391000,-454000,4503000,-2430000,0.52844,-0.04206,-0.0772,-0.02165,-0.01389,1.28165,2.86662,0.55917,0.03298,-0.18746,-0.18746,2.42822,8.65731,-0.24026,-0.01993,-0.02554,230.36123,101.24298
"3","2013_Q4",9.34671875,"Down",27247000,-12392000,14855000,-13202000,-9139000,-5256000,-3883000,-4063000,1653000,-37000,-85000,48000,1616000,1616000,-81000,1535000,1535000,1535000,1535000,105137000,105078000,20146000,20146000,3383000,2124000,1259000,128666000,6913000,3196000,1001000,1509000,686000,10109000,138775000,16224000,2282000,13942000,25854000,25854000,42511000,5025000,684000,5054000,47565000,154315000,-62863000,-242000,91210000,91210000,138775000,1535000,559000,1901000,-2162000,1833000,-339000,-1315000,255000,255000,-4433000,-3915000,-3915000,-31000,-3946000,2212000,462000,-208000,0.5452,0.06067,0.05634,0.01683,0.01106,-0.1355,3.02665,0.52149,0.00333,0.06733,0.06733,1.19513,4.00071,-0.00912,0.01587,-0.00215,-47.3214299999999,-63.32426
"4","2014_Q1",11.1332786885246,"Up",27757000,-12126000,15631000,-13434000,-9327000,-4782000,-4545000,-4107000,2197000,-24999.9999999999,-31000,6000,2172000,957000,-209000,748000,748000,748000,748000,103350000,103350000,16140000,16140000,4058000,3225000,833000,123548000,7871000,3053000,918000,1509000,626000,10924000,134472000,17257000,468000,16789000,19131000,19131000,36706000,4148000,641000,4148000,40854000,156035000,-62115000,-302000,93618000,93618000,134472000,748000,546000,1519000,-2543000,270000,-581000,-1568000,92000,92000,-404000,-1702000.00000001,-1702000.00000001,-26000,-1728000,2743000,318000,-172000,0.56314,0.07915,0.02695,0.00799,0.00556,-0.22995,3.36588,0.43639,0.00236,0.03256,0.03256,1.20811,4.07468,-0.00749000000000001,0.00763,-0.00175,-37.56179,-46.89668
"5","2014_Q2",10.2228571428571,"Down",21559000,-9945000,11614000,-14558000,-9691000,-5293000,-4398000,-4867000,-2944000,-27000,4000,-31000,-2971000,-3040000,-83000,-3123000,-3123000,-3123000,-3123000,102787000,92789000,16692000,16692000,3147000,2207000,940000,122626000,7089000,2926000,835000,1509000,582000,10015000,132641000,16083000,153000,15930000,18549000,18549000,34823000,3877000,661000,3877000,38700000,159457000,-65238000,-278000,93941000,93941000,132641000,-3123000,958000,1982000,-1617000,-1800000,-81000,-10079000,1450000,1450000,1323000,-10556000,-10556000,-5000,-10561000,-1986000,191000,-3601000,0.53871,-0.13656,-0.14486,-0.03324,-0.02354,1.15306,3.52141,0.41196,0.00144,-0.13316,-0.13316,0.91924,4.0055,-0.15354,-0.03186,-0.03674,51.65962,34.84918
"6","2014_Q3",9.6578125,"Down",20650000,-9813000,10837000,-15734000,-11053000,-6336000,-4717000,-4681000,-4897000,-53000,3000,-56000,-4950000,-4950000,-82000,-5032000,-5032000,-5032000,-5032000,101724000,101724000,20394000,20394000,3450000,2733000,717000,125568000,6638000,3206000,753000,1509000,944000,9844000,135412000,13759000,287000,13472000,22727000,22727000,36583000,3666000,671000,3666000,40249000,165661000,-70270000,-228000,95163000,95163000,135412000,-5032000,921000,2826000,-2660000,-3945000,-437000,9561000,3388000,3388000,3294000,8910000,8910000,25000,8935000,-3976000,97000,-6991000,0.52479,-0.23714,-0.24368,-0.05288,-0.03716,1.38931,3.43241,0.42295,0.00072,-0.20627,-0.20627,0.84648,3.90092,-0.28658,-0.05087,-0.07067,25.56011,20.75291
"7","2014_Q4",10.12625,"Up",19269000,-9114000,10155000,-16881000,-12067000,-6664000,-5403000,-4814000,-6726000,-21000,3000,-24000,-6747000,-6704000,-96000,-6800000,-6800000,-6800000,-6800000,103170000,103170000,17946000,17946000,3125000,2463000,662000,124241000,6801000,3435000,670000,1509000,1256000,10236000,134477000,13789000,255000,13534000,26264000,26264000,40079000,3158000,678000,3158000,43237000,168534000,-77070000,-224000,91240000,91240000,134477000,-6800000,912000,2671000,5510000,2293000,-985000,-985000,211000,211000,134000,1442000,1442000,4000,1446000,-5814000,26000,-1193000,0.52701,-0.34906,-0.3529,-0.07453,-0.05057,0.17544,3.0999,0.47388,0.00019,-0.27426,-0.27426,0.77716,3.67992,-0.04812,-0.07202,-0.01263,17.74063,15.33512
"8","2015_Q1",11.4768852459016,"Up",20278000,-8872000,11406000,-17206000,-12858000,-7705000,-5153000,-4348000,-5800000,-3000,2000,-5000,-5803000,-5803000,-123000,-5926000,-5926000,-5926000,-5926000,101006000,101006000,15203000,15203000,2665000,2092000,573000,118874000,6889000,3368000,587000,1509000,1272000,10257000,129131000,12561000,1369000,11192000,23943000,23943000,36504000,3663000,1078000,3663000,40167000,172249000,-82996000,-289000,88964000,88964000,129131000,-5926000,925000,2553000,-150000,-2598000,-332000,-712999.999999998,1189000,1189000,1163000,-2148000,-2148000,-16000,-2164000,-4875000,-7.27595761418343e-12,-5234000,0.56248,-0.28602,-0.29224,-0.06661,-0.04589,0.88323,3.25647,0.4515,0,-0.23748,-0.23748,0.81262,3.56512,-0.20975,-0.06398,-0.05651,20.71918,17.41483
"9","2015_Q2",11.8514285714286,"Up",22101000,-9526000,12575000,-16782000,-12328000,-6740000,-5588000,-4454000,-4207000,43000,4000,39000,-4164000,-4164000,-135000,-4299000,-4299000,-4299000,-4299000,96414000,96414000,16719000,16719000,2655000,2223000,432000,115788000,7481000,3620000,504000,1509000,1607000,11101000,126889000,12437000,1711000,10726000,24145000,24145000,36582000,3119000,947000,3119000,39701000,174853000,-87295000,-370000,87188000,87188000,126889000,-4299000,933000,2451000,-2538000,-3453000,-710000,-1273000,158000,158000,158000,-4568000,-4568000,-24000,-4592000,-3274000,0,-6387000,0.56898,-0.19035,-0.19452,-0.04931,-0.03388,1.48569,3.16516,0.45535,-6.7762635780344e-21,-0.16979,-0.16979,0.8729,3.44358,-0.25226,-0.0476,-0.07073,29.44838,22.91752
"10","2015_Q3",10.833125,"Down",22676000,-9560000,13116000,-17433000,-13147000,-7857000,-5290000,-4286000,-4317000,-90000,2000,-92000,-4407000,-4407000,-192000,-4599000,-4599000,-4599000,-4599000,93159000,93159000,17950000,17950000,2381000,1782000,599000,113490000,7675000,3740000,439000,1509000,1792000,11415000,124905000,13518000,2558000,10960000,22124000,22124000,35642000,2777000,986000,2777000,38419000,178737000,-91894000,-357000,86486000,86486000,124905000,-4599000,950000,2360000,-2518000,-3807000,-312000,-999000,1544000,1544000,1544000,-3262000,-3262000,7000,-3255000,-3367000,0,-6005000,0.57841,-0.19038,-0.20281,-0.05318,-0.03682,1.30572,3.18416,0.44422,0,-0.17774,-0.17774,0.87637,3.34245,-0.23208,-0.05152,-0.06727,27.66825,21.57957
