"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q4",18.6383870967742,"Down",65700000,-18633000,47067000,-47108000,-36646000,-10462000,-41000,0,3000,-3000,-41000,-41000,837000,796000,796000,796000,796000,353543792.168726,799838376.823625,-446294584.654899,23156327.1946606,23156327.1946606,16777739.3755122,16777739.3755122,393477858.738899,20219664.4137537,-30436682.7153017,3796247.25043395,4052960.52817072,-6420771.0511141,387057087.687785,56156548.9043773,5210051.25716074,50946497.6472166,72937377.2927853,72937377.2927853,129088411.046933,48807330.4672503,41035583.4591486,7771747.00810165,49090011.3515716,178178422.398504,279124052.872719,-70332436.3196337,87048.7361956325,208878665.289281,208878665.289281,387057087.687785,796000,1719000,3851000,4409000,10775000,-4218000,0,-4218000,1008000,1008000,0,599000,904000,7461000,7461000,7461000,1678000,0,1032000,0.71639,-0.00062,0.01212,-0.00625407179957708,-0.00544519370866858,1.29648,3.36908676763334,0.846610190702272,0.000188598464188436,0.01437,0.01066,1.18641,8.35740202574245,0.01864,-0.00659675092701313,0.212954471861703,-7174.40049162684,288.274952770731
"2","2013_Q1",18.3043333333333,"Down",75642000,-21567000,54075000,-58319000,-46573000,-11746000,-4244000,-66000,-43000,-23000,-4310000,-4310000,-289000,-4599000,-4599000,-4599000,-4599000,322642000,322642000,0,45642000,45642000,13373000,13373000,381657000,20979000,0,5168000,5168000,26147000,407804000,35710000,9214000,26496000,86296000,86296000,122006000,56727000,49512000,7215000,56727000,178733000,309099000,-80028000,0,229071000,229071000,407804000,-4599000,1941000,6272000,15276000,18890000,-3284000,0,-3283999.99999994,460000,479000,-19000,215590000,216753000,232359000,232359000,232359000,-2303000,0,9978000,0.71488,-0.05611,-0.0608,-0.02008,-0.01128,-2.1696,3.12818,0.78025,0,-0.05917,-0.07869,0.97314,2.94701,0.12837,-0.01609,0.03491,140.0964,76.02309
"3","2013_Q2",16.650625,"Down",85934000,-24190000,61744000,-64875000,-51563000,-13312000,-3131000,-72000,98000,-170000,-3203000,-3203000,-312000,-3515000,-3515000,-3515000,-3515000,321557000,174473000,147084000,56369000,56369000,16813000,16813000,394739000,22965000,20567000,6026000,6026000,49558000,444297000,41204000,10290000,30914000,101412000,101412000,142616000,65892000,58996000,6896000,65892000,208508000,319359000,-83543000,-27000,235789000,235789000,444297000,-3515000,2053000,8600000,15938000,23076000,-4015000,-168475000,-172490000,1510000,1534000,-24000,0,1245000,-148169000,-148169000,-148169000,-1078000,0,11157000,0.7185,-0.03643,-0.0409,-0.01491,-0.00791,-3.17411,2.76785,0.8843,0,-0.01754,-0.01754,0.42873,1.17636,0.05566,-0.01165,0.03698,298.29035,102.70105
"4","2013_Q3",15.77125,"Down",96499000,-27618000,68881000,-71038000,-55543000,-15495000,-2157000,56000,116000,-60000,-2101000,-2101000,-512000,-2613000,-2613000,-2613000,-2613000,337444000,187924000,149520000,68586000,68586000,20644000,20644000,426674000,25980000,30871000,6624000,6624000,63475000,490149000,51559000,10769000,40790000,117437000,117437000,168996000,77633000,70746000,6887000,77633000,246629000,329687000,-86156000,-11000,243520000,243520000,490149000,-2613000,2415000,9146000,25559000,34507000,-6221000,-13517000,-19738000,1009000,1020000,-11000,106000.00000003,-1318000.00000003,13451000,13451000,13451000,258000,0,20108000,0.7138,-0.02235,-0.02708,-0.01073,-0.00533,-7.69537,2.52476,1.01277,0,-0.01288,-0.01288,0.47557,1.20013,0.0991,-0.00814,0.06261,-1307.92248,156.44135
"5","2013_Q4",15.84953125,"Up",101289000,-27690000,73599000,-80049000,-64001000,-16048000,-6450000,-24000,133000,-157000,-6474000,-6474000,-808000,-7282000,-7282000,-7282000,-7282000,361697000,213664000,148033000,91489000,91489000,19538000,19538000,472724000,29500000,29767000,6786000,6786000,66053000,538777000,48050000,12810000,35240000,133968000,133968000,182018000,92878000,85336000,7542000,92878000,274896000,357296000,-93438000,23000,263881000,263881000,538777000,-7282000,2753000,13130000,6605000,15206000,-6359000,1950000,-4409000,14872000,14908000,-36000,71000,14943000,25740000,25740000,25740000,-3697000,0,-2643000,0.72662,-0.06368,-0.07189,-0.0276,-0.01352,0.36295,2.59713,1.04174,5.42101086242752e-20,-0.03489,-0.03489,0.48527,1.26425,-0.01266,-0.02041,-0.00741000000000001,97.83527,56.07705
"6","2014_Q1",22.6901639344262,"Up",112385000,-30258000,82127000,-89010000,-71383000,-17627000,-6883000,5000,-421000,426000,-6878000,-6878000,-8958000,-15836000,-15836000,-15836000,-15836000,419621000,310614000,109007000,87461000,87461000,22617000,22617000,529699000,32086000,17314000,6507000,5149000,55907000,585606000,52157000,15544000,36613000,153945000,153945000,206102000,107084000,95285000,11799000,107084000,313186000,381710000,-109274000,-16000,272420000,272420000,585606000,-15836000,2671000,8271000,46624000,41730000,-5847000,50919000,45072000,3563000,3570000,-7000,6585000,10148000,96950000,96950000,96950000,-4212000,0,45523000,0.73076,-0.06124,-0.14091,-0.05813,-0.02704,-2.87465,2.57008,1.14964,0,-0.07466,-0.07466,0.52985,1.28434,0.21462,-0.04173,0.11995,99.62512,60.96484
"7","2014_Q2",23.3436507936508,"Up",128180000,-33807000,94373000,-101384000,-81491000,-19893000,-7011000,397000,-8000,405000,-6614000,-6614000,-1247000,-7861000,-7861000,-7861000,-7861000,436733000,266182000,170551000,91439000,91439000,24160000,24160000,552332000,42409000,33642000,11560000,11560000,87611000,639943000,56712000,15218000,41494000,171617000,171617000,228329000,121835000,107339000,14496000,121835000,350164000,406909000,-117135000,5000,289779000,289779000,639943000,-7861000,3146000,14713000,28883000,38881000,-15680000,-78279000,-93959000,10590000,10598000,-8000,56000,10646000,-44432000,-44432000,-44432000,-3865000,0,10585000,0.73625,-0.0547,-0.06133,-0.02713,-0.01228,-1.34652,2.41902,1.20838,-8.67361737988404e-19,-0.03656,-0.03656,0.59607,1.34754,0.04922,-0.0191,0.02572,112.9969,62.29254
"8","2014_Q3",28.7065625,"Up",141068000,-37504000,103564000,-120720000,-96467000,-24253000,-17156000,-184000,-14000,-170000,-17340000,-37340000,-2606000,-39946000,-39946000,-39946000,-39946000,438212000,261867000,176345000,86090000,86090000,30985000,30985000,555287000,45735000,63105000,24899000,24899000,133739000,689026000,60479000,10341000,50138000,202330000,202330000,262809000,141773000,122261000,19512000,141773000,404582000,441482000,-157081000,43000,284444000,284444000,689026000,-39946000,3936000,24089000,53317000,41396000,-9803000,-35798000,-55703000,9374000,9475000,-101000,618000,9992000,-4315000.00000003,-4315000.00000003,-4315000.00000003,-13220000,0,32900000,0.73414,-0.12162,-0.28317,-0.14044,-0.05797,-0.82361,2.11289,1.42236,0,-0.18277,-0.18277,0.64544,1.30143,0.15053,-0.09372,0.07719,33.14766,25.54278
"9","2014_Q4",36.8628125,"Up",150700000,-39710000,110990000,-135549000,-107712000,-27837000,-24559000,417000,-13000,430000,-24142000,-145315000,-1272000,-146587000,-146587000,-146587000,-146587000,367970000,234790000,133180000,114789000,114789000,33686000,33686000,516445000,48488000,103902000,211552000,6853000,363942000,880387000,204125000,24641000,179484000,231226000,231226000,435351000,173343000,136707000,36636000,173343000,608694000,575300000,-303668000,61000,271693000,271693000,880387000,-146587000,4556000,28305000,148005000,34279000,-5896000,1876000,-79644000,18204000,18227000,-23000,84000,18288000,-27077000,-27077000,-27077000,-20003000,0,123378000,0.7365,-0.16297,-0.97271,-0.53953,-0.1665,-0.84167,1.18627,2.24037,1.38777878078145e-17,-0.65178,-0.65178,0.67007,1.20806,0.54859,-0.32938,0.27723,18.39574,14.9831
"10","2015_Q1",44.772131147541,"Up",178252000,-48579000,129673000,-155047000,-122230000,-32817000,-25374000,-7530000,-1865000,-5665000,-32904000,-32931000,825000,-32106000,-32106000,-32106000,-32106000,772502000,653812000,118690000,135518000,135518000,50306000,50306000,958326000,48744000,201880000,269516000,66528000,520140000,1478466000,88253000,14526000,73727000,259918000,259918000,348171000,194837000,162660000,32177000,661712000,1009883000,804414000,-335726000,-105000,468583000,468583000,1478466000,-32106000,7762000,87093000,-88905000,-26156000,-4721000,-86299000,-90994000,8232000,8100000,132000,242000,536174000,419024000,419024000,419024000,-17612000,466875000,-112063000,0.72747,-0.14235,-0.18012,-0.06852,-0.02172,3.49041,2.75246,2.15518,0.31578,-0.13774,-0.13774,0.76472,2.01027,-0.48076,-0.0284,-0.09914,17.35334,12.04489
