"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","total_otti_realized","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","equity_securities","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","reserve_for_outstanding_claims_losses","premium_reserve_unearned","other_insurance_reserves","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",13.081875,"Up",2.363e+09,1.645e+09,5.81e+08,1.37e+08,6.2e+07,6.2e+07,7.5e+07,-1.344e+09,-3.51e+08,-7.95e+08,-1.27e+08,-4e+07,-4e+07,-1.67e+08,-1.67e+08,6.4e+07,-1.03e+08,-1.25e+08,-1.4e+08,-1.58e+08,43867437537.5139,38648312475.8838,551444054.718632,4774085395.7578,78899940.3963286,9905865499.32801,495134496.8904,257887870.571489,1646098271.15088,56251323615.851,37823490459.4566,26576586090.2515,3050561756.27822,8196342612.92685,1273209407.26257,2733032201.71593,43226214344.4446,2977820286.60995,-109353904.116797,7473745826.34318,969201088.637424,11561588423.5751,13025109271.4064,56251323615.851,-1.03e+08,-1.25e+08,1.9e+07,-7.3e+07,-1.022e+09,-1.254e+09,-1.5e+07,-1.5e+07,1.333e+09,4e+06,1.383e+09,-1.8e+07,-1e+06,-1.21e+08,8e+06,8e+06,2e+06,1e+07,-1.08e+08,0,-1.209e+09,-0.05375,-0.06686,0.0154785391624093,0.00335214423638321,7.6519,3.29804158645332,0.0474693379434933,-0.58714,-0.58649,8.78112,43.0397535540198,-4.49275,0.06689,0.00301501648094707,-0.018528376877093,-0.11392,14.28240975659,18.7989618576795
"2","2011_Q1",13.6075806451613,"Up",2.298e+09,1.647e+09,6.24e+08,2.7e+07,-3.9e+07,-3.9e+07,6.6e+07,-1.186e+09,-1.3e+08,-4.62e+08,5.2e+08,-4.4e+07,-4.4e+07,4.76e+08,4.76e+08,-1.49e+08,3.27e+08,3.27e+08,3.03e+08,2.95e+08,4.2655e+10,3.7577e+10,4.4e+08,4.551e+09,7.7e+07,8.636e+09,3.33e+08,1.079e+09,2.551e+09,5.5331e+10,3.7417e+10,2.5496e+10,3.203e+09,8.718e+09,2.251e+09,3.506e+09,4.3574e+10,2.883e+09,-1.05e+08,7.876e+09,3e+08,1.1187e+10,1.1757e+10,5.5331e+10,3.27e+08,3.27e+08,1.8e+07,8.6e+07,1.54e+08,5.84e+08,-1.4e+07,-1.5e+07,-79999999.9999998,0,-9.3e+07,-8e+06,4e+06,-4.97e+08,-6e+06,-6e+06,1e+06,-5e+06,5.38e+08,2.651e+09,8.27e+08,0.22628,0.12837,0.02509,0.00533,2.80339,3.70622,0.04791,1.09625,1.0934,8.53958,41.57191,3.07321,0.02973,0.00548,0.01495,0.02712,4.78439,4.95
"3","2011_Q2",14.301746031746,"Up",2.315e+09,1.615e+09,6.2e+08,8e+07,1.3e+07,1.3e+07,6.7e+07,-1.364e+09,-2.97e+08,-2.77e+08,3.77e+08,-4.6e+07,-4.6e+07,3.31e+08,3.31e+08,-1.01e+08,2.3e+08,2.29e+08,2.2e+08,2.2e+08,42667687487.4954,37719729174.7054,377185315.093789,4396554868.08073,80366686.5345571,8345128166.89066,284455167.7032,1282620709.8095,2687383909.61637,55347642128.0497,37432169846.8478,25174054636.5828,3329729414.57393,8928385795.69105,2633596864.24581,3674322599.42802,43753845218.5185,2838309904.46335,-102798698.627734,8081584724.55227,345599637.120859,11389970525.475,11593796909.5312,55347642128.0497,2.3e+08,2.29e+08,1.9e+07,-3.4e+07,-1.01e+08,1.12e+08,-1.1e+07,-1.1e+07,-6.6e+07,1e+06,-7.4e+07,-2.7e+07,-2e+06,-3.6e+07,2e+06,2e+06,2e+06,4e+06,3.96e+08,0,3.85e+08,0.16285,0.09503,0.0202888202791969,0.00430511858787226,1.75,3.76896197118223,0.0478293873521689,0.81724,0.81633,8.59955,42.2963121486601,1.43016,0.1003,0.00470249450635098,0.0186761256256976,0.12273,5.59357258113668,5.10286021410684
"4","2011_Q3",11.99546875,"Down",2.198e+09,1.595e+09,5.17e+08,8.6e+07,1.5e+07,1.5e+07,7.1e+07,-1.367e+09,-2.86e+08,-3.26e+08,2.19e+08,-4.3e+07,-4.3e+07,1.76e+08,1.76e+08,-4.7e+07,1.29e+08,1.29e+08,1.24e+08,1.24e+08,4.3377e+10,3.8554e+10,3.46e+08,4.279e+09,8.4e+07,8.497e+09,3e+08,1.106e+09,2.41e+09,5.5774e+10,3.7626e+10,2.5196e+10,3.409e+09,9.021e+09,2.648e+09,3.521e+09,4.3795e+10,2.826e+09,-1.02e+08,8.171e+09,7.07e+08,1.1832e+10,1.1979e+10,5.5774e+10,1.29e+08,1.29e+08,1.9e+07,-4.4e+07,1.96e+08,3e+08,-1.3e+07,-1.3e+07,1.83e+08,1e+06,-2.55e+08,-2.7e+07,-1.1e+07,-4.2e+07,3e+06,3e+06,0,3e+06,2.38e+08,2.648e+09,4.68e+08,0.09964,0.05641,0.01035,0.00222,3.77419,3.65598,0.04748,0.46045,0.45994,8.1619,43.93613,1.73784,0.10026,0.00271,0.00838999999999999,0.21774,10.77311,11.70776
"5","2011_Q4",12.2814285714286,"Up",2.175e+09,1.732e+09,3.94e+08,4.9e+07,-2.7e+07,-2.7e+07,7.6e+07,-1.4e+09,-2.97e+08,-3.11e+08,1.67e+08,-4.3e+07,-4.3e+07,1.24e+08,1.24e+08,-4.8e+07,7.6e+07,7.6e+07,7.5e+07,7.5e+07,4.4105e+10,3.9456e+10,3.27e+08,4.118e+09,8.4e+07,8.417e+09,3.24e+08,7.83e+08,2.131e+09,5.5844e+10,3.7675e+10,2.5031e+10,3.386e+09,9.258e+09,2.538e+09,3.333e+09,4.3646e+10,2.827e+09,-1.02e+08,8.219e+09,8.64e+08,1.205e+10,1.2198e+10,5.5844e+10,7.6e+07,7.6e+07,2.1e+07,2.61e+08,4.3e+07,4.01e+08,-4.3e+07,-4.3e+07,-2.73e+08,2e+06,-3.63e+08,-2.7e+07,3e+06,-3.5e+07,3e+06,3e+06,-3e+06,0,1.88e+08,2.638e+09,2.36e+08,0.07678,0.03448,0.00615,0.00134,3.14667,3.57813,0.04724,0.2785,0.27809,8.07649,44.74564,0.87635,0.10026,0.00183,0.00423,0.36,13.58511,15.29341
"6","2012_Q1",13.8058064516129,"Up",2.261e+09,1.661e+09,5.23e+08,7.7e+07,-3e+06,-3e+06,8e+07,-1.358e+09,-2.96e+08,-3.24e+08,2.83e+08,-4.3e+07,-4.3e+07,2.4e+08,2.4e+08,-4.6e+07,1.94e+08,1.94e+08,1.93e+08,1.93e+08,4.4373e+10,3.9937e+10,3.04e+08,3.898e+09,7.5e+07,7.615e+09,3.09e+08,5.52e+08,2.186e+09,5.511e+10,3.7363e+10,2.4303e+10,3.25e+09,9.81e+09,2.525e+09,3.392e+09,4.3363e+10,2.824e+09,-1.02e+08,8.308e+09,4.58e+08,1.1747e+10,1.1747e+10,5.511e+10,1.94e+08,1.94e+08,2e+07,50000000.0000001,6.25e+08,8.89e+08,1.54e+08,-1.7e+07,-9.94e+08,-3e+06,-8.43e+08,-2.7e+07,2e+06,-5.6e+07,-1e+07,-1e+07,1e+06,-9e+06,3.03e+08,2.608e+09,1.128e+09,0.12517,0.08536,0.01643,0.0035,5.84456,3.69141,0.04732,0.71641,0.71588,8.39272,43.60431,4.18708,0.10022,0.00399,0.02047,0.1399,8.35974,8.95053
"7","2012_Q2",14.0890476190476,"Up",2.401e+09,1.649e+09,6.48e+08,1.04e+08,3.6e+07,3.6e+07,6.8e+07,-1.381e+09,-2.95e+08,-3.19e+08,4.06e+08,-4.2e+07,-4.2e+07,3.64e+08,3.64e+08,-1.14e+08,2.5e+08,2.5e+08,2.5e+08,2.5e+08,4.5465e+10,4.0837e+10,2.98e+08,4.049e+09,5.9e+07,7.562e+09,3.07e+08,5.76e+08,2.038e+09,5.6007e+10,3.7545e+10,2.4203e+10,3.383e+09,9.959e+09,2.526e+09,3.635e+09,4.3789e+10,2.823e+09,-1e+08,8.517e+09,7.41e+08,1.2218e+10,1.2218e+10,5.6007e+10,2.5e+08,2.5e+08,2e+07,-6e+07,1.02e+08,3.12e+08,-2.2e+07,-2.2e+07,-2.69e+08,4e+06,-2.87e+08,-4.1e+07,-1e+06,-4.2e+07,-1.7e+07,-1.7e+07,1e+06,-1.6e+07,4.26e+08,2.609e+09,6.2e+08,0.1691,0.10412,0.02046,0.00446,2.48,3.58397,0.04658,0.92833,0.92696,8.91571,45.36948,2.30227,0.15225,0.0052,0.01107,0.164,5.98592,6.28079
"8","2012_Q3",13.1796825396825,"Down",2.246e+09,1.668e+09,4.7e+08,1.08e+08,2.2e+07,2.2e+07,8.6e+07,-1.348e+09,-3.09e+08,-3.16e+08,2.73e+08,-4.3e+07,-4.3e+07,2.3e+08,2.3e+08,-6.4e+07,1.66e+08,1.66e+08,1.66e+08,1.66e+08,4.6001e+10,4.1367e+10,2.9e+08,4.005e+09,1e+08,7.545e+09,3.1e+08,5.84e+08,1.959e+09,5.6499e+10,3.7837e+10,2.4007e+10,3.478e+09,1.0352e+10,2.526e+09,3.601e+09,4.4047e+10,2.824e+09,-9.9e+07,8.643e+09,8.46e+08,1.2452e+10,1.2452e+10,5.6499e+10,1.66e+08,1.66e+08,1.9e+07,-1e+06,1.22e+08,3.06e+08,-2e+07,-2e+07,-2.11e+08,8000000.00000001,-2.23e+08,-4e+07,-2e+06,-4.1e+07,4.2e+07,4.2e+07,-1e+06,4.1e+07,2.92e+08,2.609e+09,4.58e+08,0.12155,0.07391,0.01333,0.00294,2.75904,3.53734,0.04618,0.61596,0.6155,8.33395,46.20408,1.69944,0.14842,0.00365,0.00811,0.24096,8.59247,9.19048
"9","2012_Q4",13.9567741935484,"Up",2.466e+09,1.781e+09,6.01e+08,8.4e+07,8e+06,8e+06,7.6e+07,-1.435e+09,-3.33e+08,-3.41e+08,3.57e+08,-4.3e+07,-4.3e+07,3.14e+08,3.14e+08,-9.3e+07,2.21e+08,2.21e+08,2.21e+08,2.21e+08,4.7788e+10,4.2305e+10,2.6e+08,4.865e+09,1.29e+08,7.742e+09,3.17e+08,6.03e+08,2.033e+09,5.8612e+10,3.8986e+10,2.4331e+10,3.681e+09,1.0974e+10,2.557e+09,4.16e+09,4.5716e+10,2.827e+09,-9.9e+07,8.823e+09,1.109e+09,1.2896e+10,1.2896e+10,5.8612e+10,2.21e+08,2.21e+08,4.4e+07,-3.3e+07,1.43e+08,3.75e+08,-1.8e+07,-1.8e+07,-2.4e+07,-1.95e+08,-2.37e+08,-4.1e+07,-1e+06,-1.12e+08,2.6e+07,2.6e+07,3e+06,2.9e+07,4.01e+08,2.57e+09,6.19e+08,0.14477,0.08962,0.01714,0.00377,2.8009,3.54498,0.04385,0.82034,0.81913,9.15367,47.86934,2.2977,0.15219,0.00447,0.01056,0.18552,6.08728,6.83754
"10","2013_Q1",15.5126666666667,"Up",2.251e+09,1.783e+09,3.91e+08,7.7e+07,-1.2e+07,-1.2e+07,8.9e+07,-1.565e+09,-3.37e+08,-3.56e+08,-6999999.99999994,-4.2e+07,-4.2e+07,-4.9e+07,-4.9e+07,3.2e+07,-1.7e+07,-8999999.99999997,-8999999.99999997,-9000000.00000003,4.7636e+10,4.2633e+10,2.49e+08,4.353e+09,1.56e+08,8.04e+09,3.26e+08,5.98e+08,1.766e+09,5.8522e+10,3.9848e+10,2.4763e+10,3.61e+09,1.1475e+10,2.557e+09,3.633e+09,4.6051e+10,2.829e+09,-9.9e+07,8.774e+09,8.1e+08,1.2471e+10,1.2471e+10,5.8522e+10,-8999999.99999997,-8999999.99999997,4.2e+07,1.1e+07,2.13e+08,2.57e+08,-3.3e+07,-3.4e+07,-1.56e+08,1999999.99999997,-1.87e+08,-4e+07,-3e+06,-4.4e+07,2.6e+07,2.6e+07,1e+06,2.7e+07,3.5e+07,2.57e+09,1.83e+08,-0.00311,-0.00400000000000002,-0.000719999999999998,-0.00015,-20.33333,3.69265,0.04392,-0.0334100000000003,-0.03333,8.35561,46.29176,0.67929,0.14848,0.00053,0.00313,-4.44444,68.97143,-344.85714
