"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.77796875,"Up",119133000,-105879000,13254000,-8806000,-8806000,4448000,1607000,1806000,6055000,5193000,-621000,4572000,4572000,4572000,4572000,81304000,81304000,46245000,46245000,9837000,15062000,6384000,152448000,180664000,696836000,-516172000,52309000,4229000,255120000,407568000,56963000,18734000,38229000,23814000,23814000,80777000,7930000,3601000,35560712.5842255,3601000,3204000,7930000,88707000,490837000,-174942000,2966000,318861000,318861000,407568000,4572000,8806000,-2330000,5666000,16714000,5195000,-4533000,3652000,-1657621.49203395,929000,21295000,21295000,21295000,13254000,0,24736000,0.11125,0.03734,0.03838,0.01434,0.01122,5.41032,1.88727,0.2782,0,0.87356,0.87356,22.76246,60.924,4.72625,0.337582218715365,0.01399,0.07569,485.713507457087,-6.1343,-18.27878
"2","2011_Q1",7.79741935483871,"Up",130846000,-115758000,15088000,-9109000,-9109000,5979000,-934000,-731000,5045000,-129843000,10335000,-119508000,-119508000,-119508000,-119508000,86291000,86291000,56793000,56793000,12646000,17229000,7157000,172959000,176676000,660629000,-483953000,53753000,4855000,247090000,420049000,56607000,29159000,27448000,77890000,77890000,134497000,85679000,81005000,77513000,3492000,4674000,85679000,220176000,491542000,-294450000,2781000,199873000,199873000,420049000,-119508000,9109000,130061000,-12227000,7434999.99999999,-4081000,-4118000,-2882000,-1506310.74601698,434000,4987000,4987000,4987000,15088000,0,-11555000,0.11531,0.04569,-0.91335,-0.59792,-0.28451,0.0966899999999997,1.28597,1.10158,0,-22.58629,-22.58629,24.72911,37.77479,-2.18383,0.293446109357682,-0.41852,-0.04047,216.160318728544,-5.71918,-14.43235
"3","2011_Q2",7.29507936507937,"Down",112175000,-110649000,1526000,-8893000,-8893000,-7367000,1060000,1267000,-6307000,-6307000,-420000,-6727000,-6727000,-6727000,-6727000,51566000,51566000,42032000,42032000,15038000,19293000,10081000,127929000,170621000,661043000,-490422000,51823000,4114000,239384000,367313000,47210000,17996000,29214000,24768000,24768000,71978000,101289000,97308000,94113000,3195000,3981000,101289000,173267000,492593000,-301177000,2630000,194046000,194046000,367313000,-6727000,8893000,-2029000,-34050000,-33913000,-1528000,-1528000,-812000,-1403103.58200566,-586094.628435784,-34725000,-34725000,-34725000,1526000,0,-33632000,0.0136,-0.06567,-0.05997,-0.03467,-0.01831,4.99955,1.77733,0.89292,0,-1.2818,-1.2818,21.37438,36.97448,-6.40841,0.265455369785894,-0.02278,-0.11388,64.6806762428479,-33.79161,6.99959
"4","2011_Q3",5.611875,"Down",114486000,-106397000,8089000,-9566000,-9566000,-1477000,273000,444000,-1204000,-3192000,-3629000,-6821000,-6821000,-6821000,-6821000,50057000,50057000,40796000,40796000,12349000,18227000,8870000,121429000,163460000,657469000,-494009000,50245000,4278000,231421000,352850000,45740000,13815000,31925000,22805000,22805000,68545000,98089000,94044000,90704000,3340000,4045000,98089000,166634000,493088000,-309349000,2477000,186216000,186216000,352850000,-6821000,9566000,1816000.00000001,-3225000,1336000,-1555000,-1555000,-1506000,-1351000,-1339000,-1509000.00000001,-1509000.00000001,-1509000.00000001,8089000,0,6938000,0.07065,-0.0129,-0.05958,-0.03663,-0.01933,-1.01715,1.77152,0.89484,0,-1.2721,-1.2721,21.35136,34.72883,1.29392,0.25196,-0.01924,0.0244,-0.19806,-6.18828,33.891
"5","2011_Q4",4.61920634920635,"Down",109990000,-101573000,8417000,-8696000,-8696000,-279000,632000,764000,353000,353000,-489000,-136000,-136000,-136000,-136000,45687000,45687000,40107000,40107000,10865000,12306000,7638000,108965000,163466000,662220000,-498754000,49161000,4598000,231035000,3.4e+08,43316000,12883000,30433000,23952000,23952000,67268000,87717000,84079000,80796000,3283000,3638000,87717000,154985000,493538000,-310838000,2315000,185015000,185015000,3.4e+08,-136000,8696000,-708000,-7708000,144000,-2956000,-2994000,-3161000,-1353000,-1353000,-4370000,-4370000,-4370000,8417000,0,-1758000,0.07653,-0.00254,-0.00124,-0.00074,-4e-04,12.92647,1.61986,0.83769,0,-0.02526,-0.02526,20.43,34.36545,-0.32654,0.25131,0.00446,-0.00645,-9.94853,-5.42794,163.75269
"6","2012_Q1",5.28048387096774,"Up",57545000,-37781000,19764000,-2068000,-2068000,17696000,-2927000,-2769000,14769000,13897000,-569000,13328000,2751000,2751000,2751000,57440000,57440000,50533000,50533000,9918000,10307000,6531000,128198000,163418000,640083000,-476665000,47360000,4376000,216890000,345088000,48229000,18062000,30167000,22491000,22491000,70720000,152889000,149095000,145980000,3115000,3794000,152889000,223609000,493773000,-309441000,-62853000,121479000,121479000,345088000,13328000,2068000,11041000,-7882000,17273000,-847000,-895000,-4249000,-1354000,-1271000,11753000,11753000,11753000,19764000,0,11604000,0.34345,0.30752,0.04781,0.02265,0.00797,4.2181,1.81275,1.84072,0,0.51057,0.51057,10.68009,22.54595,2.15365,0.2513,0.01496,0.04229,0.49218,-2.90629,-3.24592999999999
"7","2012_Q2",4.30111111111111,"Down",104834000,-100673000,4161000,-8423000,-8423000,-4262000,771000,907000,-3491000,-3491000,-402000,-3893000,-3893000,-3893000,-3893000,55701000,55701000,37377000,37377000,11267000,13028000,9253000,117373000,158037000,641399000,-483362000,45045000,3406000,209545000,326918000,39320000,13687000,25633000,24181000,24181000,63501000,146309000,143374000,140270000,3104000,2935000,146309000,209810000,494640000,-314691000,-62841000,117108000,117108000,326918000,-3893000,8423000,-19000,-3757000,754000,-1240000,-1777000,-1240000,-1357000,-1253000,-1739000,-1739000,-1739000,4161000,0,-434000,0.03969,-0.04065,-0.03713,-0.03324,-0.01191,0.11148,1.84836,1.79159,0,-0.718,-0.718,19.33494,21.59869,-0.08004,0.25028,-0.00963,-0.00165,-0.348570000000002,-13.38645,13.06922
"8","2012_Q3",4.59968253968254,"Up",109143000,-99519000,9624000,-9658000,-9658000,-34000,679000,921000,644999.999999996,645000,-383000,262000,262000,262000,262000,41239000,41239000,38757000,38757000,10626000,10264000,8842000,100886000,151957000,631782000,-479825000,43443000,3218000,202638000,303524000,37916000,12777000,25139000,22026000,22026000,59942000,127363000,124934000,121958000,2976000,2429000,127363000,187305000,494844000,-315796000,-62829000,116219000,116219000,303524000,262000,9658000,-461000,-20308000,-10849000,-2290000,-2267000,-2290000,-1367000,-1323000,-14462000,-14462000,-14462000,9624000,0,-12591000,0.08818,-0.000309999999999956,0.0024,0.00225,0.00086,-48.05725,1.68306,1.61166,0,0.0459799999999998,0.04785,19.15336,20.39511,-2.20958,0.23989,0.00669,-0.05169,5.21756,-4.28502,1212.91176
"9","2012_Q4",5.15903225806452,"Up",61245000,-52405000,8840000,-1845000,-1845000,6995000,425000,553000,7420000,7420000,-557000,6863000,1441000,1483000,1483000,41008000,41008000,40573000,40573000,10140000,9336000,7917000,101057000,148278000,630488000,-482210000,42697000,3895000,198820000,299877000,40052000,11985000,28067000,20520000,20520000,60572000,122680000,120053000,117083000,2970000,2627000,122680000,183252000,495043000,-315684000,-62819000,116540000,116625000,299877000,6863000,1845000,-372000,-7211000,3607000,-93000,-207000,-2608000,-1371000,-1230000,-231000,-231000,-231000,8840000,0,2093000,0.14434,0.11421,0.02421,0.01272,0.00495,1.41133,1.66838,1.57129,0,0.26009,0.25873,10.74113,20.43875,0.36707,0.24045,0.01193,0.00875,0.924480000000001,-4.63891,-5.86247
"10","2013_Q1",5.901,"Up",5701999.99999999,-7148000.00000001,-1446000,2881000,2881000,1435000,891000,-1385000,2326000,2326000,-451000,1875000,2609000,2674000,2674000,34094000,34094000,39212000,39212000,7585000,56445000,6547000,137336000,108854000,566193000,-457339000,38923000,3755000,154603000,291939000,36459000,13635000,22824000,25474000,17693000,61933000,127946000,125740000,122821000,2919000,2206000,127946000,189879000,495528000,-319862000,-73311000,102005000,102060000,291939000,1875000,-2881000,-32412000,23570000,5131000,-2796000,-2796000,-5154000,-6852000,-6891000,-6914000,-6914000,-6914000,-1446000,0,19779000,-0.2536,0.25167,0.46896,0.0262,0.00916,7.39678000000001,2.21749,1.86046,0,0.52169,0.49185,1.11243,19.90071,3.85879,1.33679,0.04142,0.08599,2.56245,23.57815,-23.7588900000002
