"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2017_Q1",144.945806451613,"Up",1.302e+10,-1.0574e+10,2.446e+09,-1.372e+09,-7.9e+08,-4.25e+08,-1.57e+08,1.074e+09,1.05e+08,-2.29e+08,2.51e+08,8.3e+07,1.179e+09,-1.377e+09,-1.98e+08,2.82e+08,8.4e+07,0,0,8.4e+07,-3.2e+07,5.2e+07,-3.3e+07,6.607e+09,6.607e+09,4.666e+09,4.666e+09,7.363e+09,5.023e+09,2.3659e+10,2.3486e+10,7.424e+09,2.4942e+10,1.5272e+10,6.026e+09,3.079e+09,5.65e+08,5.5852e+10,7.9511e+10,1.1697e+10,4.519e+09,6e+08,6.578e+09,9.07e+08,1.2604e+10,2.0456e+10,1.9222e+10,1.1375e+10,9.23e+08,6.924e+09,3.9678e+10,5.2282e+10,7.369e+09,3.0338e+10,-1.0061e+10,2.5987e+10,1.242e+09,2.7229e+10,7.9511e+10,8.4e+07,7.95e+08,4.8e+07,-7.603e+09,-6.676e+09,-9.05e+08,-2.5e+07,-1.51e+08,8.7e+07,8.433e+09,7.59e+09,-6.8e+08,-2.9e+07,-4.22e+08,0,-4.22e+08,-9.1e+07,-1.222e+09,-3.08e+08,-3.08e+08,-1.03e+08,-4.11e+08,1.869e+09,2.1363e+10,-6.921e+09,0.18786,0.08249,-0.00253,-0.00121,-0.00042,209.72727,1.8771,1.92009,0.26868,-0.06009,-0.05928,23.7075,47.31849,-12.60212,1.23818,0.00954,-0.10206,-20.60606,7.89513,13.73929
"2","2017_Q2",149.934285714286,"Up",1.323e+10,-1.0194e+10,3.036e+09,-1.333e+09,-7.59e+08,-4.19e+08,-1.55e+08,1.703e+09,-4.67e+08,-2.19e+08,1.96e+08,-4.44e+08,1.236e+09,-1.08e+08,1.128e+09,-2.13e+08,9.15e+08,0,0,9.15e+08,-2.7e+07,8.88e+08,8.88e+08,9827726587.30265,7956248964.39327,10593711313.4053,10593711313.0948,14131253929.6047,14950155585.8977,49502847416.2104,31047064243.1761,8623668749.71808,71725334908.7995,45069890540.4047,22573193947.2883,2151808739.6606,1930441681.44588,111396067901.694,160898915317.904,13411165543.3684,4026792760.30524,541530878.55013,8841142310.95321,9758389308.5885,23391669282.785,25360386376.2199,33688820376.0203,15122057876.3967,9930793912.2312,8635968587.39233,59049206752.2402,82440876035.0251,51790925323.5877,34160722491.0159,-9127159995.98779,76971448125.3959,1486591157.48304,78458039282.879,160898915317.904,9.15e+08,7.78e+08,5e+07,-1.819e+09,-7.6e+07,-1.73e+08,6999999.99999988,-1.29e+08,95999999.9999998,-2.83e+08,-3.53e+08,-5.06e+08,9.8e+07,2.82e+08,0,2.82e+08,-1.31e+08,-2.57e+08,-6.86e+08,-6.86e+08,5.6e+07,-6.3e+08,2.481e+09,0,7.02e+08,0.22948,0.12872,0.06712,0.0430116276809705,0.022891794738594,0.790539999999993,2.07882376596247,1.31352165424016,0.232282526044554,1.48998,1.46609,22.19875,164.067665664772,1.17789,0.84902,0.0252629201190943,-0.108120961676226,0.56982,6.11627238379738,-26.0679632670401
"3","2017_Q3",147.524126984127,"Down",1.3834e+10,-1.0761e+10,3.073e+09,-1.285e+09,-7.2e+08,-4.08e+08,-1.57e+08,1.788e+09,1.5e+08,-2.26e+08,5.4e+07,3.22e+08,1.938e+09,-1.24e+08,1.814e+09,-4.55e+08,1.359e+09,0,0,1.359e+09,-3.8e+07,1.321e+09,1.321e+09,12935026587.3027,10636948964.3933,11975311313.4053,11975311313.0948,16926953929.6047,15567755585.8977,57405047416.2104,34909564243.1761,8985068749.71808,93339734908.7995,58153190540.4047,30809193947.2883,1811808739.6606,2565541681.44588,137234367901.694,194639415317.904,16658765543.3684,5487292760.30524,605230878.550131,10564542310.9532,10470189308.5885,27351069282.785,28382986376.2199,38237320376.0203,17355057876.3967,11564293912.2312,9317968587.39233,66620306752.2402,93971376035.0251,73912025323.5877,33791622491.0159,-9159959995.98779,99088348125.3959,1579691157.48304,100668039282.879,194639415317.904,1.359e+09,7.39e+08,1.87e+08,-2.31e+09,-2.5e+07,5.92e+08,4.9e+07,-2.5e+08,1.19e+08,-2.15e+08,5.45e+08,-5.57e+08,8.5e+07,7.5e+07,0,7.5e+07,-3.6e+07,-4.33e+08,8.7e+07,8.7e+07,1.52e+08,2.39e+08,2.527e+09,0,1.264e+09,0.22213,0.12925,0.09549,0.0350336276809705,0.018584794738594,0.95685,2.09677976596247,1.00620165424016,0.204514526044554,2.19951,2.16873,23.03406,175.731315664772,2.1046,0.92742,0.0206189201190943,-0.0732209616762255,0.42165,7.28538238379739,-15.62295126704
"4","2017_Q4",134.275238095238,"Down",1.5354e+10,-1.2186e+10,3.168e+09,-1.773e+09,-1.001e+09,-5.28e+08,-2.44e+08,1.395e+09,2.63e+08,-2.83e+08,1.52e+08,3.94e+08,1.658e+09,-5.33e+08,1.125e+09,-5.71e+08,5.54e+08,-2e+07,-2e+07,5.34e+08,-2e+07,5.14e+08,5.14e+08,1.4974e+10,1.3148e+10,1.125e+10,1.125e+10,1.7255e+10,1.1322e+10,5.4801e+10,3.6219e+10,8.843e+09,9.8664e+10,6.0698e+10,3.342e+10,1.81e+09,2.736e+09,1.43726e+11,1.98527e+11,2.0088e+10,7.648e+09,7.29e+08,1.1711e+10,7.082e+09,2.7278e+10,2.9819e+10,3.6896e+10,1.8413e+10,9.125e+09,9.358e+09,6.6715e+10,9.3993e+10,8.1139e+10,3.1366e+10,-9.559e+09,1.02946e+11,1.588e+09,1.04534e+11,1.98527e+11,5.34e+08,1.001e+09,7.25e+08,-4.681e+09,-2.421e+09,-2.656e+09,1.556e+09,-9.7e+07,4.315e+09,6.747e+09,9.962e+09,-8.84e+08,1.79e+08,98000000.0000001,3.2e+07,6.6e+07,-1.3e+07,-6.2e+08,6.921e+09,6.884e+09,4.6e+07,6.93e+09,2.396e+09,3.6901e+10,-4.37e+09,0.20633,0.09086,0.03348,0.00492000000000002,0.00259000000000001,-8.50195,2.00898,0.89916,0.18587,0.6573,0.65009,19.63466,131.64708,-5.58834,1.13046,0.00784,-0.0245000000000001,1.71984,9.1515,15.71828
"5","2018_Q1",134.84868852459,"Up",2.0066e+10,-1.665e+10,3.416e+09,-2.827e+09,-1.584e+09,-7.86e+08,-4.57e+08,5.89e+08,1.53e+08,-3.54e+08,3.62e+08,1.45e+08,7.42e+08,-3.616e+09,-2.874e+09,1.715e+09,-1.159e+09,-5.7e+07,-5.7e+07,-1.216e+09,-4.7e+07,-1.263e+09,-1.263e+09,1.4394e+10,1.3438e+10,1.1314e+10,1.1314e+10,1.6992e+10,7.193e+09,4.9893e+10,3.6247e+10,8.58e+09,9.7444e+10,5.9527e+10,3.3274e+10,1.869e+09,2.774e+09,1.42271e+11,1.92164e+11,2.2113e+10,9.134e+09,8.43e+08,1.2136e+10,4.015e+09,2.6128e+10,3.0056e+10,3.4053e+10,1.8581e+10,6.266e+09,9.206e+09,6.4109e+10,9.0237e+10,8.128e+10,2.9211e+10,-9.161e+09,1.0033e+11,1.597e+09,1.01927e+11,1.92164e+11,-1.517e+09,1.451e+09,4.68e+08,1.355e+09,1.757e+09,-1.269e+09,7.99e+08,-1.214e+09,2.484e+09,2.157e+09,4.171e+09,-1.447e+09,-2.774e+09,-9.36e+08,3.4e+07,-9.7e+08,-8.7e+07,-5.244e+09,6.84e+08,8.09e+08,4.3e+07,8.52e+08,2.04e+09,3.4071e+10,4.11e+08,0.17024,0.02935,-0.06294,-0.01239,-0.00657,-0.32542,1.90956,0.88531,0.1773,-1.09507,-1.08625,17.39801,86.99003,0.35635,1.25461,0.00108,0.00242,-1.14568,9.64559,33.40747
"6","2018_Q2",124.81140625,"Down",2.151e+10,-1.6315e+10,5.195e+09,-2.956e+09,-1.714e+09,-7.68e+08,-4.74e+08,2.239e+09,2.2e+07,-3.5e+08,2.57e+08,1.15e+08,2.261e+09,-7.19e+08,1.542e+09,-3.89e+08,1.153e+09,-5e+06,-5e+06,1.148e+09,-4.4e+07,1.104e+09,1.104e+09,1.0538e+10,1.0281e+10,1.4378e+10,1.4378e+10,1.7457e+10,7.36e+09,4.9733e+10,3.6076e+10,8.507e+09,9.8125e+10,6.0493e+10,3.2966e+10,1.754e+09,2.912e+09,1.42708e+11,1.92441e+11,2.1499e+10,8.754e+09,8.89e+08,1.1856e+10,5.118e+09,2.6617e+10,2.9343e+10,3.3557e+10,1.8225e+10,6.113e+09,9.219e+09,6.29e+10,8.9517e+10,8.1541e+10,2.9366e+10,-7.647e+09,1.0126e+11,1.664e+09,1.02924e+11,1.92441e+11,1.148e+09,1.484e+09,1.193e+09,-5.962e+09,-2.137e+09,-7.76e+08,6.18e+08,-7.58e+08,3.3e+07,4.15e+08,2.9e+08,-8.8e+08,3.64e+08,-8.92e+08,1.08e+08,-1e+09,-1.35e+08,-1.543e+09,-3.39e+09,-3.39e+09,2.08e+08,-3.182e+09,3.723e+09,3.4461e+10,-2.626e+09,0.24152,0.10409,0.05132,0.01073,0.00574,-2.37862,1.86847,0.86974,0.17907,0.96138,0.95426,18.73131,88.17909,-2.28677,0.76632,0.01161,-0.01536,0.7971,6.42573,10.68468
"7","2018_Q3",128.258571428571,"Up",2.4245e+10,-1.7974e+10,6.271e+09,-3.224e+09,-1.933e+09,-8.03e+08,-4.88e+08,3.047e+09,6.8e+07,-3.6e+08,2.5e+08,1.78e+08,3.115e+09,-7.47e+08,2.368e+09,-5.65e+08,1.803e+09,0,0,1.803e+09,-3.5e+07,1.768e+09,1.768e+09,9.751e+09,9.244e+09,1.5379e+10,1.5379e+10,1.563e+10,7.137e+09,4.7897e+10,3.5224e+10,8.33e+09,9.5916e+10,5.9404e+10,3.2102e+10,1.701e+09,2.709e+09,1.3947e+11,1.87367e+11,2.071e+10,7.983e+09,8.74e+08,1.1853e+10,7.4e+09,2.811e+10,2.685e+10,3.2525e+10,1.7694e+10,5.885e+09,8.946e+09,5.9375e+10,8.7485e+10,8.1707e+10,3.0432e+10,-1.0877e+10,9.8262e+10,1.62e+09,9.9882e+10,1.87367e+11,1.793e+09,1.496e+09,6.15e+08,-1.814e+09,2.09e+09,-8.1e+08,-1.81e+08,-1.133e+09,6.3e+07,2.48e+08,-6.8e+08,-8.75e+08,-1.52e+08,-9.66e+08,3.4e+07,-1e+09,-6.6e+07,-2.059e+09,-6.49e+08,-6.49e+08,-3.79e+08,-1.028e+09,4.543e+09,3.425e+10,2.484e+09,0.25865,0.12568,0.07292,0.0177,0.00944,1.40498,1.70391,0.87588,0.1828,1.54501,1.53523,21.18706,85.86856,2.1707,0.76464,0.01586,0.0149,0.49491,5.39269,8.04037
"8","2018_Q4",107.066507936508,"Down",2.0123e+10,-1.5477e+10,4.646e+09,-2.698e+09,-1.496e+09,-7.4e+08,-4.62e+08,1.948e+09,-1.37e+08,-3.62e+08,1.78e+08,4.7e+07,1.811e+09,-9.56e+08,8.55e+08,-3.2e+08,5.35e+08,-1.19209289550781e-07,-1.19209289550781e-07,5.35e+08,-3.8e+07,4.97e+08,4.97e+08,7.309e+09,6.939e+09,1.4542e+10,1.4542e+10,1.6441e+10,7.113e+09,4.5405e+10,3.5228e+10,8.472e+09,9.5348e+10,5.9362e+10,3.1508e+10,1.642e+09,2.836e+09,1.39048e+11,1.84453e+11,1.9805e+10,8.631e+09,7.01e+08,1.0473e+10,7.875e+09,2.768e+10,2.7293e+10,2.9736e+10,1.5288e+10,5.908e+09,8.54e+09,5.7029e+10,8.4709e+10,8.1862e+10,3.0933e+10,-1.0705e+10,9.809e+10,1.654e+09,9.9744e+10,1.84453e+11,5.39e+08,1.47e+09,-1.619e+09,-7.13e+08,-3.23e+08,-9.72e+08,-17000000.0000001,-6.45e+08,-12000000.0000001,-4.8e+07,-1.049e+09,-8.7e+08,9.55e+08,-9.55e+08,4.5e+07,-1e+09,-12000000.0000001,-8.82e+08,-2.254e+09,-2.254e+09,-74999999.9999999,-2.329e+09,3.418e+09,3.5168e+10,2.053e+09,0.23088,0.0968,0.0247,0.00498,0.00269,4.13078,1.64035,0.84926,0.19066,0.43672,0.43386,17.68222,86.19235,1.80399,0.76447,0.0083,0.01247,1.7505,8.15067,14.30133
"9","2019_Q1",103.464262295082,"Down",-4.3284e+10,3.4464e+10,-8.82e+09,3.736e+09,2.115e+09,1.241e+09,3.8e+08,-5.084e+09,5.31e+08,1.017e+09,-2.38e+08,-2.48e+08,-4.553e+09,3.88e+08,-4.165e+09,1.079e+09,-3.086e+09,3.6e+09,3.6e+09,5.14e+08,-3.8e+07,4.76e+08,4.76e+08,1.3616e+10,1.3482e+10,1.2376e+10,1.2376e+10,1.6621e+10,6.99e+09,4.9603e+10,3.5848e+10,8.382e+09,9.4197e+10,5.9032e+10,3.0965e+10,1.724e+09,2.476e+09,1.38427e+11,1.8803e+11,2.1913e+10,9.457e+09,8.57e+08,1.1599e+10,2.802e+09,2.4715e+10,3.7662e+10,2.9474e+10,1.5909e+10,5.435e+09,8.13e+09,6.7136e+10,9.1851e+10,8.1984e+10,3.0536e+10,-1.2528e+10,9.4571e+10,1.608e+09,9.6179e+10,1.8803e+11,5.2e+08,1.468e+09,-1.8e+07,3.131e+09,5.101e+09,-1.393e+09,1.69e+08,-2.77e+08,1.02e+08,9.9e+07,-1.023e+09,-8.66e+08,5.502e+09,-1.411e+09,1e+07,-1.421e+09,-6.59e+08,2.566e+09,6.644e+09,6.644e+09,-9.8e+07,6.546e+09,-3.616e+09,4.0464e+10,-2.957e+09,0.20377,0.11746,-0.011,0.00495,0.00253,-6.21218,2.007,0.955,0.2152,0.42089,0.41888,-38.27229,83.62095,-2.61462,0.76573,0.00808,-0.0178,1.81933,-7.42478,-5.28088
"10","2019_Q2",89.0190476190476,"Down",1.9649e+10,-1.4726e+10,4.923e+09,-2.863e+09,-1.672e+09,-7.17e+08,-4.74e+08,2.06e+09,-1.8e+08,-4.54e+08,2.6e+07,2.48e+08,1.88e+09,-1.1e+09,7.8e+08,-2.09e+08,570999999.999999,0,0,5.71e+08,-5.1e+07,5.2e+08,5.2e+08,1.1662e+10,1.1543e+10,1.3963e+10,1.3963e+10,1.6604e+10,7.019e+09,4.9248e+10,3.5575e+10,7.893e+09,9.7069e+10,5.8948e+10,3.0467e+10,1.853e+09,5.801e+09,1.40537e+11,1.89785e+11,2.1576e+10,8.333e+09,8.36e+08,1.2407e+10,7.004e+09,2.858e+10,3.4966e+10,3.2141e+10,1.5626e+10,5.229e+09,1.1286e+10,6.7107e+10,9.5687e+10,8.2149e+10,2.9764e+10,-1.2469e+10,9.2444e+10,1.654e+09,9.4098e+10,1.89785e+11,5.72e+08,1.52e+09,7.8e+08,-2.846e+09,25999999.999999,-1.118e+09,2.3e+07,-1.89e+08,1.25e+08,-3e+07,-1e+09,-8.51e+08,1.435e+09,-1.516e+09,6.3e+07,-1.579e+09,-99999999.9999995,-1.032e+09,-2.006e+09,-2.006e+09,5e+07,-1.956e+09,3.58e+09,4.197e+10,-175000000.000001,0.25055,0.10484,0.02646,0.00553,0.00274,-0.33654,1.72316,1.01689,0.22114,0.69337,0.69058,26.20012,123.26552,-0.233350000000001,1.13473,0.00815,-0.00104,1.63654,8.46592000000001,14.71262
