"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",9.02048387096774,"Up",15562000,-11380000,4182000,-2138000,-248000,-1890000,2044000,-189000,-189000,1855000,-829000,1026000,-18000,1008000,524000,524000,524000,8614000,8614000,5469000,5469000,2841000,2268000,16924000,18752000,9719000,544000,9157000,18000,28471000,45395000,8075000,2787000,5288000,9984000,18059000,-1690095683.04546,27336000,26952000,27336000,45395000,-2173021691.27648,0,0,45395000,1008000,248000,4e+05,1125000,2722000,-848000,-848000,-848000,394000,-454000,-67000,367289338.912051,-133000,2135000,2135000,2135000,2292000,9984000,2587000,0.26873,0.13135,0.03367,9.62980045282052,0.01154,4.93702,0.93715,17.2426384499457,0.21994,0.02972,0.02972,0.88257,0,0.14672,0.01581,0.06932,0.59773,0.67025
"2","2011_Q2",11.0757142857143,"Up",16846000,-12371000,4475000,-2129000,-243000,-1886000,2346000,-223000,-223000,2123000,-2651000,-528000,271000,-257000.000000007,-249000.000000007,-248999.999999993,-248999.999999993,-131885304.924608,-131885304.924608,9442689.02772554,9442689.02772554,-2034396.52779825,7202658.40821379,-124477012.42468,15718595.1947626,100549353.195178,27920968.6363426,85832892.5217381,-3918973.58469268,116267948.38994,-8209064.03473997,18487597.8295747,10803442.6315623,7684155.19801243,8836052.23471817,27323650.0642929,-778244341.522731,55005301.9319206,54832770.2269421,-48732199.745429,-21408549.6811361,-877555345.638238,13199485.6299985,13199485.6463962,-8209064.03473997,-257000.000000007,243000,971000,-385000,590000,-784000,-784000,-784000,-6281516.03100541,-784000,-23000,158327779.63735,-398000,-592000,-592000,-592000,2589000,0,1149000,0.26564,0.13926,-0.01478,4.31654522641026,0.116375593373686,-4.61446,-2.76702953379454,7.71059422497286,0.177183184886195,-0.0141199999999994,-0.0141199999999999,0.95537,1.60050912513594,0.06516,-0.291496359297408,0.0984718238124737,9.93805065521436,11.5616036753044
"3","2011_Q3",10.441875,"Down",63575000,-66313000,-2738000,-7915000,-1956000,-5959000,-10653000,-1992000,-1992000,-12645000,-6301000,-18946000,-2789000,-21735000,-21857000,-21857000,-21857000,-104078504.924608,-104078504.924608,16605089.0277255,16605089.0277255,1777303.47220175,9203358.40821379,-85696112.4246802,31920995.1947626,147795153.195178,29997568.6363426,124209092.521738,874226.415307321,179716148.38994,94020035.96526,25278897.8295747,12673542.6315623,12605355.1980124,7615852.23471817,32894750.0642929,-194681780.507577,48165101.9319206,48107770.2269421,19879300.2545711,52774050.318864,-175919448.546079,41245985.6299985,41245985.6463962,94020035.96526,-21735000,1956000,20257000,4253000,2988000,-2428000,-2428000,-2428000,-2688000,-183130000,130351000,45225000,175576000,-4566000,-4566000,-4566000,-8697000,0,-4083000,-0.04307,-0.16757,-0.3438,1.32729174213675,0.0920295933736859,0.18681,-1.93006253379454,3.38703140832429,0.311419184886195,-1.23955,-1.23955,3.60546,3.15095412513594,-0.23155,-0.220810359297408,0.0710018238124737,13.3275626552144,15.1211436753044
"4","2011_Q4",8.91968253968254,"Down",60722000,-45713000,15009000,-5824000,-909000,-4915000,9185000,-1928000,-1928000,7257000,-2778000,4479000,-908000,3571000,3122999.99999999,3123000,3123000,1253999.99999997,1253999.99999997,25469000,25469000,9634000,9634000,36357000.0000001,57783000,175469000,18887000,147081000,9501000,233252000,269609000,29654000,10984000,18670000,6750000,36404000,131375000,24844000,24844000,156219000,192623000,105657000,76986000,76986000,269609000,3571000,909000,673999.999999996,-2032000,3991000,-3565000,-3565000,-3565000,-108000,-3903000,-2187000,-103000.000000007,-2290000,-2202000,-2202000,-2202000,10094000,138125000,5405000,0.24718,0.15126,0.05143,0.04057,0.0115799999999999,1.73071,0.998710000000001,2.50205,0.51232,0.17711,0.17711,3.44366,4.36602,0.30653,0.01301,0.02253,13.55964,14.90158
"5","2012_Q1",13.3348387096774,"Up",75355000,-54033000,21322000,-8581000,-1170000,-7411000,12741000,-5048000,-5048000,7693000,-31164000,-23471000,8698000,-14773000,-15909000,-15909000,-15909000,61118000,61118000,35127000,35127000,16360000,10121000,112605000,82972000,217419000,8232000,186815000,16366000,300391000,412996000,33918000,8642000,25276000,6750000,40668000,270709000,5254000,5254000,275963000,316631000,140945000,96365000,96365000,412996000,-14773000,1170000,-9921000,-3804000,-28235000,-2781000,-2781000,-2781000,-6599000,-37753000,139297000,-6166000,125852000,59864000,59864000,59864000,13911000,277459000,-1372000,0.28295,0.16908,-0.21112,-0.16509,-0.03852,0.08624,2.76888,3.28575,0.67182,-0.71892,-0.71892,3.40526,4.35469,-0.062,0.15441,-0.00362,15.55179,16.97991
"6","2012_Q2",16.4296825396825,"Up",89563000,-66003000,23560000,-10591000,-1610000,-8981000,12969000,-7282000,-7282000,5687000,-695000,4992000.00000001,-1665000,3327000,3679000.00000001,3679000,3679000,840000.000000015,840000.000000015,43802000,43802000,17580000,11897000,62222000,98290000,292740000,9381000,261421000,16922000,391030000,453252000,38726000,8074000,30652000,8e+06,46726000,299514000,6332000,6332000,305846000,352572000,141581000,100680000,100680000,453252000,3327000,1610000,2730000,-2250000,4935000,-3911000,-3911000,-3911000,88000,-94223000,3e+07,-1048000,29010000,-60278000,-60278000,-60278000,14579000,307514000,10083000,0.26306,0.1448,0.04108,0.03654,0.00812000000000001,2.74069,1.33164,3.50191,0.67846,0.11454,0.11378,2.78839,3.1345,0.31392,0.00888,0.02432,21.03532,23.6467
"7","2012_Q3",19.2714285714286,"Up",100530000,-70316000,30214000,-12053000,-1646000,-10407000,18161000,-7471000,-7471000,10690000,-670000,10020000,-3919000,6101000,5909000,5909000,5909000,120176000,120176000,45658000,45658000,18298000,12882000,184132000,112841000,289480000,9186000,262325000,15994000,402321000,586453000,34305000,7870000,26435000,1e+07,44305000,288573000,7231000,7231000,295804000,340109000,281336000,246344000,246344000,586453000,6101000,1646000,4539000,-6961000,5611000,-3708000,-3708000,-3708000,-12574000,-16348000,-9e+06,-90000,130073000,119336000,119336000,119336000,19807000,298573000,13057000,0.30055,0.18065,0.05878,0.02399,0.01008,2.20968,4.15601,1.38063,0.50912,0.16186,0.16103,2.75379,6.74804,0.35767,0.0107,0.02365,9.00677,9.82308
"8","2012_Q4",22.2461290322581,"Up",103116000,-71184000,31932000,-13456000,-2076000,-11380000,18476000,-7433000,-7433000,11043000,-732000,10311000,-3723000,6588000,6450000,6450000,6450000,11719000,11719000,54777000,54777000,20535000,15305000,87031000,155188000,361539000,12534000,334622000,14383000,516727000,603758000,45822000,13323000,32499000,1.2e+07,57822000,284632000,7741000,6574000,292373000,350195000,282105000,253563000,253563000,603758000,6588000,2076000,4420000,-163000,12789000,-6892000,-6892000,-6892000,-37028000,-119435000,-2e+06,-59000,-1811000.00000003,-108457000,-108457000,-108457000,20552000,296632000,17220000,0.30967,0.17918,0.06255,0.02544,0.01068,2.66977,1.50515,1.3811,0.49131,0.15446,0.15361,2.46931,6.07206,0.41237,0.01156,0.03086,13.86303,15.42071
"9","2013_Q1",26.603,"Up",114252000,-78489000,35763000,-14659000,-2650000,-12009000,21104000,-7583000,-7583000,13521000,-6015000,7506000,-3018000,4488000,4365000,4365000,4365000,49399000,49399000,63870000,63870000,27712000,16332000,140981000,236942000,605490000,15988000,557402000,32100000,842432000,983413000,64171000,19081000,45090000,7680000,71851000,465638000,13374000,12376000,479012000,550863000,456727000,432550000,432550000,983413000,4488000,2650000,-4071000,7579000,10563000,-13084000,-13084000,-13084000,-4061999.99999999,-294638000,151063000,-1680000,321755000,37680000,37680000,37680000,23754000,473318000,21267000,0.31302,0.18471,0.03821,0.01009,0.00444,4.87216,1.96213,1.27352,0.4813,0.10029,0.09973,2.62509,9.93842,0.48864,0.00475,0.02314,17.84622,20.08714
"10","2013_Q2",32.4509375,"Up",161213000,-114290000,46923000,-20605000,-3622000,-16983000,26318000,-8762000,-8762000,17556000,-10824000,6732000,-2678000,4054000,3738000,3738000,3738000,99775000,99775000,78780000,78780000,33737000,21164000,212292000,268531000,604354000,16247000,565586000,22521000,872885000,1085177000,61215000,20116000,41099000,9555000,70770000,560098000,17450000,13628000,577548000,648318000,457298000,436859000,436859000,1085177000,4054000,3622000,12961000,-19429000,941000,-12764000,-12764000,-12764000,-133000,-35272000,88866000,-4159000,84707000,50376000,50376000,50376000,29940000,569653000,425000.000000004,0.29106,0.16325,0.02319,0.00856,0.00344,0.113700000000001,2.99975,1.48404,0.52494,0.07489,0.07439,3.23001,8.75276,0.00852000000000003,0.00365,0.00042,15.69399,17.85386
