"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",3.16142857142857,"Down",83837000,-3.7e+07,46837000,-44352000,-31491000,-12861000,2485000,22000,299000,-277000,2507000,2507000,205000,2712000,2712000,2712000,2712000,669321307.141028,251190669.367522,335434736.369257,335434736.369257,-68495206.2984111,497191033.4272,30358517.6783559,1433451870.63907,-426007124.236451,17261900.7299019,8588600.28761774,8658791.78796892,-667956223.267418,765495647.371656,279033302.826776,150616423.153292,128416879.673484,329617061.164806,242728043.61892,86889017.5458853,608649682.265764,-31158406.6462923,3155257.88753291,-33927927.4208688,-31133939.5325518,577515742.733213,965101893.53853,-599761137.686435,78958.9295121077,187979904.638443,187979904.638443,765495647.371656,2712000,1539000,727000,-3826000,1152000,-1362000,-5959000,86000,86000,86000,-4721000,-4721000,342000,-4379000,4024000,0,-1369000,0.55867,0.02964,0.03235,0.0803207725412255,0.0551801930524775,-0.50479,6.6187854768184,3.47431936542102,4.54108887937774e-05,0.03003,0.02993,0.92838,2.05424637304083,-0.01516,0.0825868659983747,2.90726951123937,27293.1629862013,2516.84052178508
"2","2011_Q3",3.00265625,"Down",85131000,-37151000,47980000,-43078000,-31050000,-12028000,4902000,422000,303000,119000,5324000,9524000,-595000,8929000,8929000,8929000,8929000,349693153.570514,141196334.683761,167976368.184629,167976368.184629,-17619603.1492056,221988016.7136,22375758.8391779,722037935.319537,-157186062.118226,17420450.3649509,7018300.14380887,10394895.8939845,-224737111.633709,497300823.685828,142458651.413388,76174711.5766458,66283939.8367422,191780530.582403,135646521.80946,56134008.7729427,334238841.132882,-7799703.32314615,5402628.94376646,-13062463.7104344,-7787469.76627588,326451371.366606,964271946.769265,-633152068.843217,3282479.46475605,170849452.319221,170849452.319221,497300823.685828,8929000,1609000,1102000,-3195000,8445000,-1045000,-9314000,187000,187000,187000,-682000,-682000,-5000,-687000,6511000,0,2866000,0.5636,0.05758,0.10489,0.00501538627061276,0.00563009652623877,0.32098,3.6415227384092,1.98436468271051,2.27054443968887e-05,0.09825,0.09783,0.93675,1.86248318652042,0.03154,0.00765843299918737,1.26397475561969,13614.1459231007,1184.95329089254
"3","2011_Q4",2.91698412698413,"Down",75699000,-39136000,36563000,-43176000,-30896000,-12280000,-6613000,1e+05,262000,-162000,-6513000,-6464000,-377000,-6841000,-6841000,-6841000,-6841000,169770051.190171,78211444.894587,73764789.3948762,73764789.3948762,10222465.6169315,71165672.2378666,15554586.279726,324922978.439846,-12842354.0394086,16909483.4549836,5786766.71460296,11120298.6313282,16961962.7887637,341884941.228609,65086550.4711293,33711570.5255486,31374979.9455807,109164510.194134,73981173.9364867,35183336.2576476,174250947.044294,4882765.55895128,6723542.98125549,-1854154.5701448,4886843.41124137,179137790.455535,963426982.256422,-650629022.947739,4244159.82158535,162747150.773074,162747150.773074,341884941.228609,-6841000,1824000,4327000,6590000,5900000,-1778000,-4105000,862000,862000,1364000,3159000,3159000,342000,3501000,-4789000,0,4e+05,0.48301,-0.08736,-0.09037,-0.0202782045764624,-0.0116066344912537,-0.05847,2.10221091280307,1.10357822757017,7.56848146562956e-06,-0.07426,-0.0747,0.8217,1.76839106217347,0.00434,-0.0183071890002709,0.364298251873229,5401.10055770022,409.511493630847
"4","2012_Q1",3.44951612903226,"Up",89761000,-41180000,48581000,-50490000,-34523000,-15967000,-1909000,54000,308000,-254000,-1855000,-1855000,-232000,-2087000,-2087000,-2087000,-2087000,91329000,49972000,33689000,33689000,21583000,10813000,10132000,157414000,41877000,16034000,4906000,11128000,113559000,270973000,31455000,15092000,16363000,68398000,46165000,22233000,99853000,9834000,7360000,2381000,9834000,109687000,963697000,-656448000,3703000,161286000,161286000,270973000,-2087000,1839000,103000,1425000,1280000,-1512000,-2701000,395000,395000,893000,-527999.999999999,-527999.999999999,121000,-406999.999999999,-70000,2.8421709430404e-14,74999.9999999995,0.54123,-0.02127,-0.02325,-0.01294,-0.0077,-0.03594,1.57646,0.68008,0,-0.02259,-0.02136,0.97162,1.74584,0.00081,-0.0122,0.00044,1304.7,47.84128
"5","2012_Q2",3.72333333333333,"Up",78894000,-35358000,43536000,-41754000,-28391000,-13363000,1782000,313000,256000,57000,2095000,2095000,-512000,1583000,1583000,1583000,1583000,76147000,44214000,28638000,28638000,23014000,7019000,6345000,134818000,41825000,15099000,4388000,10711000,121472000,256290000,26102000,12181000,13921000,56110000,40631000,15479000,82212000,9999000,7554000,2327000,9999000,92211000,966212000,-654865000,2398000,164079000,164079000,256290000,1583000,1341000,2181000,-9049000,-3944000,-748000,-1629000,620000,620000,620000,-4953000,-4953000,-805000,-5758000,3123000,0,-6162000,0.55183,0.02259,0.02006,0.00965,0.00618,-3.89261,1.63988,0.56199,0,0.01706,0.01683,0.85044,1.7687,-0.06642,0.00909,-0.0354,-24.38264,-42.7312
"6","2012_Q3",3.39111111111111,"Down",82812000,-36544000,46268000,-42207000,-30688000,-11519000,4061000,264000,304000,-40000,4325000,4325000,-219000,4106000,4106000,4106000,4106000,83669000,49419000,39025000,39025000,21392000,22379000,4611000,166465000,24660000,14350000,4179000,10171000,101781000,268246000,32020000,16347000,15673000,58785000,45799000,12986000,90805000,8661000,7563000,974000,8661000,99466000,967571000,-650759000,1634000,168780000,168780000,268246000,4106000,1261000,1274000,1257000,7898000,-1263000,-2316000,78000,78000,78000,5660000,5660000,-455000,5205000,5322000,0,5535000,0.55871,0.04904,0.04958,0.02433,0.01531,1.34803,1.83321,0.58932,0,0.04406,0.04363,0.88866,1.81118,0.0594,0.02314,0.03119,-15.72135,-20.60305
"7","2012_Q4",3.49322580645161,"Up",73368000,-32157000,41211000,-38551000,-28210000,-10341000,2660000,222000,294000,-72000,2882000,2882000,-509000,2373000,2373000,2373000,2373000,75672000,53323000,45739000,45739000,23269000,22982000,5167000,167662000,25235000,14092000,4291000,9801000,110904000,278566000,33747000,19455000,14292000,63052000,50102000,12950000,96799000,8765000,7629000,1006000,8765000,105564000,968904000,-648386000,2150000,173002000,173002000,278566000,2373000,1399000,1943000,-3262000,2453000,-2685000,40000,55000,55000,1056000,3549000,3549000,355000,3904000,4059000,0,-1379000,0.5617,0.03626,0.03234,0.01372,0.00852,-0.58112,1.73206,0.61019,-3.3881317890172e-21,0.02534,0.02509,0.78335,1.84715,-0.01472,0.01306,-0.00759,-18.64302,-28.44812
"8","2013_Q1",3.5785,"Up",87648000,-38816000,48832000,-43547000,-31536000,-12011000,5285000,2360000,310000,2050000,7645000,7766000,44000,7810000,7810000,7810000,7810000,77954000,54596000,41166000,41166000,26609000,23380000,5655000,169109000,25180000,14740000,5106000,9634000,115481000,284590000,35717000,19437000,16280000,61031000,47088000,13943000,96748000,8202000,7559000,643000,8202000,104950000,970743000,-640576000,-861000,179640000,179640000,284590000,7810000,1347000,85000,-1836000,7406000,-816000,-6505000,639000,639000,639000,1540000,1540000,-267000,1273000,6632000,0,3936000,0.55714,0.0603,0.08911,0.04348,0.02744,0.503970000000001,1.74793,0.58422,0,0.08292,0.08202,0.93055,1.90723,0.04179,0.04158,0.02095,-11.75422,-14.75005
"9","2013_Q2",3.3359375,"Down",76127000,-36152000,39975000,-37940000,-27384000,-10556000,2035000,-80000,268000,-348000,1955000,13492000,-577000,12915000,12915000,12915000,12915000,137539000,96712000,34706000,34706000,22754000,6272000,5778000,201271000,9214000,14363000,5003000,9360000,88642000,289913000,26355000,11820000,14535000,58538000,45759000,12779000,84893000,8174000,7284000,890000,8174000,93067000,824224000,-627661000,283000,196846000,196846000,289913000,12915000,1171000,-8859000,1825000,7052000,41097000,34031000,593000,593000,593000,41676000,41676000,440000,42116000,3206000,0,46705000,0.52511,0.02673,0.16965,0.06561,0.04455,3.61634,2.37088,0.47279,-2.71050543121376e-20,0.13632,0.13524,0.80355,2.07779,0.49299,0.06299,0.22781,-42.9005,-67.58673
"10","2013_Q3",4.06984375,"Up",75551000,-34812000,40739000,-44923000,-28739000,-16184000,-4184000,-38999.9999999998,262000,-301000,-4223000,-3800000,-406000,-4206000,-4206000,-4206000,-4206000,124970000,89766000,42583000,42583000,17866000,5688000,5407000,191107000,9510000,13578000,4639000,8939000,94296000,285403000,25480000,11341000,14139000,62645000,44845000,17800000,88125000,8970000,8133000,837000,8970000,97095000,820117000,-631867000,58000,188308000,188308000,285403000,-4206000,1121000,2804000,1306000,1025000,-1799000,-2850000,-5150000,1021000,-5150000,-6975000.00000001,-6975000.00000001,28999.9999999999,-6946000,-3063000,5.82076609134674e-11,-3149999.99999999,0.53923,-0.05538,-0.05567,-0.02234,-0.01474,0.748929999999998,2.16859,0.51562,0,-0.04451,-0.04451,0.79948,1.99268,-0.03333,-0.02132,-0.01597,40.79987,29.86855
