"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2011_Q1",23.7633870967742,"Up",719806000,-501783000,218023000,-192804000,-106163000,-52338000,-34303000,25219000,-38393000,-38707000,314000,-13174000,-13174000,4996000,-8178000,1537000,1537000,1537000,131952000,131952000,273207000,273207000,470033000,470033000,875192000,4793075000,6542318000,-1749243000,1095524000,355376000,5888599000,6763791000,266208000,486231000,413640000,413640000,1166079000,1809551000,1609813000,829128000,780685000,3419364000,4585443000,1714815000,486905000,-23372000,2178348000,2178348000,6763791000,1537000,56810000,15299000,58266000,131912000,-180287000,354000,-179933000,-30374000,29772000,192000,192000,0,-410000,-48431000,-48431000,-48431000,82029000,2295782000,-44988000,0.30289,0.03504,0.00214,0.00071,0.00023,-29.27001,0.75054,2.10501,0.33942,0.01706,0.01677,7.98985,24.17969,-0.49937,0.33715,0.00525,-0.00739,19.76187,26.37884,85.80158
"2","2011_Q2",23.9279365079365,"Up",1133262000,-768538000,364724000,-209435000,-114490000,-54777000,-40168000,155289000,-39621000,-38895000,-726000,115668000,115668000,-44568000,71100000,73997000,73997000,73997000,129892,129892,564934,564934,568429.000000119,568429,1263254.99999976,4859344,6638718.00000191,-1779374.00000048,1099024,359032.999999881,5958368,7221623.00000191,510085,600427.000000238,349913.999999881,349913.999999881,1460426,1807319,1679024.99999952,892089.999999762,786934.999999762,3486344.00000191,4946770,1725352,529900,19601,2274853.00000095,2274853.00000095,7221623.00000191,73997000,56207000,48135000,-132515000,45824000,-123162000,-3601000,-126763000,-31002000,102628000,7253000,7253000,21031292.5994877,78879000,-2060000,-2060000,-2060000,211496000,2407746,387000,0.32184,0.13703,0.0653,32.52826,10.24659,0.0052299999999974,0.86499,2.17454,0.33341,0.82144,0.81848,12.58034,0.0252500000000069,0.00429999999999964,0.34415,16.50506,0.06083,0.418960000000002,0.0107700000000044,0.0146700000000095
"3","2011_Q3",23.938125,"Up",1581497000,-1127829000,453668000,-223187000,-114162000,-55467000,-53558000,230481000,-11673000,-37875000,26202000,218808000,199526000,-71366000,128160000,132209000,132209000,132209000,153246000,153246000,458813000,458813000,372029000,372029000,984088000,4914650000,6693971000,-1779321000,1097086000,357252000,6011736000,6995824000,423726000,352434000,301824000,301824000,1077984000,1807323000,1736538000,944605000,791933000,3543861000,4621845000,1728926000,631044000,14009000,2373979000,2373979000,6995824000,132209000,57188000,96704000,106546000,392647000,-123501000,-1267000,-124768000,-31065000,-241578000,315000,315000,27803000,-244525000,23354000,23354000,23354000,287669000,2159757000,342080000,0.28686,0.14574,0.0836,0.05569,0.0189,2.58742,0.9129,1.94688,0.30872,1.46498,1.46034,17.52429,26.30564,3.79053,0.34423,0.02604,0.05456,0.23497,6.97507,8.70575
"4","2011_Q4",24.5549206349206,"Up",843615000,-576810000,266805000,-221739000,-112665000,-56932000,-52142000,45066000,-37275000,-35845000,-1430000,7791000,-3197000,1723000,-1474000.00000001,-566000,-566000,-566000,117429000,117429000,342092000,342092000,530227000,530227000,989748000,4916051000,6599950000,-1683899000,1087671000,347994000,6003722000,6993470000,312205000,2434000,333643000,333643000,648282000,2206106000,1803258000,967607000,835651000,4009364000,4657646000,1730572000,599506000,5746000,2335824000,2335824000,6993470000,-566000,58480000,16846000,6330999.99999997,81091000.0000001,-143620000,-3805000,-147425000,-30972000,41430000,-19999.9999999991,-19999.9999999991,20079000,30517000,-35817000,-35817000,-35817000,103546000,2208540000,-35465999.9999999,0.31626,0.05342,-0.000670000000000018,-0.000239999999996479,-7.99999999999967e-05,62.66078,1.52672,1.99401,0.3158,-0.00628000000000006,-0.00627999999999984,9.36029,25.91703,-0.39351,0.34365,0.00479000000000156,-0.00558999999999999,-54.72085,20.195,46.40108
"5","2012_Q1",23.61,"Down",728061000,-512438000,215623000,-190203000,-101648000,-56656000,-31899000,25420000,-41010000,-38148000,-2862000,-15590000,-15590000,7392000,-8198000,1961000,1961000,1961000,131419000,131419000,273303000,273303000,606231000,606231000,1010953000,5147918000,6816794000,-1668876000,1.124e+09,383793000,6271918000,7282871000,291205000,208830000,367563000,367563000,867598000,2206117000,1953735000,960093000,993642000,4159852000,5027450000,1733386000,570495000,-48460000,2255421000,2255421000,7282871000,1961000,61508000,6001000,-6188000,63282000,-232682000,-1047000,-233729000,-30972000,215161000,248000,248000,0,184437000,13990000,13990000,13990000,86928000,2414947000,-159334000,0.29616,0.03491,0.00269,0.00087,0.00027,-81.2514,1.16523,2.22905,0.33159,0.0217,0.02142,8.05832,24.96343,-1.76354,0.3428,0.00497,-0.02405,15.79398,26.26919,89.83194
"6","2012_Q2",24.6414285714286,"Up",1083994000,-728602000,355392000,-215921000,-114644000,-58366000,-42911000,139471000,-37742000,-35726000,-2016000,101729000,101729000,-39345000,62384000,68507000,68507000,68507000,85160000,85160000,489797000,489797000,686284000,686284000,1261241000,5246213000,6896521000,-1650308000,1128178000,387982000,6374391000,7635632000,432332000,390116000,357353000,357353000,1179801000,2206193000,1981876000,981559000,1000317000,4188069000,5367870000,1725498000,607485000,-65221000,2267762000,2267762000,7635632000,68507000,60811000,44734000,-189343000,-15290999.9999999,-154394000,-4200000,-158594000,-31517000,159067000,76000,76000,-4775860.38514258,127626000,-46259000,-46259000,-46259000,200282000,2596309000,-104110000,0.32785,0.12866,0.0632,0.0302100000000001,0.00896999999999998,-1.51970000000003,1.06903,2.36703,0.34003,0.75905,0.7566,12.01048,25.12644,-1.15352,0.3492,0.01461,-0.01521,0.46006,12.53807,18.00481
"7","2012_Q3",27.2633333333333,"Up",1225509000,-799722000,425787000,-223355000,-109300000,-59420000,-54635000,202432000,-36137000,-36643000,506000,166295000,166295000,-64211000,102084000,109111000,109111000,109111000,47040000,47040000,350261000,350261000,496540000,496540000,893841000,5334012000,6992899000,-1658887000,1140874000,400689000,6474886000,7368727000,309864000,424127000,374123000,374123000,1108114000,1956213000,1943688000,1062488000,881200000,3899901000,5008015000,1728600000,685206000,-53094000,2360712000,2360712000,7368727000,109111000,61924000,67192000,137787000,376014000,-156729000,-3187000,-159916000,-31390000,-222916000,88000,88000,0,-254218000,-38120000,-38120000,-38120000,264356000,2380340000,309625000,0.34744,0.16518,0.08903,0.04622,0.01481,2.83771,0.80663,2.1214,0.32303,1.21208,1.20802,13.61374,26.22431,3.43951,0.3487,0.02102,0.04632,0.28769,8.82636,11.52634
"8","2012_Q4",27.088064516129,"Down",576414000,-283243000,293171000,-211625000,-106045000,-58956000,-46624000,81546000,-36984000,-34909000,-2075000,44562000,44562000,-16548000,28014000,31132000,31132000,31132000,27706000,27706000,216753000,216753000,531199000,531199000,775658000,5441886000,7128484000,-1686598000,1132291000,392117000,6574177000,7349835000,178198000,463622000,468409000,468409000,1110229000,1956289000,1928392000,1085654000,842738000,3884681000,4994910000,1737498000,684907000,-67480000,2354925000,2354925000,7349835000,31132000,61459000,31173000,34319000.0000001,158083000,-186251000,-2079000,-188330000,-31431000,42257000,87000,87000,0,10913000,-19334000,-19334000,-19334000,143005000,2419911000,7620999.99999994,0.50861,0.14147,0.05401,0.01322,0.00424,0.244800000000004,0.69865,2.12105,0.32925,0.34546,0.34214,6.39621,26.13157,0.0845699999999998,0.34878,0.00933,0.00113999999999999,1.0096,16.72812,29.33565
"9","2013_Q1",29.7105,"Up",550245000,-300856000,249389000,-221310000,-123624000,-60783000,-36903000,28079000,-44955000,-33896000,-11059000,-16876000,-22164000,21878000,-286000,7967000,7967000,7967000,64239000,64239000,234526000,234526000,529197000,529197000,827962000,5475604000,7134470000,-1658866000,1192109000,451262000,6667713000,7495675000,215229000,571060000,489665000,489665000,1275954000,1956305000,1904173000,1015083000,431894000,3860478000,5136432000,1745918000,660932000,-47607000,2359243000,2359243000,7495675000,7967000,62383000,-16484000,14245000,68111000,-235484000,-378000,-107639000,-31458000,106164000,1355000,1355000,0,76061000,36533000,36533000,36533000,90462000,2527365000,-152655000,0.45323,0.05103,0.01448,0.00338,0.00106,-19.16091,0.6489,2.17715,0.33718,0.08832,0.08583,6.09974,26.15337,-1.69226,0.34873,0.00581,-0.02248,3.94854,27.22829,87.72129
"10","2013_Q2",33.27515625,"Up",1034155000,-671793000,362362000,-207440000,-106527000,-59579000,-41334000,154922000,-29824000,-30522000,698000,125098000,125098000,-47750000,77348000,80465000,80465000,80465000,124601000,124601000,500863000,500863000,539170000,539170000,1164634000,5595294000,7283533000,-1688239000,1204290000,463454000,6799584000,7964218000,367312000,831022000,446717000,446717000,1645051000,1956376000,1938786000,1066273000,415819000,3895162000,5540213000,1750648000,709438000,-36081000,2424005000,2424005000,7964218000,80465000,60628000,49193000,-160428000,29858000,-190027000,-4397000,-194424000,-31992000,256933000,3329290.76711496,3329290.76711496,-13000,224928000,60362000,60362000,60362000,215550000,2787398000,-87155000,0.35039,0.14981,0.07781,0.0332,0.0101,-1.08314,0.70796,2.28556,0.34999,0.8905,0.88124,11.44496,26.82638,-0.96454,0.35405,0.01573,-0.01219,0.397590000000001,12.3535,17.18798
"11","2013_Q3",33.226875,"Down",1308996000,-876245000,432751000,-222573000,-111086000,-57180000,-54307000,210178000,-31619000,-33331000,1712000,178559000,178559000,-66219000,112340000,116425000,116425000,116425000,65547000,65547000,485601000,485601000,451272000,451272000,1002420000,5710273000,7435103000,-1724830000,1241037000,500212000,6951310000,7953730000,316411000,232998000,377357000,377357000,926766000,2455514000,2027980000,1168140000,406292000,4483494000,5410260000,1753477000,793927000,-3934000,2543470000,2543470000,7953730000,116425000,58245000,63217000,108596000,346483000,-199090000,-2427000,-201517000,-32016000,-105412000,0,0,-66592000,-204020000,-59054000,-59054000,-59054000,268423000,2688512000,244148000,0.3306,0.16056,0.08894,0.04577,0.01464,2.09704,1.08163,2.12712,0.33802,1.28602,1.27236,14.45909,28.09502,2.69684,0.35365,0.02045,0.03363,0.27499,9.77176,12.47973
"12","2013_Q4",35.02484375,"Up",857935000,-541438000,316497000,-230101000,-121258000,-58129000,-50714000,86396000,-33208000,-32741000,-467000,53188000,53188000,-19714000,33474000,38768000,38768000,38768000,31979000,31979000,350237000,350237000,300037000,300037000,682253000,5841215000,7494175000,-1652960000,1279330000,538516000,7120545000,7802798000,229876000,141998000,348706000,348706000,720580000,2455593000,2045181000,1197274000,403367000,4500774000,5221354000,1757512000,800643000,23289000,2581444000,2581444000,7802798000,38768000,58310000,24212000,11943999.9999999,133234000,-193356000,-1461000,-41794000,-32052000,-92943000,8000,8000,-21000,-125008000,-33568000,-33568000,-33568000,144706000,2597591000,-16992000,0.36891,0.1007,0.04519,0.01502,0.00497,-0.438299999999999,0.94681,2.02265,0.33291,0.4279,0.42359,9.46938,28.49244,-0.187549999999999,0.35377,0.0098,-0.00234999999999999,0.82676,17.72982,29.69596
"13","2014_Q1",36.852131147541,"Up",674374000,-373934000,300440000,-250057000,-149149000,-60191000,-40717000,50383000,-33931000,-31791000,-2140000,16452000,16452000,-8916000,7536000,7536000,7536000,7536000,66199000,66199000,301992000,301992000,308942000,308942000,677133000,6030655000,7722019000,-1691364000,1226480000,485117000,7257135000,7934268000,241611000,367984000,368891000,368891000,978486000,2455671000,1919702000,1164053000,396862000,4375373000,5353859000,1766264000,775267000,38878000,2580409000,2580409000,7934268000,7536000,60424000,19918000,15674000,103552000,-262560000,-1769000,-264329000,-32055000,227014000,38000,38000,-7.45058059692383e-09,194997000,34220000,34220000,34220000,110807000,2823655000,-127163000,0.44551,0.07471,0.01117,0.00292,0.00095,-16.87407,0.69202,2.07481,0.35588,0.08314,0.08146,7.44005,28.46845,-1.40293,0.35365,0.00541,-0.01736,4.25358,24.88521,54.72989
"14","2014_Q2",40.7460317460317,"Up",1243858000,-854901000,388957000,-218237000,-115757000,-60469000,-42011000,170720000,-34247000,-32115000,-2132000,136473000,136473000,-49457000,87016000,87016000,87016000,87016000,194563000,194563000,661213000,661213000,443794000,443794000,1299570000,6152963000,7861741000,-1708778000,1163558000,422195000,7316521000,8616091000,458198000,1189795000,365508000,365508000,2013501000,1955750000,1985526000,1230052000,395940000,3941276000,5954777000,1769971000,828311000,63032000,2661314000,2661314000,8616091000,87016000,60690000,52355000,-165761000,34300000,-180567000,-12156000,-192723000,-33984000,320783000,-12000,-12000,0,286787000,128364000,128364000,128364000,231410000,3145545000,-65461000,0.3127,0.13725,0.06996,0.0327,0.0101,-0.752289999999999,0.64543,2.23753,0.36508,0.94746,0.94744,13.5436,28.97741,-0.71276,0.37003,0.01553,-0.0084,0.390550000000001,12.75218,17.28551
"15","2014_Q3",40.530625,"Down",1964854000,-1468577000,496277000,-246197000,-124675000,-61307000,-60215000,250080000,-33117000,-31601000,-1516000,216963000,216963000,-83596000,133367000,133367000,133367000,133367000,136740000,136740000,671021000,671021000,251400000,251400000,1059161000,6269983000,8014440000,-1744457000,1158472000,417109000,7428455000,8487616000,442816000,5e+08,420576000,420576000,1363392000,1955829000,2043634000,1283551000,399232000,3999463000,5362855000,2163645000,924282000,36834000,3124761000,3124761000,8487616000,133367000,61527000,78101000,183686000,456681000,-178442000,935000,-177507000,-37396000,-689795000,390194000,390194000,0,-336997000,-57823000,-57823000,-57823000,311607000,2455829000,400447000,0.25258,0.12728,0.06788,0.04268,0.01571,3.00259,0.77686,1.71624,0.28934,1.38673,1.3867,20.4302,32.4907,4.16378,0.38884,0.0224,0.05252,0.2804,7.44235,9.27339
"16","2014_Q4",43.09015625,"Up",943170000,-583637000,359533000,-252928000,-125559000,-63955000,-63414000,106605000,-32214000,-31840000,-374000,74391000,74391000,-28670000,45721000,45721000,45721000,45721000,51421000,51421000,388874000,388874000,334348000,334348000,774643000,6461450000,8217954000,-1756504000,1121096000,379733000,7582546000,8357189000,312671000,5e+08,343026000,343026000,1155697000,1955907000,2128900000,1341294000,440262000,4084807000,5240504000,2172809000,932576000,11300000,3116685000,3116685000,8357189000,45721000,64183000,41588000,-12263000.0000001,139229000,-193591000,1884000,-191707000,-37426000,2410000,2175000,2175000,0,-32841000,-85319000,-85319000,-85319000,170788000,2455907000,-6395999.99999994,0.3812,0.11303,0.04848,0.01467,0.00547,-0.13989,0.67028,1.68144,0.29387,0.45196,0.45195,9.32336,30.80885,-0.063229999999999,0.36996,0.0108,-0.000829999999999997,0.81857,14.07878,22.5551
"17","2015_Q1",45.3652459016393,"Up",789034000,-451375000,337659000,-253715000,-139163000,-68256000,-46296000,83944000,-34952000,-33739000,-1213000,48992000,48992000,-25279000,23713000,23713000,23713000,23713000,42258000,42258000,343400000,343400000,390182000,390182000,775840000,6725906000,8447700000,-1721794000,1092958000,350929000,7818864000,8594704000,308086000,196695000,405869000,405869000,910650000,2455986000,2141836000,1286616000,514257000,4597822000,5508472000,2180653000,917972000,-12393000,3086232000,3086232000,8594704000,23713000,67587000,42579000,-31276000,102603000,-271841000,2729000,-271759000,-37442000,195313000,2121999.99999994,2121999.99999994,-4.65661287307739e-10,159993000,-9163000,-9163000,-9163000,151531000,2652681000,-126307000,0.42794,0.10639,0.03005,0.00768,0.00276,-5.32649,0.85196,1.78485,0.30864,0.23421,0.2342,7.79316,30.48221,-1.24751,0.36981,0.00776,-0.01603,1.57897,17.22699,31.0972
