"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",1.39046875,"Down",21000376,-17753803,3246573,-2750843,-2666826,-84017,495730,-30052,-30052,465678,465678,0,465678,465678,465678,465678,18583569.2852502,18583569.2852502,-742623.320228659,811070.637211889,-1553693.95744055,20484104.4219567,519406.183768343,4057418.96636331,3973300.06012481,24269.0676643918,4576825.15013165,25060929.5720884,10582389.9595964,10582389.9595964,7592608.86800964,7592608.86800964,18746013.0061979,164356.02621128,164356.02621128,2725855.35410876,21471868.3603067,64854138.6719269,-1734969.47515988,-59530107.9849854,3589061.21178166,3589061.21178166,25060929.5720884,465678,84017,98052,862060,1509807,-5357,138017,-3983,1643841,1643841,1643841,579747,0,1436450,0.1546,0.02361,0.02217,-0.606786822375798,-0.308939235314085,3.08464,1.95599256159826,4.39921308321722,0.144210529956777,0.03483,0.03273,1.57061,0.247518675477866,0.10743,-0.483624266554963,0.578639407723236,-159.067028948309,-219.109203912026
"2","2011_Q1",1.55322580645161,"Up",14133617,-11093795,3039822,-2757904,-2687501,-70403,281918,-31853,-31853,250065,250065,0,250065,241342,241342,241342,10980420,10980420,1635188,555375,1079813,22750083,375926,3911337,3811127,40210,4287263,27037346,9370446,9370446,7892460,7892460,17463478,137218,137218,2887218,20350696,65248931,-1084809,-57477472,6686650,6686650,27037346,241342,70403,110148,-629492,-207598.999999999,-27532,3732,-4817,-208684.000000001,-208684.000000001,-208684.000000001,352321,2950572,-304703,0.21508,0.01995,0.01708,0.03609,0.00893,-1.26254,1.30272,3.04348,0.10913,0.01813,0.01693,1.06202,0.50244,-0.0229,0.02469,-0.03117,-22.79128,-28.48292
"3","2011_Q2",1.57206349206349,"Up",9614930,-5478859,4136071,-3097311,-3034612,-62699,1038760,-16834,-16834,1021926,1021926,0,1021926,1021926,1021926,1021926,7799016.98824993,7799016.98824993,2098109.60674289,555853.537596037,1542256.06914685,20894438.0260144,325109.355410552,3869641.59454556,3768922.4799584,40669.0607785361,4194750.94995612,25089188.9759705,6770640.51346786,6770640.51346786,6493715.54399679,6493715.54399679,13343387.6646007,119106.241262907,119106.241262907,2900431.71529708,16243819.3798978,65491501.942691,-960322.508280038,-55685809.8383382,8845369.59607278,8845369.59607278,25089188.9759705,1021926,62699,196910,-5212088,-3930553,-22375,-57204,-29897,-4017654,-4017654,-4017654,1101459,0,-4133004,0.43017,0.10804,0.10629,0.252262274125266,0.116163911771362,-4.04433,1.47105581280058,1.92200397226093,0.111278156681074,0.07626,0.07107,0.71755,0.666453774840711,-0.30844,0.195550588851654,-0.167093969241079,13.5820154827698,21.8764721373418
"4","2011_Q3",1.7809375,"Up",10515497,-6614310,3901187,-2853354,-2795555,-57799,1047833,914663,-4421,1962496,1962496,5.42101086242752e-20,1962496,1962496,1962496,1962496,7274395,7274395,1666179,664655,1001524,17494801,330780,3903905,3811127,32778,4234685,21729486,4367715,4367715,4419859,4419859,8912574,106234,106234,2813535,11726109,65633097,-1136670,-54493050,10003377,10003377,21729486,1962496,57799,156329,-1735224,441400,-52977,-107807,-21964,311629,311629,311629,1105632,2832301,-682569,0.37099,0.09965,0.18663,0.19618,0.0903100000000001,-0.34781,1.96293,1.17222,0.13034,0.14584,0.12846,0.78145,0.7434,-0.05072,0.15164,-0.05274,-4.01769999999996,-4.23930999999998
"5","2011_Q4",1.14825396825397,"Down",7681733,-4718065,2963668,-2810081,-2750849,-59232,153587,-40768,-40768,112819,112819,0,112819,112819,112819,112819,7490034,7490034,1745393,689637,1055756,15403401,333731,3923539,3839682,23857,4257270,19660671,3894395,3894395,2873858,2873858,7018253,92944,92944,2675245,9693498,65720646,-1373242,-54380231,9967173,9967173,19660671,112819,59232,-176737,502464,497778,-62183,-45567,-236572,215639,215639,215639,212819,2832301,653100,0.38581,0.01999,0.01469,0.01132,0.00574,5.78892,2.19476,0.97254,0.14406,0.00824,0.00756,0.56124,0.72822,0.04772,0.00875,0.05066,-21.88589,-30.32635
"6","2012_Q1",0.924354838709677,"Down",9042975,-7564827,1478148,-2708303,-2654306,-53997,-1230155,-27192,-27192,-1257347,-1257347,1.73472347597681e-18,-1257347,-1257347,-1257347,-1257347,6731487,6731487,3227136,497712,2729424,17106337,305463,3920836,3839861,20975,4226299,21332636,6886094,6886094,2819368,2819368,10080462,76073,76073,2533374,12613836,65806833,-1450455,-55637578,8718800,8718800,21332636,-1257347,53997,106086,411724,-685540,-25729,4206.00000000001,-77213,-758547,-758547,-758547,-1176158,2832301,-790163,0.16346,-0.13603,-0.13904,-0.14421,-0.05894,0.628440000000001,1.69698,1.44674,0.13277,-0.09052,-0.08471,0.65106,0.62772,-0.05689,-0.10814,-0.06796,3.31519,3.16967
"7","2012_Q2",0.428412698412698,"Down",14309861,-12255359,2054502,-2984537,-2907632,-76905,-930035,-42768,-42768,-972803,-1252089,0,-1252089,-1252089,-1252089,-1252089,6039871,6039871,1999586,580539,1419047,19183946,450971,3923954,3839861,24093,4374925,23558871,10222473,10222473,2825998,2825998,13548471,74783,74783,2407084,15955555,65945867,-1452884,-56889667,7603316,7603316,23558871,-1252089,76905,139034,569376,-466774,-222413,-222413,-2429,-691616,-691616,-691616,-853130,2832301,-506167,0.14357,-0.06499,-0.0875,-0.16468,-0.05315,0.40426,1.41595,2.0985,0.12022,-0.08879,-0.08879,1.01476,0.53918,-0.03589,-0.11913,-0.04816,3.75977,3.44887
"8","2012_Q3",0.461111111111111,"Up",15540853,-13209461,2331392,-2480860,-2557765,76905,-149468,-48446,-48446,-197914,-2268914,0,-2268914,-2268914,-2268914,-2268914,5721339,5721339,1478212,668817,809395,17574683,394573,1851376,1768861,22515,2245949,19820632,7919649,7919649,3738281,3738281,12157930,67397,67397,2274698,14432628,66013255,-1466670,-59158581,5388004,5388004,19820632,-2268914,81356,2193678,-160908,-154788,-24958,-24957.9999999999,-138786,-318532,-318532,-318532,-68112,2707301,-253978,0.15002,-0.00962,-0.146,-0.4211,-0.11447,0.11194,1.44553,2.67866,0.13659,-0.16038,-0.16038,1.09852,0.38086,-0.01795,-0.27796,-0.03111,44.2512,20.16511
"9","2012_Q4",0.444032258064516,"Down",9266635,-6637222,2629413,-2711764,-2711764,-70287.1021957901,-82351,-184787,-24787,-267138,-267138,0,-267138,-267138,-267138,-267138,5375070,5375070,1276479,621342,655137,15076825,341585,1849798,1768861,20937,2191383,17268208,6405859,6405859,2927814,2927814,9833673,60012,60012,2142313,11975986,66209631,-1491690,-59425719,5292222,5292222,17268208,-267138,58726,169382,-178475,-217505,21256,21256,-150020,-346269,-346269,-346269,-23625,2582301,-180844,0.28375,-0.00889,-0.02883,-0.05048,-0.01547,0.67697,1.53318,2.26294,0.14954,-0.01884,-0.01884,0.65356,0.37325,-0.01275,-0.03367,-0.02279,118.21244,33.91299
"10","2013_Q1",0.7275,"Up",8556778,-6133519,2423259,-2570667,-2278958,-291709,-147408,-24782,-24782,-172190,-172190,-2.22044604925031e-16,-172190,-172190,-172190,-172190,5608322,5608322,1242437,429089,813348,14376099,273451,1848219,1768861,19358,2121670,16497769,5753347,5753347,3028627,3028627,9281974,52626,52626,2009927,11291901,66307273,-1503496,-59597909,5205868,5205868,16497769,-172190,74722,87704,386404,376640,-6582,-6582,-136806,233252,233252,233252,-72686,2457301,307136,0.2832,-0.01723,-0.02012,-0.03308,-0.01044,-1.7837,1.54882,2.16907,0.14895,-0.01207,-0.01207,0.59994,0.365,0.02153,-0.02232,0.03981,43.35114,21.3761900000001
