"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2015_Q2",68.5384126984127,"Up",200045000,-125887000,74158000,-51338000,-46938000,-4200000,22820000,-4596000,1158000,-5754000,18224000,18224000,-3510000,14714000,14714000,14714000,14714000,192363000,192363000,104714000,104714000,140544000,14390000,437621000,116798000,45091000,56346000,11453000,3908000,171913000,609534000,33945000,13366000,20579000,83652000,79886000,117597000,4106000,0,4106000,121703000,241114000,-3811000,275312000,-24784000,487831000,487831000,609534000,14714000,4200000,3897000,-15940000,6871000,-1873000,-1873000,-1873000,-31979000,-33882000,3855000,3855000,-2365000,1490000,-25521000,-25521000,-2650000,-28171000,27020000,0,12717000,0.37071,0.11407,0.07355,0.03016,0.02414,0.86428,3.72136,0.24948,0,0.30727,0.28851,4.17753,10.18734,0.26557,0.02991,0.02585,-7.11928,-8.42958
"14","2015_Q3",72.1721875,"Up",217781000,-134256000,83525000,-59919000,-55976000,-3903000,23606000,834000,1299000,-464999.999999999,24440000,24440000,-5209000,19231000,19231000,19231000,19231000,175717000,175717000,134941000,134941000,150122000,19635000,460780000,117267000,37820000,62207000,13568000,3672000,175713000,636493000,38834000,11993000,26841000,51167000,47578000,90001000,2432000,0,2432000,92433000,270707000,-80000,294543000,-21110000,544060000,544060000,636493000,19231000,3903000,14106000,-35077000,2163000.00000001,-3469000,-3469000,-3469000,-2128000.00000001,-5597000,10100000,10100000,-25527000,-15427000,-18861000,-18861000,2215000,-16646000,27509000,0,-5828000.00000001,0.38353,0.10839,0.0883,0.03535,0.03021,-0.30305,5.11972,0.16989,0,0.3958,0.37038,4.4822,11.19741,-0.11995,0.03519,-0.01066,-6.38762,-7.44374
"15","2015_Q4",78.01625,"Up",236049000,-148479000,87570000,-59794000,-55431000,-4393000,27776000,897000,865000,32000,28673000,28673000,-5800000,22873000,22873000,22873000,22873000,214443000,214443000,125683000,125683000,164111000,20205000,504237000,138939000,37176000,84229000,14006000,3528000,199491000,703728000,54548000,12061000,42487000,57820000,55067000,112368000,3492000,0,18492000,130860000,284987000,-80000,317412000,-29451000,572868000,572868000,703728000,22873000,4393000,26876000,1378000,55520000,-4191000,-4191000,-4191000,-1881000,-33696000,3652000,3652000,736000,19388000,41212000,41212000,-2486000,38726000,32169000,1.5e+07,35156000,0.37098,0.11767,0.0969,0.03993,0.0325,1.53701,4.48737,0.22843,0.02132,0.46638,0.43698,4.813,11.68069,0.71683,0.03868,0.05945,-6.19985,-7.18041
"16","2016_Q1",69.0850819672131,"Down",260253000,-158291000,101962000,-70197000,-64414000,-4899000,31765000,2968000,1409000,1559000,34733000,34733000,-7095000,27638000,27638000,27638000,27638000,199449000,199449000,174617000,174617000,132327000,22048037.1090579,506393000,211644000,46860000,115930000,30159000,18695000,272143000,778536000,66372000,2576000,63796000,61539000,61539000,127911000,2402000,2402000,37402000,165313000,303412000,-93000,345054000,-35150000,613223000,613223000,778536000,27638000,4899000,7064000,-27762000,11839000,-3739000,-3739000,-3739000,674000,-52319000,3068000,3068000,5245000,28313000,-12167000,-12167000,-2827000,-14994000,36664000,3.5e+07,12258000,0.39178,0.12205,0.1062,0.04507,0.0355,0.44352,3.95895,0.26958,0.04496,0.55986,0.52465,5.27191,12.42197,0.24831,0.04248,0.01884,-4.4853,-5.17705
"17","2016_Q2",72.984375,"Up",264482000,-167381000,97101000,-66770000,-61494000,-5102000,30331000,-79000,1211000,-1290000,30252000,30252000,-6353000,23899000,23899000,23899000,23899000,244877000,244877000,157457000,157457000,140574000,19261000,542908000,200663000,45765000,118615000,31010000,5273000,264957000,807865000,32208000,3562000,28646000,75336000,72237000,107544000,2583000,0,42699000,150243000,319274000,-154000,368953000,-30451000,657622000,657622000,807865000,23899000,5102000,-25109000,6969000,10861000,-6185000,-6185000,-6185000,29605000,23420000,3108000,3108000,1712000,9789000,44070000,44070000,1358000,45428000,35433000,40116000,42570000,0.36714,0.11468,0.09036,0.03634,0.02958,1.78125,5.04824,0.22846,0.04966,0.48073,0.45192,5.32007,13.2281,0.8563,0.03413,0.06079,-5.77882,-6.75088
"18","2016_Q3",67.944375,"Down",283832000,-180782000,103050000,-70970000,-64241000,-6123000,32080000,-1157000,1138000,-2295000,30923000,30923000,-6493000,24430000,24430000,24430000,24430000,280724000,280724000,178796000,178796000,117480000,15273000,5.77e+08,200137000,55962000,110668000,25991000,7516000,266888000,843888000,32562000,3005000,29557000,59452000,56096000,92014000,2819000,-2.3283064365387e-10,42907000,134921000,348577000,-156000,393383000,-32837000,708967000,708967000,843888000,24430000,6123000,15340000,-7400000.00000001,38493000,-7404000,-7404000,-7404000,-1683000,-11602000,9470000,9470000,513000,9954000,36845000,36845000,-998000,35847000,38203000,40088000,29892000,0.36307,0.11302,0.08607,0.03446,0.02895,1.22358,6.27078,0.19031,0.0475,0.49193,0.46337,5.71528,14.27584,0.60191,0.03249,0.03976,-6.29888,-7.50112
"19","2016_Q4",64.185873015873,"Down",298293000,-190797000,107496000,-73594000,-67491000,-5925000,33902000,-661000,1067000,-1728000,33241000,33241000,-7067000,26174000,26174000,26174000,26174000,330627000,330627000,187833000,187833000,120546000,32205000,639006000,199909000,53867000,111722000,26598000,7722000,270193000,909199000,39517000,4661000,34856000,82113000,78428000,121630000,4395000,1068000,37457000,159087000,363204000,-170000,419557000,-32479000,750112000,750112000,909199000,26174000,5925000,19631000,10082000,61812000,-6392000,-6392000,-6392000,-332000,-8708000,3272000,3272000,419000,-3345000,49759000,49759000,144000,49903000,39827000,33062000,50584000,0.36037,0.11365,0.08775,0.03489,0.02879,1.9326,5.25369,0.21208,0.03636,0.51181,0.48586,5.83287,14.66781,0.98913,0.03323,0.06423,-7.47144,-8.77721
"20","2017_Q1",69.5953225806452,"Up",313525000,-198226000,115299000,-77916000,-72637000,-6237000,37383000,-5333000,1432000,-6765000,32050000,32050000,-7287000,24763000,24763000,24763000,24763000,362025000,362025000,199982000,199982000,87796000,18493000,649803000,202392000,51260000,109289000,31005000,10838000,276008000,925811000,53108000,3213000,49895000,63111000,63111000,116219000,3132000,3132000,28180000,144399000,374957000,-177000,444320000,-37688000,781412000,781412000,925811000,24763000,6237000,24655000,396000.000000004,56051000,-9336000,-9336000,-9336000,-2093000,-12430000,2146000,2146000,-43999.9999999999,-5931000,37690000,37690000,-3891000,33799000,43620000,25048000,41967000,0.36775,0.11923,0.07898,0.03169,0.02675,1.69475,5.59119,0.18479,0.02706,0.48822,0.46386,6.18131,15.40595,0.8274,0.03059,0.05184,-7.72529,-9.01418
"21","2017_Q2",80.3766666666667,"Up",324651000,-207730000,116921000,-85955000,-78453000,-6672000,30966000,-2371000,584000,-2955000,28595000,28595000,-4954000,23641000,23641000,23641000,23641000,398419000,398419000,176686000,176686000,135880000,26702000,710985000,200040000,49668000,110291000,29211000,10870000,276002000,986987000,35707000,3256000,32451000,87184000,87184000,122891000,3954000,3954000,28994000,151885000,396880000,-177000,469701000,-31302000,835102000,835102000,986987000,23641000,6672000,21000,-1238000,29096000,-5725000,-5725000,-5725000,64000,-5661000,10606000,10606000,-2694000,7882000,31317000,31317000,2952000,34269000,37638000,25040000,35629000,0.36014,0.09538,0.07282,0.02831,0.02395,1.50709,5.78549,0.18188,0.02537,0.46393,0.4387,6.37094,16.38802,0.69918,0.02736,0.04123,-9.92027,-12.05771
"22","2017_Q3",83.4004761904762,"Up",348977000,-220132000,128845000,-88163000,-80419000,-7020000,40682000,2364000,802000,1562000,43046000,43046000,-5687000,37359000,37359000,37359000,37359000,443501000,443501000,208273000,208273000,139412000,23275000,791186000,211082000,49998000,116239000,33022000,11823000,288197000,1079383000,52075000,4253000,47822000,78145000,78145000,130220000,4424000,4424000,29457000,159677000,439574000,-177000,507060000,-26751000,919706000,919706000,1079383000,37359000,7020000,23135000,-37277000,30237000,-5716000,-5716000,-5716000,562000,-11964000,27151000,27151000,-872000,26250000,44523000,44523000,2960000,47483000,47702000,25033000,10396000,0.36921,0.11658,0.10705,0.04062,0.03461,0.27827,6.07576,0.17362,0.02319,0.71976,0.68107,6.72343,17.71916,0.20029,0.03936,0.01095,-8.77255,-10.28632
