"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"23","2017_Q4",98.9638095238095,"Up",377523000,-239369000,138154000,-88906000,-81190000,-7174000,49248000,1339000,1416000,-77000,50587000,50587000,-7953000,42634000,42634000,42634000,42634000,512493000,512493000,230119000,230119000,143592000,31557000,886204000,208867000,46238000,119452000,30300000,12877000,286802000,1173006000,77434000,5592000,71842000,81550000,81550000,158984000,3836000,3836000,28877000,187861000,456676000,-177000,549694000,-21048000,985145000,985145000,1173006000,42634000,7174000,33458000,-21019000,62247000,-5440000,-5440000,-5440000,-1059000,-6499000,6558000,6558000,-444000,6084000,61832000,61832000,4523000,66355000,56422000,25041000,37916000,0.36595,0.13045,0.11293,0.04328,0.03635,0.88934,5.57417,0.19069,0.02135,0.81118,0.77175,7.18294,18.74385,0.72141,0.04204,0.03739,-8.6394,-9.8979
"24","2018_Q1",114.373278688525,"Up",399297000,-254121000,145176000,-93126000,-87526000,-7696000,52050000,27000,1799000,-1772000,52077000,52077000,-82951000,-30874000,-30874000,-30874000,-30874000,582585000,582585000,265639000,265639000,111809000,25309000,960033000,203804000,44511000,119531000,24974000,14788000,290223000,1250256000,95386000,5574000,89812000,85581000,85581000,180967000,69309000,69309000,94342000,275309000,473927000,-177000,518820000,-17623000,974947000,974947000,1250256000,-30874000,7696000,52198000,42220000,71240000,-12925000,-12925000,-12925000,898000,-12027000,9669000,9669000,-125000,9530000,68743000,68743000,1341000,70084000,59746000,25033000,171992000,0.36358,0.13035,-0.07732,-0.03167,-0.02469,-5.57077,5.30502,0.28238,0.02002,-0.58377,-0.55181,7.55,18.43451,3.25206,-0.02887,0.16085,-9.33204,-10.71185
"25","2018_Q2",120.2971875,"Up",424148000,-277634000,146514000,-97817000,-89641000,-8176000,48697000,-798000,-551000,-247000,47899000,47899000,16519000,64418000,64418000,64418000,64418000,535857000,535857000,262295000,262295000,173911000,33154000,972063000,274514000,59500000,150337000,48170000,16507000,371339000,1343402000,65175000,8474000,56701000,114733000,114733000,179908000,83121000,83121000,108146000,288054000,486075000,-177000,583695000,-14245000,1055348000,1055348000,1343402000,64418000,8176000,-39947000,-25317000,7330000,-10711000,-10711000,-10711000,811000,-60164000,7588000,7588000,-106000,4016000,-48818000,-48818000,3040000,-45778000,56873000,25025000,4326000,0.34543,0.11481,0.15188,0.06104,0.04795,0.06716,5.40311,0.27295,0.01863,1.21364,1.1454,7.99095,19.88277,0.0815,0.05537,0.00372,-8.98198,-10.49001
"26","2018_Q3",134.675873015873,"Up",445647000,-289175000,156472000,-102235000,-89979000,-8962000,54237000,2882000,1052000,1830000,57119000,57119000,-6863999.99999999,50255000,50255000,50255000,50255000,584081000,584081000,283001000,283001000,159106000,31919000,1026188000,267557000,55201000,144667000,54805000,12884000,366007000,1392195000,79170000,6727000,72443000,102241000,102241000,181411000,72961000,72961000,97981000,279392000,511185000,-177000,633950000,-32155000,1112803000,1112803000,1392195000,50255000,8962000,27341000,-27099000,59459000,-8592000,-8592000,-8592000,442000,-8149999.99999999,14780000,14780000,-7193000,7575000,58884000,58884000,-10685000,48199000,63199000,25020000,34372000,0.35111,0.1217,0.11277,0.04516,0.0361,0.68395,5.6567,0.25107,0.01797,0.939,0.88806,8.32681,20.79246,0.64223,0.04151,0.02839,-8.84604,-10.30774
"27","2018_Q4",122.696666666667,"Down",468186000,-301081000,167105000,-102545000,-92490000,-9319000,64560000,1427000,1941000,-514000,65987000,65987000,-369000,65618000,65618000,65618000,65618000,685108000,685108000,282276000,282276000,163074000,29646000,1130458000,274059000,52669000,144987000,61905000,14498000,373524000,1503982000,106864000,8422000,98442000,114109000,114109000,220973000,62046000,62046000,87074000,308047000,530891000,-177000,699568000,-34347000,1195935000,1195935000,1503982000,65618000,9319000,30926000,-3564000,102299000,-8162000,-8162000,-8162000,-1357000,-9519000,9639000,9639000,-372000,9260000,102040000,102040000,-1015000,101025000,73879000,25028000,62522000,0.35692,0.13789,0.14015,0.05487,0.04363,0.95282,5.11582,0.25758,0.01664,1.21835,1.15182,8.69298,22.20536,1.16087,0.05114,0.04873,-8.93461,-10.22429
"28","2019_Q1",149.889508196721,"Up",504931000,-319031000,185900000,-107630000,-101477000,-10183000,78270000,498000,1080000,-582000,78768000,78768000,-18803000,59965000,59965000,59965000,59965000,770560000,770560000,297685000,297685000,130823000,26171000,1199068000,310088000,57065000,166832000,69983000,16208000,412734000,1611802000,135381000,7444000,127937000,127448000,127448000,262829000,61346000,61346000,86377000,349206000,544754000,-177000,759533000,-41514000,1262596000,1262596000,1611802000,59965000,10183000,-7996000,60978000,123130000,-10109000,-10109000,-10109000,-177000,-34290000,2838000,2838000,-679000,2150000,90990000,90990000,-5580000,85410000,88453000,25031000,158125000,0.36817,0.15501,0.11876,0.04749,0.0372,2.63695,4.56216,0.27658,0.01553,1.10972,1.05399,9.34435,23.36584,2.92629,0.04445,0.11722,-8.42853,-9.52509
"29","2019_Q2",172.229523809524,"Up",521333000,-344689000,176644000,-111986000,-101786000,-10200000,64658000,-408000,3076000,-3484000,64250000,64250000,-3496000,60754000,60754000,60754000,60754000,762529000,762529000,307202000,307202000,175016000,30864000,1244747000,480883000,50087000,167707000,69345000,193744000,586688000,1831435000,77190000,4397000,72793000,205376000,205376000,282566000,185644000,185644000,210644000,493210000,553586000,-177000,820287000,-35471000,1338225000,1338225000,1831435000,60754000,10200000,12916000,-84072000,-202000,-13424000,-13424000,-13424000,-5136000,-18560000,11402000,11402000,-1221000,10181000,-8581000,-8581000,548000,-8033000,74858000,2.5e+07,-19142000,0.33883,0.12402,0.11654,0.0454,0.03317,-0.31507,4.40515,0.36856,0.01365,1.11999,1.06146,9.61069,24.66996,-0.35288,0.03922,-0.01236,-9.85237,-11.40662
"30","2019_Q3",188.28,"Up",551587000,-355915000,195672000,-122790000,-111762000,-11028000,72882000,-2372000,1190000,-3562000,70510000,70510000,-11733000,58777000,58777000,58777000,58777000,777365000,777365000,343864000,343864000,164594000,28808000,1285823000,534453000,53821000,179214000,69734000,231684000,645628000,1931451000,102069000,6043000,96026000,170545000,170545000,272614000,211590000,211590000,236590000,509204000,574674000,-177000,879064000,-31314000,1422247000,1422247000,1931451000,58777000,11028000,11206000,-36982000,44029000,-11601000,-11601000,-11601000,3956000,-28885000,11013000,11013000,-12986000,-1973000,13171000,13171000,1700000,14871000,83910000,2.5e+07,47060000,0.35474,0.13213,0.10656,0.04133,0.03043,0.80065,4.71664,0.35803,0.01294,1.07484,1.02014,10.08674,26.00829,0.86057,0.03543,0.02837,-8.96633,-10.32306
"31","2019_Q4",196.74484375,"Up",588103000,-377525000,210578000,-130013000,-118886000,-11127000,80565000,-596000,2509000,-3105000,79969000,79969000,-12967000,67002000,67002000,67002000,67002000,853241000,853241000,339112000,339112000,172339000,29390000,1364692000,560150000,56537000,186299000,75071000,242243000,675471000,2040163000,135535000,6896000,128639000,175935000,175935000,311470000,211576000,211576000,236576000,548046000,589819000,-177000,946066000,-43591000,1492117000,1492117000,2040163000,67002000,11127000,62425000,-21515000,119039000,-27270000,-27270000,-27270000,-452000,-40137000,6383000,6383000,-1444000,4939000,83841000,83841000,-8001000,75840000,91692000,2.5e+07,55874000,0.35806,0.13699,0.11393,0.0449,0.03284,0.83392,4.38146,0.36729,0.01225,1.22083,1.15822,10.71573,27.18763,1.01807,0.03876,0.03232,-9.03286,-10.28041
"32","2020_Q1",215.943225806452,"Up",632775000,-410069000,222706000,-137961000,-124999000,-12962000,84745000,52000,1950000,-1898000,84797000,84797000,-10273000,74524000,74524000,74524000,74524000,936561000,936552000,497716000,497716000,39934000,39934000,1474211000,604738000,56258000,195043000,75013000,278424000,769997000,2244208000,329406000,7831000,312511000,57542000,57542000,386948000,236041000,190163000,261115000,648063000,607106000,-177000,1020590000,-31374000,1596145000,1596145000,2244208000,74524000,12962000,39967000,-2866000.00000001,124587000,-47013000,-47013000,-47013000,-107000,-57787000,8205000,8205000,-979999.999999998,7216000,74016000,74016000,9283000,83299000,97707000,25074000,58101000,0.35195,0.13393,0.11777,0.04669,0.03321,0.77963,3.80984,0.40602,0.01117,1.35336,1.28558,11.49122,28.98606,1.05512,0.04013,0.03128,-9.32878,-10.75564
"33","2020_Q2",220.073650793651,"Up",651359000,-423802000,227557000,-140048000,-125108000,-14940000,87509000,8910000,2386000,6524000,96419000,96419000,-10854000,85565000,85565000,85565000,85565000,916253000,916253000,542698000,542698000,48786000,48786000,1507737000,639473000,58676000,198534000,79044000,303219000,804144000,2311881000,71666000,5232000,66434000,317655000,317655000,389321000,250032000,250032000,275078000,664399000,610635000,-177000,1106285000,-69261000,1647482000,1647482000,2311881000,85565000,14940000,45597000,-82847000,63255000,-29075000,-29075000,-29075000,-71000,-59485000,6850000,6850000,-8896000,-2046000,1724000,1724000,-22009000,-20285000,102449000,25046000,1381000,0.34936,0.13435,0.13136,0.05194,0.03701,0.01614,3.87273,0.40328,0.01083,1.54766,1.47164,11.78147,29.79886,0.02498,0.04451,0.00072,-8.69903,-10.18418
"34","2020_Q3",298.57765625,"Up",632383000,-419540000,212843000,-129417000,-114191000,-15226000,83426000,-7350000,1817000,-9167000,76076000,76076000,-9452000,66624000,66624000,66624000,66624000,1053749000,993724000,506908000,506908000,37679000,37679000,1598336000,623435000,55887000,199039000,78102000,290407000,790794000,2389130000,70235000,7596000,62639000,295345000,295345000,365580000,245412000,245412000,270456000,636036000,630735000,-177000,1172909000,-50373000,1753094000,1753094000,2389130000,66624000,15226000,30160000,34146000,146156000,-11449000,-11449000,-11449000,-59903000,-74086000,10294000,10294000,-14896000,-4602000,67468000,67468000,10010000,77478000,98652000,25044000,130801000,0.33657,0.13192,0.10535,0.038,0.02789,1.96327,4.37206,0.36281,0.01048,1.19611,1.14383,11.35323,31.47346,2.34828,0.03292,0.06464,-10.42761,-12.33075
"35","2020_Q4",333.73140625,"Up",652243000,-423388000,228855000,-132459000,-116530000,-15929000,96396000,7568000,1672000,5896000,103964000,103964000,-14532000,89432000,89432000,89432000,89432000,1221154000,1161065000,493225000,493225000,37843000,37843000,1752222000,639514000,54321000,207764000,90071000,287358000,803203000,2555425000,76027000,10785000,65242000,338804000,338804000,414831000,255321000,255321000,280360000,695191000,648742000,-177000,1262341000,-50672000,1860234000,1860234000,2555425000,89432000,15929000,30977000,39226000,175564000,-9787000,-9787000,-9787000,426000,-15676000,5883000,5883000,-318000,5565000,165453000,165453000,1889000,167342000,112325000,25039000,156296000,0.35087,0.14779,0.13711,0.04808,0.035,1.74765,4.22394,0.37371,0.0098,1.60024,1.52524,11.6708,33.28579,2.79666,0.04178,0.07302,-10.6487,-12.40835
"36","2021_Q1",365.964918032787,"Up",723493000,-465792000,257701000,-145708000,-128929000,-16779000,111993000,-9973000,-2053000,-7920000,102020000,102020000,-16481000,85539000,85539000,85539000,85539000,1382150000,1322143000,501062000,501062000,29570000,29570000,1912782000,639017000,51975000,211956000,92454000,282632000,808550000,2721332000,405191000,10189000,374399000,60759000,60759000,465950000,247326000,203878000,272364000,738314000,660827000,-177000,1347880000,-25512000,1983018000,1983018000,2721332000,85539000,16779000,23928000,33186000,159432000,-18482000,-18482000,-18482000,575000.000000007,-17907000,3383000,3383000,-3047000,318000.000000001,141843000,141843000,19467000,161310000,128772000,25038000,159957000,0.35619,0.15479,0.11823,0.04314,0.03143,1.86999,4.10512,0.37232,0.0092,1.52656,1.45572,12.91172,35.38966,2.85465,0.03793,0.07092,-10.53887,-12.11783
"37","2021_Q2",468.62,"Up",780775000,-519328000,261447000,-154196000,-136389000,-17807000,107251000,7673000,5374000,2299000,114924000,114924000,-5878000,109046000,109046000,109046000,109046000,1372829000,1372829000,585041000,585041000,46848000,46848000,2004718000,611074000,48547000,210881000,90188000,261458000,775823000,2780541000,407582000,7168000,391317000,56179000,56179000,463761000,227809000,183884000,252841000,716602000,647940000,-177000,1456926000,-40750000,2063939000,2063939000,2780541000,109046000,17807000,44920000,-158946000,12827000,-11186000,-11186000,-11186000,60691000,48461000,4373000,4373000,-3044000,1329000,62617000,62617000,-11856000,50761000,125058000,25032000,-39196000,0.33486,0.13736,0.13966,0.05283,0.03922,-0.35944,4.32274,0.3472,0.009,1.94136,1.85522,13.90021,36.74451,-0.69781,0.04707,-0.01692,-10.77738,-12.56675
"38","2021_Q3",588.43375,"Up",881366000,-583728000,297638000,-172364000,-151910000,-20454000,125274000,-2113000,2580000,-4693000,123161000,123161000,-8490000,114671000,114671000,114671000,114671000,1283233000,1283233000,682236000,682236000,72549000,72549000,2038018000,750052000,65130000,335477000,96115000,253330000,923597000,2961615000,445127000,9712000,418476000,52821000,52821000,522948000,225970000,184958000,225999000,748947000,670321000,-177000,1571597000,-29073000,2212668000,2212668000,2961615000,114671000,20454000,33841000,-100130000,68836000,-22587000,-22587000,-22587000,-512000.000000015,-145851000,11237000,11237000,-31562000,-20325000,-97340000,-97340000,8095000,-89245000,145728000,25029000,31501000,0.3377,0.14214,0.13011,0.05182,0.03872,0.27471,3.89717,0.33848,0.00845,2.0415,1.95092,15.69105,39.39234,0.56082,0.04654,0.01279,-8.63392,-10.04362
"39","2021_Q4",643.6334375,"Up",988539000,-653374000,335165000,-191041000,-169498000,-21543000,144124000,-8766000,-6809679.93551133,-3441000,135358000,135358000,-19702000,115656000,115656000,115656000,115656000,1266614000,1266614000,755588000,755588000,69992000,69992000,2092194000,973158000,74576000,386508000,104057000,408017000,1150039000,3242233000,581373000,8086000,552359000,51174000,51174000,632547000,245543000,203350000,270567000,903114000,693944000,-177000,1687253000,-41901000,2339119000,2339119000,3242233000,115656000,21543000,45507000,23344000,206050000,-21111000,-30145082.6733743,-30145082.6733743,-279000,-61102000,4566000,4566000,-68000,4498000,149446000,149446000,-8930000,140516000,165667000,25024000,187602000,0.33905,0.14579,0.117,0.04944,0.03567,1.62207,3.30757,0.38609,0.00772,2.04162,1.95355,17.45025,41.29144,3.31166,0.04432,0.07189,-7.49449,-8.61473
"40","2022_Q1",392.209677419355,"Down",1107464000,-727267000,380197000,-214530000,-190939000,-23591000,165667000,-5718000,-9681000,-1362000,159949000,159949000,-17670000,142279000,142279000,142279000,142279000,1446625000,1446625000,768928000,768928000,53927000,53927000,2269480000,1017533000,101143000,530723000,143928000,241739000,1253747000,3523227000,697298000,24847000,645011000,50104000,50104000,763420000,233736000,191282000,263970000,1027390000,711969000,-177000,1829532000,-54207000,2487117000,2495837000,3523227000,142279000,23597000,17862000,100876000,284614000,-56617000,-28734788.9739655,-28734788.9739655,179000,-210432000,6110000,6110000,-51224000,-45059000,29123000,29123000,-5341000,23782000,189264000,46252000,251193000,0.3433,0.14959,0.12847,0.05701,0.04038,1.7655,2.97278,0.41164,0.01313,2.51159,2.40324,19.54958,43.90399,4.4342,0.05126,0.09049,-7.39905,-8.45294
"41","2022_Q2",305.541129032258,"Down",1171614000,-780836000,390778000,-261536000,-237277000,-24259000,129242000,-22950000,-165000,-22785000,106292000,106292000,-16573000,89719000,89719000,89719000,89719000,1276461000,1276461000,901260000,901260000,89032000,89032000,2266753000,1021178000,97569000,534136000,161302000,228171000,1240817000,3507570000,626331000,19406000,586661000,47021000,47021000,683252000,241665000,195909000,272215000,955467000,719179000,-177000,1919251000,-86150000,2552103000,2552103000,3507570000,89719000,24259000,84875000,-250701000,-51848000,-23274000,-23274000,-23274000,-3082000,-34563000,3395000,3395000,-8094000,-9604000,-96015000,-96015000,-45407000,-141422000,153501000,40450000,-103901000,0.33354,0.11031,0.07658,0.03515,0.02558,-1.15807,3.31759,0.37438,0.01153,1.58084,1.51414,20.64373,44.96781,-1.83073,0.03166,-0.03666,-8.05214,-9.56354
"42","2022_Q3",382.56203125,"Up",1194861000,-846323000,348538000,-255518000,-232527000,-22991000,93020000,-84362000,1579000,-85941000,8658000,8658000,9946000,18604000,18604000,18604000,18604000,1353616000,1293518000,929217000,929217000,76845000,76845000,2359678000,993167000,89032000,521267000,172807000,210061000,1204286000,3563964000,636877000,22488000,596199000,41125000,41125000,684703000,226687000,179593000,256908000,941611000,761032000,-177000,1937855000,-76357000,2622353000,2622353000,3563964000,18604000,22991000,86958000,-51038000.0000001,77515000,-18152000,-18152000,-18152000,-67959000,-88525000,18770000,18770000,-17176000,-1030000,-12040000,-12040000,-254000.000000015,-12294000,116011000,36922000,36874999.9999999,0.2917,0.07785,0.01557,0.00709,0.00522,1.9821,3.44628,0.35907,0.01036,0.32502,0.31522,20.87458,45.81329,0.64422,0.00645,0.01278,-11.34973,-14.15496
