"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q4",12.8015625,"Up",20766000,-14445000,6321000,-5680000,-3470000,-2210000,641000,-250000,-308000,58000,391000,391000,391000,391000,391000,391000,7325000,7325000,17043000,17043000,16421000,4796000,3765000,1031000,45585000,27125000,3224000,828000,2396000,30349000,75934000,14839000,11282000,3557000,12095000,29974000,14618000,14618000,44592000,6023000,-82802000,2320000,31342000,31342000,75934000,391000,877000,262000,-5492000,-3962000,-1733000,572000,-1161000,3936000,-1214000,-1214000,2722000,-2401000,-2401000,-42000,-2443000,1518000,26713000,0.30439,0.03087,0.01883,0.01248,0.00515,1.52082,1.42276,0.35179,0.04347,0.04271,2.30851,-8.27746,0.00673,12.77207,30.24649
"2","2014_Q1",18.5945901639344,"Up",23744000,-17069000,6675000,-6972000,-4572000,-2400000,-297000,-224000,-146000,-78000,-521000,-521000,-521000,-521000,-521000,-521000,29976000,22006000,22089000,22089000,19608000,6263000,5488000,775000,77936000,31134000,1987000,851000,1136000,33121000,111057000,19525000,15010000,4515000,17185000,39057000,8923000,8923000,47980000,144036000,-83323000,2364000,63077000,63077000,111057000,-521000,971000,999000,-5185000,-3736000,-4943000,-7714000,-12657000,-1374000,32785000,32785000,31411000,15018000,15018000,-337000,14681000,674000,26108000,0.28112,-0.01251,-0.02194,-0.00826,-0.00469,1.99544,0.76066,0.23509,-0.01718,-0.01727,0.78292,2.07986,-0.00584,-5.73887,13.02357
"3","2014_Q2",21.4495238095238,"Up",24859000,-16206000,8653000,-8433000,-4887000,-3546000,220000,-110000,-83000,-27000,110000,110000,85000,85000,85000,85000,60309000,52411000,23837000,23837000,23933000,6324000,5483000,841000,114403000,35282000,4969000,3848000,1121000,40251000,154654000,21177000,17105000,4072000,16054000,39922000,3834000,5584000,45506000,190301000,-83238000,2085000,109148000,109148000,154654000,85000,1239000,760000,-2805000,-721000,-8700000,-81000,-8781000,-5925000,45778000,45778000,39853000,30351000,30351000,54000,30405000,1459000,19888000,0.34808,0.00885,0.00342,0.00078,0.00055,2.86566,0.41692,0.1286,0.00664,0.00616,1.94328,8.53231,0.00065,-27.70459,-183.73182
"4","2014_Q3",19.82671875,"Down",32650000,-21462000,11188000,-9458000,-5449000,-4009000,1730000,274000,46000,228000,2004000,2004000,1919000,1919000,1919000,1919000,42036000,34079000,24968000,24968000,31200000,7910000,6978000,932000,106114000,41657000,5753000,3841000,1912000,47410000,153524000,28237000,22631000,5606000,9562000,40176000,66999.9999999995,1567000,41743000,190876000,-81319000,2224000,111781000,111781000,153524000,1919000,1431000,1014000,-3425000,939000,-7542000,-949000,-8491000,-10739000,71000,71000,-10668000,-18220000,-18220000,-112000,-18332000,3161000,9629000,0.34266,0.05299,0.05877,0.01717,0.0125,2.64123,0.37344,0.06272,0.12969,0.12418,2.20661,7.55458,0.01561,-10.25214,-18.7323700000001
"5","2014_Q4",12.7575,"Down",36549000,-24403000,12146000,-10274000,-6080000,-4194000,1872000,-218000,40000,-53000,1654000,1654000,1577000,1577000,1577000,1577000,44992000,37034000,24181000,24181000,33129000,8634000,7847000,787000,110936000,51267000,5951000,3830000,2121000,57218000,168154000,27576000,22616000,4960000,9392000,39083000,1.4e+07,15250000,54333000,191454000,-79742000,2109000,113821000,113821000,168154000,1577000,1679000,928000,-3737000,447000,-11723000,-78000,-11801000,13900000,91000,91000,13991000,2637000,2637000,318000,2955000,3551000,23392000,0.33232,0.05122,0.04315,0.01386,0.00938,2.83847,0.47735,0.13911,0.10643,0.10104,2.46673,7.6819,0.01139,-6.08279,-11.53846
"6","2015_Q1",10.974262295082,"Down",36391000,-24132000,12259000,-10943000,-6722000,-4221000,1316000,-602000,40000,-847000,714000,714000,702000,702000,702000,702000,40364000,32175000,31589000,31589000,33780000,7506000,6017000,1489000,113239000,64808000,5623000,3833000,1790000,70431000,183670000,37739000,30984000,6755000,9591000,48601000,19057000,20057000,68658000,192127000,-79040000,1925000,115012000,115012000,183670000,702000,1820000,1600000,3743000,7865000,-16457000,408000,-16049000,3702000,106000,106000,3808000,-4376000,-4376000,-483000,-4859000,3136000,28648000,0.33687,0.03616,0.01929,0.0061,0.00382,2.32997,0.59696,0.15598,0.04735,0.04416,2.45481,7.75831,0.00485,-3.73597,-8.90274
"7","2015_Q2",15.9780952380952,"Up",30234000,-20183000,10051000,-11367000,-6562000,-4805000,-1316000,641000,-51000,692000,-675000,-675000,-675000,-675000,-675000,-675000,18099000,9909000,29962000,29962000,43565000,9513000,7814000,1699000,101139000,69512000,15564000,3828000,11736000,85076000,186215000,31619000,25301000,6318000,18721000,51785000,18773000,19523000,71308000,192720000,-79715000,1902000,114907000,114907000,186215000,-675000,2034000,1056000,-16248000,-13833000,-6427000,-10517000,-16944000,8675000,77000,77000,8752000,-22025000,-22025000,-241000,-22266000,718000,37494000,0.33244,-0.04353,-0.02233,-0.00587,-0.00362,1.95306,0.62057,0.20135,-0.04547,-0.04547,2.03675,7.74086,-0.00441,27.01253,-14.73784
"8","2015_Q3",19.485625,"Up",49632000,-32901000,16731000,-10842000,-6141000,-4701000,5889000,335000,-220000,555000,6224000,6224000,6089000,6089000,6089000,6089000,36736000,28412000,32907000,32907000,52451000,10526000,8031000,2495000,132620000,78979000,11148000,3837000,7311000,90127000,222747000,37103000,29755000,7348000,30990000,70753000,29596000,30096000,100849000,193503000,-73626000,2021000,121898000,121898000,222747000,6089000,2279000,414000,-6374000,2408000,-11112000,2911000,-8201000,23852000,249999.999999998,249999.999999998,24102000,18309000,18309000,194000,18503000,8168000,60586000,0.3371,0.11865,0.12268,0.04995,0.02734,1.87441,0.82732,0.27199,0.40765,0.3543,3.32277,8.16084,0.03328,2.91993,4.04992
"9","2015_Q4",18.14828125,"Down",57085000,-39032000,18053000,-11931000,-6545000,-5386000,6122000,-3016000,-269000,-2747000,3106000,3106000,2700000,2700000,2700000,2700000,45616000,37592000,41069000,41069000,60237000,13272000,9781000,3491000,160194000,87836000,8919000,3858000,5061000,96755000,256949000,41459000,31518000,9941000,20793000,65361000,28436000,28686000,94047000,232816000,-70926000,1012000,162902000,162902000,256949000,2700000,2420000,4480000,-15913000,-6313000,-14646000,1026000,-13620000,-9494000,38795000,38795000,29301000,9368000,9368000,-188000,9180000,8542000,49229000,0.31625,0.10724,0.0473,0.01657,0.01051,2.45091,0.57732,0.19159,0.17003,0.16339,3.59483,10.25848,0.01271,0.42297,0.59017
"10","2016_Q1",15.9072131147541,"Down",52952000,-37334000,15618000,-12864000,-6904000,-5960000,2754000,-241000,-150000,-91000.0000000005,2513000,2513000,2679000,2679000,2679000,2679000,35960000,28074000,38775000,38775000,66238000,12955000,8236000,4719000,153928000,109699000,9848000,3900000,5948000,119547000,273475000,40174000,28668000,11506000,30908000,74080000,33997000,33997000,108077000,233353000,-68247000,292000,165398000,165398000,273475000,2679000,2691000,1542000,-4386000,2526000,-25022000,2167000,-22855000,15394000,-22000.0000000075,-22000.0000000075,15378000,-4951000,-4951000,-357000,-5308000,5445000,64905000,0.29495,0.05201,0.05059,0.0162,0.0098,2.07786,0.65344,0.23733,0.15903,0.15242,3.14328,9.81817,0.01163,5.31589,10.51017
